item_code,uom,display_name,category,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,decision,reason,human_action
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Home Appliances,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,https://www.joven-electric.com/media/catalog/product/5/1/5101501002-1.jpg,A,yes,yes,PCS matches official (single unit incl. rainshower set),needs_permission,candidate,"Official MY page found: SL30iP-RS (SKU 5101501, 3.6kW 240V, 2 colour options). Main image pixel-analysis = black unit on white studio bg (matches black calibration profile); RS suffix confirmed.",Visually confirm black finish at download; request Joven media permission before use.
JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Home Appliances,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,,B,unresolved,yes,PCS matches official (single unit),needs_permission,pending,Official SL30iP page (SKU 5101401) confirms model but main image is white (sl30ip_white_2026_1.jpg); black SL30iP variant not shown on official page.,Obtain official black SL30iP image from Joven/dealer (e.g. SL30IP-BLACK) or photograph stock unit.
JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Home Appliances,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,https://www.joven-electric.com/media/catalog/product/s/l/sl30ip_white_2026_1.jpg,A,yes,yes,PCS matches official (single unit),needs_permission,candidate,"Official SL30iP page (SKU 5101401, 3.6kW) found; main image filename and pixel analysis = white unit, matches row.",Request Joven media permission before download.
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,,B,unresolved,yes,PCS matches official (single unit incl. rainshower set),needs_permission,pending,"Official SL30iP-RS page confirms model but main image is black; white variant (SL30IP-RS-WHITE) exists per authorised dealers only, not shown on official MY site.",Confirm white stock on shelf; request official white SL30iP-RS media from Joven.
JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Home Appliances,https://www.joven-electric.com/my/sa20e-instant-water-heater-511601002.html,https://www.joven-electric.com/media/catalog/product/s/a/sa20e_-_feature_image_2026.jpg,A,yes,yes,PCS matches official (single unit),needs_permission,candidate,"Official SA20e page (SKU 511601002) found; model exact, no finish claimed in row, official unit is white.",Request dealer media permission before download (as flagged in input notes).
SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Kitchen & Sinks,https://sorento.com.my/sorento-kitchen/kitchen-sink/double-bowl/srtks2406-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTKS24061.jpg,A,yes,yes,PCS - official page sells unit as single piece,needs_permission,candidate,"Exact official MY page: SRTKS2406 Undermount SS304 540x440x230mm Chrome; matches model and finish. 'Ultrasonic Nano Tech' wording from catalogue, not on page.",Confirm brand image use rights with Sorento before commercial use
JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,https://www.joven-electric.com/my/sa8e-instant-water-heater-511801001.html,https://www.joven-electric.com/media/catalog/product/5/1/511801001-1.jpg,A,yes,yes,PCS matches official (single unit),needs_permission,candidate,"Official SA8e page (SKU 511801001, 3.6kW 240V) found; model exact, no finish claimed in row, official unit is white.",Request dealer media permission before download (as flagged in input notes).
SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,https://sorento.com.my/sorento-kitchen/kitchen-sink/double-bowl/srtks2408-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTKS24084.jpg,A,yes,yes,PCS - official page sells unit as single piece,needs_permission,candidate,Exact official MY page: SRTKS2408 Undermount SS304 920x440x230mm Chrome; matches model and finish.,Confirm brand image use rights with Sorento before commercial use
TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Bathroom,,,C,unresolved,no,consistent (SET),no_asset,pending,No WC-2122A-P180MM page on saniware.com; official site lists only WC-2122A-S300 (S-trap 250/300mm; P-trap 180mm supported per page description). P180 not available as separate official listing; family page for reference: https://saniware.com/product/wc-2122a-s300/,Confirm P180 variant with Saniware; obtain official P180 image from catalogue/dealer before use
TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Bathroom,,,C,unresolved,no,consistent (SET),no_asset,pending,"No WC-2110A-P180MM page on saniware.com; official site lists only WC-2110A-S200 (S-trap 200/250mm; P-trap 180mm not stated on official page, only mentioned by a dealer). Family page for reference: https://saniware.com/product/wc-2110a-s200/",Confirm P180 variant with Saniware; obtain official P180 image from catalogue/dealer before use
