source_file,source_position,item_code,uom,display_name,official_product_page,official_image_url,local_asset_path,match_confidence,rights_status,queue
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2515,LAD-H/D-STRO-DS07,UNIT,Strongman D/s H/d Ladder DSHD07 7STEP,https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd07-7step,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000855_strongman-double-sided-heavy-duty-dshd07-7-step_510.jpeg?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787228864&Signature=9NtYO%2FjO%2FYfZM41kRi4VG9AtOkU%3D,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2515.jpeg,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2522,FAN-TAB-KDK-KB-304,PCS,Kdk Table Fan 12,https://www.kdk.com.my/product/kb-304/,https://www.kdk.com.my/wp-content/uploads/2020/09/product-mobile_Table-Fans_KB-304.png,,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2531,IND-COO-MID-MIC222TLAGN,,Midea Induction Cooker Golden Color 2200W,https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-mic222tlagn.mic222tlagn,https://web-res.midea.com/content/dam/midea-aem/my/my-new/pdp/domestic-appliances/induction-cooker/mic222tlagn/pd-mic222tlagn-1024x1024.jpg,,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2541,BAT-CHA-KENDE-SM1212,UNIT,Kende Battery Charger 12V,https://www.suiumachinery.com.my/showproducts/productid/4797799/cid/467542/kende-sm1212-612v-portable-battery-inverter-charger-212a/,https://cdn1.npcdn.net/images/f943283aec8e5551a94e1b64d8a07115_1704511396.webp?md5id=a7a0da96b4c16537050114ceed8368c9&new_width=1000&new_height=1000&size=max&w=1694400547&from=jpeg&type=9,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2541.webp,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2576,HOO-CAB-CB8003-3,,Cabana 3 Robe Hook (polish),https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-3-detail,https://cabana.com.my/images/virtuemart/product/CB8003-3.jpg,,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2582,SHE-CAB-CB781-BL,,Cab Double Corner Shelf (matt Blk) -CB781-BL,https://cabana.kartfive.com/index.php/products/bathroom/bathroom-accessories/shelf/cb781-bl-detail,https://cabana.kartfive.com/images/virtuemart/product/CB781-BL.jpg,,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2602,IND-CEM-GREY-25KG,BAG,Sika Ceram 88 (25KG/BAG),https://mys.sika.com/en/construction/tile-setting/tile-adhesives/sikaceram-88.html,https://sika.scene7.com/is/image/sikacs/my-SikaCeram-88-25kg-01536099:1-1?wid=480&hei=480&fit=crop%2C1,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2602.jpg,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2705,SHE-CAB-CB782-BL,,Cab Double Shelf (matt Blk) -CB782-BL,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb782-bl-detail,https://www.cabana.com.my/images/virtuemart/product/CB782-BL.jpg,,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2830,X-FAN-CEI-COSA-998,,Alpha Cosa 998 Ceiling Fan - Pwt,https://www.alphamalaysia.com/ceiling-fans/cx99856,https://www.alphamalaysia.com/sites/default/files/2022-06/CX998%20PWT_0.png,,A,needs_permission,job1_verify_pass
opencode-verify/pass-queue-unreviewed-2501-plus-verified.csv,2865,LAD-H/D-STRO-DS08,UNIT,Strongman D/s H/d Ladder DSHD08 8STEP,https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd08-8step,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000584_strongman-double-sided-heavy-duty-dshd08-8-step_510.png?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787229446&Signature=Z3lDNPZdwZ3%2FjeKeLJmqRYoSvlc%3D,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2865.png,A,needs_permission,job1_verify_pass
