source_position,asset_path,url,sha256,bytes,status,decision
52,/home/ubuntu/work/priority300_pass1_work/assets/0052.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
57,/home/ubuntu/work/priority300_pass1_work/assets/0057.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
60,/home/ubuntu/work/priority300_pass1_work/assets/0060.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
62,/home/ubuntu/work/priority300_pass1_work/assets/0062.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
64,/home/ubuntu/work/priority300_pass1_work/assets/0064.png,https://www.rubine.com.my/files/product_img/IM00032.png,56bf7cbce4f3b823f8674fa31e73a2c7d7bcf6d5dc6dd9d500dd3cb50012eacc,11971,downloaded,candidate
67,/home/ubuntu/work/priority300_pass1_work/assets/0067.jpg,https://www.rubine.com.my/files/product_img/IM02133.jpg,a248c2ca403718dee4fb38f1cfa87cda6ca3e8978531d735554a6d0a49c155c5,11927,downloaded,candidate
72,/home/ubuntu/work/priority300_pass1_work/assets/0072.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
73,/home/ubuntu/work/priority300_pass1_work/assets/0073.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
76,/home/ubuntu/work/priority300_pass1_work/assets/0076.png,https://www.rubine.com.my/files/product_img/IM00030.png,3e5c7ebd5ddee4571bd056c3ce4cdd5bbeb22fc0ef5948c5932334f93728a314,11941,downloaded,candidate
80,/home/ubuntu/work/priority300_pass1_work/assets/0080.jpg,https://www.rubine.com.my/files/product_img/IM01807.jpg,e99d88455e6d9f3a3a2c2e1225c6398fc0accd027d96f36d1c2285d33a15847a,11962,downloaded,candidate
85,/home/ubuntu/work/priority300_pass1_work/assets/0085.jpg,https://khind.com.my/cdn/shop/files/hd1800-wh-cover_280521152043.jpg?v=1751809539,c58ac0c5e7d08ed3f763f944d0fc2600d0b3edd888430c893a936fd1ac19018d,79556,downloaded,candidate
86,/home/ubuntu/work/priority300_pass1_work/assets/0086.jpg,https://www.rubine.com.my/files/product_img/IM01815.jpg,b5969ada9b677f600a125c890972e581db8954a0200379c16f9e5d8be640d0b7,11864,downloaded,candidate
96,/home/ubuntu/work/priority300_pass1_work/assets/0096.pdf,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,63e7cdd5cd3bf01bad27a8c09aec9154742323cd640ad73d3eb93f39478b5ce3,11978,downloaded,candidate
100,/home/ubuntu/work/priority300_pass1_work/assets/0100.jpg,https://khind.com.my/cdn/shop/files/ssmy.zone-1731060431-FF2005_WH.jpg?v=1751808994&width=1946,f20eb8cb408358bdc14764eb8ac5ea1d3c4ace5f32fa42b6141c1d331575a450,411022,downloaded,candidate
110,/home/ubuntu/work/priority300_pass1_work/assets/0110.jpg,https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3203-RG.jpg,0f1d04bdb67f342fea88c11673f81e5a6574562f30e0c0ee6c2dc305f201a860,11958,downloaded,candidate
122,/home/ubuntu/work/priority300_pass1_work/assets/0122.jpg,https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTWT9600-(product).jpg,987c6a05c48f9f59d706fa448a073905133ded83177fba602623e58a7f938378,11961,downloaded,candidate
