source_position,item_code,display_name,manufacturer,exact_model,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,evidence_asset_path,evidence_sha256,evidence_bytes,rights_status_final,classification_reason
2515,LAD-H/D-STRO-DS07,Strongman D/s H/d Ladder DSHD07 7STEP,Strongman / NIETZ-Strongman MIM,DSHD07,https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd07-7step,Authorised Malaysian distributor/manufacturer-owner page,1B,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000855_strongman-double-sided-heavy-duty-dshd07-7-step_510.jpeg?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787228864&Signature=9NtYO%2FjO%2FYfZM41kRi4VG9AtOkU%3D,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/2515.jpg,7c5156410b3f20d5d0a15ee2f1e330a40e5b5e7987c9c106b8e1a60d9a0d6e5c,17717,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
2522,FAN-TAB-KDK-KB-304,Kdk Table Fan 12,KDK Fans (M) Sdn. Bhd.,KB-304,https://www.kdk.com.my/product/kb-304/,Official Malaysian manufacturer product page,1A,https://www.kdk.com.my/wp-content/uploads/2020/09/product-mobile_Table-Fans_KB-304.png,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/2522.png,c14a9c9021aee661ee91f9bd813585eee2f0af2c891aabefc4aef517fc280382,32099,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
2531,IND-COO-MID-MIC222TLAGN,Midea Induction Cooker Golden Color 2200W,Midea,MIC222TLAGN,https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-mic222tlagn.mic222tlagn,Official manufacturer Malaysia product page,1A,https://web-res.midea.com/content/dam/midea-aem/my/my-new/pdp/domestic-appliances/induction-cooker/mic222tlagn/pd-mic222tlagn-1024x1024.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2501_2600/2531.jpg,021f5f9defe249af48cde6b67e451612083340683f33f2ef1713e638cac53079,138277,needs_permission,Exact manufacturer model and exact official image preserved; no material conflict.
2541,BAT-CHA-KENDE-SM1212,Kende Battery Charger 12V,KENDE,SM1212,https://www.suiumachinery.com.my/showproducts/productid/4797799/cid/467542/kende-sm1212-612v-portable-battery-inverter-charger-212a/,Authorised Malaysian distributor page,1B,https://cdn1.npcdn.net/images/f943283aec8e5551a94e1b64d8a07115_1704511396.webp?md5id=a7a0da96b4c16537050114ceed8368c9&new_width=1000&new_height=1000&size=max&w=1694400547&from=jpeg&type=9,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/2541.webp,5f07d0a6861627eda24792ec13612e96922c3aaacfc441dcce605280022c6550,275034,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
2576,HOO-CAB-CB8003-3,Cabana 3 Robe Hook (polish),Cabana / Sorento,CB8003-3,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-3-detail,Official manufacturer product page,1A,https://cabana.com.my/images/virtuemart/product/CB8003-3.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2501_2600/2576.jpg,263cec1ffea38a491c846cf3ea1dba232890915cc532e8d7a30a74e05280894b,348496,needs_permission,"Exact manufacturer model, finish and exact official image preserved; no material conflict."
2582,SHE-CAB-CB781-BL,Cab Double Corner Shelf (matt Blk) -CB781-BL,Cabana / Sorento,CB781-BL,https://cabana.kartfive.com/index.php/products/bathroom/bathroom-accessories/shelf/cb781-bl-detail,Official manufacturer product page,1A,https://cabana.kartfive.com/images/virtuemart/product/CB781-BL.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2501_2600/2582.jpg,62c672084550015f777222d2ada3595520c9d9248efec217d4722a39d4fcfdc0,316454,needs_permission,"Exact manufacturer model, dimensions, material, finish and exact official image preserved; no material conflict."
2602,IND-CEM-GREY-25KG,Sika Ceram 88 (25KG/BAG),Sika Kimia Sdn. Bhd.,SikaCeram-88,https://mys.sika.com/en/construction/tile-setting/tile-adhesives/sikaceram-88.html,Official Malaysian manufacturer product page,1A,https://sika.scene7.com/is/image/sikacs/my-SikaCeram-88-25kg-01536099:1-1?wid=480&hei=480&fit=crop%2C1,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/2602.jpg,9b27a1b02c02f6340ba7f28cf48031739a21f0e963e1dd306ae65169a619bfeb,31479,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
2645,DC-DSM09-100S,Angle Grinder / DSM09-100S,Dongcheng,DSM09-100S,https://www.dongchengmalaysia.com/product/dsm09-100s/,Official regional manufacturer Malaysia product page,1B,https://www.dongchengmalaysia.com/wp-content/uploads/2024/11/images-2.jpg,EXACT_SKU,98,94,/home/ubuntu/work/full_catalogue_image_pass/assets/2601_2700/2645.jpg,05135c70115ded1cd38d1c161aa67455b44d18526ca4f50d6bd6abdc31019952,3590,needs_permission,Exact regional manufacturer model page plus visually reviewed official image; no unresolved model or variant conflict.
2705,SHE-CAB-CB782-BL,Cab Double Shelf (matt Blk) -CB782-BL,Cabana / Sorento,CB782-BL,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb782-bl-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB782-BL.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2701_2800/2705.jpg,c88409110df7e457037c24e0713e058b9b8992ae8caac8fd33f223e655866b10,351722,needs_permission,"Exact manufacturer model, dimensions, material, finish and exact official image preserved; no material conflict."
2830,X-FAN-CEI-COSA-998,Alpha Cosa 998 Ceiling Fan - Pwt,Alpha Home Appliances,CX998/56,https://www.alphamalaysia.com/ceiling-fans/cx99856,Official manufacturer Malaysia product page,1A,https://www.alphamalaysia.com/sites/default/files/2022-06/CX998%20PWT_0.png,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2801_2900/2830.png,45e0e34e80f5cece30a7de8c17534b560ddb9d3e20c133bf36ef9d56500cc2a5,181776,needs_permission,"Exact manufacturer model, size, finish and exact official image preserved; no material conflict."
2865,LAD-H/D-STRO-DS08,Strongman D/s H/d Ladder DSHD08 8STEP,Strongman / NIETZ-Strongman MIM,DSHD08,https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd08-8step,Authorised Malaysian distributor/manufacturer-owner page,1B,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000584_strongman-double-sided-heavy-duty-dshd08-8-step_510.png?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787229446&Signature=Z3lDNPZdwZ3%2FjeKeLJmqRYoSvlc%3D,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/2865.png,da154532f09fed27875d8a6bc92a531b97295eeba55c5652a02ee0a7ff664a4d,88263,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
3243,GRA-CAB-CB6644,Cabana S/steel Floor Grating 4,Cabana / Sorento,CB6644,https://www.cabana.com.my/index.php/products/bathroom/floor-grating/cb6644-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB6644.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3201_3300/3243.jpg,598ac40989921c1dd8b1122e1f87ae3fbe4b8667d858e507337873e00eca4a69,63680,needs_permission,"Exact manufacturer model, size, finish and exact official image preserved; no material conflict."
3344,EXH-FAN-FN25A,Dekka Apb 25A 10 Wall Exhaust Fan,Dekka Electrical Appliances,APB25A/10,https://dekka-asia.com/?product=apb25a-10-exhaust-wall-fan,Official manufacturer product page,1A,https://dekka-asia.com/wp-content/uploads/2019/11/d184e50360d3479b0af1f9f962baed1.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3301_3400/3344.jpg,4c48d0dde7420c508d7ace00b5ff275f7051164a73c4260c45624ca02d63e101,481546,needs_permission,"Exact manufacturer model, size, specifications and exact official image preserved; no material conflict."
3427,HOO-CAB-CB8003-5,Cabana 5 Robe Hook (polish),Cabana / Sorento,CB8003-5,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-5-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB8003-5.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3401_3500/3427.jpg,3dd3f1e251cdd341644f6476f189f578b0c869f40164684601b459df4b7b362d,443622,needs_permission,"Exact manufacturer model, hook count, material, finish and exact official image preserved; no material conflict."
3512,X-HOO-CAB-CB8001-3,Cabana 3 Robe Hook (satin) CB8001-3,Cabana / Sorento,CB8001-3,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8001-3-detail,Official manufacturer product page,1A,https://cabana.com.my/images/virtuemart/product/CB8001-3.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3501_3600/3512.jpg,11ae7cc05f545e451837eb4d0f0568ee4250f98a2ff8001f89914c1b48fe1b03,337607,needs_permission,"Exact manufacturer model, hook count, finish and exact official image preserved; no material conflict."
3630,GROUT-SEAL-703,Sikagard 703 Groutseal - 1LTR,Sika Kimia Sdn. Bhd.,Sikagard-703 GroutSeal,https://mys.sika.com/en/home-improvement/waterproofing/sikagard-703-groutseal.html,Official Malaysian manufacturer product page,1A,https://sika.scene7.com/is/image/sikacs/my-02-en-MY-Sikagard-703-GroutSeal-1x1-00557701:1-1?wid=480&hei=480&fit=crop%2C1,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/3630.jpg,c7aff42db5089c30a5f2e934fa8cc331d4197f1b259ae80b30fc96286fbf0c61,14364,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
3729,ELE-MUL-TES-UNI,Uni-t UT33B+ Multi Meter Tester,UNI-T / Uni-Trend Technology,UT33B+,https://meters.uni-trend.com/product/ut33plus-series/,Official manufacturer product page,1A,https://meters.uni-trend.com/wp-content/uploads/2022/04/UT33B_1.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3701_3800/3729.jpg,408594d1f69abc5138ae942c6413866f04d32b68a4e1d9d751ec5e67dcd4285d,128702,needs_permission,"Exact manufacturer model, model-specific official image and variant-specific features preserved; no material conflict."
3772,TAP-CAB-CB6331,Cabana S/steel Drinking Tap,Cabana Malaysia,CB6331,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb6331-detail,Official Malaysian manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB6331.jpg,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/3772.jpg,99087697abdb821951fd556256dd751269cfdfa959e255a78ba533406468e6b4,98428,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
4096,TAP-CAB-CB1540SS-BL,Cabana S/s Pillar Mounted Kitchen Tap,Cabana Malaysia,CB1540SS-BL,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb1540ss-bl-detail,Official Malaysian manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB1540SS-BL.jpg,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/4096.jpg,6adad6f47b7f2b4ccd463dc2b6a164cd0a12a06fd53d2f88ec6e8df3c54de3f2,94433,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
4880,TAP-CAB-CB2805A,Cabana Hose Bib Tap CB2805A,Cabana Malaysia,CB2805A,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb2805a-ss-cr-diy-detail,Official Malaysian manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB2805A3.jpg,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/4880.jpg,21d866f17bae884173f992ed53ef48600442d22303ebc547e8356013cefaade5,125311,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
4881,TAP-CAB-CB2806A,Cabana Bib Tap CB2806A,Cabana Malaysia,CB2806A,https://www.cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb2806a-ss-cr-diy-detail,Official Malaysian manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB2806A8.jpg,EXACT_SKU,99,97,/home/ubuntu/work/retry_branded_2501_7771/assets/4881.jpg,faa5d6d657822bbcfb1a4d46143ffe96da80729c35f940bba28c5e4fa836b531,121175,needs_permission,"Exact model, relevant suffix/size/variant, authoritative source URL and exact image asset are preserved; no material conflict."
