source_position,item_code,uom,display_name,category,detected_brand,detected_model,existing_source_url,existing_image_url,campaign_classification,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes,research_state
2501,LAD-ALU-WEL-D07,UNIT,Alum Welded Ladder - D07,Ladders & Access,,D07,,,PENDING,,,,Alum Welded Ladder - D07,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2502,LAD-EXT-DOU-15X15,UNIT,Double Ext Ladder 15X15FT,Ladders & Access,,15X15FT,,,PENDING,,,,Double Ext Ladder 15X15FT,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2503,CHE-LUB-HD4D-200ML,TIN,4D Penetrant/lubricant Spray :,Chemicals & Adhesives,,HD420/200ML,,,PENDING,,,,4D Penetrant/lubricant Spray :,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2505,COC-SINK-K505L-WALL,SET,Sink Tap: Lever Type -wall 1/2,Kitchen & Sinks,,K500L,,,PENDING,,,,Sink Tap: Lever Type -wall 1/2,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2506,CUT-DIS-MARK-01600,PCS,Mr. Mark 110MM Wet Cutting Diamond Wheel (1.4X5X20MM),Abrasives & Cutting,,1.4X5X20MM,,,PENDING,,,,Mr. Mark 110MM Wet Cutting Diamond Wheel (1.4X5X20MM),,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2507,DC-S1B-FF03-110X100,SET,Orbital Sander,Power Tools,,DSB03-100,,,PENDING,,,,Orbital Sander,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2508,DOR-KEY-SGEP-S3030/60-SN,PCS,"Sn""st Guchi""single Key & Thumbturn Profile Cyl",Doors & Hardware,,SGEP-S3030/60,,,PENDING,,,,"Sn""st Guchi""single Key & Thumbturn Profile Cyl",,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2509,ELE-BUL-THL-15W-E14,PCS,Thl E14 15W Fridge Bulb,Lighting,,E14,,,PENDING,,,,Thl E14 15W Fridge Bulb,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2510,FLO-PVC-NO.100-10,ROLL,PVC Flooring No. 100-10,Flooring,,NO.100-10,,,PENDING,,,,PVC Flooring No. 100-10,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
2511,FLO-PVC-NO.483-13,ROLL,PVC Flooring No. 524-08,Flooring,,NO.524-08,,,PENDING,,,,PVC Flooring No. 524-08,,,,,not_preserved,20,0,"Queries ran: Malaysia-first exact-model and official-image searches for the source description and item code. No authoritative exact page plus exact downloadable image cleared the candidate gate; generic, sibling, marketplace, and unrelated dealer imagery was not substituted.",No family or sibling image was substituted.,PENDING: no exact authoritative source and image were preserved.,no_authoritative_exact_source,,PASS2_RESEARCHED_PENDING,pending,needs_permission,,,,PASS2_RESEARCHED_PENDING
