source_position,item_code,uom,display_name,brand_guess,model_guess,search_queries,pages_opened,official_page_url,image_url,model_exact,finish_exact,first_pass_status,why_pending,rights_status,reason
2559,GUM-HAR-660,SET,Black Rtv Silicon Hardex,Hardex,RS660,"""Hardex"" ""RS660"" site:.com.my | ""RS660"" ""Hardex"" official | ""RS660"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2560,HEA-SPA-FAUCET-SH332,CARD,Faucet Spare Handle,unbranded,SH332,"""unbranded"" ""SH332"" site:.com.my | ""SH332"" ""unbranded"" official | ""SH332"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2561,INS-IS6099,NOS,One Piece Wash Down WC S-TRAP-250MM IS6099,unbranded,S-TRAP-250MM,"""unbranded"" ""S-TRAP-250MM"" site:.com.my | ""S-TRAP-250MM"" ""unbranded"" official | ""S-TRAP-250MM"" filetype:pdf",https://saniware.com/product/wc-2076-s250/,https://saniware.com/product/wc-2076-s250/,,unresolved,unresolved,PENDING,sibling_model,needs_permission,"PENDING: Official Saniware page was opened for WC-2076-S250, but the source row names IS6099 and no exact IS6099 mapping/image was established; the related S-trap page was not substituted. Queries recorded in search_queries."
2562,LET-BOX-HW307,PCS,0124/0129 Letter Box (360X80X470MM),unbranded,360X80X470MM,"""unbranded"" ""360X80X470MM"" site:.com.my | ""360X80X470MM"" ""unbranded"" official | ""360X80X470MM"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2563,PAI-SPR-PMT-021,DOZ,Paint Master Spray Paint - No. 21 Medium Blue,unbranded,NO.21,"""unbranded"" ""NO.21"" site:.com.my | ""NO.21"" ""unbranded"" official | ""NO.21"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2564,PLA-BAG-W1000-2024,KG,20 X 24 X Tbag Aa,unbranded,WHITE/1KG,"""unbranded"" ""WHITE/1KG"" site:.com.my | ""WHITE/1KG"" ""unbranded"" official | ""WHITE/1KG"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2565,SWI-SOC-SUM-MS-D213,PCS,D'ner 13A 2G M/clad S/skt (sr),unbranded,DS-8219,"""unbranded"" ""DS-8219"" site:.com.my | ""DS-8219"" ""unbranded"" official | ""DS-8219"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2566,TIE-CAB-WHI-8MMX200MM,PCK,"White PVC Cable Ties (8"")",unbranded,8MMX200MM,"""unbranded"" ""8MMX200MM"" site:.com.my | ""8MMX200MM"" ""unbranded"" official | ""8MMX200MM"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2567,TOO-COM-W0287M-20MM,PCS,Com Ratchet Wrench 20MM,unbranded,W0287M,"""unbranded"" ""W0287M"" site:.com.my | ""W0287M"" ""unbranded"" official | ""W0287M"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2568,TOR-LIG-HEA-GD-G010,SET,Googda LED Head Light Rechargable,unbranded,GD-G010,"""unbranded"" ""GD-G010"" site:.com.my | ""GD-G010"" ""unbranded"" official | ""GD-G010"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2569,X-FAN-TAB-KHI-TF12A06,SET,Butterfly 9 Table Fan (black),unbranded,BTF-9001,"""unbranded"" ""BTF-9001"" site:.com.my | ""BTF-9001"" ""unbranded"" official | ""BTF-9001"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2570,ACE-HAM-ANC-1/4X1 1/4,PCK,Ace Hammer Drive Anchor 630 1/4 X1 1/4 (10PCS/PCK) (PCK),unbranded,10PCS/PCK,"""unbranded"" ""10PCS/PCK"" site:.com.my | ""10PCS/PCK"" ""unbranded"" official | ""10PCS/PCK"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2571,BOX-POS-KH2078,PCS,PVC Post Box/letter Box (KH2078),unbranded,KH2078,"""unbranded"" ""KH2078"" site:.com.my | ""KH2078"" ""unbranded"" official | ""KH2078"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2572,CLI-HOS-16-25,PCS,PVC Wing Hose Clip 16-25,unbranded,WH300,"""unbranded"" ""WH300"" site:.com.my | ""WH300"" ""unbranded"" official | ""WH300"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2573,COC-BAS-SSS-LSS101,PCS,Leon Sus 304 S/steel Basin TAP-LSS101,Leon,TAP-LSS101,"""Leon"" ""TAP-LSS101"" site:.com.my | ""TAP-LSS101"" ""Leon"" official | ""TAP-LSS101"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2574,DC-DMY02-185SH,SET,7 Electric Circular Saw (1100W),Dongcheng,DMY02-185SH,"""Dongcheng"" ""DMY02-185SH"" site:.com.my | ""DMY02-185SH"" ""Dongcheng"" official | ""DMY02-185SH"" filetype:pdf",https://www.dongchengmalaysia.com/product/m1y-ff02-185sh/,https://www.dongchengmalaysia.com/product/m1y-ff02-185sh/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DMY02-185.jpg,yes,yes,VERIFIED_CANDIDATE,,needs_permission,"VERIFIED_CANDIDATE: official Dongcheng Malaysia page names DMY02-185SH and confirms 1100W, 185 mm blade, 64 mm cutting capacity, 45 degree angle, 3.6 kg, and colour-box package. Exact official page image is preserved locally at /home/ubuntu/work/retry_pass2_shard_2559_2608/assets/2574.jpg. No sibling saw image was substituted."
2575,DOR-HAN-CF350-NA-R,PCS,Na-r Cresent Fastener,unbranded,CF350,"""unbranded"" ""CF350"" site:.com.my | ""CF350"" ""unbranded"" official | ""CF350"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2577,HOS-6MTR-6396-736,PCS,"High Pressure Hose 13, MTR",unbranded,5MPA/6,"""unbranded"" ""5MPA/6"" site:.com.my | ""5MPA/6"" ""unbranded"" official | ""5MPA/6"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2578,HOS-CON-SET-40200023,SET,Ecogreen- Hose Basic Set / 1/2,Ecogreen,EG4400,"""Ecogreen"" ""EG4400"" site:.com.my | ""EG4400"" ""Ecogreen"" official | ""EG4400"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2579,HOS-SPA-SAT-ST300,CARD,Saturn Heavy Duty Spare Cartridge,Saturn,ST300,"""Saturn"" ""ST300"" site:.com.my | ""ST300"" ""Saturn"" official | ""ST300"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2580,IND-CAS-100MM,PCS,4 DL5 Tpr M/duty 2 Bearing Fixed Caster,unbranded,DL5,"""unbranded"" ""DL5"" site:.com.my | ""DL5"" ""unbranded"" official | ""DL5"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2581,PAI-SPR-PMT-1007,CAN,Paint Master Spray Paint - No. 1007 Matt White,unbranded,NO.1007,"""unbranded"" ""NO.1007"" site:.com.my | ""NO.1007"" ""unbranded"" official | ""NO.1007"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2583,SHH-FISH-NET-0.15D-30MM-30MD/6A,PCS,30MM (180/5),unbranded,0.15D,"""unbranded"" ""0.15D"" site:.com.my | ""0.15D"" ""unbranded"" official | ""0.15D"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2584,TOO-NIE-ALL-KEY-06MM,PCS,Nietz E/long Ball Point Satin Wrch 53252060 6MM,Nietz,53252060,"""Nietz"" ""53252060"" site:.com.my | ""53252060"" ""Nietz"" official | ""53252060"" filetype:pdf",https://nietz.com.my/product-catalogue/,https://nietz.com.my/product-catalogue/,,yes,unresolved,PENDING,found_page_no_exact_image,needs_permission,"PENDING: Official NIETZ catalogue landing page was opened, but no model-specific 53252060 image was exposed or preserved. Queries recorded in search_queries."
2585,TOO-PLI-LOC-GT175,PCS,Glotool Locking Plier 7,Glotool,Glotool,"""Glotool"" ""Glotool"" site:.com.my | ""Glotool"" ""Glotool"" official | ""Glotool"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
2586,TRO-SHO-CNSC5001,SET,Shopping Trolley (LC-303E) (DC-675),unbranded,LC-303E,"""unbranded"" ""LC-303E"" site:.com.my | ""LC-303E"" ""unbranded"" official | ""LC-303E"" filetype:pdf",no_preserved_exact_official_hit,,,unresolved,unresolved,PENDING,searched_not_found,needs_permission,"PENDING: Malaysia-first exact-model searches were run using the required three queries. No authoritative exact page plus exact downloadable image cleared the candidate gate; family, sibling, marketplace, and generic images were not substituted. Queries recorded in search_queries."
