priority_tier,queue,source_position,item_code,uom,display_name,category,manus_decision,official_product_page,official_image_url,why_failed,hint_page,hint_image,gemini_note
A,manus_shard_2559_2608_pending,2559,GUM-HAR-660,SET,Black Rtv Silicon Hardex,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2560,HEA-SPA-FAUCET-SH332,CARD,Faucet Spare Handle,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2561,INS-IS6099,NOS,One Piece Wash Down WC S-TRAP-250MM IS6099,,pending,https://saniware.com/product/wc-2076-s250/,,sibling_model,https://saniware.com/product/wc-2076-s250/,,
A,manus_shard_2559_2608_pending,2562,LET-BOX-HW307,PCS,0124/0129 Letter Box (360X80X470MM),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2563,PAI-SPR-PMT-021,DOZ,Paint Master Spray Paint - No. 21 Medium Blue,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2564,PLA-BAG-W1000-2024,KG,20 X 24 X Tbag Aa,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2565,SWI-SOC-SUM-MS-D213,PCS,D'ner 13A 2G M/clad S/skt (sr),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2566,TIE-CAB-WHI-8MMX200MM,PCK,"White PVC Cable Ties (8"")",,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2567,TOO-COM-W0287M-20MM,PCS,Com Ratchet Wrench 20MM,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2568,TOR-LIG-HEA-GD-G010,SET,Googda LED Head Light Rechargable,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2569,X-FAN-TAB-KHI-TF12A06,SET,Butterfly 9 Table Fan (black),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2570,ACE-HAM-ANC-1/4X1 1/4,PCK,Ace Hammer Drive Anchor 630 1/4 X1 1/4 (10PCS/PCK) (PCK),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2571,BOX-POS-KH2078,PCS,PVC Post Box/letter Box (KH2078),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2572,CLI-HOS-16-25,PCS,PVC Wing Hose Clip 16-25,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2573,COC-BAS-SSS-LSS101,PCS,Leon Sus 304 S/steel Basin TAP-LSS101,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2575,DOR-HAN-CF350-NA-R,PCS,Na-r Cresent Fastener,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2577,HOS-6MTR-6396-736,PCS,"High Pressure Hose 13, MTR",,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2578,HOS-CON-SET-40200023,SET,Ecogreen- Hose Basic Set / 1/2,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2579,HOS-SPA-SAT-ST300,CARD,Saturn Heavy Duty Spare Cartridge,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2580,IND-CAS-100MM,PCS,4 DL5 Tpr M/duty 2 Bearing Fixed Caster,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2581,PAI-SPR-PMT-1007,CAN,Paint Master Spray Paint - No. 1007 Matt White,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2583,SHH-FISH-NET-0.15D-30MM-30MD/6A,PCS,30MM (180/5),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2584,TOO-NIE-ALL-KEY-06MM,PCS,Nietz E/long Ball Point Satin Wrch 53252060 6MM,,pending,https://nietz.com.my/product-catalogue/,,found_page_no_exact_image,https://nietz.com.my/product-catalogue/,,
A,manus_shard_2559_2608_pending,2585,TOO-PLI-LOC-GT175,PCS,Glotool Locking Plier 7,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2586,TRO-SHO-CNSC5001,SET,Shopping Trolley (LC-303E) (DC-675),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2587,WEL-ELE-J38.12-2.5MM,PCK,Welding Electrode X 2.5MM (PCK),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2588,ADH-TAP-WIR-SINO-48X10,ROLL,Sino PVC Tape (big) Black,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2590,"DOR-PVC-OAK-72""X30""",PCS,"72""X30 PVC Door""oak""hinges Yes""/bolt""no",,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2591,IND-DUS-CLEAN-120L,PCS,Cleanguard Wheeled Bin,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2592,IND-FOIL-SML-BUBLE-ELISE,ROLL,Elise Small Bubblem Foil,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2593,LOC-VIVOZ-V50MM,PCS,Vivoz Chrome Pad V-6000 LOCK-50MM,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2594,MF-PO-30-SOL-FAN,PCS,Solar Fan MF-PO-30,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2595,TOO-COM-W0287D-11MM,PCS,Com Ratchet Wrench 11MM,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2596,"TOO-HOL-MAG-VESIC-4""",PCS,4 Bossman Magnetic Weld Holder (50-LBS),,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2597,CAR-WAX-MTS1,BTL,MTS1 Super Top Shine - 500ML,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2599,GAR-HOE-CRO-2.0LB,PCS,2LB Chillington Crocodile Hoe,,pending,,,searched_not_found,,,
A,manus_shard_2559_2608_pending,2600,GAR-SPR-P17-PI808,PCS,PI7 Garden Sprayer - Pi 808,,pending,,,searched_not_found,,,
