"source_position","item_code","uom","page_status","page_final","page_len","img_status","img_ct","img_len","errs"
"147","BOS-2608-619-701","PCS","200","https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/","375707","404","text/html","0",""
"269","BOS-2608-600-017","PCS","200","https://www.bosch-pt.com.my/my/en/pro-metal-bonded-grinding-disc-for-small-angle-grinders-bore-16-mm-osa-3090859-ocs-ac/","450323","200","image/png","0",""
"134","ELE-D/L-MEG-YTA60Z1-10W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","134378","200","image/jpeg","0",""
"138","ELE-D/L-MEG-YTP38B1-10W","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"185","ELE-D/L-MEG-YTA60Z1-10W-4000K","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"154","ELE-D/L-MEG-YTP38B1-10W-4000K","PCS","200","https://megaman.com.my/product/led-stick/","140100","200","image/jpeg","0",""
"153","ELE-D/L-MEG-YTA70Z1-15W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"178","ELE-D/L-MEG-YTP38B1-10W-3000K","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"197","ELE-D/L-MEG-YTA65Z2-12W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"237","ELE-D/L-MEG-YTG45Z1-5W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","134378","200","image/jpeg","0",""
"168","ELE-D/L-MEG-YTP45Z1-15W-4000K","PCS","200","https://megaman.com.my/product/led-stick/","140100","200","image/jpeg","0",""
"252","BOS-0600-8A7-FLO","UNIT","200","https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0","219113","200","image/png","0",""
"174","ELE-D/L-MEG-YTP45Z1-15W-3000K","PCS","200","https://megaman.com.my/product/led-stick/","140100","200","image/jpeg","0",""
"186","ELE-D/L-MEG-YTA70Z1-15W-4000K","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"221","PAI-SPR-SAM-2K01","PCS","200","https://samuraipaint.com/products/2k01-top-coat-clear","1178563","200","image/jpeg","0",""
"251","FAN-CEI-DEKA-CX156BK12","UNIT","200","https://deka.my/x-one-56/","215245","200","image/png","0",""
"54","STA-DRI-SCH10D2K","UNIT","200","https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/","432511","200","image/jpeg","0",""
"201","ELE-D/L-MEG-YTA70Z1-15W-3000K","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","134378","200","image/jpeg","0",""
"5","JOV-WAT-HEA-SA20E","PCS","200","https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html","151730","200","image/jpeg","0",""
"227","ELE-D/L-MEG-YTP38Z1-10W","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"232","ELE-D/L-MEG-YTP38Z1-10W-4000K","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"7","JOV-WAT-HEA-SA8E","PCS","200","https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html","151730","200","image/jpeg","0",""
"165","BOS-2608-522-405","PCS","200","https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/","501600","404","text/html","0",""
"195","BOS-2608-522-406","PCS","200","https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/","501600","404","text/html","0",""
"11","JOV-WAT-HEA-SL30E-WHI-RS","PCS","200","https://www.joven-electric.com/my/sl30e-rs-instant-water-heater-5100601.html","181040","200","image/jpeg","0",""
"155","FAN-CEI-DEKA-CF5DC56MB","UNIT","200","https://deka.my/f5-dc-pro/","221426","200","image/jpeg","0",""
"53","STA-GRI-SG6100","UNIT","200","https://my.stanleytools.global/product/sg6100-xd/620w-100mm-slim-small-angle-grinder","150302","200","image/jpeg","0",""
"247","HOS-FLE-GLO-60""","PCS","200","https://www.sonichardware.com.my/categories-listing/product/2116-glotool-flexible-tube-stainless-steel-f1-2-x-f1-2","233862","200","image/jpeg","0",""
"2","JOV-WAT-HEA-SL30IP-BLK","PCS","200","https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html","183061","200","image/jpeg","0",""
"265","BOS-0601-6A0-0L0","UNIT","200","https://www.bosch-pt.com.my/my/en/products/gkf-550-06016A00L0","339244","200","image/png","0",""
"276","DC-DCSM03-100EK","SET","200","https://www.dongchengtool.com/product/detail/1642205372810","297211","200","image/jpeg","0",""
"1","JOV-WAT-HEA-SL30IP-BLK-RS","PCS","200","https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html","181664","200","image/jpeg","0",""
"120","BOS-0601-227-1L2","UNIT","200","https://www.bosch-pt.com.my/my/en/products/gsb-13-re-06012271L2","334525","404","text/html","0",""
"182","STA-DRI-SCD10D2K","UNIT","200","https://theleedenstore.com.my/product/stanley-scd10d2k-b1-12v-brushed-cordless-drill-driver-with-2-0ah-battery-1-5a-charger/","432949","200","image/jpeg","0",""
"24","SHO-SOR-SRTSA830","PCS","200","https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa830-detail","96249","200","application/pdf","0",""
"196","BOS-2608-522-407","PCS","200","https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/","501600","404","text/html","0",""
"262","BOS-0600-8A7-AL0","UNIT","200","https://www.bosch-diy.com/my/en/p/universalaquatak-125-06008a7al0","234876","200","image/png","0",""
"18","JOV-WAT-HEA-SB11IP-BLK-RS","PCS","200","https://www.joven-electric.com/my/sb11ip-rs-4-2kw-instant-water-heater-5111102.html","193152","200","image/jpeg","0",""
"28","TOI-TRP-WC2300-S","SET","","","0","","","0","PAGE:An error occurred while sending the request. IMG:An error occurred while sending the request."
"272","SIN-CKS7406","PCS","200","https://cabana.com.my/index.php/products/kitchen/kitchen-sink/undermount-kitchen-sink/cks7406-detail","71395","200","image/jpeg","0",""
"147","BOS-2608-619-701","PCS","200","https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/","375707","404","text/html","0",""
"269","BOS-2608-600-017","PCS","200","https://www.bosch-pt.com.my/my/en/pro-metal-bonded-grinding-disc-for-small-angle-grinders-bore-16-mm-osa-3090859-ocs-ac/","450323","200","image/png","0",""
"134","ELE-D/L-MEG-YTA60Z1-10W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","134378","200","image/jpeg","0",""
"138","ELE-D/L-MEG-YTP38B1-10W","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"185","ELE-D/L-MEG-YTA60Z1-10W-4000K","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"154","ELE-D/L-MEG-YTP38B1-10W-4000K","PCS","200","https://megaman.com.my/product/led-stick/","140100","200","image/jpeg","0",""
"153","ELE-D/L-MEG-YTA70Z1-15W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"178","ELE-D/L-MEG-YTP38B1-10W-3000K","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"197","ELE-D/L-MEG-YTA65Z2-12W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"237","ELE-D/L-MEG-YTG45Z1-5W","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","134378","200","image/jpeg","0",""
"168","ELE-D/L-MEG-YTP45Z1-15W-4000K","PCS","200","https://megaman.com.my/product/led-stick/","140100","200","image/jpeg","0",""
"252","BOS-0600-8A7-FLO","UNIT","200","https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0","219113","200","image/png","0",""
"174","ELE-D/L-MEG-YTP45Z1-15W-3000K","PCS","200","https://megaman.com.my/product/led-stick/","140100","200","image/jpeg","0",""
"186","ELE-D/L-MEG-YTA70Z1-15W-4000K","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","135253","200","image/jpeg","0",""
"221","PAI-SPR-SAM-2K01","PCS","200","https://samuraipaint.com/products/2k01-top-coat-clear","1178563","200","image/jpeg","0",""
"251","FAN-CEI-DEKA-CX156BK12","UNIT","200","https://deka.my/x-one-56/","215245","200","image/png","0",""
"54","STA-DRI-SCH10D2K","UNIT","200","https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/","432511","200","image/jpeg","0",""
"201","ELE-D/L-MEG-YTA70Z1-15W-3000K","PCS","200","https://megaman.com.my/product/led-g-a-bulb/","134378","200","image/jpeg","0",""
"5","JOV-WAT-HEA-SA20E","PCS","200","https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html","151730","200","image/jpeg","0",""
"227","ELE-D/L-MEG-YTP38Z1-10W","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"232","ELE-D/L-MEG-YTP38Z1-10W-4000K","PCS","200","https://megaman.com.my/product/led-stick/","139225","200","image/jpeg","0",""
"7","JOV-WAT-HEA-SA8E","PCS","200","https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html","151730","200","image/jpeg","0",""
"165","BOS-2608-522-405","PCS","200","https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/","501600","404","text/html","0",""
"195","BOS-2608-522-406","PCS","200","https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/","501600","404","text/html","0",""
"11","JOV-WAT-HEA-SL30E-WHI-RS","PCS","200","https://www.joven-electric.com/my/sl30e-rs-instant-water-heater-5100601.html","181040","200","image/jpeg","0",""
"155","FAN-CEI-DEKA-CF5DC56MB","UNIT","200","https://deka.my/f5-dc-pro/","221426","200","image/jpeg","0",""
"53","STA-GRI-SG6100","UNIT","200","https://my.stanleytools.global/product/sg6100-xd/620w-100mm-slim-small-angle-grinder","150302","200","image/jpeg","0",""
