source_position,item_code,uom,display_name,detected_brand,detected_model
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,Megaman,A60
138,ELE-D/L-MEG-YTP38B1-10W,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,Megaman,YTP38B1
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,Megaman,A70
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,Megaman,E27
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,Megaman,E27
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,Megaman,YTP38B1
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Megaman,A60
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Megaman,A70
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,Megaman A65 E27 LED Bulb,Megaman,A65
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Megaman,A70
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/6500K,Megaman,E27
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Megaman,E27
3872,"PIP-UPVC-5255-1.1/2""",MTR,"1 1/2""(40MM) X 6M Upvc Pipe",,BS5255
5009,"PIP-UPVC-5255-1.1/4""",MTR,"1 1/4""(32MM) X 6M Upvc Pipe",,BS5255
4976,"FAS-RIV-PAT-1/8""X3/8""-PCK",PCK,Blind Rivet: Jaguar 1/8 X 3/8 (20PCS/PCK),,20PCS/PCK
6227,FAS-RIV-PAT-3/16X1/2-PCK,PCK,Blind Rivet: Jaguar 3/16 X 1/2 (20PCS/PCK),,20PCS/PCK
3623,CUT-DIS-MARK-12300-P024,PCS,Mr. Mark P24 Master Fibre Disc - Blk,,P24
4225,CUT-DIS-MARK-12300-P120,PCS,Mr. Mark P120 Master Fibre Disc - Blk,,P120
131,STA-GRI-SCG400-SET,UNIT,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Stanley,SC200
3756,ELE-D/L-MGM-MQTL2048-6500K,PCS,Mgm 2 1/2 7W Eye Ball Dl,,MQTL2048
3593,HHD-FLU-M0676-L110W-50MM,PCS,L110-W'TECHPLAS Flapper Outlet Valve,,L110-W
