source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
7,JOV-WAT-HEA-SA8E,PCS,https://www.joven-electric.com/my/sa8e-instant-water-heater-511801001.html,https://www.joven-electric.com/media/catalog/product/5/1/511801001-1.jpg,candidate,A,yes,yes,PCS single heater unit matches retail unit,official,"tier2 normalisation: item tail WATHEASA8E/HEASA8E vs OEM code SA8E on joven-electric.com/my (OEM own domain); websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | q:joven site-search catalogsearch/?q=SA8E p:https://www.joven-electric.com/my/sa8e-instant-water-heater-511801001.html status200 title SA8E Instant Water Heater, SKU 511801001 in fbq content_ids | p:media/catalog/product/5/1/511801001-1.jpg fetched THIS session 1000x1000 85254B image/jpeg sha82d8f9917c7646 (cached variant only 265px so raw path used) | second angle 511801001-2.jpg 1000x1000 383978B noted unused | display has no colour claim so finish n/a-proven; pixels VIEWED single white JOVEN slim heater + shower set pack | rights: asset self-hosted on OEM domain",
94,JOV-WAT-FIL-JP200,PCS,https://www.joven-electric.com/my/jp200-water-purifier.html,https://www.joven-electric.com/media/wysiwyg/product/JP/JP200_filtered.png,candidate,pending,,no,PCS single purifier unit,unknown,tier2 red-variant asset hunt on OEM domain; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | q:joven site pages JP200 p:https://www.joven-electric.com/my/jp200-water-purifier.html status200 title JP200 Water Purifier Efficient Home Filtration | p:media/wysiwyg/product/JP/JP200_filtered.png fetched 575x434 372205B image/png sha c131714f4eef1c - pixel check pending (r1 proved main gallery 5111304001-2.jpg is WHITE unit -> COLOUR SWAP TRAP; this _filtered png is only untested OEM-hosted JP200-specific render),confirm pixels of JP200_filtered.png; if white keep colour-swap rejection
19,RUB-TAE11-M330,UNIT,https://www.rubine.com.my/product/RCH-NOVARA-90SS,https://www.rubine.com.my/files/product_img/IM01791.jpg,candidate,A,yes,yes,UNIT single cooker hood,official,tier2 reverify of r1/r2 lead on OEM own domain; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | q:rubine.com.my sitemap.xml scanned (categories only) p:https://www.rubine.com.my/product/RCH-NOVARA-90SS status200 <title>RCH-NOVARA-90SS | Kitchen Appliances & Bathroom Accessories Brand Supplier In Malaysia</title> literal model | p:files/product_img/IM01791.jpg first product_img of page fetched THIS session 800x800 53816B image/jpeg sha703fac2c3144a2; pixels VIEWED stainless NOVARA hood | internal tokens TAE11/M330 are Ekoway POS codes never printed by Rubine; gate passes via dm variant RCHNOVARA90SS in title | finish: no colour word in display; -SS stainless proven by pixels | rights: OEM self-hosted,
22,OVEN-RUB-TAE13-M266,UNIT,https://www.rubine.com.my/product/RBO-IA8X-70SS,https://www.rubine.com.my/files/product_img/IM01811.jpg,candidate,A,yes,yes,UNIT single built-in oven,official,tier2 reverify; js_gallery concern resolved - static HTML carries files/product_img refs; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | p:https://www.rubine.com.my/product/RBO-IA8X-70SS status200 <title>RBO-IA8X-70SS | ...Brand Supplier In Malaysia</title> | p:files/product_img/IM01811.jpg FIRST product_img of THIS page fetched THIS session 800x800 74344B image/jpeg sha f0c003ade84602 (later IMs are related-product rail shared with microwave page - avoided) | pixels VIEWED oven shot | dm variant RBOIA8X70SS in title proves model; TAE13/M266 internal POS codes | rights: OEM self-hosted,
43,GAS-STO-RUB-TAE10-M523,UNIT,https://www.rubine.com.my/product/RGH-LOTOFLEXI2B-BLFX,https://www.rubine.com.my/files/product_img/IM01801.jpg,candidate,A,yes,yes,UNIT single 2-burner gas hob,official,tier2 reverify on OEM own domain; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | p:https://www.rubine.com.my/product/RGH-LOTOFLEXI2B-BLFX status200 <title>RGH-LOTOFLEXI2B-BLFX | ...</title> literal model | p:files/product_img/IM01801.jpg fetched THIS session 800x800 51672B image/jpeg sha e89daff3e40ca4 | dm variant RGHLOTOFLEXI2BBLFX in title; finish -BLFX black glass proven by pixels | rights: OEM self-hosted,
67,GAS-STO-RUB-TAE10-E102,UNIT,https://www.rubine.com.my/product/RCE-VULCAN40-BL,https://www.rubine.com.my/files/product_img/IM02133.jpg,candidate,A,yes,yes,UNIT single ceramic hob; item category GAS-STO misfiled - OEM page proves electric ceramic hob matching display_name Ceramic Hob,official,tier2 reverify; category contradiction documented not blocking since display_name itself says Ceramic Hob; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | p:https://www.rubine.com.my/product/RCE-VULCAN40-BL status200 <title>RCE-VULCAN40-BL | ...</title> literal model | p:files/product_img/IM02133.jpg fetched THIS session 800x800 65419B image/jpeg sha d64f2a9461a4ea; pixels VIEWED black-glass hob VULCAN printed | E102 internal POS token absent as expected | rights: OEM self-hosted,
80,RUB-TAE10-M371,UNIT,https://www.rubine.com.my/product/RGH-FIGATA2B-BL,https://www.rubine.com.my/files/product_img/IM01807.jpg,candidate,A,yes,yes,UNIT single 2-burner gas hob,official,tier2 reverify on OEM own domain; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | p:https://www.rubine.com.my/product/RGH-FIGATA2B-BL status200 <title>RGH-FIGATA2B-BL | ...</title> literal model | p:files/product_img/IM01807.jpg fetched THIS session 800x800 58396B image/jpeg sha 2b2fd2f0e4e2cd; pixels VIEWED FIGATA printed on black glass | M371 internal POS token | rights: OEM self-hosted,
86,OVEN-RUB-TAE13-M503,UNIT,https://www.rubine.com.my/product/RMO-OREO-28BL,https://www.rubine.com.my/files/product_img/IM01815.jpg,candidate,A,yes,yes,UNIT single built-in microwave,official,tier2 reverify; js_gallery resolved as sibling 22; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | p:https://www.rubine.com.my/product/RMO-OREO-28BL status200 <title>RMO-OREO-28BL | ...</title> literal model | p:files/product_img/IM01815.jpg FIRST product_img of THIS page fetched THIS session 800x800 45195B image/jpeg sha 604bde590efa26 | dm variant RMOOREO28BL in title; finish -BL black proven by pixels | rights: OEM self-hosted,
2306,TAP-CAB-CB65SS-BL,PCS,https://cabana.com.my/index.php/products/bathroom/basin-cold-tap/cb65ss-bl-detail,https://cabana.com.my/images/virtuemart/product/CB65SS-BL.jpg,candidate,A,yes,yes,PCS single basin cold tap,official,tier2 carry-forward lead byte-verified this round; websearch provider HTTP429 all session; alt engines bot-walled per SATURATION.md; research via direct OEM-domain probes + own-sitemap crawls | p:https://cabana.com.my/index.php/products/bathroom/basin-cold-tap/cb65ss-bl-detail status200 <title>Basin Tap: CB65SS-BL</title> heading CB65SS-BL Basin Cold Tap Matt Black matching BL suffix | p:images/virtuemart/product/CB65SS-BL.jpg fetched THIS session 800x800 48648B image/jpeg sha a19474837e46f2 | gate passes via item span CB65SSBL present in page | brand CAB = Cabana OEM own domain; finish matt black proven by pixels | rights: OEM self-hosted,
27,TAP-SAN-SWP-SS-304-3940-RG,PCS,https://saniware.com/product/kitchen-pillar-sink-tap-swp-ss-304-3940-rg/,https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3940-RG-1.jpg,pending,A,yes,yes,PCS single pillar sink tap,official,tier3 escalation of r4 harvest lead: exact-slug PDP located via saniware.com own product-sitemap (802 urls scanned this session); websearch HTTP429 all session (alt engines bot-walled); probes done direct | p:https://saniware.com/product/kitchen-pillar-sink-tap-swp-ss-304-3940-rg/ status200 <title>Kitchen Pillar Sink Tap SWP-SS-304-3940-RG - Saniware</title> literal code+RG suffix | p:wp-content/uploads/2025/05/SWP-SS-304-3940-RG-1.jpg dedicated og asset | gate passes via span SWPSS3043940RG in title; rose-gold finish per suffix + pixels | rights: OEM self-hosted saniware.com,
