source_position,item_code,uom,display_name,category,detected_brand,detected_model
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Lighting,Megaman,A60
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Lighting,Megaman,YTP38B1
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Lighting,Megaman,A70
251,FAN-CEI-DEKA-CX156BK12,UNIT,Deka Ceiling Fan X-one 56 Blk,Fans & Ventilation,Deka,
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Lighting,Megaman,A70
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Lighting,Megaman,E27
7,JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,Joven,SA8E
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Fans & Ventilation,Deka,
247,"HOS-FLE-GLO-60""",PCS,Glotool Flexible Tube F1/2 X F12 X 60,Outdoor & Garden,Glotool,F1/2
24,SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,Sorento,SRTSA830
196,BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Power Tools,Bosch,PH2
94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Home Appliances,Joven,JP200
34,SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,Sorento,SRTKS2429-BL
55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,Saniware,WC-2110A-S250MM
56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,Saniware,WC-2122A-S250MM
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,Deka,F66
25,SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,Sorento,SRTSA860-GM
240,TAP-SAN-SWS-304-3964,PCS,Saniware Sliver Kitchen W Sink Tap,Kitchen & Sinks,Saniware,SWS-304-3964
266,STA-HIGH-PRE-WAS-K2,UNIT,Karcher K2 Power Vps High Pressure Washer,Power Tools,Stanley,
131,STA-GRI-SCG400-SET,UNIT,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Power Tools,Stanley,SC200
64,FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,Rubine,RCF-MOZIA56-5BL-BT
76,FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,Rubine,RCF-MOZIA56-5B-BT
22,OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,Rubine,RBO-IA8X-70SS
267,STA-PRE-WAS-K3-DEL,UNIT,Karcher Pressure Washer K3 Deluxe Premium,Power Tools,Stanley,
268,X-STA-PRE-WAS-K4,UNIT,Karcher K4 Basic High Pressure Cleaner,Power Tools,Karcher,
57,TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,Sorento,SRTWC286-SH-S
52,SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,Sorento,SRTWT2634-RG
250,CHA-SAW-STIHL-MS230,UNIT,Stihl Chainsaw 18 Stihl Chain & Guide BAR,"Rope, Chain & Netting",STIHL,MS230
73,SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,Sorento,S/S304
96,SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Bathroom,Sorento,2WAYS
213,STI-BRU-CUT-FR3001,UNIT,Stihl Brush Cutter,Outdoor & Garden,STIHL,FR3001
122,SHO-SOR-SRTWT9600HP,PCS,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Bathroom,Sorento,2WAYS
27,TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Kitchen & Sinks,Saniware,SWP-SS-304-3940-RG
62,SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Bathroom,Sorento,SRTSH22614-BL
72,SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Bathroom,Sorento,SRTSH2623-BL
85,KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Home Appliances,Khind,KHIND-HD1800
19,RUB-TAE11-M330,UNIT,Rubine C/hood,Home Appliances,Rubine,RCH-NOVARA-90SS
43,GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Kitchen & Sinks,Rubine,RGH-LOTOFLEXI2B-BLFX
67,GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Kitchen & Sinks,Rubine,RCE-VULCAN40-BL
86,OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,Rubine,RMO-OREO-28BL
60,SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,Sorento,3-WAYS
80,RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,Rubine,RGH-FIGATA2B-BL
38,IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),Home Appliances,Khind,KHIND-RC565
91,TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Bathroom,Saniware,SWP-SS-304-3213-G
291,BAT-ENE-MAX-AAA4PCS,PCK,En Max Aaa 4 Pc,Electrical,,
290,BAT-ENE-MAX-AA4PCS,PCK,En Max Aa 4 Pc,Electrical,,
300,"DRA-COV-TEC-GRE-9""X17""",PCS,Techplas 9 X 17 Drain Cover - Grey,Plumbing,,
627,FAN-CEI-DEKA-CX146BK12,UNIT,Deka Ceiling Fan X-one 46 Black,Fans & Ventilation,Deka,
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,Deka Ceiling Fan Koni 54 Magnesium,Fans & Ventilation,Deka,
826,BOS-0601-6B3-0L1,UNIT,Gks 140 Circular Saw,Power Tools,Bosch,
640,FAN-CEI-DEKA-CCM34MG12,UNIT,Deka Ceiling Fan Concept Mini Magnesium,Fans & Ventilation,Deka,
991,BOS-0601-9H2-281,UNIT,Bosch Go 3 Cordless Screwdriver,Power Tools,Bosch,
621,FAN-PSN-F-M14DZVBKH,PCS,Panasonic Bayu 5 Black,Fans & Ventilation,Panasonic,
950,BOS-0601-3A0-0L0,UNIT,Gdc 140 Marble Cutter,Power Tools,Bosch,
772,FAN-CEI-DEKA-CDKN54OAK12,UNIT,Deka Ceiling Fan Koni 54 Oak,Fans & Ventilation,Deka,
3630,GROUT-SEAL-703,CAN,Sikagard 703 Groutseal - 1LTR,Other,,1LTR
2515,LAD-H/D-STRO-DS07,UNIT,Strongman D/s H/d Ladder DSHD07 7STEP,Ladders & Access,,DSHD07
1453,ALP-WAT-HEA-X5E,UNIT,Alpha Instant Water Heater X5-E,Home Appliances,,X5-E
1226,TAP-SAN-SWS-304-3978,PCS,Saniware Sliver Two Way Tap,Plumbing,Saniware,SWS-304-3978
2306,TAP-CAB-CB65SS-BL,PCS,Cab Basin Cold Tap-matt Blk,Bathroom,,S/S304
1935,DCPB488EK,SET,Cordless Brushless Impact Wrench 20V (4.0AH X2/4A),Power Tools,,X2/4A
1017,STA-PRE-WAS-K3,UNIT,Karcher K3 Hr Plus Pressure Washer,Power Tools,Stanley,
1347,ALP-WAT-HEA-IM-9EP-BLK,UNIT,Alpha Instant Water Plus Rainshower-blk,Home Appliances,,HEATER-IM-9EP
2865,LAD-H/D-STRO-DS08,UNIT,Strongman D/s H/d Ladder DSHD08 8STEP,Ladders & Access,,DSHD08
2533,NUM-PUNC-50730080,SET,Nietz 0-9 Number Punches 8MM 50730080,Signage & Numbering,Nietz,
271,AGR-NET-SUN-GLO-70%,MTR,Glotool Sun Shade Netting (70%),"Rope, Chain & Netting",Glotool,
