source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
6141,HOL-POR-E27,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""E27 porcelain lamp holder wire Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:n/a-commodity-no-brand(confirmatory-probe-blocked) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4431,SHH-SINKER-HOLE-NO.4,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""pemberat pancing no 4 Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:n/a-commodity-no-brand(confirmatory-probe-blocked) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3884,BNW-BOL-SS304-M12-30MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""stainless steel bolt A2 304 M12 Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:n/a-commodity-no-brand(confirmatory-probe-blocked) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3624,DOR-KNO-CLEAR,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""pemegang almari PVC handle Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:n/a-commodity-no-brand(confirmatory-probe-blocked) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2643,X-ELE-BUL-D/L-HOME-25W,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""Hermanns ENS spiral 25W lamp Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:bing_blocked; house-brand lamp family (Hermanns/HMS); websearch 429 x6 over ~12min; bing-html+rss fallback junk x3 (query terms ignored); ddg-html captcha; mojeek captcha ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3272,PLA-BAG-RUB-30X40,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""black PE plastic bag 30x40 packaging Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:n/a-commodity-no-brand(confirmatory-probe-blocked) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2925,"PAI-ROL-FRA-7""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""SMR F380 paint roller frame 7 inch Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:bing_blocked; roller-frame code F380 unresolved; websearch 429 x6 over ~12min; bing-html+rss fallback junk x3 (query terms ignored); ddg-html captcha; mojeek captcha ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3825,SHH-FROG-STFM-55MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""huizhu huangxin frog lure spinner 10898H""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:bing_blocked; CN OEM fishing-lure tokens only; websearch 429 x6 over ~12min; bing-html+rss fallback junk x3 (query terms ignored); ddg-html captcha; mojeek captcha ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5068,"FIT-HDPE-TEE-MAL-25MMX1/2""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""HDPE tee male 25mm x 1/2 Malaysia""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:n/a-commodity-no-brand(confirmatory-probe-blocked) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3781,ELE-D/L-HOME-HGD604-18W-6500K,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""HMS downlight HGD604 18W 6500K""(engines-blocked-this-session) ; tier1:no-oem-found ; t3:bing_blocked; house-brand downlight (Hermanns/HMS family); websearch 429 x6 over ~12min; bing-html+rss fallback junk x3 (query terms ignored); ddg-html captcha; mojeek captcha ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
