source_position,item_code,uom,display_name,category,detected_brand,detected_model
296,NAI-COM-65MM-20KG,PCK,2 1/2 Wire Nail,Fasteners & Fixings,,
4189,"BRA-STEEL-L-1""X1""",PCS,"Steel L Bracket 1""X1 (BC185K)",Plumbing,,BC185K
3297,SHH-BELL-SINGL-PSC115,PCS,Single Fishing Bell PSC115,Fishing & Tackle,,PSC115
2945,ABR-PAP-621-527,SHT,G60 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G60
3003,ABR-PAP-621-533,SHT,G220 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G220
3002,ABR-PAP-621-532,SHT,G180 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G180
3027,ABR-PAP-621-536,PCS,G400 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G400
3084,ABR-PAP-621-537,SHT,G500 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G500
3085,ABR-PAP-621-538,SHT,G600 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G600
3152,ABR-PAP-621-528,SHT,G80 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G80
3197,ABR-PAP-621-540,SHT,Ewd Hand Sanding Sheet G1000,Abrasives & Cutting,,G1000
3238,ABR-PAP-621-530,SHT,G120 Ewd Hand Sanding Sheet,Abrasives & Cutting,,G120
2856,CLI-HOS-13-23,PCS,PVC Wing Hose Clip 13-23,Outdoor & Garden,,WH300
2629,ELE-CAB-PVC-4.00MM-BLK-MTR,MTR,Ktk PVC Cable Black 100M -mtr,Electrical,,4.0MM2
6012,"BNW-WAS-1/4""",PKT,1/4 Iron Washer (20PCS/PCK),Fasteners & Fixings,,20PCS/PCK
4856,BNW-NUT-SS304-M12,PCS,SS 304 Nut - M12,Fasteners & Fixings,,M12
5197,FAS-PLU-PVC-GREY-SW260,PCK,Grey PVC Wall Plug,Fasteners & Fixings,,SW-260
3311,"CLI-HOS-GP-3/4""",PCS,Gp S/steel Hose CLIP-3/4 (13-19MM),Outdoor & Garden,,CLIP-3/4
6319,X-SWI-LWD-1WAY-2GANG,PCS,Niko S - 1G1W Switch White,Electrical,,1G1W
4864,FIT-PVC-TEE-20MMX15MM,PCS,PVC Fitting Tee Reducing 3/4 X1/2,Plumbing,,X1/2
2962,CLI-HOS-13-19,PCS,PVC Wing Hose Clip 13-19,Outdoor & Garden,,WH300
4668,SOC-PVC-BOX-6MM,PCS,PVC 2WAY Box 3/4,Other,,2WAY
3398,"CLI-HOS-GP-7/8""",PCS,Gp S/steel Hose Clip - 7/8 (13-23MM),Outdoor & Garden,,13-23MM
3069,"CLI-HOS-GP-1.1/2""",PCS,Gp S/steel Hose Clip- 1.1/2 (21-38MM),Outdoor & Garden,,21-38MM
3221,DOR-STO-25X25MM,PCS,Red Rubber Door Stopper,Doors & Hardware,,25X25MM
