source_position,item_code,uom,display_name,category,detected_brand,detected_model
6141,HOL-POR-E27,PCS,E27 Porcelin Holder Wire,Electrical,,E27
4431,SHH-SINKER-HOLE-NO.4,PCK,Hole Sinker No. 4 (3PCS/PCK),Fishing & Tackle,,3PCS/PCK
3884,BNW-BOL-SS304-M12-30MM,PCS,SS 304 Bolt - M12 X 30MM,Fasteners & Fixings,,M12
3624,DOR-KNO-CLEAR,PCK,Local PVC Cabinet Handle (2PCS/PCK),Doors & Hardware,,2PCS/PCK
2643,X-ELE-BUL-D/L-HOME-25W,PCS,Hermanns Ens Spiral 25W,Power Tools,,6500K
3272,PLA-BAG-RUB-30X40,PCK,30 X 40 X PE (B1KG),Packaging,,B1KG
2925,"PAI-ROL-FRA-7""",PCS,Smr F380 Paint Roller Frame 7,Paint & Sundries,,F380
3825,SHH-FROG-STFM-55MM,PCS,Huangxin/huizhu Frog W/spiner 3.0CM,Fishing & Tackle,,10898H
5068,"FIT-HDPE-TEE-MAL-25MMX1/2""",PCS,HDPE Tee Male 25MMX1/2,Plumbing,,25MMX1/2
3781,ELE-D/L-HOME-HGD604-18W-6500K,PCS,Hms Downlite Hgd 604/18W 6500K,Electrical,,604/18W
3998,ELE-D/L-HSP-301-18W-6500K,PCS,Hms Downlite Hsp 301-18W 6500K,Electrical,,301-18W
3849,SHH-SINKER-NO.4,PCK,Single Head Sinker No. 4 (2PCS/PCK),Fishing & Tackle,,2PCS/PCK
4119,SHH-LINE-WHI-NO.120,PKT,(sf) Round White M. L. No. 120,Fishing & Tackle,,NO.120
4427,SHH-LINE-WHI-NO.10,PCS,(bs)long White M. L No. 10,Fishing & Tackle,,NO.10
4204,PAI-BRU-RAD-2642R,PCS,"2""X642R Radiator Paint Brush",Automotive,,X642R
4428,SHH-LINE-WHI-NO.40,PCS,(bs)long White M. L No. 40,Fishing & Tackle,,NO.40
1100,AGR-NET-SUN-GLO-50%,MTR,Glotool Sun Shade Netting (50%),"Rope, Chain & Netting",Glotool,
4187,BNW-BOL-SS304-M10-45MM,PCS,SS 304 Bolt - M10 X 45MM,Fasteners & Fixings,,M10
6815,SOC-BOX-2G13A,PCS,13A Switch Soket 2GANG Box,Electrical,,2GANG
5152,TOO-DRV-MAG-M1065,PCS,Spandek Screw Adaptor M10X65MM,Fasteners & Fixings,,M10X65MM
3028,DOR-LOC-CAM-30MMX90,PCS,Degree Excel Camlock,Doors & Hardware,,30MMX90
4484,SHH-LINE-WHI-NO.100,PCS,(bs)long White M. L No. 100,Fishing & Tackle,,NO.100
4485,SHH-LINE-WHI-NO.70,PCS,(bs)long White M. L No. 70,Fishing & Tackle,,NO.70
4278,BNW-B&N-RBN-212,PCK,Sr G. I Boit & Nut 1/4 X 1 1/4 (5PCS/PCK),Fasteners & Fixings,,5PCS/PCK
6449,"NAI-CON-GAL-3""-PCK",PCK,3 Galvanised Steel Nail (10PCS/PCK),Fasteners & Fixings,,10PCS/PCK
6441,FIT-PVC-ELB-45DEG40MM,PCS,PVC Fitting Elbow 40MM (4.5') 1.1/2,Plumbing,,45-DEG
3466,"AER-S/S-DIA-2""-2WAY-FN910D",PCS,Double Divider Valve 6MM V/p,Plumbing,,FN910D
4613,NAI-ROO-SUP-T65MM,PKG,E. G Roofing Nail - Twist 65MM 1KGS,Fasteners & Fixings,,1KGS
3538,HOS-GAR-GRE-160330-MTR,MTR,Br 83030 PVC Green Garden Hose 16X3.0MM,Outdoor & Garden,,16X3.0MM
4094,SPO-SCO-QB-3M-5PCS,PCS,Atlas 27NM 6 X 9 Handpad-maroon,Other,,27NM
4589,SHH-LINE-WHI-NO.80,PCS,(bs)long White M. L No. 80,Fishing & Tackle,,NO.80
5605,CLI-BAT-CLI-0050AMP,SET,L/duty Battery Clip 50AMP,Electrical,,50AMP
4021,BNW-BOL-SS304-M12-35MM,PCS,SS 304 Bolt - M12 X 35MM,Fasteners & Fixings,,M12
3114,"TOO-CLA-F-BLI-12""",PCS,Blimax Quick Release F CLAMP-12,Hand Tools,,CLAMP-12
4813,TOO-DRV-MAG-TTC8,PCS,Tajima TTC8 Magnetic Nut Driver M8 X 65MM,Fasteners & Fixings,,TTC8
5180,TOO-DRV-2WAY-38MMX6MM,PCS,Blimax 2WAY Screw 1/2,Fasteners & Fixings,,2WAY
5165,"FIT-YG232-ELB-3/8""-BRA",PCS,Brass Equal Elbow 3/8,Plumbing,,YG232
3167,DOR-LOC-CAM-X16MMX90,PCS,Target 9007 CAMLOCK-16MM,Doors & Hardware,,CAMLOCK-16MM
3647,"FIT-YG228R-NIP-REC-3/8""X1/4""-B",PCS,"Brass Reduced Nipple 3/8""X1/4 YG228R",Plumbing,,X1/4
5954,BNW-WAS-SPR-18MM,PCK,Bsw Spring Washer 3/4 (8PCS/PCK),Fasteners & Fixings,,8PCS/PCK
6630,"NAI-CON-GAL-2""-PCK",PCK,2 Galvanised Steel Nail (20PCS/PCK),Fasteners & Fixings,,20PCS/PCK
3620,AER-4MC8,PCS,Aerico 4MC8,Other,,4MC8
4693,SHH-SINKER-HOLE-NO.3,PCK,Hole Sinker No. 3 (5PCS/PCK),Fishing & Tackle,,5PCS/PCK
5906,"FIT-YG225-BUSH-3/8""X1/4""-BRA",PCS,Brass Bushing 3/8 X 1/4,Plumbing,,YG225
4192,"CLI-HOS-GP-3""",PCS,Gp S/steel Hose CLIP-3 (52-76MM),Outdoor & Garden,,CLIP-3
6329,"MET-WAT-WASHER-1/2""",PCK,Water Meter Washer 1/2 (2PCS/PCK),Fasteners & Fixings,,2PCS/PCK
4928,CEI-ROSE-408A-131-CR3,PCS,408A 131 CR3 Ceiling Rose,Building Materials,,CR3
5587,"FAS-SCR-DRY-BLA-6#1-1/2""",PCK,Hunter/bk - Drywall Screw 6 (20PCS/PCK) X1-1/2,Fasteners & Fixings,,20PCS/PCK
2823,RAI-BOO-KRK-Y38#,PAIR,Rainshoes - 38 (5) 7000YLW,Curtains & Blinds,,7000YLW
5460,REC--SQL-1200V,PCS,Rectifier 1200V,Other,,SQL-100A
3213,TOO-HAM-WOOD-BLI-27MM,PCS,Blimax Wood Claw,Hand Tools,,HAMMER-27MM
4407,BLA-SAW-TCT-4X30T,PCS,"Blimax Tct Saw BLADE-4""X30T",Power Tool Accessories,,BLADE-4
4592,SIN-WAS-SSS-A110,PCS,2.1/2 S/s Waste A110,Plumbing,,A110
4705,DRI-SET-WOO,SET,GW5 Wood Drill Bit Set 5PCS,Power Tool Accessories,,GW5
3752,CR-1220/5BE,PCS,CR-1220/5B Lithium 3V,Other,,CR-1220/5B
3848,SHH-HOO-4206-NO.1,PKT,4206 No. 1 Galah Hook (20'S),Fishing & Tackle,,NO.1
3877,TOO-COM-W0305G-10*12MM,PCS,2 Open Wrench (10*12MM),Hand Tools,,10*12MM
3015,HOS-SPA-TAP-C222,PCS,C222 Spare Cartridge (for L Handle),Doors & Hardware,,C222
4162,FLO-MOC-KV910,PCS,"Kv 910 12""X12 Homotile",Flooring,,X12
5785,NAIL-TUFTING-TN-8316-PCK,PCK,Round Plate Tufting Nail (10PCS/PCK) 16MMX8.5MM,Fasteners & Fixings,,10PCS/PCK
