source_position,item_code,uom,pdp_url,image_url,decision,reason
271,AGR-NET-SUN-GLO-70%,MTR,,,pending,harvest: no domain map for brand 'none'
257,TAR-SHT-GT2-O/B-6',MTR,,,pending,harvest: no domain map for brand 'none'
544,GLO-COT-700-ZS70,PAIR,,,pending,harvest: no domain map for brand 'none'
816,GLO-COT-104-WHI,PAIR,,,pending,harvest: no domain map for brand 'none'
562,IND-SCO-SMR-S501TY,PCS,,,pending,harvest: no domain map for brand 'none'
924,GLO-SEM-GT891/RED,PAIR,,,pending,harvest: no domain map for brand 'none'
989,GLO-SEM-GT891/YEL,PAIR,,,pending,harvest: no domain map for brand 'none'
393,GLO-WEL-GT900/BLU,PAIR,,,pending,harvest: no domain map for brand 'none'
394,GLO-WEL-GT900/RED,PAIR,,,pending,harvest: no domain map for brand 'none'
794,GLO-WEL-SUP-500SPG,PAIR,,,pending,harvest: no domain map for brand 'none'
2672,BRU-HAN0HAW-452135,PCS,,,pending,harvest: no domain map for brand 'none'
1100,AGR-NET-SUN-GLO-50%,MTR,,,pending,harvest: no domain map for brand 'none'
3155,ELE-CAB-VDE-BLK,MTR,,,pending,harvest: no domain map for brand 'none'
2881,BOS-1/4-12,PCS,,,pending,harvest: no sitemap slug match (7443 urls scanned)
