source_position,item_code,uom,display_name,detected_brand,detected_model
271,AGR-NET-SUN-GLO-70%,MTR,Glotool Sun Shade Netting (70%),Glotool,
257,TAR-SHT-GT2-O/B-6',MTR,Glotool PE Trap (GT-02) 6'X70YDS,Glotool,GT-02
544,GLO-COT-700-ZS70,PAIR,Cotton Glove ZS70,Glotool,ZS70
816,GLO-COT-104-WHI,PAIR,Cotton Glove B104,Glotool,B104
562,IND-SCO-SMR-S501TY,PCS,Samurai King Steel Shovel S501TY,Samurai,S501TY
924,GLO-SEM-GT891/RED,PAIR,Semi Leather Gloves - 800 Sn/red,Glotool,
989,GLO-SEM-GT891/YEL,PAIR,Semi Leather Gloves - 800 Sn/yellow,Glotool,
393,GLO-WEL-GT900/BLU,PAIR,Welding Glove - 900GT/BLUE,Glotool,900GT/BLUE
394,GLO-WEL-GT900/RED,PAIR,Welding Glove - 900GT/RED,Glotool,900GT/RED
794,GLO-WEL-SUP-500SPG,PAIR,Welding Glove - 500SP/GREEN,Glotool,500SP/GREEN
2672,BRU-HAN0HAW-452135,PCS,Glotool 452135-3008 Steel Wire Brush,Glotool,
1100,AGR-NET-SUN-GLO-50%,MTR,Glotool Sun Shade Netting (50%),Glotool,
3155,ELE-CAB-VDE-BLK,MTR,Taicon 23/0.15 X 2 Core Vde Cable - Black,Taicon,
2881,BOS-1/4-12,PCS,Sumo Router Bit 1/4 Shark (each),Bosch,
