source_position,item_code,uom,display_name,detected_brand,detected_model
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Megaman,A60
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Megaman,YTP38B1
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Megaman,A70
251,FAN-CEI-DEKA-CX156BK12,UNIT,Deka Ceiling Fan X-one 56 Blk,Deka,
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Megaman,A70
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Megaman,E27
7,JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Joven,SA8E
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Deka,
247,"HOS-FLE-GLO-60""",PCS,Glotool Flexible Tube F1/2 X F12 X 60,Glotool,F1/2
24,SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Sorento,SRTSA830
196,BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Bosch,PH2
28,TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Saniware,WC2300-S250MM
94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Joven,JP200
34,SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Sorento,SRTKS2429-BL
55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Saniware,WC-2110A-S250MM
46,CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Saniware,SWBC-SS6411
56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Saniware,WC-2122A-S250MM
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Deka,F66
25,SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Sorento,SRTSA860-GM
240,TAP-SAN-SWS-304-3964,PCS,Saniware Sliver Kitchen W Sink Tap,Saniware,SWS-304-3964
266,STA-HIGH-PRE-WAS-K2,UNIT,Karcher K2 Power Vps High Pressure Washer,Stanley,
131,STA-GRI-SCG400-SET,UNIT,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Stanley,SC200
42,CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Saniware,SWBC-SS6615
64,FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Rubine,RCF-MOZIA56-5BL-BT
76,FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Rubine,RCF-MOZIA56-5B-BT
17,TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Saniware,SWP-B-2521
31,TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Saniware,SWP-SS-304-3213
22,OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Rubine,RBO-IA8X-70SS
267,STA-PRE-WAS-K3-DEL,UNIT,Karcher Pressure Washer K3 Deluxe Premium,Stanley,
268,X-STA-PRE-WAS-K4,UNIT,Karcher K4 Basic High Pressure Cleaner,Karcher,
57,TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Sorento,SRTWC286-SH-S
52,SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Sorento,SRTWT2634-RG
250,CHA-SAW-STIHL-MS230,UNIT,Stihl Chainsaw 18 Stihl Chain & Guide BAR,STIHL,MS230
73,SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Sorento,S/S304
96,SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Sorento,2WAYS
213,STI-BRU-CUT-FR3001,UNIT,Stihl Brush Cutter,STIHL,FR3001
122,SHO-SOR-SRTWT9600HP,PCS,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Sorento,2WAYS
21,TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Saniware,SWP-B-3023
27,TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Saniware,SWP-SS-304-3940-RG
62,SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Sorento,SRTSH22614-BL
72,SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Sorento,SRTSH2623-BL
85,KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Khind,KHIND-HD1800
19,RUB-TAE11-M330,UNIT,Rubine C/hood,Rubine,RCH-NOVARA-90SS
43,GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Rubine,RGH-LOTOFLEXI2B-BLFX
67,GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Rubine,RCE-VULCAN40-BL
86,OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Rubine,RMO-OREO-28BL
13,SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Saniware,3WAY
12,SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Saniware,3WAY
60,SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Sorento,3-WAYS
80,RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Rubine,RGH-FIGATA2B-BL
36,TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Saniware,SWP-B-2931
37,TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Saniware,SWP-B-2930
40,TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Saniware,SWP-B-2924
41,TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Saniware,SWP-B-2921
38,IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),Khind,KHIND-RC565
91,TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Saniware,SWP-SS-304-3213-G
110,TAP-SAN-SWP-B-3203-RG,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,Saniware,SWP-SS-304-3203-RG
627,FAN-CEI-DEKA-CX146BK12,UNIT,Deka Ceiling Fan X-one 46 Black,Deka,
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,Deka Ceiling Fan Koni 54 Magnesium,Deka,
826,BOS-0601-6B3-0L1,UNIT,Gks 140 Circular Saw,Bosch,
640,FAN-CEI-DEKA-CCM34MG12,UNIT,Deka Ceiling Fan Concept Mini Magnesium,Deka,
