source_position,item_code,uom,pdp_url,image_url,alt_images,alt_pdps,decision,reason
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1817326/200w-6500k-led-flood-light|https://www.smjelectrical.com.my/tag/tag_id/1817323/200w-6500k-led-spotlight|https://www.smjelectrical.com.my/tag/tag_id/1817322/200w-6500k-led-floodlight,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
138,ELE-D/L-MEG-YTP38B1-10W,PCS,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1817326/200w-6500k-led-flood-light|https://www.smjelectrical.com.my/tag/tag_id/1817323/200w-6500k-led-spotlight|https://www.smjelectrical.com.my/tag/tag_id/1817322/200w-6500k-led-floodlight,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1817326/200w-6500k-led-flood-light|https://www.smjelectrical.com.my/tag/tag_id/1817323/200w-6500k-led-spotlight|https://www.smjelectrical.com.my/tag/tag_id/1817322/200w-6500k-led-floodlight,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1889215/fighter-15w-6500k-led-bulb status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my 8055 urls scanned)"
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter|https://www.smjelectrical.com.my/tag/tag_id/1905113/15w-3000k-e27-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1905111/fighter-15w-3000k-e27-led-bulb,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter|https://www.smjelectrical.com.my/tag/tag_id/1905113/15w-3000k-e27-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1905111/fighter-15w-3000k-e27-led-bulb,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my 8055 urls scanned)"
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my 8055 urls scanned)"
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,,,,,pending,"harvest: no sitemap slug match (q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my 8055 urls scanned)"
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter,https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg,https://cdn1.npcdn.net/images/np_25017_1692869003.png,https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter|https://www.smjelectrical.com.my/tag/tag_id/1905113/15w-3000k-e27-led-bulb|https://www.smjelectrical.com.my/tag/tag_id/1905111/fighter-15w-3000k-e27-led-bulb,candidate,"harvest: q:sitemap:megaman.com.my,www.megamanlighting.com,www.jllelectrical.com.my,smjelectrical.com.my,samajaya.onesyncapp.com,esales.com.my,mybigwarehouse.com.my slug-match p:https://www.smjelectrical.com.my/tag/tag_id/1905114/15w-3000k-e27-led-bulb-fighter status=200 og/img=https://www.newpages.com.my/customer/images/1692869175a22a794c036c06431e632f9d5e2e298f.jpg alts=1"
