source_position,item_code,uom,pdp_url,image_url,decision,reason
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,,,pending,harvest: no sitemap slug match (95 urls scanned)
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,,,pending,harvest: no sitemap slug match (95 urls scanned)
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,,,pending,harvest: no sitemap slug match (95 urls scanned)
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,,,pending,harvest: no sitemap slug match (95 urls scanned)
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,,,pending,harvest: no sitemap slug match (95 urls scanned)
251,FAN-CEI-DEKA-CX156BK12,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
627,FAN-CEI-DEKA-CX146BK12,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
640,FAN-CEI-DEKA-CCM34MG12,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
772,FAN-CEI-DEKA-CDKN54OAK12,UNIT,,,pending,harvest: no sitemap slug match (2 urls scanned)
7,JOV-WAT-HEA-SA8E,PCS,,,pending,harvest: no sitemap slug match (281 urls scanned)
94,JOV-WAT-FIL-JP200,PCS,https://www.joven-electric.com/my/products/water-purifier/indoor-water-purifier/jp200-series.html,https://www.joven-electric.com/media/wysiwyg/cat-1.jpg,candidate,harvest: sitemap slug match p:https://www.joven-electric.com/my/products/water-purifier/indoor-water-purifier/jp200-series.html status=200 og/img=https://www.joven-electric.com/media/wysiwyg/cat-1.jpg
247,"HOS-FLE-GLO-60""",PCS,,,pending,harvest: no domain map for brand 'none'
268,X-STA-PRE-WAS-K4,UNIT,,,pending,harvest: no domain map for brand 'none'
250,CHA-SAW-STIHL-MS230,UNIT,,,pending,harvest: no domain map for brand 'none'
213,STI-BRU-CUT-FR3001,UNIT,,,pending,harvest: no domain map for brand 'none'
2533,NUM-PUNC-50730080,SET,,,pending,harvest: no domain map for brand 'none'
24,SHO-SOR-SRTSA830,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
34,SIN-SOR-SRTKS2429-BL,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
25,SHO-SOR-SRTSA860-GM,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
57,TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
52,SHO-SOR-SRTWT2634-RG,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
73,SIN-SOR-SRTKS2426-BL,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
96,SHO-SOR-SRTWT9605RG,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
122,SHO-SOR-SRTWT9600HP,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
62,SHO-SOR-SRTSH22614-BL,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
72,SHO-SOR-SRTSH2623-BL,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
60,SHO-SOR-SRTWT2634,PCS,,,pending,harvest: no sitemap slug match (0 urls scanned)
196,BOS-2608-522-407,PCS,https://www.bosch-diy.com/de/de/p/rollgabelschluessel-150-mm-6-1600a039hn,https://www.bosch-diy.com/images/name-visa-size-2-extra-large-shape-card-png--0d13861856454f58b01656419eef0f8b.png,candidate,harvest: sitemap slug match p:https://www.bosch-diy.com/de/de/p/rollgabelschluessel-150-mm-6-1600a039hn status=200 og/img=https://www.bosch-diy.com/images/name-visa-size-2-extra-large-shape-card-png--0d13861856454f58b01656419eef0f8b.png
826,BOS-0601-6B3-0L1,UNIT,,,pending,harvest: no sitemap slug match (7443 urls scanned)
991,BOS-0601-9H2-281,UNIT,,,pending,harvest: no sitemap slug match (7443 urls scanned)
950,BOS-0601-3A0-0L0,UNIT,,,pending,harvest: no sitemap slug match (7443 urls scanned)
28,TOI-TRP-WC2300-S,SET,https://saniware.com/product/one-piece-washdown-closet-wc-2300-s250mm/,https://saniware.com/wp-content/uploads/2025/05/WC-2300.jpg,candidate,harvest: sitemap slug match p:https://saniware.com/product/one-piece-washdown-closet-wc-2300-s250mm/ status=200 og/img=https://saniware.com/wp-content/uploads/2025/05/WC-2300.jpg
55,TOI-TRP-WC-2110A-S,SET,https://saniware.com/product/intelligent-water-closet-with-tank-wc-1008-s250mm/,https://saniware.com/wp-content/uploads/2025/03/WC-1008-2025.jpg,candidate,harvest: sitemap slug match p:https://saniware.com/product/intelligent-water-closet-with-tank-wc-1008-s250mm/ status=200 og/img=https://saniware.com/wp-content/uploads/2025/03/WC-1008-2025.jpg
46,CAB-SAN-SWBC-SS6411,SET,https://saniware.com/product/swbc-ss6411/,https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6411-1.jpeg,candidate,harvest: sitemap slug match p:https://saniware.com/product/swbc-ss6411/ status=200 og/img=https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6411-1.jpeg
