ordinal,source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_state,ledger_tiers_tried,ledger_researcher_decision,ledger_gate
751,4907,SHH-HOOK-10829BL-NO.16,PKT,Eupro Fishing Hook No. 16 (10PC),Fishing & Tackle,10,3.90,3,,10829BL,search,,,,,,,yes,open,,,
752,4057,HOS-COU-CON-40200007,PCS,Ecogreen- One Way Snap-in Coupling,Outdoor & Garden,10,3.70,3,,EG4021,search,,,,,,,yes,open,,,
753,4136,"FIT-YG228R-NIP-REC-3/8""X1/4""-BRA",PCS,"Brass Reduced Nipple 3/8""X1/4 YG228R (BRA)",Plumbing,10,3.50,3,,X1/4,search,,,,,,,yes,open,,,
754,5145,SHH-HOOK-4310N-NO.14,PKT,No. 14 Exori Super Strong Hook (20'S),Fishing & Tackle,10,3.50,3,,4310N,search,,,,,,,yes,open,,,
755,5146,SHH-HOOK-4310N-NO.2/0,PKT,No. 2/0 Exori Super Strong Hook (10'S),Fishing & Tackle,10,3.50,3,,4310N,search,,,,,,,yes,open,,,
756,5147,SHH-HOOK-4310N-NO.6,PKT,No. 6 Exori Super Strong Hook (20'S),Fishing & Tackle,10,3.50,3,,4310N,search,,,,,,,yes,open,,,
757,6513,"WAL-PLU-NYLON-8#X3""",PCK,"B133 Nylon Wall Plug-m'sia 8 X3""(10PCS/PCK)",Fasteners & Fixings,10,3.50,3,,B133,search,,,,,,,yes,open,,,
758,5108,SHH-SWIVEL-NO.6,PKT,Nickel Swivel No. 6,Fishing & Tackle,10,3.40,3,,NO.6,search,,,,,,,yes,open,,,
759,5319,SHH-LINE-WHI-NO.25,PCS,(bs)long White M. L No. 25,Fishing & Tackle,10,3.40,3,,NO.25,search,,,,,,,yes,open,,,
760,3029,GAS-REF-RG2,PCS,RG-2 18ML Neon Mini Lighter Gas Refill,Home Appliances,10,2.90,3,,RG-2,search,,,,,,,yes,open,,,
761,3894,IND-COA-SKI-WHI-PCK,PCK,1KG Scp Skim Top Coat White (OC-2),Building Materials,10,2.90,3,,OC-2,search,,,,,,,yes,open,,,
762,4574,BNW-B&N-RBN-206,PCK,Sr G. I Boit & Nut 1/4 X 3/4 (10PCS/PCK),Fasteners & Fixings,10,2.90,3,,10PCS/PCK,search,,,,,,,yes,open,,,
763,6800,FAS-BOL-ANC07,PCK,Sh Drop IN Anchor 5/16 X 1-3/16 (5PCS/PCK),Fasteners & Fixings,10,2.50,3,,5PCS/PCK,search,,,,,,,yes,open,,,
764,4647,"TOO-NYL-PLU-COU-3/8""-NPH30",PCS,Nylon Quick Coupler 3/8 Hose NPH-30,Outdoor & Garden,10,2.30,3,,NPH-30,search,,,,,,,yes,open,,,
765,6682,GUN-GRE-NIP-STR-M10X1.0,PCS,S. K Straight Grease Nipple M10 X 1.0,Fasteners & Fixings,10,2.30,3,,M10,search,,,,,,,yes,open,,,
766,6819,"TOO-NYL-PLU-COU-3/8""-NPF30",PCS,Nylon Quick Coupler 3/8 Female NPF-30,Power Tool Accessories,10,2.30,3,,NPF-30,search,,,,,,,yes,open,,,
767,6820,"TOO-NYL-PLU-COU-3/8""-NPM30",PCS,Nylon Quick Coupler 3/8 Male NPM-30,Power Tool Accessories,10,2.30,3,,NPM-30,search,,,,,,,yes,open,,,
