source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
4925,BNW-B&N-RBN-110,PCK,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: Sr G.I bolt&nut retail pack 3/16x1 (7PCS/PCK); no brand/model string; commodity fastener pack,source_own_photo_or_supplier_catalog
5587,"FAS-SCR-DRY-BLA-6#1-1/2""",PCK,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: drywall screw 6# x1-1/2 black phosphate retail pack; 'Hunter/bk' dealer tag not an attributable OEM brand online,source_own_photo_or_supplier_catalog
3155,ELE-CAB-VDE-BLK,MTR,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Taicon brand real (r2: ShopeeMY quote 'TAICON 23/015 X 2C PVC MULTIFUNCTION Twin Flat VDE CABLE WIRE (BLACK)') but no OEM/authorised page; same spec sold as Iwachi/unbranded so taicon=distributor house brand over generic twin flat VDE cable; no official asset exists,source_own_photo_marketplace_listing_or_contact_taicon_distributor
3284,GUN-T-7006-MINI,PCS,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Fiesto brand real (r2: litaventure.com.my 'FIESTO BRAND SCREW TYPE TUFTING NAIL...') but litaventure.com.my DNS-unreachable this session and no T-7006 mini tufting gun product page ever indexed; marketplace-only product,retry_when_search_restored
2823,RAI-BOO-KRK-Y38#,PAIR,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_house_import: Rainshoes 7000YLW yellow rain shoe size 38; own-import footwear no OEM web presence; 7000YLW=supplier colour code,source_own_photo_or_supplier_catalog
3852,SWI-SOC-ULT-M20AMG,PCS,https://www.retouch.my/showproducts/productid/5818230/ultra-rimless-doublepole-switches/,https://cdn1.npcdn.net/userfiles/27047/file/MG15.png,candidate,A,yes,yes,PCS single 20A DP switch retail unit correct,unknown,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/retouch-m20amg] tier1-x6 fired (all junk archived); r2 lead re-probed live: p:https://www.retouch.my/showproducts/productid/5818230/ultra-rimless-doublepole-switches/ OFFICIAL reTOUCH ULTRA RIMLESS site (Broadlink Marketing Sdn Bhd 201401022405) title 'ULTRA RIMLESS Double-Pole Switches Malaysia Supplier', Category Matte Grey, description CODE table verbatim 'M20AMG - 20A Double-pole switch C/W Neon' proves exact model+matte-grey finish+neon; og/PDP image https://cdn1.npcdn.net/images/ac449bce7494dd2c71d808e5350b69bf_1745917538.webp?md5id=44ca89856009f6417c6cb01d81746535&new_width=1000&new_height=1000&size=max&w=1737947568&from=png&type=9 (1000px transform requested); sibling codes M20A2MG/M45AMG/M45A2MG NOT used | BLOCKERS this session: pixel-view of webp pending (family-series risk), bytes via fetcher pending, authorised-distributor status of Broadlink assumed-official(own-site)  | PIXEL-VIEW this session: PDP-hero webp (ac449bce...) shows 45A SIBLING -> REJECTED as variant swap (BAR); OEM description-section asset for the 20A block p:https://cdn1.npcdn.net/userfiles/27047/file/MG15.png fetched+VIEWED 2424x2424px 5179243B image/png sha256 ad838b2e36cd73b3... single reTOUCH ULTRA RIMLESS 20A DP switch c/w red neon window MATTE GREY finish = exact M20AMG variant; assigned as official_image_url",verify_pixels_bytes_then_gate
5460,REC--SQL-1200V,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: SQL-100A 1200V bridge rectifier; SQL/KBJ=package type codes not mfr models; electronic commodity,source_own_photo_or_supplier_catalog
3831,VAL-ANG-CVL-CA9009,PCS,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Cavallo CA9009 304SS angle valve: r2 found no Cavallo-brand valve hits (UK Tre Mercati Cavallo unrelated); CA9009 unattributable; no change this session,retry_when_search_restored
3213,TOO-HAM-WOOD-BLI-27MM,PCS,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_house_brand: Blimax wood claw hammer 27MM; Blimax=house/distributor brand, no OEM site; commodity hand tool",source_own_photo_or_supplier_catalog
4407,BLA-SAW-TCT-4X30T,PCS,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_house_brand: Blimax TCT saw blade 4""x30T; house/distributor brand no OEM site; commodity blade",source_own_photo_or_supplier_catalog
4592,SIN-WAS-SSS-A110,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: 2.1/2 SS bottle waste A110; A110=generic fitting size ref (McAlpine-pattern); commodity plumbing,source_own_photo_or_supplier_catalog
3231,PLA-BAG-W1000-2227,PCK,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: 22x27 T-bag plastic bags WHITE/1KG; packaging commodity,source_own_photo_or_supplier_catalog
3523,LOC-GLO-BRA-GLBBC20,PCS,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Glocks GLBBC20 brass padlock: r2 confirmed Glocks brand real via marketplace listings but no OEM/authorised page; GLBBC20 code unattributable beyond listings,retry_when_search_restored
4705,DRI-SET-WOO,SET,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: GW5 wood drill bit set 5PCS; GW5=supplier sku, no brand; prior reject stands",source_own_photo_or_supplier_catalog
3708,HHD-DKI-FLO-VAL,PCS,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | DKI Isb cistern float VALVE-440: ISB suspected toilet-spare brand but unverified; no reachable OEM page; needs brand confirmation,retry_when_search_restored
2710,BRO-MOP-350,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_house_import: No.350 mop broom with handle; numbered commodity broom no brand,source_own_photo_or_supplier_catalog
4680,ELE-ADA-3WAY-BER-YK368,PCS,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Pro-smart 33N/YK368 3-way adaptor w/neon: brand plausible marketplace-only; no OEM/authorised page found,retry_when_search_restored
3752,CR-1220/5BE,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_commodity: CR-1220/5B lithium 3V cells 5-pack card; battery commodity no attributed maker on listing,source_own_photo_or_supplier_catalog
3848,SHH-HOO-4206-NO.1,PKT,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: 4206-pattern galah hook No.1 (20\'s); 4206=hook pattern code, no brand string on listing; brand attribution needs supplier confirm | note: Surecatch sells similar 4206 galah pattern but listing lacks brand - not assumed",source_own_photo_or_supplier_catalog
3877,TOO-COM-W0305G-10*12MM,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: double open wrench 10x12MM; commodity hand tool,source_own_photo_or_supplier_catalog
1870,PAI-SPR-PMT-039,CAN,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Paint Master spray No.39 black: Paint Master MY brand; paintmaster.com.my returns 404 root this session (site gone/moved); r2 found only unrelated Aikka aerosol range; no reachable OEM page,retry_when_search_restored_or_contact_paint_master_distributor
3015,HOS-SPA-TAP-C222,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: C222 spare cartridge for L-handle lockset; spare-part commodity no brand,source_own_photo_or_supplier_catalog
4066,TOO-FIL-BCC-5.5200MM,PCS,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Bahco 168-8-5.5-3P chainsaw file: r2 proved OFFICIAL bahco.com PDP exists (.../round-chainsaw-file-5-5-mm---12-x-3-pck-168-8-5-5-3p.html) but bahco.com returns HTTP403 (bot-block) to both urllib and webfetch tool all session; SNA Europe OEM unreachable,retry_bahco_when_search_or_fetch_restored
5390,CAB-LUG-300AMP,PCK,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: cable lug (white) 300AMP 2PCS/PCK; commodity terminal, no brand",source_own_photo_or_supplier_catalog
2551,SHH-YEL-HOSE-10MMX2MM,FTS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol (q1 brand+model site:.com.my; q2 model+brand official; q3 model filetype:pdf; q4 leeden/theleedenstore; q5 distributor Malaysia; q6 authorised dealer) -> all SERPs junk/no-hit (archived) | generic_unbranded: yellow PVC hose 10MMx2MM per-foot; commodity,source_own_photo_or_supplier_catalog
4162,FLO-MOC-KV910,PCS,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_unbranded: KV910 12""x12 homotile PVC flooring tile; numbered commodity tile no brand",source_own_photo_or_supplier_catalog
3454,HOS-CON-MEN-40200012,PCS,https://www.skhardware.com.my/hardware/ecogreen-eg4035-hose-mender-1-2,https://www.skhardware.com.my/image/skhardware/image/data/all_product_images/product-458/HM.png,candidate,A,yes,yes,PCS single hose mender retail piece correct,unknown,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/skh-eg4035] tier1-x6 fired (junk archived); r2 lead re-probed live: p:https://www.skhardware.com.my/hardware/ecogreen-eg4035-hose-mender-1-2 title verbatim ""ECOGREEN EG4035 HOSE MENDER 1/2"" (slug ecogreen-eg4035-hose-mender-1-2) Brand field Ecogreen RM4.00 In Stock, description bullets ""Handy connector for fitting a hosepipe / Provided with two washers to fit taps"" prove exact model; og:image HM.png fetched this session via urllib 200 image/png 600x600px 218045B sha256 5a0e2a5786f9c480... (>=500px >=20KB OK); cache variant HM-600x600.png 242231B also live | BLOCKERS: pixel-view pending, SK Hardware authorised-dealer status unproven (retailer carrying Ecogreen line) | PIXEL-VIEW this session: HM.png VIEWED single ECOGREEN-branded blister pack ""1/2 Hose Mender"" orange mender body = exact EG4035 product",verify_pixels_bytes_then_gate
5785,NAIL-TUFTING-TN-8316-PCK,PCK,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_house_brand: round plate tufting nail 16MMx8.5MM (10PCS/PCK); unbranded consumable nails; Fiesto-branded equivalents exist but listing carries no brand,source_own_photo_or_supplier_catalog
4559,IND-RAG-COL-1KGS,KGS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_unbranded: cotton rag coloured 1KGS; cleaning rag commodity,source_own_photo_or_supplier_catalog
5784,NAIL-TUFTING-TN-7316-PCK,PCK,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_house_brand: round plate tufting nail 16MMx7.3MM (10PCS/PCK); sibling of pos 5785; unbranded consumable,source_own_photo_or_supplier_catalog
4339,CUT-ELE-EDM-4240,PCS,,,pending,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Gold Elephant EDM-4240 4""x240 mop disc: Gold Elephant abrasives brand real (SG/MY market) but no reachable OEM page; EDM-4240 code unattributable",retry_when_search_restored
4756,"TIE-CAB-BLA-6""",PKT,,,reject,,,,,,"[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_unbranded: black cable tie 6"" (20PCS/PKT); commodity",source_own_photo_or_supplier_catalog
4725,SHH-LINE-WHI-NO.50,PCS,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_unbranded: (bs) long white monofilament line No.50; bs=supplier bulk-set tag; numbered fishing line commodity,source_own_photo_or_supplier_catalog
4606,CUT-KNI-HX18,BOX,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Tct NT18 N.T cutter blade 10PCS/BOX: NT Cutter (Japan) brand plausible for 'N.T cutter blade' but NT18 model string not found on ntcutter properties this session (ntcutter.com KR mall reachable but no EN catalogue match); needs OEM confirmation,retry_when_search_restored
4775,SHH-HOOK-12146BN-8,PKT,,,pending,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired -> SERPs junk/no-hit (archived) | Hytac hook 12146BN No.8 (20\'s): Hytac = MY/SG fishing tackle brand real; no OEM site found; 12146BN unattributable beyond listings,retry_when_search_restored
3859,CLI-ELE-CAB-05MM100S,BOX,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_unbranded: cable clip 5MM round type 100\'s box (bd); commodity,source_own_photo_or_supplier_catalog
6194,"FAS-SCR-TAP-PAN-8#1.1/4""",PCK,,,reject,,,,,,[chan:exa-websearch-HTTP429-all-session;bing_fallback-html-junk-archived->chat-01/serp-H2/] tier1-x6 q-set fired per protocol -> all SERPs junk/no-hit (archived) | generic_unbranded: 8# x1-1/4 pan head self tapping screw (20PCS/PCK); commodity fastener pack,source_own_photo_or_supplier_catalog
