source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
627,FAN-CEI-DEKA-CX146BK12,UNIT,https://deka.my/x-one-46/,https://deka.my/wp-content/uploads/2025/11/X-ONE-46-2560X2560-BK.png,candidate,A,yes,yes,UNIT single ceiling fan retail unit correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Deka"" ""X-One 46"" site:.com.my; q2:""X-One 46"" ""Deka"" official; q3:""X-One 46"" filetype:pdf; q4:""X-One 46"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Deka"" ""X-One 46"" distributor Malaysia; q6:""X-One 46"" authorised dealer | outcomes: q1 deka.my present but no direct PDP rank; q2/q3/q6 bing rewrote leading phrase 'X-One' to X(social network) junk; q5 generic deka set; q4 no leeden hit | OEM probe deka.my nav+search confirms X-ONE 46 PDP live; X-ONE-46-2560X2560-BK.png matches item finish Black",none - official Deka asset exact model+finish
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,https://deka.my/koni-54/,https://deka.my/wp-content/uploads/2025/07/KONI-54-MG-Jpg.jpg,candidate,A,yes,yes,UNIT single ceiling fan retail unit correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Deka"" ""KONI 54"" site:.com.my; q2:""KONI 54"" ""Deka"" official; q3:""KONI 54"" filetype:pdf; q4:""KONI 54"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Deka"" ""KONI 54"" distributor Malaysia; q6:""KONI 54"" authorised dealer | outcomes: q1 generic deka set only; q2 ubuntu junk(rewritten); q3/q4 junk; q5 generic deka; q6 apk junk; no exact SERP PDP | OEM probe deka.my KONI 54 PDP live under ECO DC/MID RANGE nav; KONI-54-MG-Jpg.jpg matches Magnesium finish",none - official Deka asset exact model+finish
772,FAN-CEI-DEKA-CDKN54OAK12,UNIT,https://deka.my/koni-54/,https://deka.my/wp-content/uploads/2025/07/KONI-54-OAK-Jpg.jpg,candidate,A,yes,yes,UNIT single ceiling fan retail unit correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Deka"" ""KONI 54"" site:.com.my; q2:""KONI 54"" ""Deka"" official; q3:""KONI 54"" filetype:pdf; q4:""KONI 54"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Deka"" ""KONI 54"" distributor Malaysia; q6:""KONI 54"" authorised dealer | outcomes: identical query-set to pos 632 (same brand+model strings); shared archived SERPs | OEM probe KONI 54 PDP live; KONI-54-OAK-Jpg.jpg matches Oak finish",none - official Deka asset exact model+finish
640,FAN-CEI-DEKA-CCM34MG12,UNIT,https://deka.my/concept-mini/,https://deka.my/wp-content/uploads/2025/07/CONCEPT-MINI-MG-Jpg.jpg,candidate,A,yes,yes,UNIT single ceiling fan retail unit correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Deka"" ""Concept Mini"" site:.com.my; q2:""Concept Mini"" ""Deka"" official; q3:""Concept Mini"" filetype:pdf; q4:""Concept Mini"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Deka"" ""Concept Mini"" distributor Malaysia; q6:""Concept Mini"" authorised dealer | outcomes: q1 generic deka set; q2-q4,q6 dictionary 'concept' junk; q5 generic deka; no exact SERP PDP | OEM probe CONCEPT MINI PDP live under CONCEPT Series nav; CONCEPT-MINI-MG-Jpg.jpg matches Magnesium finish",none - official Deka asset exact model+finish
469,GAS-STO-KHI-GC6010,SET,https://khind.com.my/products/khind-gas-cooker-gc6010,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/gc6010-hi_220523171908.jpg?v=1751809699,candidate,A,yes,yes,SET gas cooker retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""GC6010"" site:.com.my; q2:""GC6010"" ""Khind"" official; q3:""GC6010"" filetype:pdf; q4:""GC6010"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""GC6010"" distributor Malaysia; q6:""GC6010"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'GC6010' on khind.com.my (handle khind-gas-cooker-gc6010); official featured_image gc6010-hi_220523171908.jpg (featured_image 4288x2848)",none - official Khind asset exact model
446,VAC-KHI-VC68P,SET,https://khind.com.my/products/vacuum-cleaner-vc68p-160061299,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/vc68p-cover_220721131926_2a27f2fb-6483-4697-84ad-75ecc2a7d160.jpg?v=1751809349,candidate,A,yes,yes,SET vacuum cleaner retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""VC68P"" site:.com.my; q2:""VC68P"" ""Khind"" official; q3:""VC68P"" filetype:pdf; q4:""VC68P"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""VC68P"" distributor Malaysia; q6:""VC68P"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'VC68P' on khind.com.my (handle vacuum-cleaner-vc68p-160061299); official featured_image vc68p-cover_220721131926_2a27f2fb-6483-4697-84ad-75ecc2a7d160.jpg",none - official Khind asset exact model
578,PRE-STO-KHI-SPC6,SET,https://khind.com.my/products/east-malaysia-exclusive-smart-pressure-cooker,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/spc6_230821170400.jpg?v=1751809563,candidate,A,yes,yes,SET pressure cooker retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""SPC6"" site:.com.my; q2:""SPC6"" ""Khind"" official; q3:""SPC6"" filetype:pdf; q4:""SPC6"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""SPC6"" distributor Malaysia; q6:""SPC6"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'SPC6' on khind.com.my (handle east-malaysia-exclusive-smart-pressure-cooker); official featured_image spc6_230821170400.jpg",none - official Khind asset exact model
440,VAC-KHI-VC8020MS,SET,https://khind.com.my/products/canister-vacuum-cleaner-vc8020ms,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ssmy.zone-1693885930-VC8020MS_wh_cover.jpg?v=1751809268,candidate,A,yes,yes,SET canister vacuum retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""VC8020MS"" site:.com.my; q2:""VC8020MS"" ""Khind"" official; q3:""VC8020MS"" filetype:pdf; q4:""VC8020MS"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""VC8020MS"" distributor Malaysia; q6:""VC8020MS"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'VC8020MS' on khind.com.my (handle canister-vacuum-cleaner-vc8020ms); official featured_image ssmy.zone-1693885930-VC8020MS_wh_cover.jpg",none - official Khind asset exact model
442,MIX-KHI-HM200,SET,https://khind.com.my/products/hand-mixer,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ssmy.zone-1721101196-HM200_WH.jpg?v=1751809038,candidate,A,yes,yes,SET hand mixer retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""HM200"" site:.com.my; q2:""HM200"" ""Khind"" official; q3:""HM200"" filetype:pdf; q4:""HM200"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""HM200"" distributor Malaysia; q6:""HM200"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'HM200' on khind.com.my (handle hand-mixer); official featured_image ssmy.zone-1721101196-HM200_WH.jpg",none - official Khind asset exact model
523,KHI-IRO-EI405-GRY,SET,https://khind.com.my/products/electric-dry-iron,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ei405-wh-cover_190523162150.jpg?v=1751809338,candidate,A,yes,yes,SET electric iron retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""EI405"" site:.com.my; q2:""EI405"" ""Khind"" official; q3:""EI405"" filetype:pdf; q4:""EI405"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""EI405"" distributor Malaysia; q6:""EI405"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'EI405' on khind.com.my (handle electric-dry-iron); official featured_image ei405-wh-cover_190523162150.jpg",none - official Khind asset exact model
647,VAC-KHI-VC8630,SET,https://khind.com.my/products/khind-vacuum-cleaner-vc8630,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/VC8630_cover_KOL_ed4d8500-314c-4871-b62a-7beaf7d45972.jpg?v=1751809252,candidate,A,yes,yes,SET stick vacuum 2-in-1 retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""VC8630"" site:.com.my; q2:""VC8630"" ""Khind"" official; q3:""VC8630"" filetype:pdf; q4:""VC8630"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""VC8630"" distributor Malaysia; q6:""VC8630"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'VC8630' on khind.com.my (handle khind-vacuum-cleaner-vc8630); official featured_image VC8630_cover_KOL_ed4d8500-314c-4871-b62a-7beaf7d45972.jpg",none - official Khind asset exact model
477,JUG-KHI-EK502,SET,https://khind.com.my/products/khind-5l-stainless-steel-kettle-ek502,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ek502-wh-cover_220523155050.jpg?v=1751809340,candidate,A,yes,yes,SET 5.0L kettle retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""EK502"" site:.com.my; q2:""EK502"" ""Khind"" official; q3:""EK502"" filetype:pdf; q4:""EK502"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""EK502"" distributor Malaysia; q6:""EK502"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'EK502' on khind.com.my (handle khind-5l-stainless-steel-kettle-ek502); official featured_image ek502-wh-cover_220523155050.jpg; sibling EK5025 excluded - exact EK502 handle used",none - official Khind asset exact model
522,KHI-COO-MC121,SET,https://khind.com.my/products/multi-cooker-mc121,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/mc121-1-kol_150622103348.jpg?v=1751809249,candidate,A,yes,yes,SET 1.2L multi cooker retail set correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Khind"" ""MC121"" site:.com.my; q2:""MC121"" ""Khind"" official; q3:""MC121"" filetype:pdf; q4:""MC121"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Khind"" ""MC121"" distributor Malaysia; q6:""MC121"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived); no usable SERP hit | OEM Shopify suggest.json probe: exact product title-match 'MC121' on khind.com.my (handle multi-cooker-mc121); official featured_image mc121-1-kol_150622103348.jpg",none - official Khind asset exact model
1202,TAP-SAN-SWS-304-3977,PCS,https://saniware.com/product/sws-304-3977/,https://saniware.com/wp-content/uploads/2021/03/SWS-304-3977.jpg,candidate,A,yes,yes,PCS single tap retail piece correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Saniware"" ""SWS-304-3977"" site:.com.my; q2:""SWS-304-3977"" ""Saniware"" official; q3:""SWS-304-3977"" filetype:pdf; q4:""SWS-304-3977"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Saniware"" ""SWS-304-3977"" distributor Malaysia; q6:""SWS-304-3977"" authorised dealer | outcomes: bing SERP junk archived; earlier harvest-livecheck slug-match was sibling sws-304-2874 (not used) | OEM probe PDP live 200 og_title='Premier Basin Tap Series SWS-304-3977 - Saniware'; og:image exact-model jpg (~92KB head)",none - official Saniware asset exact model
1440,VAL-SAN-SW-SS-AV-80,PCS,https://saniware.com/product/sw-ss-av-80-2/,https://saniware.com/wp-content/uploads/2021/03/SW-SS-AV-80-1.jpg,candidate,A,yes,yes,PCS angle valve retail piece correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Saniware"" ""SW-SS-AV-80"" site:.com.my; q2:""SW-SS-AV-80"" ""Saniware"" official; q3:""SW-SS-AV-80"" filetype:pdf; q4:""SW-SS-AV-80"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Saniware"" ""SW-SS-AV-80"" distributor Malaysia; q6:""SW-SS-AV-80"" authorised dealer | outcomes: bing SERP junk archived; harvest-livecheck had already slug-matched this PDP | OEM probe PDP live 200 og_title='Angle Valve SW-SS-AV-80 - Saniware'; og:image exact-model jpg (~66KB head)",none - official Saniware asset exact model
1996,BID-CAB-CB91SS-BL-DIY,PCS,https://cabana.com.my/index.php/products/bathroom/bidet/cb90ss-bl-diy-detail,https://cabana.com.my/images/virtuemart/product/CB91SS-BL-DIY-01.jpg,candidate,A,yes,yes,PCS hand bidet DIY retail piece correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Cabana"" ""CB91SS-BL-DIY"" site:.com.my; q2:""CB91SS-BL-DIY"" ""Cabana"" official; q3:""CB91SS-BL-DIY"" filetype:pdf; q4:""CB91SS-BL-DIY"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Cabana"" ""CB91SS-BL-DIY"" distributor Malaysia; q6:""CB91SS-BL-DIY"" authorised dealer | outcomes: all six bing SERP junk; cabana.com.my never surfaced by any of the six | OEM probe cabana.com.my (Joomla/VirtueMart, 559 detail URLs crawled): page <title> literal 'Bidet: CB91SS-BL-DIY'; product image CB91SS-BL-DIY-01.jpg; URL slug quirk says cb90ss-bl-diy-detail while title/image are CB91SS-BL-DIY",confirm OEM-side slug/title mismatch; image filename is exact model
2067,BID-CAB-CB90SS-DIY,PCS,https://cabana.com.my/index.php/products/bathroom/bidet/cb90ss-diy-detail,https://cabana.com.my/images/virtuemart/product/CB90SS-DIY-01.jpg,candidate,A,yes,yes,PCS hand bidet DIY retail piece correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Cabana"" ""CB90SS-DIY"" site:.com.my; q2:""CB90SS-DIY"" ""Cabana"" official; q3:""CB90SS-DIY"" filetype:pdf; q4:""CB90SS-DIY"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Cabana"" ""CB90SS-DIY"" distributor Malaysia; q6:""CB90SS-DIY"" authorised dealer | outcomes: all six bing SERP junk; cabana.com.my never surfaced by any of the six | OEM probe: page <title> literal 'Bidet: CB90SS-DIY'; product image CB90SS-DIY-01.jpg exact model",none - official Cabana asset exact model
2602,IND-CEM-GREY-25KG,BAG,https://mys.sika.com/en/construction/tile-setting/tile-adhesives/sikaceram-88.html,https://sika.scene7.com/is/image/sikacs/my-SikaCeram-88-25kg-01536099:1-1?wid=1600&hei=1600&fit=constrain,candidate,A,yes,yes,BAG 25kg bag packaging matches 25KG/BAG,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Sika"" ""SikaCeram-88"" site:.com.my; q2:""SikaCeram-88"" ""Sika"" official; q3:""SikaCeram-88"" filetype:pdf; q4:""SikaCeram-88"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Sika"" ""SikaCeram-88"" distributor Malaysia; q6:""SikaCeram-88"" authorised dealer | outcomes: bing SERP junk archived; ledger's prior scene7 URL carried wid=480 crop params -> red:too_small | OEM probe mys.sika.com PDP live 200; same scene7 asset recovered WITHOUT wid/hei crop params (my-SikaCeram-88-25kg-01536099:1-1) -> full-res",fetch full-res variant; expect >=500px/>=20KB
3630,GROUT-SEAL-703,CAN,https://mys.sika.com/en/home-improvement/waterproofing/sikagard-703-groutseal.html,https://sika.scene7.com/is/image/sikacs/my-02-en-MY-Sikagard-703-GroutSeal-1x1-00557701:1-1?wid=1600&hei=1600&fit=constrain,candidate,A,yes,yes,CAN 1-litre can matches 1LTR,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Sika"" ""Sikagard 703 Groutseal"" site:.com.my; q2:""Sikagard 703 Groutseal"" ""Sika"" official; q3:""Sikagard 703 Groutseal"" filetype:pdf; q4:""Sikagard 703 Groutseal"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Sika"" ""Sikagard 703 Groutseal"" distributor Malaysia; q6:""Sikagard 703 Groutseal"" authorised dealer | outcomes: bing SERP junk archived; prior red:model_absent traced to crop-variant sizing | OEM probe mys.sika.com PDP live 200 og_title='Sikagard(R)-703 GroutSeal'; scene7 asset without crop params my-02-en-MY-Sikagard-703-GroutSeal-1x1-00557701:1-1",fetch full-res variant; expect >=500px/>=20KB
826,BOS-0601-6B3-0L1,UNIT,,,pending,D,,,UNIT power tool correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GKS 140"" site:.com.my; q2:""GKS 140"" ""Bosch"" official; q3:""GKS 140"" filetype:pdf; q4:""GKS 140"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GKS 140"" distributor Malaysia; q6:""GKS 140"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match",retry when exa restored; then bosch OCS API/part-number URL guess
950,BOS-0601-3A0-0L0,UNIT,,,pending,D,,,UNIT power tool correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GDC 140"" site:.com.my; q2:""GDC 140"" ""Bosch"" official; q3:""GDC 140"" filetype:pdf; q4:""GDC 140"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GDC 140"" distributor Malaysia; q6:""GDC 140"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match",retry when exa restored
821,BOS-0601-5A2-0L0,UNIT,,,pending,D,,,UNIT power tool correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GKS 235 Turbo"" site:.com.my; q2:""GKS 235 Turbo"" ""Bosch"" official; q3:""GKS 235 Turbo"" filetype:pdf; q4:""GKS 235 Turbo"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GKS 235 Turbo"" distributor Malaysia; q6:""GKS 235 Turbo"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match",retry when exa restored
810,BOS-0601-9E5-1L0,UNIT,,,pending,D,,,UNIT vacuum cleaner correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GAS 15 PS"" site:.com.my; q2:""GAS 15 PS"" ""Bosch"" official; q3:""GAS 15 PS"" filetype:pdf; q4:""GAS 15 PS"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GAS 15 PS"" distributor Malaysia; q6:""GAS 15 PS"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match",retry when exa restored
856,BOS-0601-1C4-0L0,UNIT,,,pending,D,,,UNIT mixer tool correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GRW 140"" site:.com.my; q2:""GRW 140"" ""Bosch"" official; q3:""GRW 140"" filetype:pdf; q4:""GRW 140"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GRW 140"" distributor Malaysia; q6:""GRW 140"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match",retry when exa restored
986,BOS-0601-58F-0L0,UNIT,,,pending,D,,,UNIT jigsaw correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GST 90 BE"" site:.com.my; q2:""GST 90 BE"" ""Bosch"" official; q3:""GST 90 BE"" filetype:pdf; q4:""GST 90 BE"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GST 90 BE"" distributor Malaysia; q6:""GST 90 BE"" authorised dealer | outcomes: all six bing SERP junk or safesearch-blocked (archived) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match",retry when exa restored
991,BOS-0601-9H2-281,UNIT,,,pending,D,,,UNIT cordless screwdriver kit correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""GO 3"" site:.com.my; q2:""GO 3"" ""Bosch"" official; q3:""GO 3"" filetype:pdf; q4:""GO 3"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""GO 3"" distributor Malaysia; q6:""GO 3"" authorised dealer | outcomes: all six bing SERP junk ('GO 3' rewritten to Go-language/X results) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match; display name maps to Bosch GO Gen 3 cordless screwdriver",retry with 'GO Gen 3' phrasing when exa restored
2557,BOS-2608-521-043,PCS,,,pending,D,,,PCS single bit retail piece correct,unknown,"[chan:exa-websearch-HTTP429-all-session;SERPs-executed-and-archived-bing-html->chat-01/serp-L1/serps.json] tier1-x6 q1:""Bosch"" ""2608521043"" site:.com.my; q2:""2608521043"" ""Bosch"" official; q3:""2608521043"" filetype:pdf; q4:""2608521043"" site:leeden.com.my OR site:theleedenstore.com.my; q5:""Bosch"" ""2608521043"" distributor Malaysia; q6:""2608521043"" authorised dealer | outcomes: all six bing SERP junk (part number tokenised) | bosch-pt.com.my probes: robots.txt names sitemap_index_my.xml but its products-sitemaps.xml/ocs-products-sitemaps.xml children return EMPTY bodies; /my/en/search endpoints 404; earlier harvest scan of 7443 bosch urls found no slug match; Bosch accessory part numbers usually sit on -ocs-ac URLs",retry when exa restored; then guess ocs-ac accessory URL pattern
