source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013262/cid/544741/megaman-yta60z1-10w-220240v-e27-810lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654071317d9dc9da42915afeef96e1d70000bf0b7.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,PCS single-unit retail pack correct,unknown,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013262/cid/544741/megaman-yta60z1-10w-220240v-e27-810lm-led-gls-bulb-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTA60Z1 10W ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = 6 distinct hashes) | megaman.com.my galleries p:/product/led-g-a-bulb/,p:/product/led-stick/ have NO per-CCT mapping (no model/cct text near gallery imgs)",confirm JLL authorised-distributor status; pixel-check pack model marking
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541359299be3be83ba8db760846b4d859bed705f.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,PCS single-unit retail pack correct,unknown,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTA70Z1 15W ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = 6 distinct hashes) | megaman.com.my galleries p:/product/led-g-a-bulb/,p:/product/led-stick/ have NO per-CCT mapping (no model/cct text near gallery imgs)",confirm JLL authorised-distributor status; pixel-check pack model marking
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/457883/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541351427f80a8e5a11d6f37a8a173069a4e8135.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,PCS single-unit retail pack correct,unknown,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/457883/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTA65Z2 12W ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = 6 distinct hashes) | megaman.com.my galleries p:/product/led-g-a-bulb/,p:/product/led-stick/ have NO per-CCT mapping (no model/cct text near gallery imgs)",confirm JLL authorised-distributor status; pixel-check pack model marking
138,ELE-D/L-MEG-YTP38B1-10W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013891/cid/424624/megaman-ytp38b1-10w-220240v-810lm-plc-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541440578c008f45fefd4cef95e9c013baf3efb2.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,PCS single-unit retail pack correct,unknown,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013891/cid/424624/megaman-ytp38b1-10w-220240v-810lm-plc-led-stick-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTP38B1 10W PLC stick ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = 6 distinct hashes) | megaman.com.my galleries p:/product/led-g-a-bulb/,p:/product/led-stick/ have NO per-CCT mapping (no model/cct text near gallery imgs)",confirm JLL authorised-distributor status; pixel-check pack model marking
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013850/megaman-ytp38z1-10w-220240v-810lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141502046852ea8697ea772e25ff7e4dad7ca6.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,PCS single-unit retail pack correct,unknown,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013850/megaman-ytp38z1-10w-220240v-810lm-e27-led-stick-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTP38Z1 10W E27 stick ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = 6 distinct hashes) | megaman.com.my galleries p:/product/led-g-a-bulb/,p:/product/led-stick/ have NO per-CCT mapping (no model/cct text near gallery imgs)",confirm JLL authorised-distributor status; pixel-check pack model marking
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141237cabdb9b6cb4e1b13760ccc757d5495d8.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,PCS single-unit retail pack correct,unknown,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTP45Z1 15W E27 stick ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = 6 distinct hashes) | megaman.com.my galleries p:/product/led-g-a-bulb/,p:/product/led-stick/ have NO per-CCT mapping (no model/cct text near gallery imgs)",confirm JLL authorised-distributor status; pixel-check pack model marking
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013262/cid/544741/megaman-yta60z1-10w-220240v-e27-810lm-led-gls-bulb-3000k4000k6500k/,,pending,C,,,PCS correct,no_asset,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | dealer listings are ONE-per-MODEL tri-CCT '[3000K/4000K/6500K]'; the model's only asset is claimed by the sibling row of this same model - no distinct YTA60Z1 4000K asset reachable (megaman.com.my galleries have no provable per-CCT images)",request YTA60Z1 4000K per-CCT pack shot/render from Megaman MY marketing or JLL
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/,,pending,C,,,PCS correct,no_asset,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | dealer listings are ONE-per-MODEL tri-CCT '[3000K/4000K/6500K]'; the model's only asset is claimed by the sibling row of this same model - no distinct YTA70Z1 4000K asset reachable (megaman.com.my galleries have no provable per-CCT images)",request YTA70Z1 4000K per-CCT pack shot/render from Megaman MY marketing or JLL
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/,,pending,C,,,PCS correct,no_asset,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | dealer listings are ONE-per-MODEL tri-CCT '[3000K/4000K/6500K]'; the model's only asset is claimed by the sibling row of this same model - no distinct YTA70Z1 3000K asset reachable (megaman.com.my galleries have no provable per-CCT images)",request YTA70Z1 3000K per-CCT pack shot/render from Megaman MY marketing or JLL
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/,,pending,C,,,PCS correct,no_asset,"q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | dealer listings are ONE-per-MODEL tri-CCT '[3000K/4000K/6500K]'; the model's only asset is claimed by the sibling row of this same model - no distinct YTP45Z1 3000K asset reachable (megaman.com.my galleries have no provable per-CCT images)",request YTP45Z1 3000K per-CCT pack shot/render from Megaman MY marketing or JLL
