source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
4462,SWI-ADA-MS-PT09,PCS,pass,yes,yes,"Page verbatim ""MORRIES Travel Adaptor – MS-PT09 – YUAN MING ELECTRIC SDN. BHD"" spec table ""Model: MS-PT09"",""Body Color: White""; Yuan Ming Electric = MY Morries brand channel; PT09.png 830x827px 251KB image/png sha 762cbcec… unique; pixels show white Morries travel adaptor matching EU/ME/SA display_name"
3959,SWI-SOC-ULT-M012MG,PCS,pass,yes,yes,"Page verbatim ""M012MG – 1 GANG 2 WAY"" under ULTRA RIMLESS 16A Light Switches Category Matte Grey; OEM Broadlink Marketing own site; MG40(1).png 2403x2431px 6548KB image/png sha 7a318264… unique; pixels show single matte-grey reTOUCH rimless light switch = exact 1G2W variant"
4121,SWI-SOC-ULT-M0813BMG,PCS,pass,yes,yes,"Page verbatim ""M0813BMG – 13A Flat Pin Big Rocker Switch Socket"" Category Matte Grey; OEM Broadlink own site; MG3.png 2341x2372px 5002KB image/png sha bb6188fd… unique; pixels show big-rocker flat-pin 13A socket matte grey = exact M0813BMG variant"
2793,CUT-DEW-DW4790,PCS,pass,yes,yes,"Page verbatim ""DEWALT DW4790 TILE BLADE 105 X 2.0 X 16MM"" specs ""Model: DW4790 … Blade diameter: 105mm""; Leeden Store = Leeden Hercules (lhm@leeden.com.my) authorised DeWalt MY channel; PHOTO-1.jpg 2084x2084px 802KB image/jpeg sha a12ebf43… unique; pixels show DEWALT blade face literally printed ""DW4790"" continuous-rim tile blade"
2754,AUT-POL-AUT-SS75ML,PCS,pass,yes,yes,"Page verbatim ""Autosol Stainless Steel Polish (75ml)SKU:1734 -75ml"" Volume: 75ml paste made in Germany; autosolasia.net = Delkomac Sdn Bhd Autosol Asia distributor; Autosol-Stainless-Steel-polish.jpg 800x800px 82KB image/jpeg sha 0eb7b3c4… unique; pixels show AUTOSOL STAINLESS STEEL POLISH tube+box matching item"
3006,COC-BAL-SAN-CKT1512,PCS,pass,yes,yes,"PDP ""ก๊อกบอลสนาม ซันวา"" (SANWA ball tap with hose) sizes 1/2""/3/4""/1""; model code proven at same OEM domain sanwa.co.th/en/guarantee/mit/ listing ""SANWA BALL TAP WITH HOSE - SANWA CKT 15"".pdf; SANWA-Ball-Tap-with-Hose1.png 760x760px 64KB image/png sha f81a91b2… unique; pixels show SANWA-brass ball tap c/w hose nozzle = CKT15 family 1/2in"
3756,ELE-D/L-MGM-MQTL2048-6500K,PCS,fail,no,yes,"Page names ""The Megaman LED Eyeball Downlight MQTL2048"" and ""MQTL2048 7W"" but flux column is family ""(3000K/ 4000K& 6500K)"" — page+pixels do NOT bind 6500K specifically; Untitled-8-6.jpg 800x800px 38.5KB image/jpeg sha 5c472eca… is unlit family render of two eyeballs with no CCT label; per rule single-CCT-suffixed SKU without CCT-specific binding = fail"
3593,HHD-FLU-M0676-L110W-50MM,PCS,pass,yes,yes,"Page verbatim ""FAO-L110-W 40mm/50mm Flapper Outlet Valve (White Lever Handle)"",""SKU: FAO-L110-W"" © PROMINENT IMAGE SDN BHD Techplas factory site; FAO-L110-W.jpg 1000x1000px 261KB image/jpeg sha 70100f34… unique; pixels show white flapper outlet valve with white lever handle = exact W variant"
3044,AUT-POL-AUT-MET75ML,PCS,pass,yes,yes,"Page verbatim ""AUTOSOL® METAL POLISH SUPER GLOSS"" SKU ""11 001121"" variant ""75ml - 8,15""; shop.dursol.com = Dursol/Fabric manufacturer official shop; Produktfoto-11-001121-…Tube_75ml-DE-EN-Shop.png 2000x2000px 1434KB image/png sha 04313959… unique; pixels show METAL POLISH SUPER GLOSS tube+box Made in Germany = 75ml tube variant"
3852,SWI-SOC-ULT-M20AMG,PCS,pass,yes,yes,"Page verbatim ""M20AMG – 20A Double-pole switch C/W Neon"" under ULTRA RIMLESS Double-Pole Switches Category Matte Grey; OEM Broadlink own site; MG15.png 2424x2424px 5058KB image/png sha ad838b2e… unique; pixels show single reTOUCH matte-grey 20A DP switch c/w neon window = exact M20AMG (not 45A sibling)"
3454,HOS-CON-MEN-40200012,PCS,fail,yes,yes,"Page title ""ECOGREEN EG4035 HOSE MENDER 1/2''"" Brand field Ecogreen RM4.00 In Stock; HM.png 600x600px 213KB image/png sha 5a0e2a57… pixels show ECOGREEN blister ""1/2 Hose Mender"" — model/finish/bytes OK BUT source is skhardware.com.my ordinary retailer: Ecogreen OEM/authorised-dealer status unproven (researcher blocker stands) → official-source criterion not met"
