source_position,item_code,uom,display_name,category,official_product_page,official_image_url
627,FAN-CEI-DEKA-CX146BK12,UNIT,Deka Ceiling Fan X-one 46 Black,Fans & Ventilation,https://deka.my/x-one-46/,https://deka.my/wp-content/uploads/2025/11/X-ONE-46-2560X2560-BK.png
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,Deka Ceiling Fan Koni 54 Magnesium,Fans & Ventilation,https://deka.my/koni-54/,https://deka.my/wp-content/uploads/2025/07/KONI-54-MG-Jpg.jpg
772,FAN-CEI-DEKA-CDKN54OAK12,UNIT,Deka Ceiling Fan Koni 54 Oak,Fans & Ventilation,https://deka.my/koni-54/,https://deka.my/wp-content/uploads/2025/07/KONI-54-OAK-Jpg.jpg
640,FAN-CEI-DEKA-CCM34MG12,UNIT,Deka Ceiling Fan Concept Mini Magnesium,Fans & Ventilation,https://deka.my/concept-mini/,https://deka.my/wp-content/uploads/2025/07/CONCEPT-MINI-MG-Jpg.jpg
469,GAS-STO-KHI-GC6010,SET,Khind Gas Cooker,Chemicals & Adhesives,https://khind.com.my/products/khind-gas-cooker-gc6010,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/gc6010-hi_220523171908.jpg?v=1751809699
446,VAC-KHI-VC68P,SET,Khind - Vacuum Cleaner 600W (gold),Chemicals & Adhesives,https://khind.com.my/products/vacuum-cleaner-vc68p-160061299,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/vc68p-cover_220721131926_2a27f2fb-6483-4697-84ad-75ecc2a7d160.jpg?v=1751809349
578,PRE-STO-KHI-SPC6,SET,Khind Pressure Cooker 6L - SPC6,Other,https://khind.com.my/products/east-malaysia-exclusive-smart-pressure-cooker,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/spc6_230821170400.jpg?v=1751809563
440,VAC-KHI-VC8020MS,SET,Khind - Canister Vacuum Cleaner (sapphire Blue),Chemicals & Adhesives,https://khind.com.my/products/canister-vacuum-cleaner-vc8020ms,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ssmy.zone-1693885930-VC8020MS_wh_cover.jpg?v=1751809268
442,MIX-KHI-HM200,SET,Khind Hand Mixer (white),Bathroom,https://khind.com.my/products/hand-mixer,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ssmy.zone-1721101196-HM200_WH.jpg?v=1751809038
523,KHI-IRO-EI405-GRY,SET,Khind Electric Iron (grey),Home Appliances,https://khind.com.my/products/electric-dry-iron,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ei405-wh-cover_190523162150.jpg?v=1751809338
647,VAC-KHI-VC8630,SET,Khind - Vacuum Cleaner 2 IN 1 (blue),Chemicals & Adhesives,https://khind.com.my/products/khind-vacuum-cleaner-vc8630,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/VC8630_cover_KOL_ed4d8500-314c-4871-b62a-7beaf7d45972.jpg?v=1751809252
477,JUG-KHI-EK502,SET,Khind Electric Kettle 5.0L,Home Appliances,https://khind.com.my/products/khind-5l-stainless-steel-kettle-ek502,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ek502-wh-cover_220523155050.jpg?v=1751809340
522,KHI-COO-MC121,SET,Khind Multi Cooker 1.2L (blue),Home Appliances,https://khind.com.my/products/multi-cooker-mc121,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/mc121-1-kol_150622103348.jpg?v=1751809249
1202,TAP-SAN-SWS-304-3977,PCS,Saniware Sliver Wall Bib Tap With Hose Connect,Plumbing,https://saniware.com/product/sws-304-3977/,https://saniware.com/wp-content/uploads/2021/03/SWS-304-3977.jpg
1440,VAL-SAN-SW-SS-AV-80,PCS,Saniware Angle Valve SW-SS-AV-80,Plumbing,https://saniware.com/product/sw-ss-av-80-2/,https://saniware.com/wp-content/uploads/2021/03/SW-SS-AV-80-1.jpg
1996,BID-CAB-CB91SS-BL-DIY,PCS,Cabana Hand Bidet (matt Blk),Bathroom,https://cabana.com.my/index.php/products/bathroom/bidet/cb90ss-bl-diy-detail,https://cabana.com.my/images/virtuemart/product/CB91SS-BL-DIY-01.jpg
2067,BID-CAB-CB90SS-DIY,PCS,Cab 304 S/s Hand Bidet-matt,Bathroom,https://cabana.com.my/index.php/products/bathroom/bidet/cb90ss-diy-detail,https://cabana.com.my/images/virtuemart/product/CB90SS-DIY-01.jpg
2602,IND-CEM-GREY-25KG,BAG,Sika Ceram 88 (25KG/BAG),Building Materials,https://mys.sika.com/en/construction/tile-setting/tile-adhesives/sikaceram-88.html,https://sika.scene7.com/is/image/sikacs/my-SikaCeram-88-25kg-01536099:1-1?wid=1600&hei=1600&fit=constrain
3630,GROUT-SEAL-703,CAN,Sikagard 703 Groutseal - 1LTR,Other,https://mys.sika.com/en/home-improvement/waterproofing/sikagard-703-groutseal.html,https://sika.scene7.com/is/image/sikacs/my-02-en-MY-Sikagard-703-GroutSeal-1x1-00557701:1-1?wid=1600&hei=1600&fit=constrain
3361,SWI-ADA-MS3106N,PCS,Morries Uk Plug Travel Adaptor,Electrical,https://www.yuanming.com.my/product/morries-uk-plug-travel-adaptor-ms3106n/,https://www.yuanming.com.my/wp-content/uploads/2025/08/41-600x600.png
