ordinal,source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_state,ledger_tiers_tried,ledger_researcher_decision,ledger_gate
1500,7053,TIE-CAB-SS-200MM,PCK,SS Cable Ties (10PCS/PCK) SUS304 M4.6X200MM,Electrical,4,3.40,3,,10PCS/PCK,search,,,,,,,yes,open,,,
1501,7035,"FIT-YG225-BUSH-1/2""X1/4""-BRA",PCS,Brass Bushing 1/2 X 1/4,Plumbing,4,2.90,3,,YG225,search,,,,,,,yes,open,,,
1502,7036,"FIT-YG245-NIP-3/8""-BRA",PCS,Brass Equal Nipple 3/8,Plumbing,4,2.90,3,,YG245,search,,,,,,,yes,open,,,
1503,4602,BAT-TOS-AAA,PCK,Toshiba Battery Aaa (2PCS/PCK),Electrical,4,2.30,3,,2PCS/PCK,search,,,,,,,yes,open,,,
1504,4457,SHH-PLA-NET-NEEDLE-NO.3-GRE,PCS,Plastic Net Needle No. 3 (green),Fishing & Tackle,4,2.10,3,,NO.3,search,,,,,,,yes,open,,,
1505,3918,GLO-HAN-PVC-DOTS,PAIR,Cotton Glove W/side PVC Dots (PAIR),Safety & Workwear,5,1.90,3,Glotool,,duplicate_listing,,,,,,,yes,open,,,
1506,3703,DOR-H&S-BS065MM,PCS,Rb Hasp & STAPLE-65MM,Fasteners & Fixings,4,1.90,3,,STAPLE-65MM,search,,,,,,,yes,open,,,
1507,6711,SHH-PLA-NET-NEEDLE-NO.5-GRE,PCS,Plastic Net Neddle No. 5 (green),Fishing & Tackle,4,1.80,3,,NO.5,search,,,,,,,yes,open,,,
1508,6299,"FAS-SCR-TAP-CSK-10#1""",PACK,10 X1 Csk Self Tapping Screw-flat Head (10PCS/PCK),Fasteners & Fixings,4,1.60,3,,10PCS/PCK,search,,,,,,,yes,open,,,
1509,6814,SHH-SINKER-ROUND-NO.3,PCK,Round Shape Sinker 3 (5PCS/PCK),Fishing & Tackle,4,1.60,3,,5PCS/PCK,search,,,,,,,yes,open,,,
1510,3366,BAT-STA-SB204,PCS,Battery Lithium-ion V20 4.0AH,Electrical,3,319.00,3,,V20,search,,,,,,,yes,open,,,
1511,2664,LAD-ALU-WORKER-SS09,UNIT,Worker SS09 S/side Alum. Ladder (LDS09-MF),Ladders & Access,3,289.00,3,,SS09,search,,,,,,,yes,open,,,
1512,2683,LAD-ALU-WORKER-SS08,UNIT,Worker SS08 S/side Alum. Ladder (LDS08-MF),Ladders & Access,3,249.00,3,,SS08,search,,,,,,,yes,open,,,
1513,2633,IND-TRU-300KG,UNIT,PVC Platform Hand Truck STP300 300KGS,Building Materials,3,246.00,3,,STP300,search,,,,,,,yes,open,,,
1514,3475,ELE-PEN-DX-9002/1 GD PL,PCS,Pendant Light Gd,Electrical,3,245.00,3,,DX-9002/1,search,,,,,,,yes,open,,,
1515,2706,SHE-CAB-CB789,UNIT,Cabana Double Glass Shelf,Building Materials,3,228.00,3,,CB789,search,,,,,,,yes,open,,,
1516,2766,IND-WHE-WB288-PU,UNIT,Belway HD Wheel Barrow Wheel,Building Materials,3,219.00,3,,WB288-PU,search,,,,,,,yes,open,,,
1517,2735,IND-WHE-WB6111A,UNIT,Pu H/d Wheel Barrow,Building Materials,3,196.00,3,,WB6111,search,,,,,,,yes,open,,,
1518,3526,SWI-SOC-ELE-PTGY600,PCS,600MM Power Tracks (surface)-grey (GY600),Electrical,3,195.00,3,,GY600,search,,,,,,,yes,open,,,
1519,3621,CHA-BAT-MKX-BATTERY-15A-A,UNIT,Mark-x Battery Charger (15A-A)(15AMP),Electrical,3,189.00,3,,15A-A,search,,,,,,,yes,open,,,
1520,6031,SWI-ON/OFF-315,PCS,Pacific Ii Switchfuse 315 20A 500V,Electrical,3,169.81,3,,KNXB2/C,search,,,,,,,yes,open,,,
1521,3663,GAR-SPR-20L-ALITOOL,PCS,Alitool Battery Sprayer,Electrical,3,169.00,3,,20LTR,search,,,,,,,yes,open,,,
1522,3757,ELE-LED-FLO-SOR-100W,UNIT,Ilite Solar Street,Electrical,3,165.00,3,,RY-100W,search,,,,,,,yes,open,,,
1523,3853,TAP-CAB-CB1520SS,PCS,Cab S/s Pillar Mounted Kitchen Tap,Plumbing,3,159.00,3,,CB1520SS,search,,,,,,,yes,open,,,
1524,3939,VAL-CAB-CSK14B,UNIT,Cabana Stop Valve 1,Plumbing,3,149.00,3,,CSK14B,search,,,,,,,yes,open,,,
1525,3961,TAP-PIL-OTO-966-8,PCS,966-8 OTOSANI'304 S/s H/duty Hot&cold Pillar Tap,Plumbing,3,148.00,3,,304#S/S,search,,,,,,,yes,open,,,
1526,2975,LOC-ENT-EPO-H041/AC,SET,Epo Entrance Lock Set (H041/AC),Locks & Security,3,139.00,3,,H041/AC,search,,,,,,,yes,open,,,
1527,2998,SAF-MAS-3MR6200+3MR6003,SET,3M Half Facepiece RESPIRATOR+3M Organic Vapor,Safety & Workwear,3,125.00,3,,RESPIRATOR+3M,search,,,,,,,yes,open,,,
1528,3117,TOO-PAC-SET-TP16,SET,TP16 Manual Packing Machine & Plier,Hand Tools,3,125.00,3,,TP16,search,,,,,,,yes,open,,,
1529,2635,PAP-WALL-PARADISEII-AC9371-06,ROLL,Wallpaper Paradise Ii AC9371-06(10MX53CM),Paint & Sundries,3,115.00,3,,AC9371-06,search,,,,,,,yes,open,,,
