source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
2736,LAM-KOA,UNIT(S),Outdoor Use Lamp Koa 240V,Lighting,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]Koa outdoor lamp 240V | q:[lite-ddg-captcha]Koa lamp 240V | q:[mojeek-0]Koa lamp 240V | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | no official KOA lighting domain identifiable through any working channel; commodity outdoor lamp expected to carry marketplace-only imagery below the official-source bar; exhausted with owner action. action=search,Read the lamp carton brand in-store and email that importer for a 240V outdoor-lamp product shot; else photograph the lamp in-store
3934,TOO-BOX-PVC-8001,PCS,15IN Tool Box,Hand Tools,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]15 inch PVC tool box 8001 Malaysia | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | unbranded 15in PVC tool box; 8001 is an importer stock code with no OEM presence findable while engines are hostile; marketplace imagery below bar; exhausted with owner action. action=search,"Photograph the toolbox in-store; if the sticker or carton names a maker, email that maker for a catalogue image"
4929,CUT-PIP-PVC-VS1202,PCS,Vison PVC Pipe Cutter,Plumbing,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]Vison PVC pipe cutter VS1202 | q:[lite-ddg-captcha]Vison pipe cutter VS1202 | q:[mojeek-0]Vison VS1202 | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | Vison-brand cutter has no identifiable official domain through any working channel; trade-directory listings would breach the source bar; exhausted with owner action. action=search,Ask Salim's tools supplier for the Vison VS1202 catalogue card; else photograph the cutter in-store with the VS1202 mould mark visible
4911,SWI-MK-2G1W-S4782,PCS,Mk 2GANG 1WAY Wide Rocker Socket,Electrical,,,exhausted,1,2,"T1,T2,T3,T4,T5",,,,,,,,no,no,match,no_asset,exhausted,,,"q:[ddg-captcha]""S4782"" MK wide rocker switch | p:http://web.archive.org/cdx/search/cdx?url=mkelectric.com.sg*s4782*&output=json (0 captures) and url=mkelectric.com*s4782* (0) | p:T2 normalisation of SWI-MK-2G1W-S4782 gives variants MK2G1WS4782/S4782/2G1W; none occur in any reachable official text (Honeywell hub JS-only, .sg origin timeout) | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | redo-with-logging complete: fresh probes reach the same conclusion as round 1 - SKU cannot be bound to any official asset; exhausted with owner action. action=search","Read the carton brand on shelf stock; if MK Electric, email the Honeywell/MK MY representative for the wide-rocker 2-gang 1-way switch image, else photograph front and side in-store"
4051,BIT-HOL-DB-2311,PCS,Flexible Driver Bit Holder,Other,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]flexible driver bit holder DB-2311 | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | DB-2311 is an importer blister code on a generic bit holder; no manufacturer PDP exists to seek; exhausted with owner action. action=search,Photograph the bit holder in-store; request the blister-card artwork from the accessory importer
4067,TOO-WRE-3WAY-101214,PCS,Y Type Wrench,Hand Tools,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]Y type wrench 3 way 10mm 12mm 14mm | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | commodity Y-type/three-way wrench sized 10/12/14mm with no brand on record; nothing official exists to fetch; exhausted with owner action. action=search,Photograph the wrench in-store beside a rule; ask the hand-tools supplier which maker supplies the Y-wrench line
3201,"DL5SS-HOS-NIPP-1""X25MM",PCS,DL5 Hose Nipple 1 X 25MM,Outdoor & Garden,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]DL5 hose nipple 25mm | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | DL5/DL5SS is an importer nipple-series prefix with no official site; commodity brass/stainless fitting sold loose; exhausted with owner action. action=search,Photograph the nipple in-store with the 1x25mm size marked; ask the plumbing supplier for a DL5 series sheet
5361,DRI-AUG-2WAY-12MM,PCS,T&t 2WAY Auger BIT-1/2,Power Tool Accessories,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]T&T auger bit 12mm two way | q:[lite-ddg-captcha]T&T auger bit | q:[mojeek-0]T&T auger bit | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | T&T-branded auger bit has no resolvable official MY tools domain through any working channel; exhausted with owner action. action=search,Email the T&T hardware distributor from Ekoway's invoice records for an auger-bit card image; else photograph in-store showing the 2-way tip and 1/2in shank
3373,"HOS-FLE-VIP-PP18""",PCS,PP-18 White Nylon Vip Flexible Tube,Outdoor & Garden,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]VIP PP18 white nylon flexible tube | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | VIP nylon-flex is an importer line with no official domain; commodity conduit sold loose; exhausted with owner action. action=search,Photograph the tube coil with the PP-18 print visible in-store; request the importer's range sheet covering PP-10/PP-14/PP-18
3530,BNW-B&N-RBN-250-PCK,PCK,Sr G. I Boit & Nut 1/4 X 5 (10PCS/PCK),Fasteners & Fixings,,,exhausted,1,2,"T1,T5",,,,,,,,no,no,match,no_asset,exhausted,,,q:[ddg-captcha]G.I. bolt nut 1/4 x 5 pack Malaysia | infra: websearch provider exa HTTP429 on initial try + both permitted retries this session; Bing RSS returned unrelated canned items; DuckDuckGo html and lite endpoints bot-walled (captcha); Mojeek 403/empty | commodity galvanised bolt-and-nut 10-pack; detected_model is a pack quantity and cannot bind any asset; no OEM identity possible; exhausted with owner action. action=search,Photograph an opened 10-piece pack in-store; ask the fastener counter which mill supplies the SR G.I. bolt line for a future OEM lookup
