source_position,verifier_verdict,finish_exact,model_exact,justification
4132,pass,,,imported from verifier batches
4306,fail,,,imported from verifier batches
4330,fail,,,imported from verifier batches
3622,fail,,,imported from verifier batches
4669,fail,,,imported from verifier batches
2682,fail,,,imported from verifier batches
2795,fail,,,imported from verifier batches
4755,fail,,,imported from verifier batches
4913,fail,,,imported from verifier batches
5342,fail,,,imported from verifier batches
5343,fail,,,imported from verifier batches
2751,fail,,,imported from verifier batches
3070,fail,,,imported from verifier batches
3212,fail,,,imported from verifier batches
6437,fail,,,imported from verifier batches
