source_position,item_code,uom,display_name,category,official_product_page,official_image_url,verifier_verdict,model_exact,finish_exact
3828,TOO-DRV-STA-6.5X150MM-9960651930,PCS,"Cushion Grip S/dr Std - (1/4""X6"")",Power Tools,https://my.stanleytools.global/product/stmt60828-8/cushion-grip-65mm-x-150mm-standard-screwdriver,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/STMT60828-8_1.jpg,pass,yes,yes
5025,AIR-DUS-LX03,PCS,AD04 Long PVC Air Duster,Automotive,https://www.aircraftair.com/SG-AD04_AIR-DUSTER_BLOW-GUN-PLASTIC-HANDLE-LONG-NOZZLE,https://b2c.et-dev.co.za/img/rs:fit:1000:1000:1/ex:1/data/products/vermontsales/SG%20AD04.jpg?lm=1740044553,pass,yes,yes
3064,TOI-CAS-WD005-S-TRAP,SET,Closed Coupled WC 250MM S Trap,Plumbing,https://docasa.com.my/product/lodge-wd005-s-s-trap/,https://docasa.com.my/wp-content/uploads/2020/09/WD005.jpg,pass,yes,yes
3253,TOI-CAS-WD012,UNIT,Luton Close Couple 200MM S Trap,Plumbing,https://docasa.com.my/product/destin-wd012-s-s-trap/,https://docasa.com.my/wp-content/uploads/2020/09/WD012.jpg,pass,yes,yes
2603,LAD-H/D-STRO-DS06,UNIT,D/s H/d Ladder DSHD06 6STEP,Ladders & Access,https://b2b.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd06-6step,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0003629_157242.jpeg?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787452331&Signature=%2BfVLksU%2FQmBoeKur1SdamE3rWtw%3D,pass,yes,yes
3901,TAP-CAB-CB889SS-BL,PCS,Cab Pillar Mounted Kit Tap (pull Out-blk),Plumbing,https://cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb889ss-bl-detail,https://cabana.com.my/images/virtuemart/product/CB889SS-BL.jpg,pass,yes,yes
3933,TAP-CAB-CB1547SS-RG,PCS,Cabana 304 S/steel Pillar Mounted Kitchen Tap,Plumbing,https://www.zhinheng.com.my/showproducts/productid/4223333/cid/660745/cabana-pillar-mounted-kitchen-tap-cb1547ssrg-cb1547ssfrgdiy/,https://cdn1.npcdn.net/images/78833c521b19d23138cdf1bf8681edfe_1780038924.webp?md5id=9424aa849c54613a0086d9003cb1e5f7&new_width=1000&new_height=1000&size=max&w=1730524398&from=jpeg&type=9,pass,yes,yes
4063,TAP-CAB-CB2541SS,PCS,Cab Pillar Mounted Flex Head+spout Kitchen Tap Body (DIAMETER32MM),Plumbing,https://cabana.com.my/index.php/products/kitchen/kitchen-faucet/cb2541ss-detail,https://cabana.com.my/images/virtuemart/product/CB2541SS.jpg,pass,yes,yes
2950,HOS-REL-EAG-EG2030#,PCS,Eagle Hose Reel 20M Hose (EG2030 ),Fishing & Tackle,https://sklhardware.com/products/ready-stock-eagle-eg2030-20m-water-hose-reel-complete-set-tough-durable-versatile,https://cdn.store-assets.com/s/1367024/i/81038204.jpg?width=1024,pass,yes,yes
3204,IND-TRU-MET-150KGS,UNIT,Platform Hand Truck-metal ST150 150KGS,Building Materials,https://www.sunlightrack.com.my/component/hikashop/product/193-metal-st150-hand-truck,https://www.sunlightrack.com.my/images/com_hikashop/upload/1575450851_p039--.png,pass,yes,yes
