source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
6717,BNW-B&N-ORI-09160,KGS,Mild Steel Bolt & Nut 3/8 X 6,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,KGS matches weight-based over-the-counter sale of loose bolt-nut stock,no_asset,exhausted_no_candidate,,,"q: websearch [mild steel bolt and nut 3/8 x 6 Malaysia supplier official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""bolt & nut"" ""3/8"" ""x 6"" mild steel Malaysia wholesaler] -> only noise results no OEM product page | q: duckduckgo-html [mild steel bolt & nut 3/8 x 6 Malaysia] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints imperial-size strings for loose mild steel bolt-and-nut stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
6826,BNW-B&N-ORI-09800,KGS,Mild Steel Bolt & Nut 3/8 X 8,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,KGS matches weight-based over-the-counter sale of loose bolt-nut stock,no_asset,exhausted_no_candidate,,,"q: websearch [mild steel bolt and nut 3/8 x 8 Malaysia supplier official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""bolt & nut"" ""3/8"" ""x 8"" mild steel Malaysia wholesaler] -> only noise results no OEM product page | q: duckduckgo-html [mild steel bolt & nut 3/8 x 8 Malaysia] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints imperial-size strings for loose mild steel bolt-and-nut stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5090,BNW-BOL-HTM-M06-25MM,PCS,H/t Bolt - M 06 X 25MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 06x25 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""06x25mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""06x25"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5118,BNW-BOL-HTM-M06-20MM,PCS,H/t Bolt - M 06 X 20MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 06x20 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""06x20mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""06x20"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5283,BNW-BOL-HTM-M06-30MM,PCS,H/t Bolt - M 06 X 30MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 06x30 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""06x30mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""06x30"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5355,BNW-BOL-HTM-M08-35MM,PCS,H/t Bolt - M 08 X 35MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x35 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x35mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x35"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5846,BNW-BOL-HTM-M08-45MM,PCS,H/t Bolt - M 08 X 45MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x45 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x45mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x45"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5845,BNW-BOL-HTM-M08-20MM,PCS,H/t Bolt - M 08 X 20MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 08x20 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""08x20mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""08x20"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5844,BNW-BOL-HTM-M06-35MM,PCS,H/t Bolt - M 06 X 35MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 06x35 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""06x35mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""06x35"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
5989,BNW-BOL-HTM-M10-25MM,PCS,H/t Bolt - M 10 X 25MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,,n/a,n/a,PCS matches per-piece sale of individual bolts,no_asset,exhausted_no_candidate,,,"q: websearch [high tensile hex bolt 10x25 Malaysia official] -> HTTP 429 retried once after 22s -> 429 again | q: bing [""high tensile"" hex bolt ""10x25mm"" Malaysia] -> only noise results no OEM product page | q: duckduckgo-html [high tensile bolt ""10x25"" site:.com.my] -> bot-challenge blocked | p: https://unbrako.com/ official high-tensile fastener OEM opened - only brand-family catalogue pages no per-size product page for unbranded commodity stock | p: https://www.bdnfasteners.com/ opened - Taiwanese roofing-screw manufacturer no hex bolt line | Closing: no model string appears on any official page - detected_brand and detected_model are empty for this bulk commodity and no OEM page prints size strings for loose high-tensile bolt stock.",Shoot in-store: photograph loose stock bin next to a ruler for size scale
