source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
5540,BNW-BOL-HTM-M14-45MM,PCS,H/t Bolt - M 14 X 45MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 14 X 45MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 14 X 45MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
5652,BNW-BOL-HTM-M12-75MM,PCS,H/t Bolt - M 12 X 75MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 12 X 75MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 12 X 75MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
5503,BNW-BOL-HTM-M14-50MM,PCS,H/t Bolt - M 14 X 50MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 14 X 50MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 14 X 50MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
6963,BNW-BOL-HTM-M06-45MM,PCS,H/t Bolt - M 06 X 45MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 06 X 45MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 06 X 45MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
5580,BNW-BOL-HTM-M14-60MM,PCS,H/t Bolt - M 14 X 60MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 14 X 60MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 14 X 60MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
5633,BNW-BOL-HTM-M14-65MM,PCS,H/t Bolt - M 14 X 65MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 14 X 65MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 14 X 65MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
6244,BNW-BOL-HTM-M12-70MM,PCS,H/t Bolt - M 12 X 70MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 12 X 70MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 12 X 70MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
6294,BNW-BOL-HTM-M12-60MM,PCS,H/t Bolt - M 12 X 60MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 12 X 60MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 12 X 60MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
6093,BNW-BOL-HTM-M14-40MM,PCS,H/t Bolt - M 14 X 40MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 14 X 40MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 14 X 40MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
7191,BNW-BOL-HTM-M06-60MM,PCS,H/t Bolt - M 06 X 60MM,Fasteners & Fixings,,,exhausted,1,1,1,,,,,,,low,n/a,no,PCS correct for loose commodity bolts sold per piece,no_asset,exhausted,,,"q:""hex bolt"" ""M12 x 75mm"" official manufacturer Malaysia -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:""high tensile bolt"" ""M14 x 45mm"" site:.com.my -> websearch returned HTTP 429 (rate-limited, attempted twice) | q:high tensile hex bolt grade 8.8 M12 M16 Malaysia supplier -> websearch returned HTTP 429 (rate-limited) | q:""high tensile bolt"" M12 M16 supplier Malaysia official -> websearch returned HTTP 429 (rate-limited) | p:https://sonichardware.com.my (200) | p:https://www.cheongseng.com.my/?ws=showproducts&cpath=1002_1060&cat=Fasteners (200) | Generic unbranded commodity SKU (no detected_brand/detected_model): size string ""M 06 X 60MM"" appears nowhere on either opened page because neither site carries any bolts/fasteners category at all, so no official OEM product page can exist for an unbranded DIN-style high-tensile hex bolt; marketplace-only hits (Shopee/Lazada) are excluded by policy -> exhausted, no_asset.","Email Sonic Hardware (Sarawak) Sdn Bhd (sales@sonichardware.com.my, +6084-215215) or Ekoway's bolt/nut wholesaler for an official M 06 X 60MM H/T bolt packshot, or shoot in-store at the Salim/Sibu branch."
