source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
6744,"FIT-HDPE-ADA-MAL-20MMX1/2""",PCS,HDPE Adaptor Male 20MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE"" ""adaptor male"" ""20mm x 1/2"" Malaysia | q: ""HDPE nipple"" fitting Malaysia | p: https://html.duckduckgo.com/html/?q=%22HDPE%22+%22adaptor+male%22 (bot-challenge page, no usable results) | https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | https://www.ewarehouse.my/hdpe-pipes (HTTP 200; ATKC Hardware Trading Sdn Bhd eWarehouse HDPE category stocks pipes only - 14 SKUs, zero small fittings) | Closing: size string ""20MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email ATKC Hardware Trading Sdn Bhd eWarehouse (+603-3181 8870, ewarehouse.my Send Inquiry) for a HDPE adaptor male 20mm x 1/2 packshot, or shoot in-store."
3815,FIT-HDPE-BEN-ELB-25MM,PCS,HDPE Bend (elbow) 25MM,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | https://www.ewarehouse.my/hdpe-pipes (HTTP 200; ATKC Hardware Trading Sdn Bhd eWarehouse HDPE category stocks pipes only - 14 SKUs, zero small fittings) | Closing: size string ""25MM"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE bend (elbow) 25mm packshot, or shoot in-store."
4578,FIT-HDPE-BEN-ELB-20MM,PCS,HDPE Bend (elbow) 20MM,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""20MM"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE bend (elbow) 20mm packshot, or shoot in-store."
4822,"FIT-HDPE-BEN-FEM-25MMX3/4""",PCS,HDPE Bend Female 25MM X 3/4,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend"" female threaded 25mm Malaysia | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM X 3/4"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE female bend 25mm x 3/4 packshot, or shoot in-store."
5291,"FIT-HDPE-BEN-FEM-20MMX1/2""",PCS,HDPE Bend Female 20MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend"" female threaded 25mm Malaysia | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""20MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.",Shoot in-store: photograph a HDPE female bend 20mm x 1/2 from shelf stock; no OEM asset exists.
5164,"FIT-HDPE-BEN-MAL-25MMX1/2""",PCS,HDPE Bend Male 25MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend male"" threaded 25mm | q: ""HDPE bend"" female threaded 25mm Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE male bend 25mm x 1/2 packshot, or shoot in-store."
5549,"FIT-HDPE-BEN-MAL-20MMX1/2""",PCS,HDPE Bend Male 20MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend male"" threaded 25mm | q: ""HDPE bend"" female threaded 25mm Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""20MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE male bend 20mm x 1/2 packshot, or shoot in-store."
5476,"FIT-HDPE-BEN-MAL-25MMX3/4""",PCS,HDPE Bend Male 25MM X 3/4,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend male"" threaded 25mm | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM X 3/4"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email ATKC Hardware Trading Sdn Bhd eWarehouse (+603-3181 8870, ewarehouse.my Send Inquiry) for a HDPE male bend 25mm x 3/4 packshot, or shoot in-store."
5745,"FIT-HDPE-BEN-FEM-25MMX1/2""",PCS,HDPE Bend Female 25MM X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend"" female threaded 25mm Malaysia | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE female bend 25mm x 1/2 packshot, or shoot in-store."
7236,"FIT-HDPE-BEN-MAL-25MMX1""",PCS,HDPE Bend Male 25MM X 1,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bend male"" threaded 25mm | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""25MM X 1"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.",Shoot in-store: photograph a HDPE male bend 25mm x 1 from shelf stock; no OEM asset exists.
5312,FIT-HDPE-BEN-ELB-32MM,PCS,HDPE Bend (elbow) 32MM,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: HDPE bend elbow 25mm compression fitting Malaysia supplier | q: ""HDPE bend male"" threaded 25mm | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""32MM"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE bend (elbow) 32mm packshot, or shoot in-store."
7518,"FIT-HDPE-BUS-1""X1/2""",PCS,HDPE Bush 1 X 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,no,no,PCS consistent: compression fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider HTTP 429 after retry, queries executed as Bing SERP fetches) | q: ""HDPE bush"" reducer fitting ""1 x 3/4"" | q: ""HDPE nipple"" fitting Malaysia | p: https://www.heapwah.com.my/product-category/hdpe/ (HTTP 200; Heap Wah Enterprise Sdn Bhd distributor catalogue - HDPE section lists only Buteline / Buttfusion / Compression / Electrofusion fittings and Hdpe Pipes subcategories, no unbranded small-fitting OEM page) | Closing: size string ""1 X 1/2"" appears nowhere on any official/OEM page - offers exist only on Shopee/Lazada/AliExpress marketplaces; item is an unbranded HDPE fittings commodity with no manufacturer model string, so no OEM brand/model page exists.","Email Heap Wah Enterprise Sdn Bhd (heapwah.com.my enquiry, +6 03 7782 8201) for a HDPE bush 1 x 1/2 packshot, or shoot in-store."
