source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
5481,HOS-GAR-ORA-160330-MTR,MTR,Greenland Super Fancy Hose (gpi) 5/8 X 3MM,Outdoor & Garden,,,open,1,2,"1,2",,,,,,,,,,MTR appropriate (cut-to-length commodity),no_asset,park_open_tier2_no_oem_sku_page,,,"r2 | q: bing ""greenlandplas \""Super Fancy\"" hose"" -> junk SERP | q: bing ""\""Super Fancy Hose\"" GPI 5/8 Malaysia"" -> junk SERP | session engines: exa websearch HTTP429 (retried), ddg html/lite bot-wall 202, brave/ecosia/yep/paulgo 403/429, bing SERPs bot-degraded (unrelated junk results) | p: http://greenlandplas.com/sitemap.xml (200 - 8 brochure URLs only) | p: http://greenlandplas.com/soft-hose-tubing/ (200 - full text contains no 'Fancy'/SKU; category hero images only) | tier-2 close-out on the OEM site: greenlandplas.com carries no Super Fancy product page, SKU remains marketplace-only",Email gpi@greenlandplas.com requesting the Super Fancy Hose (007/GPI) 5/8in x 3mm packshot
6812,RIG-CLI-GAL-03MM,PCS,Galvanised Wire Rope Clip 03MM,Lifting & Rigging,,,exhausted,1,2,"1,2",,,,,,,,,,PCS appropriate,no_asset,re_exhausted_unbranded_commodity_tiers_12,,,"r2 | q: bing ""DIN 741 wire rope clip 3mm galvanised manufacturer"" -> junk SERP (DIN institute/Wikipedia/Din Tai Fung noise) | session engines: exa websearch HTTP429 (retried), ddg html/lite bot-wall 202, brave/ecosia/yep/paulgo 403/429, bing SERPs bot-degraded (unrelated junk results) | combined tiers 1+2 closing: R1 found trader-only listings (JTE Asia TEMO DIN741, Kim Chok 1/8in variant, Thewwarehouse 3mm GI); unbranded malleable wire-rope clip has no OEM/brand owner with an official page anywhere online; tiers 3-5 cannot yield an official SKU image for a generic commodity","Shoot in-store on white background showing the 3MM clip and any stamping, or request a packshot from the Kim Chok enquiry contact"
6913,SAF-EAR-PLU-3M-1110,PAIR,3M 1110 Disposable Ear Plug,Electrical,,,open,1,2,2,,,,,,,,,,PAIR appropriate,unknown,park_open_3m_site_unreachable,,,"r2 | q: exa websearch ""3M 1110 ear plug"" -> HTTP429 twice | q: bing ""3M 1110 ear plug site:3m.com"" -> junk SERP | p: https://www.3m.com.my/ read-timeout x2 (Akamai wall) | p: https://www.3m.com/ read-timeout | p: multimedia.3m.com DNS resolves to same Akamai edge - not attempted further | official 3M PDP exists in principle but is unreachable from this session; marketplace sourcing excluded while OEM exists",Download the official 3M 1110 packshot from 3m.com on an unrestricted network or request it from the 3M Malaysia safety distributor; else shoot the pair pack in-store
7267,SAF-EAR-PLU-3M-1100,PAIR,3M 1100 Disposable Ear Plug,Electrical,,,open,1,2,2,,,,,,,,,,PAIR appropriate,unknown,park_open_3m_site_unreachable,,,"r2 | q: exa websearch ""3M 1100 ear plug"" -> HTTP429 twice | q: bing ""3M 1100 ear plug site:3m.com"" -> junk SERP | p: https://www.3m.com.my/ read-timeout x2 (Akamai wall) | p: https://www.3m.com/ read-timeout | official 3M PDP exists in principle but is unreachable from this session; marketplace sourcing excluded while OEM exists",Download the official 3M 1100 packshot from 3m.com on an unrestricted network or request it from the 3M Malaysia safety distributor; else shoot the pair pack in-store
3904,TOO-WRE-DOU-1213,PCS,Double Flexible Socket Wrench 12 X 13MM,Hand Tools,,,open,1,2,"1,2",,,,,,,,,false,PCS appropriate,unknown,park_open_distributor_pdp_no_model_string,,,"r2 | q: bing ""double flexible socket wrench 12x13 mm"" + ""double flexible socket wrench 12 13 mm manufacturer"" -> junk SERPs (Gladiator movie/Kerala police noise) | p: https://m.chentat.com/index.php?ws=ourproducts&cid=492847&cat=ARROW&subcat=Flexible-Socket-Wrench&lang=en (200; 4 SKUs incl products_id=4707239 titled exactly 'Double Flexible Socket Wrench') | p: chentat PDP 4707239 full text - title+gallery only, prints NO size/model so 12X13MM is unquotable; single family hero shared across sizes | p: https://www.arrowtoolgroup.com/ (200; US Arrow Fastener/Pony-Jorgensen storefront - not this trade brand's OEM) | family-hero rule blocks candidature",Ask Chen Tat Machinery Hardware (Port Klang) for the ARROW flexible-socket-wrench size/code sheet confirming 12X13MM; else shoot both ends in-store on white background
4516,VER-MAR-3M-DG3SM,PCS,3M Side Marking,Other,,,open,1,2,2,,,,,,,,,,PCS appropriate,unknown,park_open_identity_unresolved,,,"r2 | q: bing ""3M side marking tape vehicle"" -> junk SERP (generic 3M homepage links) | session engines: exa websearch HTTP429 (retried), ddg html/lite bot-wall 202, brave/ecosia/yep/paulgo 403/429, bing SERPs bot-degraded (unrelated junk results) | p: https://www.3m.com.my/ read-timeout (Akamai wall) | item_code token DG3SM does not resolve to any printed 3M SKU this session; physical label check needed before any OEM match","Photograph the roll label/carton in-store to capture the true 3M SKU, then re-run the OEM lookup"
6882,SWI-S/SKT-ACE-652,PCS,Ace 652 2G 1W Switch Sr,Electrical,,,open,1,2,2,,,,,,,,,,PCS appropriate,unknown,park_open_oem_absent,,,"r2 | p: https://www.ace.com.my/ (200 - Ace plastic food containers, unrelated company) | aceelectrical.com.my / acemy.com.my / umswitch.com NXDOMAIN; aceew.com DNS resolves but server drops connection (dead host) | p: chentat ACE-Brand cid=442580 (fasteners only - nails/screws/plugs, no switches) | q: bing ""Ace Electrical Industries Sdn Bhd switches Malaysia"" + ""Ace 652 switch socket outlet Malaysia"" -> junk SERPs | no Ace-switch OEM property findable this session","Identify the ACE switch OEM from the SIRIM certificate mark on the carton or supplier invoice, then locate its official catalogue page or request a packshot"
5950,X-SHI-FAC,PCS,Face Shield,Power Tools,,,open,1,2,2,,,,,,,,,,PCS appropriate,unknown,keep_open_unbranded_no_lead,,,"r2 | q: bing ""face shield safety Malaysia supplier manufacturer"" -> junk SERP (Facebook/Wikipedia noise) | unbranded commodity PPE; no OEM lead surfaced with all engines blocked",Shoot in-store on white background; check visor/headband for a stamped brand before re-running any OEM lookup
5205,"PAI-ROL-REF-4010-4""",PCS,4 4010 Adamark Paint Roller Refill,Paint & Sundries,,,open,1,2,2,,,,,,,,,,PCS appropriate,unknown,park_open_brand_page_absent,,,"r2 | p: chentat ADAMARK cid=560557 listing (24 SKUs: cable ties, plastic chain, wood chisel, socket sets, spanners, angle ruler, drill chuck/key, padlock bracket, roller extension handle, nail tacker, measuring tapes, cutting/grinding wheels, lock kits - NO roller refill 4010) | p: junseng.com.my/search?search_name=adamark (4 member-store results: nylon rope, bolt cutter, measuring tape x2 - no paint tools) | q: bing ""Adamark paint roller refill Malaysia"" -> junk SERP | adamark.com.my / adamark.my / adamark.com.sg NXDOMAIN","Ask the paint-sundries supplier / Adamark importer for the 4010-series roller-refill catalogue sheet (4in), else shoot core and nap in-store"
4659,GUM-RAT-AIT-150G,PCS,Aitachi Rat Glue (s) 150G,Chemicals & Adhesives,,,open,1,2,"1,2",,,,,,,,,false,PCS appropriate,unknown,park_open_no_resolvable_oem,,,r2 | p: aitachi.com.my / aitachi.my / aitachi.com.tw NXDOMAIN (aitachi.com + aitachi2u.com already dead in R1) | p: yonghupheng.com/search?search_name=aitachi (0 relevant hits - Dulux paint fallback row) | no resolvable Aitachi OEM property again at tier 2,Identify the Aitachi importer/distributor via pest-control trade channels and request a 150G rat-glue packshot
