source_position,item_code,uom,official_image_url,image_sha256,image_px_w,image_px_h,image_bytes
3244,,,https://cdn1.sgliteasset.com/jayamata/images/product/product-6675983/cached/K0LEOahq6940cd16cd41c_1765854487_webstore_listing_image1.jpg,c914b2f3245c0be1ef296cff871d217714014b4c863172f9878b02c1effadc88,3334,3334,414326
3688,,,https://cdn-optimized.imweb.me/upload/S202409028ec5f2e2d14cd/bd24131a744e9.jpg?w=750,64928f259fdbf8907bcc8f80ee5edf6880e18990c26ced48d38832523b1e134e,750,750,23344
4043,,,https://cdn1.npcdn.net/images/1f038035bb5ff9397298775cbf05ed8a_1755052518.webp?md5id=50ae0ce8c27842532dcd83c3678302bc&new_width=1000&new_height=1000&size=max&w=1657949317&from=jpeg&type=9,86058eeb37ff7d67e1c3b7478d9c0c4197fa2b0ceda25758a948bb84c67f267a,1000,1000,185260
4478,,,https://www.ewarehouse.my/image/cache/catalog/products/22734/nylon%20brush_1-550x550.jpg,b2be0133537481df35328a919cd506ecce2f5635f11875ec4c92cb09d2483a7f,550,550,63336
4615,,,https://www.ewarehouse.my/image/cache/catalog/products/8409/Authorized_Seller_All_Purpose_Paint_Brush_2_1_2-1000x1000.jpg,faa753daece2cdc70bd16cb9fb1c951f25eada10ca138abadc22e3396c45af6e,1000,1000,81960
4718,,,https://www.ewarehouse.my/image/cache/catalog/products/22734/nylon_brush_2-550x550w.jpg,10b20a1938f58818094b0ac8549fe64cf6ff8bd437b692298e8002a1729501b8,550,550,35002
4869,,,https://img.myshopline.com/image/store/1704420848892/Sharpie-Fine-Point-Permanent-Marker-Red.png?w=1414&h=2000&q=80,d1b7e246230a252a87ce0d93d93579f5c5d6ea4ccafd7f3f7f591b9943a5bfe0,1414,2000,151020
5453,,,https://www.tajimatool.com/wp-content/uploads/2017/11/LC500_3.jpg,a32d8984d1577924389a58d9dbacbd7f4762c8634774d987110ace49ff35db54,520,485,27178
5471,,,https://www.pcn.com.my/data/prod/1573092818_no.jpg,613cab7df9dad1bd04a8d00d620a15cb166c564ccd689bba868313e9102bb269,823,617,392421
5610,,,https://www.ewarehouse.my/image/cache/catalog/products/192/plf-rt-600x600h.jpg,a5e5a4054887904d2bd47040799ae0e23d0e11f0afff175f32f3383cc13ad0c0,600,600,57946
5712,,,https://www.metrostarhardware.com/image/metrostarhardware/image/data/all_product_images/product-1104/vgKtoOWM1629087457.jpg,d433293c7de5b617cd72cb29ddd5ff07d58a4222225191283fd4eb322c5198df,550,733,47959
5902,,,https://nyhardware.com.my/my_asset/products/Pneumatic%20Fitting%20%26%20Hose%20Product/Rubber%20Products/red-door-stopper_1-576x576.png,db0e73c44cb3f1b1bc34e6261961bcfd325649534834634e24c09264991f4fd5,576,576,115289
6394,,,https://www.gc2u.com.my/image/cache/catalog/product/C-7MM/C-7MM-500x500.png,3d9a223ca1e21b9387dde16ab65f42365bc575338c22d5ff2f1ff761b9681a9d,500,500,32062
6573,,,https://cdn1.npcdn.net/images/1721800533782686b908085281bf8b03d2099ec784.webp?md5id=2db57e442e48e8860facef49e0a8f2dc&new_width=1000&new_height=1000&size=max&w=1770278800&from=jpg&type=9,c364f5d3a783cf3f84a86d505d9aaa8fd991a0faa021a3aaaaba3a301e848f47,557,557,72128
6640,,,https://www.ewarehouse.my/image/cache/catalog/products/6331/b-tanicen1-550x550.jpg,f1406b5fd6cafaedd75d1ad9756e13d49b25db6b13972c170b71c7680eaefbe2,550,550,21829
6653,,,https://www.ewarehouse.my/image/cache/catalog/products/6332/b-tanicen1-600x600.jpg,1a1c97c7ded390035f267dc2c936d7b0c80c0abfe42c9da2b238ff63d6eb5857,600,600,66418
6750,,,https://wingsoon.com.my/wp-content/uploads/2018/12/pvc_pipe.jpg,9c5f3d0cf9876451d846ffaec4190be16b5166b92d5fcd57c661c67486a40abe,1880,573,175927
