source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
2642,VAC-HYU-HD-1600,UNIT,Hyundai Vacuum Cleaner 1600W 30L,Chemicals & Adhesives,,,open,1,,,,,,,,,,,,,unknown,,,,,
2646,ELE-CEI-LIG-8910/500-36PCS,PCS,8910/500 Sq 36PCS Daylight L/ceiling Lamp,Lighting,,,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[""8910/500"" ceiling lamp daylight site:.com.my | ""8910/500"" ceiling light | ""8910/500"" ceiling lamp] | Model 8910/500 returns zero relevant results anywhere; only generic lighting retailers (Homepro YETPLUS/IWACHI etc.); brand unidentified, so no official source verifiable.",
2671,WEL-MAC-FIG-MMA160,UNIT,Fighter Inverter Welding Machine 160A,Welding,Fighter,MMA 160ND,candidate,1,1,1,https://www.cmw.com.my/product-page/mma-160nd,https://static.wixstatic.com/media/f9a5b1_9d0d7a1416bc449fbf4a2e45c146b996~mv2.jpg,700,700,190796,2165b9ca94c608ef942646291845ef950772894884edb0d62bef01a01e1f5067,medium,yes,yes,match,needs_permission,candidate,pass,,"q:[q1/q5: ""Fighter"" ""MMA160"" inverter welding machine site:.com.my] | opened:[https://fighterwelding.com | https://www.fighterwelding.com | https://innovestengineering.com/product/fighter-mma-160-welding-machine/ | https://chipsenghenghardware.com/product/fighter-mma160nd-inverter-welding-machine/ | https://www.cmw.com.my/product-page/mma-160nd | https://www.cmw.com.my/fighter] | CMW Engineering (MY distributor) PDP for Fighter by i-WELD MMA 160ND, the 160A inverter; identical marketing copy to SKU. Authorised status unstated; SKU code MMA160 vs official MMA 160ND.",
2703,KGR-COM-7KG,TIN,Kangaroo Brand 7 KG Bituminous Compound,Paint & Sundries,Kangaroo,7KG bituminous compound,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[q1: Kangaroo Brand bituminous compound Malaysia [429 x3] | direct:kangaroo.com.my [transport error] | direct:kangaroobrand.com.my [transport error] | direct:kangarootrade.com.my [transport error]] | opened:[https://www.kangaroo.com.my (transport error) | https://kangaroobrand.com.my (transport error) | https://www.kangarootrade.com.my (transport error)] | Kangaroo Brand 7kg bituminous compound: all plausible brand-owner domains DNS-unresolvable; every search channel blocked; cannot verify any official page, PDF, or distributor PDP.",
2720,MIR-KT8001-600,PCS,Mirror Kt 8001-600,Bathroom,KT,Mirror KT8001-600,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,q:[skipped: KT brand too ambiguous to probe without search (429)] | 'KT' bathroom-mirror brand unresolvable to an official domain; model 8001-600 unverifiable without functional search.,
2723,TOO-DRI-SET-WK-PWT-5515,SET,Worker 26MM 21V Lithium Brushless Impact Drill,Power Tools,,,open,1,1,1,,,,,,,low,,,,unknown,no_official_source,,,"q:[""Worker"" ""21V"" brushless impact drill site:.com.my | ""WK-PWT-5515"" | ""WK-PWT-5515"" worker | ""WORKER"" power tools Malaysia ""authorised"" OR ""distributor""] | WK-PWT-5515 appears only on Lazada/Shopee and dealer stores (Lion Machinery Supply; BuatAnMalaysia unreachable); no WORKER brand-owner site or provable authorised distributor; listings call it rotary hammer not impact drill.",
2767,JQB-FUSION-1000,UNIT,Jqb Power Station Fusion 1000 (ac 1000),Power Tools,,,open,1,,,,,,,,,,,,,unknown,,,,,
2785,SIN-STA-RAC-110037,SET,Heavy Duty S/s Flexible Basin Stand,Bathroom,,110037 basin stand,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[q1-q6 unavailable: websearch 429] | Generic stainless flexible basin stand, no brand/model recorded; nothing to match against an official source.",
2791,X-ELE-CEI-LIG-8711-60PCS,PCS,8711 L/ceiling Lamp With Remote Control - Dimmable,Lighting,,8711 LED ceiling lamp dimmable,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,q:[skipped: no detected brand] | Unbranded dimmable LED ceiling lamp model 8711; no manufacturer identifier to trace officially.,
2819,JQB-FUSION-500,UNIT,Jqb Power Station Fusion 500 (ac 600),Power Tools,,,open,1,,,,,,,,,,,,,unknown,,,,,
2829,VAC-HYU-HD-1600E,UNIT,Hyundai Vacuum Cleaner 1600W 25L,Chemicals & Adhesives,,,open,1,,,,,,,,,,,,,unknown,,,,,
2830,X-FAN-CEI-COSA-998,UNIT,Alpha Cosa 998 Ceiling Fan - Pwt,Fans & Ventilation,Alpha Cosa,998 ceiling fan PWT,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[websearch ""Cosa 998"" Alpha ceiling fan Malaysia [429] | direct:alphafan.com.my / alphaelectric.com.my x2 [transport errors]] | opened:[https://alphaelectric.com.my/ | https://www.alphaelectric.com.my/ | https://alphafan.com.my/] | Search rate-limited (429); all plausible Alpha fan domains unreachable. Cannot verify Cosa 998 on any official brand-owner page.",
2832,ELE-CEI-LIG-1842/1,SET,1842/1 L/ceiling Lamp,Lighting,,1842/1 L/ceiling lamp,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[q1-q6 unavailable: websearch 429; bare model code unattributable] | No detected brand; bare model code 1842/1 unattributable to any OEM. Search down, no plausible official domain to probe.",
2882,COC-SIN-DOU-VIP3366,SET,Two-way Arc Sink Tap: Vip 3366 Pillar 1/2,Kitchen & Sinks,VIP,3366 pillar tap,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,q:[direct:vip.com.my / vipbathroom.com.my [transport errors] | q1-q6 unavailable: websearch 429] | opened:[https://www.vip.com.my/ (transport error) | https://vipbathroom.com.my/ (transport error)] | VIP-brand pillar tap: vip.com.my and vipbathroom.com.my both unreachable; search rate-limited; model 3366 unverifiable on any official brand page.,
2887,HOS-CLE-01930,COIL,19MM X 30M Clear Hose,Outdoor & Garden,,01930,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[q1: ""clear hose"" ""19mm"" ""30m"" Malaysia water] | Generic clear PVC hose coil, no brand/model. Search returned foreign retailer/OEM listings only; no official brand-owner source exists.",
2890,JQB-SUNWAVE-32W,UNIT,Jqb Foldable Solar Panel 32W,Power Tools,,,open,1,,,,,,,,,,,,,unknown,,,,,
2914,TOO-ELE-GUN-RKEY-3802-40W,PCS,40W R'key Electric Soldering Iron - 3802,Home Appliances,R'key,3802 soldering iron 40W,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[q2: ""R'key"" soldering iron 3802 [DDG bot captcha] | direct:rkey.com.my [transport error]] | opened:[https://rkey.com.my (transport error)] | DuckDuckGo served a bot captcha and rkey.com.my does not resolve. No official R'key manufacturer page found; likely Shopee-only China import.",
2921,GAS-STO-HM-HGB-1690,UNIT,Homa Plus Cast Iron Automatic Stove (31A)-1690,Home Appliances,Homa Plus,31A-1690,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,"q:[direct:homa.com.my [DNS fail] | direct:homastove.com [DNS fail] | q2: ""Homa Plus"" stove ""31A""] | Homa Plus cast-iron stove appears to be an unlisted local/imported label: both plausible brand domains fail DNS and quoted-model search returns zero relevant hits. No official source.",
2934,HOS-NET-MIK-19MM,MTR,Mikasa Net Hose - 19MM X 50M,Outdoor & Garden,,,open,1,,,,,,,,,,,,,unknown,,,,,
2967,EXH-FAN-FN30A,PCS,Dekka Apb 30A 12 Wall Exhaust Fan,Fans & Ventilation,Dekka,APB 30A 12 wall exhaust fan,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,q:[direct:dekka.com.my [unresolvable]] | opened:[https://dekka.com.my (transport error)] | Dekka APB30A wall exhaust fan: dekka.com.my unresolvable; brand appears dealer-imported with no verifiable official MY site or OEM spec page.,
2980,THI-10KG,TIN,Gold Pyramid 10KG Thinner,Paint & Sundries,Gold Pyramid,Thinner 10KG,open,1,1,1,,,,,,,none,,,,unknown,no_official_source,,,q:[q5 not run - provider 429 | direct:goldpyramid.com.my [transport error]] | opened:[https://goldpyramid.com.my (transport error)] | Local thinner brand domain unreachable; websearch rate-limited. Commodity solvent with no verifiable official product page.,
