source_position,item_code,uom,display_name,category,detected_brand,detected_model
6301,JAC-BOT-CNN-R20TON,PCS,China Bottle Jack - 20 Ton,Lifting & Rigging,,
6448,LAS-DIS-N60,SET,60M Sensui Laser Distance Digital Measuare (red Line),Other,,
6454,SAF-BOX-ADS-20,UNIT,"Aero Digital Safety Box 200 X 310 X 200MM, 4.5KG",Safety & Workwear,,
6424,RIC-COO-PSN-SR-E10A-SU,PCS,1.0L Conventional R/c (sky Blue),Other,,
5308,BOX-POS-JN1015-1,PCS,Brass Letter Box (flower),Doors & Hardware,,
4373,PLA-MAT-EAW1100,ROLL,Elephant-king Anti-weed Mat (pp) 1M X 100M,Packaging,,
6538,SAF-SHO-SANO-42#,PAIR,Sano Safety Shoe 42/8,Safety & Workwear,,
7259,TOO-CUT-BOL-STA-992014318,PCS,"18""/457MM Bolt Cutter",Fasteners & Fixings,,
7141,ELE-WIR-WIR30Y/BLK,COIL,Wire Puller 30 Meter Yellow/black (heavy Duty),Electrical,,
6532,JAC-BOT-CNN-R15TON,PCS,China Bottle Jack - 15 Ton,Lifting & Rigging,,
