source_position,item_code,uom,display_name,category,detected_brand,detected_model,official_product_page,official_image_url,model_string_in_page,match_confidence,model_exact,finish_exact,queries_run,pages_opened,researcher_decision,reason
6971,RAI-BOO-BLA-RUB-038#,PAIR,8834 Black Rubber Shoes W/studs 38,Curtains & Blinds,Delta Creation,8834,https://coveitchi.com.my/product/8834-black/,https://coveitchi.com.my/wp-content/uploads/2024/11/8834_Left-2.jpg,"8834 – DELTA CREATION SDN BHD (title) and SKU: 8834, Category: PVC Shoes, Color: Black",medium,yes,yes,"q1: ""8834"" black rubber shoes studs Malaysia hardware",https://coveitchi.com.my/product/8834-black/,candidate,"Delta Creation Sdn Bhd, Malaysian rubber/EVA footwear manufacturer, official PDP lists SKU 8834, PVC Shoes, colour Black, with model-specific og:image; 'w/studs'/size-38 attributes unverified, so medium confidence."
4466,ADH-ALT-110,PCS,Alteco Super Glue 110 (twin Pack),Chemicals & Adhesives,Alteco,Super Glue 110 twin pack,https://alteco.com.sg/products/adhesive/super-glue/,https://alteco.com.sg/wp-content/uploads/2020/09/110-3g-twin-pack.png,#110 3g Twin Pack,high,yes,yes,"q2: ""Alteco"" ""Super Glue 110"" official",https://www.alteco.com.sg | https://alteco.com.sg/products/adhesive/super-glue/,candidate,"Official brand-owner OEM site lists '#110 3g Twin Pack' SKU with matching product photo; websearch itself provider_429, candidate verified via direct fetch of official pages."
3418,X-TOO-WOR-5503-12V,SET,Worker 30PCS Of 12V Luxury Suit Electric Drill With Tools Kit Set,Power Tools,Worker,WK-PWT-5503-12V,https://www.suiumachinery.com.my/showproducts/productid/4489026/cid/467231/worker-wkpwt550312v30pcs-cordless-drill-with-tools-kit-set-tool-box,https://cdn1.npcdn.net/images/162738158020eae05548ea46a69fbc0b18a5394f03.jpg?md5id=29ebacd5f103d32a0f2fda45fccd4a5c&new_width=1200&new_height=1200&w=1526956020,WORKER WK-PWT-5503-12V/30PCS Cordless Drill with Tools Kit Set,medium,yes,unknown,"""Worker"" ""12V"" electric drill kit set Malaysia | ""Sui U Machinery"" WORKER distributor",https://www.suiumachinery.com.my/showproducts/productid/4489026/cid/467231/worker-wkpwt550312v30pcs-cordless-drill-with-tools-kit-set-tool-box | https://m.machinerytools.com.my/index.php?ws=showproducts&products_id=3632791,candidate,"Exact-model PDP fetched and verified at Sui U Machinery dealer site (12V, 30PCS kit specs match); npcdn CDN image is that PDP's product photo. Researcher notes dealer-authorisation unproven; verifier to judge."
4794,IND-COO-MID-C20-RT2002,PCS,Midea Induction Cooker 2000W,Building Materials,Midea,C20-RT2002,https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-c20-rt2002.c20-rt2002,https://www.midea.com/content/dam/midea-aem/my/my-new/pdp/kitchen-appliances/cooking-appliances/induction-cooker/c20-rt2000/PD-kitchen-appliances-Cooking%20Appliances-C20-RT2000-HK2002E-new-1040x1040.jpg,"<h1>Midea Induction Cooker - C20-RT2002</h1>; ld+json ""model"": ""C20-RT2002""; specs Power 2000 W",high,yes,yes,"q1: ""Midea"" ""RT2002"" induction cooker site:.com.my",https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-c20-rt2002.c20-rt2002,candidate,Official Midea Malaysia PDP fetched live; C20-RT2002 in H1 and schema.org model field; og:image is the PDP's own product photo; 2000W spec matches display name exactly.
6030,PYE-WATER-LOCK-1.5KG,TIN,PYE Water-lock 1.5KG,Locks & Security,PYE,Water-Lock WLWE 1.5KG,https://pye.sensephone.net/upload/product/105/Waterproof_Coating-PYE_Water-Lock.pdf,https://gidci.com.ph/wp-content/uploads/2021/03/pye-waterlock-1.5kg.png,"PYE WATER-LOCK is an Acrylic Based Masonry Waterproofer ... PACKING 1.5kg, 4kg & 20kg",high,yes,yes,"q1: ""PYE"" water-lock 1.5kg Malaysia | q1: site:pyeproducts.com water-lock",https://www.pyeproducts.com/ | https://www.pyeproducts.com/product/cat/6/protective-waterproof-coating | https://pye.sensephone.net/upload/product/105/Waterproof_Coating-PYE_Water-Lock.pdf | https://gidci.com.ph/brands/pye/pye-cementitious-waterproofing/pye-water-lock/,candidate,"Official PYE Products (M) Sdn Bhd TDS/MSDS (brand-host pye.sensephone.net) name WATER-LOCK code WLWE, packing 1.5kg matches; gidci.com.ph authorised-PYE-distributor page quotes the model and shows the 1.5kg pack photo. Caveat: distributor is PH not MY."
6566,TOO-CHI-STA-16MM,PCS,"5/8""/16MM Dynagrip Wood Chisel",Hand Tools,Stanley,Dynagrip 0-16-876,https://www.stanleytools.co.uk/product/0-16-876/stanley-dynagrip-16mm-single-wood-chisel,https://www.stanleytools.co.uk/EMEA/PRODUCT/IMAGES/HIRES/0-16-876_1.jpg,STANLEY Dynagrip 16mm Single Wood Chisel ... 0-16-876 ... Blade Width [mm] 16 ... Includes (1) 16mm Chisel,high,yes,yes,"q2: ""Dynagrip"" ""16mm"" chisel official [websearch 429] | direct nav: stanleytools.com -> stanleytools.co.uk -> chisels category pages -> PDP 0-16-876",https://www.stanleytools.com | https://www.stanleytools.co.uk | https://www.stanleytools.co.uk/products/hand-tools/chisels-punches-files/chisels | https://www.stanleytools.co.uk/products/hand-tools/chisels-punches-files/chisels?page=1 | https://www.stanleytools.co.uk/product/0-16-876/stanley-dynagrip-16mm-single-wood-chisel,candidate,"Official Stanley Black & Decker PDP: Dynagrip 16mm wood chisel, SKU 0-16-876, blade width 16mm in page text; direct product photo of exact SKU."
7270,DOR-SOC-SGD-13MMSN,PCS,13MM (big) Sn St. Guchi Dust Socket,Electrical,St Guchi,SGDS-13,https://www.stguchi.com.my/my/en/products/door-fitting-accessories/dust-socket/sgds-13,https://gw-assets.assaabloy.com/is/image/assaabloy/SGDS-13%20-%2001,SGDS-13 Type: Dust Socket Dimension: 13mm Finishing: Stainless Steel (SS),high,yes,yes,q1: St Guchi dust socket 13mm site:stguchi.com.my,https://www.stguchi.com.my | https://www.stguchi.com.my/my/en/products/mechanical-locks | https://search-api.addsearch.com/v1/search?site_key=b64d19650b199514d7aacf43a9bf6c0a&query=socket | https://www.stguchi.com.my/my/en/products/door-fitting-accessories/dust-socket/sgds-13,candidate,"Official ASSA ABLOY St Guchi MY PDP fetched; SGDS-13 dust socket 13mm SS matches, official product photo present."
6647,PEN-108-4L,PAIL,Pentens Latex 108 - 4L,Housewares,Pentens,Latex 108,https://www.anc-venture.com.my/products/detail/451/pentens-latex-108,https://ancventure.sgp1.cdn.digitaloceanspaces.com/128655832/pentens-latex-108-1.jpeg,Pentens Latex 108,medium,yes,yes,"q1: ""Pentens"" ""Latex 108"" Malaysia | direct: pentens.com catalogue pages x5 | direct: pentens.com.my legacy pages x4",https://www.pentens.com | https://www.pentens.com/product/ | https://www.pentens.com/product/?page=2 | https://www.pentens.com/product/generalwaterproof/ | https://www.pentens.com/product/generalwaterproof/?page=2 | https://www.pentens.com.my | https://www.pentens.com.my/products.html | https://www.pentens.com.my/products_green_waterproofing.html | https://www.pentens.com.my/products_waterproofing_diy.html | https://www.pentens.com.my/products_diy/product_toilet_bathroom_system_diy.html | https://www.anc-venture.com.my/products/detail/451/pentens-latex-108,candidate,"Genuine Pentens SKU; Taiwan HQ catalogue omits it, MY legacy site has no PDPs. ANC Venture (Penang Pentens-line distributor) PDP shows Latex 108 with photo and datasheet PDF; authorisation unverified."
6936,FAS-ANC-PJA-12100,PCS,Sh P. J. Anchor 1/2 X 4 (PCS),Fasteners & Fixings,Wylex P.J.,Anchor 1/2 X 4,https://wylex.com.my/product/p-j-anchor/,https://wylex.com.my/wp-content/uploads/2024/06/pj-anchor.jpg,"""P.J Anchor"" (H1 heading); sizes not printed on page",medium,no,unknown,"q2/q5: ""P.J. anchor"" OR ""PJA anchor"" wedge anchor Malaysia | direct:fastenic.com [Thai OEM unrelated]",https://wylex.com.my/product/p-j-anchor/ | https://fastenic.com,candidate,"Wylex Enterprise Sdn Bhd (MY) official PDP titled 'P.J Anchor'; name matches item-code PJA. Sizes not printed on page and image unverifiable per-size, hence medium."
7513,FAS-ANC-PJA-0980,PCS,Sh P. J. Anchor 3/8 X 4-1/2 (PCS),Fasteners & Fixings,Wylex P.J.,Anchor 3/8 X 4-1/2,https://wylex.com.my/product/p-j-anchor/,https://wylex.com.my/wp-content/uploads/2024/06/pj-anchor.jpg,"""P.J Anchor"" (H1 heading); sizes not printed on page",medium,no,unknown,"q2/q5: ""P.J. anchor"" OR ""PJA anchor"" wedge anchor Malaysia | direct:fastenic.com [Thai OEM unrelated]",https://wylex.com.my/product/p-j-anchor/ | https://fastenic.com,candidate,"Same official Wylex PDP 'P.J Anchor' matching item-code PJA; page omits size variants (3/8 x 4-1/2 unstated), so exact-model confirmation impossible; medium confidence."
2671,WEL-MAC-FIG-MMA160,UNIT,Fighter Inverter Welding Machine 160A,Welding,Fighter,MMA 160ND,https://www.cmw.com.my/product-page/mma-160nd,https://static.wixstatic.com/media/f9a5b1_9d0d7a1416bc449fbf4a2e45c146b996~mv2.jpg,Fighter MMA 160ND Welding Machine ... Model MMA 160ND ... Rated Output Current 160 A; Brand: Fighter by i-WELD,medium,no,unknown,"q1/q5: ""Fighter"" ""MMA160"" inverter welding machine site:.com.my",https://fighterwelding.com | https://www.fighterwelding.com | https://innovestengineering.com/product/fighter-mma-160-welding-machine/ | https://chipsenghenghardware.com/product/fighter-mma160nd-inverter-welding-machine/ | https://www.cmw.com.my/product-page/mma-160nd | https://www.cmw.com.my/fighter,candidate,"CMW Engineering (MY distributor) PDP for Fighter by i-WELD MMA 160ND, the 160A inverter; identical marketing copy to SKU. Authorised status unstated; SKU code MMA160 vs official MMA 160ND."
4441,TOO-WRE-AIR-RT1206K,UNIT,Rotake 1/4 Air Die Grinder Kit,Power Tools,Rotake,RT-1206 (kit variant RT-1206K not shown),https://www.rotake.com/PRODUCTS_1/1637346981806936064.html,https://omo-oss-image1.thefastimg.com/portal-saas/new2022111120343838121/cms/image/44e25194-1912-442e-a38e-e9d876a2105a.jpeg?vf=B7gH3s,"RT-1206 ... Air Die Grinder ... INCLUDES (1) RT-1206 Air Die Grinder; page shows base RT-1206, not K-kit SKU",medium,no,unknown,direct:rotake.com.tw x2 [dead] | q2: Rotake RT1206K air die grinder,https://www.rotake.com/PRODUCTS_1/1637346981806936064.html | https://www.rotake.com/PRODUCTS/20.html,candidate,"Official Rotake Tools OEM PDP fetched; specs (22000rpm/0.60kg/4cfm) identical to MY RT-1206K listings, but page shows base RT-1206, not K-kit SKU. model_exact=no pending K-kit source; queued for verifier/tier2."
6132,TOO-CUT-STA-992014564,PCS,10 (green) Aviation Snip-right,Hand Tools,Stanley,14-564-22 MaxSteel aviation snip right,https://theleedenstore.com.my/product/stanley-14-564-22-maxsteel-aviation-snips-right-curve/,https://theleedenstore.com.my/wp-content/uploads/2025/07/STANLEY-HAND-TOOLS_STANLEY-14-562-22LEFT14-563-22STRAIGHT14-564-22RIGHT-MAXSTEEL-AVIATION-SNIPS-PHOTO-8.jpg,Model: 14-564-22 (Cut Type: Right Curve; Length: 10 inch / 254 mm),high,yes,yes,q4/q6: theleedenstore.com.my search 'aviation',https://theleedenstore.com.my (authorised Stanley distributor banner) | https://theleedenstore.com.my/?s=aviation&post_type=product | https://theleedenstore.com.my/product/stanley-14-564-22-maxsteel-aviation-snips-right-curve/,candidate,"Leeden (stated authorised Stanley distributor) PDP confirms Model 14-564-22, Right Curve, 10in - matches green right-cut item; internal code 992014564 suffix aligns. Colour not stated in text."
6180,TOO-CUT-STA-992014562,PCS,10 (red) Aviation Snip-left,Hand Tools,Stanley,14-562-22 MaxSteel aviation snip left,https://theleedenstore.com.my/product/stanley-14-562-22-maxsteel-aviation-snips-left-curve/,https://theleedenstore.com.my/wp-content/uploads/2025/07/STANLEY-HAND-TOOLS_STANLEY-14-562-22LEFT14-563-22STRAIGHT14-564-22RIGHT-MAXSTEEL-AVIATION-SNIPS-PHOTO-6.jpg,Model: 14-562-22 (Cut Type: Left Curve; Length: 10 inch / 254 mm),high,yes,yes,q4/q6: theleedenstore.com.my search 'aviation' (shared),https://theleedenstore.com.my (authorised Stanley distributor banner) | https://theleedenstore.com.my/?s=aviation&post_type=product | https://theleedenstore.com.my/product/stanley-14-562-22-maxsteel-aviation-snips-left-curve/,candidate,"Same authorised Stanley distributor PDP confirms Model 14-562-22, Left Curve, 10in - matches red left-cut item; internal code 992014562 suffix aligns. Red colour not stated verbatim."
6387,TOO-PLI-COM-STA-150,PCS,6 Dynagrip HD Combination Plier,Hand Tools,Stanley,STHT0-74456 Dynagrip 150MM combo plier,https://www.stanleytools.co.uk/product/stht0-74456/stanley-dynagrip-150mm-combination-plier,https://www.stanleytools.co.uk/EMEA/PRODUCT/IMAGES/HIRES/STHT0-74456_1.jpg,STHT0-74456 STANLEY DYNAGRIP 150mm Combination Plier,high,yes,yes,q2: stanley dynagrip combination pliers site:stanleytools.co.uk [DDG bot-challenge] | direct: stanleytools.co.uk/sitemap.xml scan -> dynagrip plier PDP,https://www.stanleytools.co.uk/sitemap.xml | https://www.stanleytools.co.uk/product/stht0-74456/stanley-dynagrip-150mm-combination-plier,candidate,"Brand inferred from 'Dynagrip' name; official UK PDP STHT0-74456 = DYNAGRIP 150mm (6in) combination plier, heavy-duty drop-forged/black-oxide text matches HD claim; SKU + 150mm in page text; product image verified HTTP200."
3439,TOO-DRV-STA-SET-4PCS,SET,4PCS Cushion Grip S/dr Sets,Power Tools,Stanley,STHT0-62144 Cushion Grip 4pc set,https://www.stanleytools.co.uk/product/stht0-62144/stanley-cushion-grip-screwdriver-set-parallel-flared-phillips-4-pc,https://www.stanleytools.co.uk/EMEA/PRODUCT/IMAGES/HIRES/STHT0-62144_1.jpg,STHT0-62144 STANLEY CUSHION GRIP Screwdriver Set Parallel Flared Phillips 4 pc.,medium,no,unknown,q2: stanley cushion grip screwdriver set 4 piece [DDG bot-challenge] | direct: stanleytools.co.uk sitemap scan,https://www.stanleytools.co.uk/sitemap.xml | https://www.stanleytools.co.uk/product/stht0-62144/stanley-cushion-grip-screwdriver-set-parallel-flared-phillips-4-pc,candidate,"Brand inferred from 'Cushion Grip'; official UK PDP STHT0-62144 is 4pc Cushion Grip screwdriver set, SKU in page text, image HTTP200. Three sibling 4pc sets exist (STHT16169-0, 0-65-013), so exact-SKU certainty is medium."
6793,CAR-MULT-CLEA-500ML,BTL,Aa Car Care Multi Purpose Cleaner 500ML,Automotive,Armor All,Multi Purpose Cleaner,https://armorall.com/my/product/multi-purpose-cleaner/,https://armorall.com/global-media/wp-content/uploads/sites/6/product-images/E303218500_01.png,Multi-Purpose Cleaner (title/og:title; img alt 'Multi-Purpose Cleaner Image 1'; Ecode E303218500),medium,yes,yes,direct:armorall.com global site | direct:armorall.com/my wp-json search multi-purpose | direct:armorall.com/my/product/multi-purpose-cleaner/,https://www.armorall.com | https://armorall.com/my/product/multi-purpose-cleaner/,candidate,Official Armor All Malaysia (global OEM) PDP; exact product name in title and image alt; direct product photo E303218500_01.png. Size carried in display_name as 500ML; page text omits size so model field records page-attested designation only.
