source_position,item_code,uom,display_name,category,detected_brand,detected_model,official_product_page,official_image_url,model_string_in_page,match_confidence,model_exact,finish_exact,queries_run,pages_opened,researcher_decision,reason
6971,RAI-BOO-BLA-RUB-038#,PAIR,8834 Black Rubber Shoes W/studs 38,Curtains & Blinds,Delta Creation,8834,https://coveitchi.com.my/product/8834-black/,https://coveitchi.com.my/wp-content/uploads/2024/11/8834_Left-2.jpg,"8834 – DELTA CREATION SDN BHD (title) and SKU: 8834, Category: PVC Shoes, Color: Black",medium,yes,yes,"q1: ""8834"" black rubber shoes studs Malaysia hardware",https://coveitchi.com.my/product/8834-black/,candidate,"Delta Creation Sdn Bhd, Malaysian rubber/EVA footwear manufacturer, official PDP lists SKU 8834, PVC Shoes, colour Black, with model-specific og:image; 'w/studs'/size-38 attributes unverified, so medium confidence."
7480,"DRI-AUG-SDS-1/4""",PCS,1/4 Sds Plus Auger Bit,Power Tool Accessories,,,,,,none,no,unknown,"q1: 1/4"" SDS Plus auger bit site:.com.my",,no_official_source,Generic house-label auger bit; only Malaysian retailer PDPs (Knight Auto) plus Lazada/Shopee/marketplace hits; no brand owner or authorised distributor page exists.
6159,TOO-ELE-TES-BRA,PCS,Brass Test Pen (yellow Card),Power Tools,,,,,,none,no,unknown,q1: brass test pen voltage tester site:.com.my,,no_official_source,"Unbranded brass test pen; results were Shopee listings and retailer non-contact tester pens (T.E. Electric, Shopin) marked OTHER BRAND; no manufacturer or authorised-distributor PDP identifies this item."
4528,FLO-PVC-NO.25610,MTR,PVC Flooring No. 522-06,Flooring,,,,,,none,no,unknown,"q1: ""PVC flooring"" ""522"" Malaysia pattern | q1: ""522-06"" OR ""514-05"" OR ""505-11"" PVC flooring | q5: Orion PVC flooring manufacturer official site ""505-11"" | q1: ""PVC"" ""505-11"" flooring",,no_official_source,Pattern 522-06 matches CIS-market 'Orion Chips' foamed PVC sheet seen only on eBay and banned marketplaces/resellers; no official manufacturer site or authorised MY distributor page exists.
4554,FLO-PVC-353-13,MTR,PVC Flooring No. 514-05,Flooring,,,,,,none,no,unknown,"q1: ""PVC flooring"" ""522"" Malaysia pattern | q1: ""522-06"" OR ""514-05"" OR ""505-11"" PVC flooring | q5: Orion PVC flooring manufacturer official site ""505-11"" | q1: ""PVC"" ""505-11"" flooring",,no_official_source,'ORION 514-05' vinyl appears only on Latvian reseller chodniki.com and eBay; no official Orion sheet-vinyl manufacturer site or authorised distributor page verifiable.
4555,FLO-PVC-NO-283391-3,MTR,PVC Flooring No. 505-11,Flooring,,,,,,none,no,unknown,"q1: ""PVC flooring"" ""522"" Malaysia pattern | q1: ""522-06"" OR ""514-05"" OR ""505-11"" PVC flooring | q5: Orion PVC flooring manufacturer official site ""505-11"" | q1: ""PVC"" ""505-11"" flooring",,no_official_source,Pattern 505-11 returns only unrelated US LVT products; house-label PVC roll sold per metre has no identifiable brand owner or qualifying official page.
7501,BNW-B&N-ORI-12125,KGS,Mild Steel Bolt & Nut 1/2 X 5,Fasteners & Fixings,,,,,,none,no,unknown,"q1: ""mild steel"" bolt nut ""1/2 x 5"" hex Malaysia",,no_official_source,"Commodity fastener without brand/model; hits are Malaysian traders' category pages (Hon Lee, Hansen, PTIS) and United Fasteners AU family page; none is a model-specific authorised PDP."
7515,PIP-EXT-26175,PCS,"1/2""-3/4 Pipe Extractor",Plumbing,,,,,,none,no,unknown,"q1: pipe extractor ""1/2"" ""3/4"" tool manufacturer official site",,no_official_source,Unbranded 2-way bib-tap pipe extractor; only Metro Star Hardware retailer listing matches description; RIDGID official extractors use different single-size model scheme; no brand-owner source.
6958,"SHA-FLE-33""",PCS,Flexible Shaft 33,Other,,,,,,none,no,unknown,"q1: ""flexible shaft"" 33"" drill Malaysia hardware",,no_official_source,Generic 33-inch brush-cutter replacement shaft; only Shopee/Lazada marketplace parts and retailer PDPs (GH Hardware Sunflag) found; no manufacturer official page exists.
7547,"DRA-SLI-WHI-16""",SET,Drawer Slide (light Duty) 16,Plumbing,,,,,,none,no,unknown,"q1: drawer slide ""light duty"" 16"" Malaysia supplier",,no_official_source,"Generic light-duty 16-inch drawer slide without brand/model; results limited to furniture-fitting retailers (Winplus, Alive), directories and marketplaces; no official source exists."
7218,SHH-BLK-NYL-210/21-BK,PCS,210/21 100G Black Nylon Twine (308),"Rope, Chain & Netting",,210/21,,,,none,no,unknown,"q1: ""210/21"" nylon twine | q1: ""LIVLON"" twine OR nylon fishing",,no_official_source,"210/21 is a generic netting trade size, not a branded model. Only hits: German retailer engelnetze (white, 250g, different spec) and marketplaces. No official MY/OEM source for black 100G twine."
7221,SHH-LIG-NYL-210/21,PCS,210/21 100G L. Brown Nylon T.(LIVLON)(357),Fishing & Tackle,LIVLON,210/21,,,,none,no,unknown,"q2: ""LIVLON"" official | q1: ""LIVLON"" twine OR nylon fishing | q5: ""LIVLON"" Malaysia",,no_official_source,"No fishing-tackle brand LIVLON found; livlon.com.sg is a Singapore seafood importer and nisshin-livlon.com a Japanese health-food brand, both unrelated. House label with no official web presence."
5526,ROP-NYL-1MM,COIL,1.0MM Nylon String,"Rope, Chain & Netting",,,,,,none,no,unknown,"q1: ""1mm"" nylon string coil hardware Malaysia",,no_official_source,"Fully generic commodity description. Hits were unbranded dealer listing pages (yuewhatt, iconbag) and marketplaces; none is a brand-owner or authorised-distributor PDP carrying a verifiable 1.0MM model string."
7220,SHH-LIG-NYL-210/18,PCS,210/18 100G L. Brown Nylon Twine (LIVLON)(357),"Rope, Chain & Netting",LIVLON,210/18,,,,none,no,unknown,"q2: ""LIVLON"" official | q1: ""LIVLON"" twine OR nylon fishing | q5: ""LIVLON"" Malaysia",,no_official_source,Same finding as sibling LIVLON twines: brand resolves only to unrelated Singapore seafood/Japanese health firms. House-label product; no official or authorised-distributor source for 210/18 exists.
7219,SHH-LIG-NYL-210/12,PCS,210/12 100G L. Brown Nylon (LIVLON)(357),Fishing & Tackle,LIVLON,210/12,,,,none,no,unknown,"q2: ""LIVLON"" official | q1: ""LIVLON"" twine OR nylon fishing | q5: ""LIVLON"" Malaysia",,no_official_source,Identical LIVLON outcome: no tackle-brand official site anywhere. 210/12 is a generic twine trade size sold under many labels; no OEM page or authorised MY distributor PDP for this SKU.
7222,SHH-LIG-NYL-210/9,PCS,210/9 100G Light Brown N. T.(LIVLON)(357),Fishing & Tackle,LIVLON,210/9,,,,none,no,unknown,"q2: ""LIVLON"" official | q1: ""LIVLON"" twine OR nylon fishing | q5: ""LIVLON"" Malaysia",,no_official_source,LIVLON searches return no fishing-twine manufacturer; existing Livlon companies operate in other industries. Recorded honestly as house-label goods with no verifiable official source for 210/9.
7303,"HOS-FLE-BT/M039-10""",PCS,10 Flexible Hose,Outdoor & Garden,,,,,,none,no,unknown,"q1: 10"" flexible hose garden water Malaysia supplier .com.my",,no_official_source,"Generic 10-inch flexible hose with no brand or model tokens. Results were B2B directories, industrial-hose suppliers (Simlecco etc.) and foreign retail; nothing matches a branded model of this exact item."
4672,TOO-WRE-KEY-ATHM-5,PCS,Arrow T Flat Hex Key (metric) With Plastic Handle - 5MM,Doors & Hardware,Arrow,T Flat Hex Key 5MM,https://www.litaventure.com/showproducts/productid/4224314/arrow-brand-t-flat-hex-key-metric-with-plastic-handle/,,,low,no,unknown,"q1: ""Arrow"" flat hex key plastic handle metric Malaysia | q4: ARROW ""T FLAT HEX KEY"" plastic handle | q1: mobile variant fetch attempt litaventure",https://www.litaventure.com/showproducts/productid/4224314/arrow-brand-t-flat-hex-key-metric-with-plastic-handle/ | https://m.litaventure.com/showproducts/productid/4224314/arrow-brand-t-flat-hex-key-metric-with-plastic-handle/ | https://www.chenhuphardware.com/showproducts/productid/4702710/cid/472374/t-flat-hex-key-metric-with-plastic-handle/,no_official_source,"MY dealer PDPs exist (Litaventure, Chen Hup - claims authorised distributor) but all are JS-gated to webfetch; model string 5MM could not be confirmed in page text and no Arrow brand-owner official site was found."
