source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
7555,TAP-SKC-UNC-14MM,SET,Skc Hand Tap Unc 9/16,Plumbing,,,search,1,,,,,,open
6756,BLI-HSS-HOL-SAW-60MM,PCS,Navato Hole Saw Cutter 60MM,Power Tool Accessories,,,search,1,,,,,,open
7145,MAC-OIL-RUB-5A,SET,Rubber Oil Ring Kit- Orkit 5A,Automotive,,,search,1,,,,,,open
7146,MAC-OIL-RUB-5C,SET,Rubber Oil Ring Kit- Orkit 5C,Automotive,,,search,1,,,,,,open
7626,GUN-MII-6159#,PCS,Mii Red Spray Waxing Gun 6159,Fasteners & Fixings,,,search,1,,,,,,open
7160,CUT-KNIFE,PCS,Foochow Knife,Abrasives & Cutting,,,search,1,,,,,,open
5110,TOI-ACC-URI,SET,Urinal Accessories,Bathroom,,,search,1,,,,,,open
7189,AIR-CHU-E-111-3,PCS,Dual Tire Chuck With Metal Gauge (0-160 Psi),Automotive,,,search,1,,,,,,open
5721,IND-CAS-NYL-75MM,SET,3 IN White Nylon Caster Wheel,Building Materials,,,search,1,,,,,,open
7584,TAP-SKC-UNC-12MM,SET,Skc Hand Tap Unc 1/2,Plumbing,,,search,1,,,,,,open
7615,X-BOS-2608-579-507,PCS,Ceramic Expert Drill Bit 7 X 90MM,Power Tool Accessories,,,search,1,,,,,,open
5099,HHD-CIS-HIGH,SET,Weser Plastic High Level Cristern,Bathroom,,,search,1,,,,,,open
7295,"AER-RO-JOI-4""+2""",PCS,Aerico 4 + 2 Ro Joint,Other,,,search,1,,,,,,open
7334,SHH-ROD-S2904150,PCS,Santec 2696-562(165) (5'6'') Hornycorn Trans Solid Rod,Fishing & Tackle,,,search,1,,,,,,open
7349,"SHH-ROU-LAN-NET-19X1/2""",PCS,Round Landing Net 19 X 1/2,Fishing & Tackle,,,search,1,,,,,,open
7669,TOO-DRI-MA039,PCS,26 Sds Auto Plug Locking Drill Chuck,Power Tool Accessories,,,search,1,,,,,,open
5222,COC-BAS-CVL-6065,PCS,Cavallo 6065 Basin Tap,Bathroom,,,search,1,,,,,,open
6421,IND-CEM-KEM-GREY-20KG,BAG,Kemgrip Adhesive Cement Grey 20KG,Chemicals & Adhesives,,,search,1,,,,,,open
7655,ALP-SHO-ACC,UNIT,Shower Accessories T-type Stop Valve-silver,Plumbing,,,search,1,,,,,,open
4868,KGR-OXI-59A1LIT,TIN,Stove Brand 59A Green Oxide Paint 1 Litre,Paint & Sundries,,,search,1,,,,,,open
6390,X-DOR-LOC-CYL-02103,SET,Br 579 AC Cylindrical Door Lock,Doors & Hardware,,,search,1,,,,,,open
7370,TOO-CLA-G-RED-200,PCS,G-clamp (red) 8,Hand Tools,,,search,1,,,,,,open
7641,TAP-SKC-UNC-10MM,SET,Skc Hand Tap Unc 3/8,Plumbing,,,search,1,,,,,,open
6731,OIL-COM-AIRVON-AV06810P,TIN,Airbank Mineral Based Compressor Oil (1L),Power Tools,,,search,1,,,,,,open
7382,SHH-NYL-NET-8,PCS,Automatic Nylon Fishing Mesh Net 8 Hole,Fishing & Tackle,,,search,1,,,,,,open
