source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
799,FIT-BUT-TEE-25X25X20MM,PCS,Buteline PE Tee 25X25X20MM,Plumbing,Buteline,25X25X20MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
734,TOO-NIE-GRE-NIP-9077,PCS,Nietz Grease Nipple Of (straight),Power Tools,Nietz,M6X1.0,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
869,FIT-BUT-STR-COU-25MMX20MM,PCS,Buteline PE Straight Inline Coupling 25MMX20MM,Plumbing,Buteline,25MMX20MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
919,FIT-BUT-STR-20X20MM,PCS,Buteline PE Straight,Plumbing,Buteline,20X20MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
855,BAT-ENE-HD-D2PCS,PCK,Eveready HD D 2 Pc,Electrical,Eveready,1050BP2,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
406,BUL-FFL-60W-E27-FROST,PCS,Taicon Standard Bulb E27 Frosted 60W,Lighting,Taicon,E27,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
582,"FIT-BUT-STR-FEM-SWI-25MMX1/2""",PCS,Buteline 25MMX1/2 PE Straight Female Swivel,Fishing & Tackle,Buteline,25MMX1/2,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Official fitting manual does not list the exact source configuration/part number; image not preserved.,open
519,ADH-TAP-WIR-6.5YD-RED-ROLL,ROLL,Glotool Wire Tape - Red (10PCS/ROLL),Electrical,Glotool,10PCS/ROLL,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
879,ADH-TAP-CLO-BLA,PCS,Glotool Cloth Tape 48 MM X 7 Yd - Black,Chemicals & Adhesives,Glotool,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
880,ADH-TAP-CLO-GRE,PCS,Glotool Cloth Tape 48 MM X 7 Yd - Green,Chemicals & Adhesives,Glotool,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
915,ADH-TAP-CLO-YEL,PCS,Glotool Cloth Tape 48 MM X 7 Yd - Yellow,Chemicals & Adhesives,Glotool,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
447,BUL-FFL-25W-E27-FROST,PCS,Taicon Standard Bulb E27 Forsted 25W,Lighting,Taicon,E27,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
