source_position,item_code,uom,tiers_done
7555,TAP-SKC-UNC-14MM,SET,1
6756,BLI-HSS-HOL-SAW-60MM,PCS,1
7145,MAC-OIL-RUB-5A,SET,1
7146,MAC-OIL-RUB-5C,SET,1
7626,GUN-MII-6159#,PCS,1
7584,TAP-SKC-UNC-12MM,SET,1
5099,HHD-CIS-HIGH,SET,1
7295,"AER-RO-JOI-4""+2""",PCS,1
7334,SHH-ROD-S2904150,PCS,1
5222,COC-BAS-CVL-6065,PCS,1
6421,IND-CEM-KEM-GREY-20KG,BAG,1
4868,KGR-OXI-59A1LIT,TIN,1
6390,X-DOR-LOC-CYL-02103,SET,1
7641,TAP-SKC-UNC-10MM,SET,1
6731,OIL-COM-AIRVON-AV06810P,TIN,1
6052,SAF-SLI-GLO-2TON4M,LGTH,1
7450,TOO-WRE-OIL-FW-7008B,PCS,1
7394,CAR-WAX-REPELL,PCS,1
5674,SPR-BID-06093,SET,1
7469,CAR-WAX-MOS-CLE,PCS,1
7478,"TOO-DRV-STA-TAN-8MM-10""-#3+",PCS,1
6868,GAR-SPR-LAN-CR8446B,PCS,1
6933,TOO-LEV-STA-993042291,PCS,1
7387,CAR-CLE-WHEEL,BTL,1
6058,X-CIMA-DL-L/SC38/RND/18W/DL,SET,1
7499,SHH-REEL-LINE-SS800,PCS,1
7057,X-TOO-DRI-ADA-13MM,PCS,1
7538,CAR-HIT-HP-CB999067,PCS,1
7722,PAI-SPR-ANC-004,PCS,T1
7151,PAI-SPR-ANC-015,PCS,T1
6554,PAI-TIG-250ML-ALUM,TIN,T1|T3
7629,CUT-SAW-WAL-BOA-2120,PCS,T1
7364,"FAS-SCR-TD-HRW 640- 1 1/2""""",PCK,T1
7656,PAI-GAL-J603S,PCS,
7746,ELE-TUB-LED-CAS-TL-140,SET,T1
7716,LIN-FUS-63A,PCS,
7493,DRI-CER-BLI-06MM(+),PCS,T1
7320,"PAI-BRU-SEL-1""""",PCS,
7689,SHH-BLK-NYL-210/15-BK,PCS,
7690,SHH-BLK-NYL-210/9-BK,PCS,
7508,IND-SCP-WOO100,PCS,
7662,X-FLO-MOC-ARDESIA-BLUE,PCS,"q:""Ardesia"" blue floor tile Malaysia | q:Ardesia blue floor tile 300x300 Malaysia | q:Ardesia blue 30x30 ceramic floor tile Malaysia"
7663,X-FLO-MOC-PRE-WHI,PCS,"q:Guocera ""Premium White"" floor tile 300x300 Malaysia | q:""premium white"" ceramic floor tile 300x300 Malaysia Guocera | q:Guocera premium white floor tile 300x300"
7667,DOR-TOW-BOL65,PCS,
7497,RIG-TUR-08MM,PCS,
7750,BRU-COP-204,PCS,
7766,"BNW-BOL-U-ZP5/16X1.1/2""",PCS,
7741,IND-SCP-WOO50,PCS,
7725,X-BNW-BOL-HTM-M12-90MM,PCS,
7751,BRU-PLA-E838,PCS,"q:""E838"" brush plastic | q:""E838"" brush plastic Malaysia | q:""E838"" brush"
7770,ELE-STA-HOL,PCS,
7613,FAS-HOO-EYE-16#,PCS,
7719,IND-SCP-WOO25,PCS,
7657,X-STR-GUN-NED-6IN,PCS,
7568,FAS-HOO-EYE-10#,PCS,
7771,"ELE-PVC-ELB-BLUE-3/4""",PCS,
3120,"DOR-72'WX71.7/8""",SET,
7768,"SHE-LEA-1""X3""",KGS,
7767,PVC-STRAPPING-PURPLE,KGS,
7769,TAB-PVC-515-11,MTR,"q:PVC table cloth roll 137cm ""515"" Malaysia | q:PVC table cloth roll 137cm ""515-11"""
280,"DOR-HIN-JTC-SSS-4""",SET,
