source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
129,ELE-D/L-MEG-FE2155D-18W,PCS,reject,,,,,,,,,2-reopen|4,"q:Megaman ""YTP45B1"" OR ""FE2155D"" bulb (search_api_429_throttled)",p:https://megaman.com.my/product/plce-energy-saving-bulb/ (200),"reopened known lead this round; PLCE 3U page tech table quotes ONLY FD2155D 18W E27 220-240V (lumen 1000, dia45*140); item spells FE2155D, absent from page and from every official source reachable; D-vs-E is not a glyph-confusion pair so T2 normalisation cannot bridge it unlike I/1 cases; exact-model bar #1 fails -> reject."
105,ELE-BUL-E27-3W-BLUE,PCS,reject,,,,,,,,,2-reopen,q:Taicon LED bulb Malaysia official website (search_api_429_throttled_this_round),none-opened-this-round,"reopened this pass; prior ledger re-affirmed: taicon.com.my DNS NXDOMAIN, taicon.com unrelated capacitor maker, marketplace/wholesaler listings only; websearch API 429-throttled all round so no new engine sweep possible; bar#2 source class unavailable -> reject stands (no_official_taicon_website)."
118,ELE-BUL-B22-3W-BLU,PCS,reject,,,,,,,,,2-reopen,q:Taicon LED bulb Malaysia official website (search_api_429_throttled_this_round),none-opened-this-round,"reopened this pass; prior ledger re-affirmed: taicon.com.my DNS NXDOMAIN, taicon.com unrelated capacitor maker, marketplace/wholesaler listings only; websearch API 429-throttled all round so no new engine sweep possible; bar#2 source class unavailable -> reject stands (no_official_taicon_website)."
79,ELE-D/L-MEG-YTT100ZI-30W,PCS,candidate,https://megaman.com.my/product/t-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/11-1-1.jpg,1600,1600,41742,YTT100Z1,"3000K/6500K both printed, item names no CCT",0.85,2-reopen+bytecheck,"q:""YTT100ZI"" (local_engine_timeout; search_api_429_throttled)",p:https://megaman.com.my/product/t-bulb/ (200),"lead re-opened this round: page quotes Model YTT100Z1 30W PF0.5 2400/2700lm 200deg CRI>=80 E27 dia100*180 SIRIM, repeated in country-specific section; item trailing ZI = capital-I/digit-1 OCR transliteration of Z1 (T2 normalisation), all other attrs match display_name ""Megaman E27 LED Bulb""+code -30W; hero image is this T-bulb alone; BYTE CHECK this round: 200 image/jpeg 41742B (>=20000) 1600x1600 -> candidate."
128,ELE-BUL-B22-3W-GRE,PCS,reject,,,,,,,,,2-reopen,q:Taicon LED bulb Malaysia official website (search_api_429_throttled_this_round),none-opened-this-round,"reopened this pass; prior ledger re-affirmed: taicon.com.my DNS NXDOMAIN, taicon.com unrelated capacitor maker, marketplace/wholesaler listings only; websearch API 429-throttled all round so no new engine sweep possible; bar#2 source class unavailable -> reject stands (no_official_taicon_website)."
207,NIP-PHG-5L-A,CAN,reject,https://www.nipponpaint.com.my/product/platone-high-gloss/,,,,,,,,2-reopen|4-doc,"q:""platone high gloss"" ""paster"" (bing_via_proxy: no relevant hits) | q:site nipponpaint.com.my ?s=platone (single PDP)","p:https://www.nipponpaint.com.my/product/platone-high-gloss/ (200) | p:https://resourcehub.enipponpaint.com/my/filestore/7/9/8/9/7_e6482694935835d/79897_2813ba4a3b34fc1.pdf (200 application/pdf 283006B) | p:https://www.nipponpaint.com.my/?s=platone (200, exactly one PDP) | p:https://www.nipponpaint.com.sg/?s=platone (200, zero results)","closed out via tier-4 official TDS downloaded+text-extracted this round: Pack Size column prints only ""1 Litre, 5 Litres""; strings Paster/Accent/Base occur 0 times in TDS text; MY site search yields single Platone High Gloss topcoat PDP; SG site has zero platone results -> Accent Base tint-trade variant never printed on any official channel; no per-SKU official image can exist; line hero platone.webp is family shot barred by bar#5 -> reject (variant_unprinted_officially)."
30,ELE-BUL-E27-15W-RED,PCS,reject,,,,,,,,,2-reopen,q:Taicon LED bulb Malaysia official website (search_api_429_throttled_this_round),none-opened-this-round,"reopened this pass; prior ledger re-affirmed: taicon.com.my DNS NXDOMAIN, taicon.com unrelated capacitor maker, marketplace/wholesaler listings only; websearch API 429-throttled all round so no new engine sweep possible; bar#2 source class unavailable -> reject stands (no_official_taicon_website)."
166,ELE-CAB-WIR-MKK-2.5MM-YEL,ROLL,reject,,,,,,,,,2-reopen,q:MKK cable 2.5mm Malaysia manufacturer (search_api_429_throttled; local bing/ddg fetches timed out),none-opened-this-round,"reopened; nothing new findable this round (websearch API 429 x6, direct engine fetches time out from this host); standing evidence unchanged: no MKK manufacturer or authorised-distributor official site/PDP exists; product photos live only on marketplaces excluded by bar#2 -> honest reject commodity_cable_no_official_image_exists."
173,ELE-CAB-WIR-MKK-2.5MM-GRE,ROLL,reject,,,,,,,,,2-reopen,q:MKK cable 2.5mm Malaysia manufacturer (search_api_429_throttled; local bing/ddg fetches timed out),none-opened-this-round,"same MKK finding as position 166 this round: no OEM/distributor official page exists, marketplace-only imagery excluded -> reject commodity_cable_no_official_image_exists."
125,ELE-BUL-E27-3W-GREEN,PCS,reject,,,,,,,,,2-reopen,q:Taicon LED bulb Malaysia official website (search_api_429_throttled_this_round),none-opened-this-round,"reopened this pass; prior ledger re-affirmed: taicon.com.my DNS NXDOMAIN, taicon.com unrelated capacitor maker, marketplace/wholesaler listings only; websearch API 429-throttled all round so no new engine sweep possible; bar#2 source class unavailable -> reject stands (no_official_taicon_website)."
167,ELE-D/L-MEG-YTP45B1-15W-3000K,PCS,pending,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,554,554,16965,YTP45BA(page)/YTP45B1(item),3000K confirmed under BA spelling,0.6,2-reopen+bytecheck,"q:Megaman ""YTP45B1"" (search_api_429_throttled/local_timeout)",p:https://megaman.com.my/product/led-stick/ (200),"lead re-opened; led-stick table quotes YTP38Z1/YTP38B1/YTP45Z1/YTP45BA: internally inconsistent because 10W PLC is YTP38B1 while 15W PLC prints YTP45BA -> item spelling YTP45B1 follows the established PLC-suffix pattern, BA plausibly site typo; 15W/PLC/E27-stick/3000K all match; hero shows single stick bulb; BYTE CHECK: 200 image/jpeg but 16965B < 20000B floor; enumerated every WP size variant in page HTML (-500x500 etc) plus Untitled-7/8/10/11 originals - NO larger rendition of this asset exists -> held pending solely on byte floor; next pass try tier-4 catalogue-PDF crop or accept documented exception."
229,ELE-CAB-WIR-MKK-1.5MM-YELLOW,ROLL,reject,,,,,,,,,2-reopen,q:MKK cable 2.5mm Malaysia manufacturer (search_api_429_throttled; local bing/ddg fetches timed out),none-opened-this-round,same MKK finding as position 166 this round: no OEM/distributor official page exists (1.5mm 7/0.39 variant likewise marketplace-only) -> reject commodity_cable_no_official_image_exists.
219,NIP-PHG-5L-P,CAN,reject,https://www.nipponpaint.com.my/product/platone-high-gloss/,,,,,,,,2-reopen|4-doc,"q:""platone high gloss"" ""paster"" (bing_via_proxy: no relevant hits) | q:site nipponpaint.com.my ?s=platone (single PDP)","p:https://www.nipponpaint.com.my/product/platone-high-gloss/ (200) | p:https://resourcehub.enipponpaint.com/my/filestore/7/9/8/9/7_e6482694935835d/79897_2813ba4a3b34fc1.pdf (200 application/pdf 283006B) | p:https://www.nipponpaint.com.my/?s=platone (200, exactly one PDP) | p:https://www.nipponpaint.com.sg/?s=platone (200, zero results)","closed out via tier-4 official TDS downloaded+text-extracted this round: Pack Size column prints only ""1 Litre, 5 Litres""; strings Paster/Accent/Base occur 0 times in TDS text; MY site search yields single Platone High Gloss topcoat PDP; SG site has zero platone results -> Paster Base tint-trade variant never printed on any official channel; no per-SKU official image can exist; line hero platone.webp is family shot barred by bar#5 -> reject (variant_unprinted_officially)."
