source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
256,ELE-CAB-FLE-P40163CW-ROLL,ROLL,reject,,,,,,,,,2,q:Taicon cable lighting Malaysia official website manufacturer,,"Carried forward + fresh confirm this round: taicon.com is unrelated aluminum-electrolytic capacitor maker (Taiwan); no Taicon electrical/cable brand site exists (established twice previously); 40/016x?C flexible cable is commodity spec-string, unbranded online. no_official_taicon_website."
141,NIP-SEA-5100-20L,DRUM,pending,https://www.nipponpaint.com.my/product/5100-wall-sealer/,,,,,,,,2,,p:https://www.nipponpaint.com.my/product/5100-wall-sealer/ (200),"Known lead re-opened OK. Dedicated PDP image identified: wp-content/uploads/2024/10/vinilex-5100-wall-sealer.webp (og:image, 1000x1000 per page meta, caption names 5100 Wall Sealer). Binary fetch stalled/timed out repeatedly from this client (urllib timeout x2, curl schannel hang) - bytes NOT verified this round so THE BAR #4 unmet; parked. 18L pack size still not printed on page."
248,NIP-PHG-5L-D,CAN,pending,https://www.nipponpaint.com.my/product/platone-high-gloss/,,,,,,,,2,,p:https://www.nipponpaint.com.my/product/platone-high-gloss/ (200),"Line PDP re-opened OK. Page text has no Deep Base mention; only assets are platone.webp (family hero, fails SKU-alone rule) and product-colour-card-platone-high-gloss-wood-metal.webp (multi-colour group card). No variant/base-specific PDP or image on nipponpaint.com.my. Not force-matching family hero; parked for distributor-PDF angle next sitting."
190,ELE-D/L-MEG-YTP45B1-15W-4000K,PCS,candidate,https://www.esllighting.com.my/showproducts/productid/4099145/megaman-led-stick-bulb-15w-plc-ytp45b1/,https://cdn1.npcdn.net/images/1660626258903abf62a24fac03769bd0511a939fe8.png?md5id=48016f549dbc03c0e12190363e687c27&new_width=1000&new_height=1000&size=max&w=1674091945&type=9,1000,1000,196589,YTP45B1,4000K,medium,2|3,"q:Megaman ""YTP45B1"" LED stick bulb | q:""YTP45B1"" megamanlighting.com OR megaman.cc LED stick (search API 429) | q:Megaman Malaysia authorised dealer distributor ""E S L Lighting"" OR esllighting (search API 429)",p:https://megaman.com.my/product/led-stick/ (200) | p:https://www.esllighting.com.my/showproducts/productid/4099145/megaman-led-stick-bulb-15w-plc-ytp45b1/ (200) | p:https://megaman.com.my/wp-sitemap.xml (200) | p:https://megaman.com.my/wp-sitemap-posts-product-1.xml (404) | p:https://www.esllighting.com.my/ (200) | p:https://www.esllighting.com.my/about-us (404),"PRIOR LEAD CLOSED OUT: megaman.com.my led-stick table lists legacy code YTP45BA only and its product sitemap is gone (404) - OEM .my site has no B1 PDP; market code YTP45B1 confirmed real via multiple MY distributor listings (esllighting, jllelectrical, kiongjounghardware). Candidate = E S L Lighting (M) Sdn Bhd PDP: title/specs quote YTP45B1 15W PLC, CCT options incl 4000K, dims O45x143, 1425lm. Byte check: default webp render only 18078 B (<20000) FAIL; transform to ?new_width=1000&new_height=1000&size=max PNG passed: 200 image/png 196589 B 1000x1000. Image visually verified THIS round: single Megaman PLC stick bulb ALONE (branded render, 'LED Stick Bulb PLC 15W', ESL watermark) - not family hero/group shot. Caveat keeping confidence=medium: ESL site (newpages platform) does not print an 'authorised dealer' statement; it is a specialist Megaman-carrying MY lighting wholesaler hosting official MEGAMAN PDFs; no OEM page for B1 exists to prefer over it."
282,DL5-WAT-FIL-0942-GRY,UNIT,pending,,,,,,,,,2,q:Dalqua water filter Malaysia DL5 official,p:https://www.dalmax.com.my/?cat=143 (200),"Material new lead vs prior no_trace: DL5 is (house-)branded by Dalmax Hardware - dalmax.com.my homepage/category carries DL5_Banner jpg and tagline 'Riding the TIDE of Excellence, DL5 of Malaysia'. But Water Filter category page lists no products; no PDP for Dalqua 9''x42 fiber tank grey. DNS: dalqua.com.my/dalqua.com/dalqua.my NXDOMAIN (www.dalqua.com resolves to unrelated shared-hosting IP). Parked for full dalmax.com.my catalogue crawl next sitting."
274,ELE-CAB-FLE-7076,ROLL,reject,,,,,,,,,2,q:Yazaki 70/076 flexible cable 3 core white Malaysia,,"Confirmatory search this round: Yazaki-branded cables exist only on retailer sites (samajaya 110/0.076 Grey, smjelectrical brand list incl 23/0.14 twin flat); Yazaki Cable (M) Sdn Bhd has no product website (yazaki-group.com automotive only); 70/076 3C WHITE sheath variant listed nowhere official (GDL grey and Azmat PK white are other brands). no_brand_product_site - reject stands."
242,NIP-PHG-5L-MBLK,CAN,pending,https://www.nipponpaint.com.my/product/platone-high-gloss/,,,,,,,,2,,p:https://www.nipponpaint.com.my/product/platone-high-gloss/ (200),Line PDP re-opened OK. '8103' and 'Matt Black' appear nowhere in page HTML; no per-colour PDP/image; only family hero platone.webp + multi-colour Platone HG colour-card webp (fails SKU-alone). Display-name pairing High Gloss finish + Matt Black colour also unverifiable officially. Parked; needs Nippon colour-code/fandeck PDF angle next sitting.
162,ELE-D/L-TC-2260-22W,PCS,reject,,,,,,,,,2,q:Taicon cable lighting Malaysia official website manufacturer,,"Carried forward: Taicon official-site absence established twice before (taicon.com.my NXDOMAIN; taicon.com = unrelated capacitor maker, reconfirmed in this round's results); marketplace/wholesaler-only presence remains. no_official_taicon_website."
69,ELE-BUL-E27-10W-RED,PCS,reject,,,,,,,,,2,q:Taicon cable lighting Malaysia official website manufacturer,,Carried forward: same Taicon evidence base reconfirmed this round (no brand site); red 10W E27 stick has no official source; Lazada/Shopee barred. no_official_taicon_website.
139,ELE-D/L-TC-3260-32W-RND-4000K,PCS,reject,,,,,,,,,2,q:Taicon cable lighting Malaysia official website manufacturer,,Carried forward: same Taicon evidence base reconfirmed this round (no brand site); TC-3260 V3 32W has no official source. no_official_taicon_website.
199,ELE-BUL-B22-3W-YEL,PCS,reject,,,,,,,,,2,q:Taicon cable lighting Malaysia official website manufacturer,,Carried forward: same Taicon evidence base reconfirmed this round (no brand site); B22 3W yellow colour bulb has no official source. no_official_taicon_website.
