source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
1650,GUM-HAR-RS900C,PCS,Silicone Hardex Neutral Clear,Chemicals & Adhesives,,RS900C,open,1,1,,,,,,,,,,,,,,,,,
2351,IND-TRO-PLA-STE-99999,PCS,"Blue Steel Cement Trowel 4 1/2""X11 1.0MM",Hand Tools,,X11,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,commodity blue-steel cement trowel unbranded China import per market listings; no OEM site or official asset located,supplier/importer packshot request
1952,"PAI-BRU-NIP-7""-TR839",SET,"Worker 7""X12 HANDLE+7 Polyester Roller Refill",Paint & Sundries,,X12,open,1,1,2;3,,,0,0,0,,,,,,unknown,open,,,TR839 is Nippon Paint 7in polyester refill code but official Nippon PDP names only generic cage roller handle+refill without TR839 or Worker strings; display brand Worker contradicts NIP prefix,ask Nippon Paint Malaysia for official TR839 refill/set packshot
1408,X-ELE-BUL-D/L-HOM-18W-6500K,PCS,Hermanns LED Bulb E27 18W,Lighting,,E27,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,hermanns.com.my transport error domain absent; only aggregators/marketplaces; Hermanns appears to be a lighting house label without official brand website,supplier enquiry
1079,ELE-D/L-OUBEI-110/45W,PCS,Ilite LED Bulb,Lighting,,G-110/45W,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,only unrelated UK iliteledlighting.com and marketplaces; detected model G-110/45W not found on any official page; Ilite house/regional label without OEM site,supplier enquiry
2426,IND-TRO-PLA-STE-BM99999,PCS,"Blue Steel Plastering Trowel 4""X11",Hand Tools,,X11,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,same unbranded-import finding as 6025 for plastering trowel 4in x 11in; no OEM site or official page located,supplier/importer packshot request
1718,PAI-BRU-730-75MM,PCS,T&t Paint 3,Paint & Sundries,,BRUSH-730,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,brand resolved as Marksman T&T 730 nylon paint brush via retailers but no Marksman/T&T official Malaysian website exists; retailer listings fail official-source bar,importer packshot request
1839,ELE-HOL-E27-SQU-TOPGAN,PCS,Lamp Holder E27 (square),Lighting,,E27,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,topgan.com.my transport error domain absent; Topgan lamp holder E27 square has no official brand site,supplier enquiry
1846,PAI-BRU-730-65MM,PCS,T&t Paint 2 1/2,Paint & Sundries,,BRUSH-730,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,same finding as 6030: Marksman T&T 730 sold via retailers only; 65mm variant not confirmed on any official page,importer packshot request
1455,ELE-TUB-LED-22W-3000K,PCS,Ilite LED T8 1.2M 22W - 3000K,Lighting,,3000K,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,no official Ilite MY site; Ilite LED T8 1.2M 22W 3000K found only on marketplaces,supplier enquiry
2182,HOS-GAR-MARK-X-DB-MTR,MTR,Mark-x Garden UV Net Hose 4PLY Dark/blue-mtr,Outdoor & Garden,,4PLY,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,model identified as MKX-HS-1817DB on buatanmalaysia.com storefront and marketplaces but that site is general retailer not verifiable as Mark-X OEM; no Mark-X factory site exists,request Mark-X distributor official MKX-HS-1817DB packshot
1852,BOS-2608-901-468,PCS,4 Cutting Disc-s/steel,Abrasives & Cutting,Bosch,,open,1,1,,,,,,,,,,,,,,,,,
2203,PVC-SPONGE-MATE-CX1200,PCS,"48""X66 PVC Sponge Mat",Packaging,,X66,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,generic 48in x 66in PVC sponge mat unbranded import internal code; no official page located,supplier/importer packshot request
2006,ELE-HOL-E27-ROU-TOPGAN,PCS,Lamp Holder E27 (round),Lighting,,E27,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,Topgan lamp holder E27 round has no official brand site (domain absent),supplier enquiry
1564,ELE-BUL-E27-16W-3CLR,PCS,LED Ens Jagung 3CLR,Lighting,,3CLR,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,LED corn jagung bulbs sold generically via marketplaces with no brand owner or official PDP; descriptive house label,supplier enquiry
2143,GUM-HAR-RS200W-WHT,PCS,Acrylic Sealant: Hardex White,Chemicals & Adhesives,,RS200W,open,1,1,2;3,,,0,0,0,,,,,,unknown,open,,,RS-200W Acrylic Sealant White confirmed marketed by distributors but OEM hardexworld.com carries only RS 300 acrylic with no RS-200W PDP; exact-model bar fails on OEM site,ask Hardex Corporation Sdn Bhd info@hardexworld.com for official RS-200W packshot
1947,CUT-TIL-NYL-2.0MM,BAG,Tiles Nylon Spacer X200PCS-2.0MM,Abrasives & Cutting,,X200PCS-2.0MM,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,generic tiles nylon spacer 2.0mm x200pcs bag unbranded import internal code; no official page,supplier/importer packshot request
2023,THI-WOR-WK-PT-59908,TIN,Worker 350ML Gp Bottle Thinner,Paint & Sundries,,W-908,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,no official Worker-brand thinner OEM site located; internal SKU 59908 not an OEM part number; W-908 unverified on any opened page,request 350ml bottle packshot from Ekoway paints supplier / Worker distributor
1957,X-ELE-PLC-HOL-WHI,PCS,B22 Es Batten Holder-wh 1206 (grn-uk) 1130,Lighting,,B22,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,generic unbranded wiring accessory; item codes are trade references with no detectable OEM brand; no official source exists,in-house product photo (commodity item)
2370,ELE-CAB-VDE-WHI,MTR,Taicon 23/0.15 X 2 Core Vde Cable - White,Electrical,Taicon,,open,1,1,2;4,,,0,0,0,,,,,,unknown,open,,,taicon.com.my unreachable and never archived (CDX zero captures); no reachable official PDP or archived spec sheet,contact Taicon cable distributor Malaysia for catalogue sheet or drum artwork
1095,ELE-D/L-DLE170-18-3CCT,PCS,Arex Eco LED Downlight 18W,Lighting,,DLE170-18-3CCT,open,1,1,2;3,,,0,0,0,,,,,,unknown,open,,,arex.com.my live but unrelated CNC machine shop; arex2u.com transport error; model string clean but no lighting-brand OEM site found,identify Arex lighting brand owner via SIRIM or supplier invoice then request DLE170-18-3CCT packshot
2227,PAI-BRU-730-50MM,PCS,T&t Paint 2,Paint & Sundries,,BRUSH-730,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,commodity paint brush per hint; no OEM site probe succeeded; BRUSH-730 unverifiable without a page,request brush card artwork from T&T supplier
2083,X-CIMA-DL-L/RML65/RND/18W/DL,SET,Cielo Iii 199F 12W L/dl (square / Daylight),Power Tools,,199F,open,1,1,,,,,,,,,,,,,,,,,
1927,BAT-ENE-SHD-D2PCS,PCK,Eveready Shd D 2 Pc,Electrical,Eveready,,open,1,1,2,,,800,800,406861,4a678ba0758b0cbde7ac5a66a5503b0e5a409a03cecf11bb482236e21fd9cc20,low,na,no,,needs_permission,open,,,cimawholesale Cielo listing shared with sibling 199F row 2083; combined 199Y/F listing cannot yield SKU-distinct image without collision,decide whether one shared family image acceptable for both variants or request separate renders from Cielo
2293,"ACE-HAM-ANC-1/4' X 1 1/2""",PCK,Ace Hammer Drive Anchor 640 1/4 X 1 1/2 (10PCS/PCK) (BOX),Hand Tools,,10PCS/PCK,open,1,1,2;3,,,0,0,0,,,,,,unknown,open,,,acehardware.com search 403 bot-blocked automated fetch; no MY Ace franchise e-commerce reachable,pull acehardware PDP manually in browser or request anchor box artwork from Ace Hardware Malaysia
1735,ELE-BUL-HERM-E27-W/W,PCS,Hermanns LED Candle E27,Lighting,,E27,open,1,1,2;3;4,,,0,0,0,,,,,,unknown,open,,,hermann domains unreachable and never archived; no official PDP for Hermanns LED candle E27 found,contact Hermann lighting distributor Malaysia for candle-lamp range sheet
1197,BUL-FFL-40W-E27-FROST,PCS,Ffl 40W E27 Standard Bulb-frost,Lighting,,E27,open,1,1,2;4,,,0,0,0,,,,,,unknown,open,,,ffl.com.my dead with archive holding only 2007-2013 brochure pages; 40W incandescent likely discontinued,source legacy packshot from lighting wholesaler or substitute current FFL LED equivalent after merchandising approval
1977,CLI-HOS-ORB-TS-00,PCS,Orbit Wing Hose Clip (13-19MM),Outdoor & Garden,,13-19MM,open,1,1,2;4,,,0,0,0,,,,,,unknown,open,,,OBBS ORIGINAL table lists BS old codes OOO/MOO/OO/OX but no TS-00 code and no exact 13-19mm size (closest OO 13-20); catalogue links JS-gated; sibling MOO assets ~350px below floor,email international-sales@orbit-clips.com for TS-series wing clip datasheet PDF and hi-res image
1398,ADH-TAP-OPP-T80Y,PCS,Glotool Opp Tape 48 MM X 80 Yd (transp),Chemicals & Adhesives,Glotool,,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,Glotool house brand per protocol; no independent OEM site expected,in-house studio photo of tape roll (house brand)
1644,CHE-NTR-WD40-277ML,CAN,WD40 Anti Rust 277ML,Chemicals & Adhesives,,WD40,open,1,1,2;3;4,,,0,0,0,,,,,,unknown,open,,,official WD-40 Asia MUP PDP names only 382ml hero plus 100ml/4L/20L/208L variants; TDS manifest references 277ml artwork proving size exists but no size-specific published URL; dealer soongwung lists 277ml but authorised status unverified so barred; citing 382ml can would violate exact-SKU bar,request 277ml MUP packshot from WD-40 Company (Malaysia) asiasupport@wd40.com or confirm Soong Wung authorised-distributor status
1118,GUM-HAR-RS600C,PCS,Silicone Hardex 300ML Clear,Chemicals & Adhesives,,RS600C,open,1,1,2;3;4,,,0,0,0,,,,,,unknown,open,,,"Malaysian Hardex silicone maker has no reachable or archived official site (hardex.com.my/hardexcorp transport errors, zero captures); hardex.com is Canadian brake maker wrong brand",locate Malaysian Hardex sealant entity then request RS600C cartridge render
1121,GUM-HAR-RS900W,PCS,Silicone Hardex Neutral White,Chemicals & Adhesives,,RS900W,open,1,1,2;3;4,,,0,0,0,,,,,,unknown,open,,,same dead-domain situation as sibling RS600C; neutral white cartridge unverifiable on any official page,same owner step as RS600C
2045,CUT-TIL-NYL-3.0MM,BAG,Tiles Nylon Spacer X200PCS-3.0MM,Abrasives & Cutting,,X200PCS-3.0MM,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,generic commodity consumable with no detected brand; X200PCS-3.0MM is a pack descriptor,in-house photo of spacer bag (commodity item)
1421,TOO-DRV-MAG-GLO865,PCS,Glotool Magnetic Bit Holder 8 X 65MM,Power Tools,Glotool,,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,Glotool own/house brand power-tool accessory; no external OEM applies; GLO865 internal code,in-house photo of bit holder (house brand)
2326,FIT-BUT-ELB-25X20MM,PCS,Buteline 25 X 20MM PE Elbow,Plumbing,Buteline,,open,1,1,,,,,,,,,,,,,,,,,
2575,DOR-HAN-CF350-NA-R,PCS,Na-r Cresent Fastener,Doors & Hardware,,CF350,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,only window-hardware supplier listings show Crescent Fastener CF350; no OEM/importer site found,supplier/importer packshot request
1920,GUM-HAR-RS2000W,PCS,Silicon Hardex Water-based A/f,Chemicals & Adhesives,,RS2000W,open,1,1,2,,,0,0,0,,medium,na,no,,no_asset,open,,,hardexworld lists RS 2000 WATER-BASED SILICONE SEALANT RS 2000 (page names RS 2000 not literal RS2000W; W suffix per distributor chentat); anti-fungus water-based 300g cartridge barcode quoted|FETCH: same npcdn md5id family as siblings - verify distinct bytes,ask Hardex for literal RS-2000W labelled packshot if strict code needed
2197,GUM-HAR-RS800,PCS,Bonding Nail Hardex,Fasteners & Fixings,,RS800,open,1,1,2,https://www.hardexworld.com/?cat=HOUSEHOLD-PRODUCTS&products_id=4081522&subcat=HOUSEHOLD-ADHESIVE&ws=showproducts&PC=1,https://cdn1.npcdn.net/image/1659517914f0b8eb664b12747ac7ad9fc205a13e0c.png?md5id=ec97b3455d25310a00e49c9abf0633a1&new_width=1200&new_height=1200&size=max&w=1567133447,123,806,139840,85ee732216fe4d35f52f5af4cf726d6e82d0c1e647a67de8d78c15bd82f283ae,high,na,yes,match,no_asset,open,,red:model_absent,"q:hardexworld RS800 bonding nail probes|opened:household-adhesive category lists CONSTRUCTION ADHESIVE BONDING NAIL RS-800|opened:PDP products_id=4081522 PACKING SIZE quotes RS 800 - 320g Cartridge matching Bonding Nail Hardex; NOT YET FETCHED - add to r3 fetch batch|model-normalisation attempted but 'RS 800' not found in cached page text - left unchanged|gate round33 red red:model_absent: model variants ['RS800', 'TOKENS:RS800', 'HARRS800'] absent from cached page text - returned open for tier+1",escalate tier+1 next round per gate reds
1125,BAT-ENE-SHD-AAA4PCS,PCK,Eveready Shd Aaa 4PC,Electrical,Eveready,Super Heavy Duty AAA,verified_pass,1,1,2;3,https://eveready.com/apac/malaysia/product/eveready-super-heavy-duty-aaa/,https://eveready.com/apac/malaysia/wp-content/uploads/sites/10/2025/12/shd-AAA-1-1.png,800,800,493802,67ae59e7a1ca5102de0d9be4f67b4074e378f072e87c74c0cf2472361838ea2c,high,na,yes,match,no_asset,candidate,,green,duplicate of row 1125 target (SHD AAA 4PC): same PDP and same asset shd-AAA-1-1.png - COLLISION with sibling claim; hold open pending owner decision on shared packshot across SHD AAA rows|model-normalised tier2: detected_model 'Super Heavy Duty AAA' -> 'Super Heavy Duty AAA' quoted verbatim on cached PDP text,merge decision needed: identical SKU photographed once
2056,BAT-ENE-HD-AA4PCS,PCK,Eveready HD Aa 4PC,Electrical,Eveready,Heavy Duty AA,verified_pass,1,1,2;3,https://eveready.com/apac/malaysia/product/eveready-heavy-duty-aa/,https://eveready.com/apac/malaysia/wp-content/uploads/sites/10/2025/09/EVR-HD-AA.png,800,800,587625,ae2801212e14c9378fc66db805106cc205ad6ce918c631d1a1108203c7d32f1e,high,na,yes,match,no_asset,candidate,,green,duplicate of row 2056 target (HD AA 4PC): same PDP asset EVR-HD-AA.png - COLLISION with sibling claim; hold open pending merge decision|model-normalised tier2: detected_model 'Heavy Duty AA' -> 'Heavy Duty AA' quoted verbatim on cached PDP text,merge decision needed: identical SKU photographed once
2425,HOS-CON-STO-40200016,PCS,"Ecogreen Hose Quick Con. Wtr S. EG4110-1/2""-5/8",Outdoor & Garden,,EG4110-1/2,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,Ecogreen EG4110 quick connector exists only via retailers/distributors; no Ecogreen manufacturer site found,source from importer catalogue or photograph stock
1035,"FIT-BUT-ELB-MALE-25MMX1/2""",PCS,Buteline 25MMX1/2 PE Elbow Male,Plumbing,Buteline,25MMX1/2,open,1,1,,,,,,,,,,,,,,,,,
2436,"CUT-BLA-M'MAN-F3X4""",PCS,M'man Diamond Blade - F3X4,Abrasives & Cutting,,F3X4,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,Mman diamond blade import/house brand with no official site,importer packshot request
1377,"IND-SLO-ANG-1.5""X1.5""",PCS,Glotool Slotted Angle 1.5 X 1.5,Building Materials,Glotool,,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,Glotool slotted angle sold only through Malaysian retailers; glotool.co.za unrelated South African store; no OEM site,in-house photo (house brand)
1649,ELE-TUB-LED-2FT-20W-6500K,PCS,Hermanns LED 20W,Lighting,,T8-0.6M,open,1,1,2,,,0,0,0,,,,,,unknown,open,,,no Hermanns manufacturer site found; only generic T8 tube listings from other brands,check Ekoway supplier invoice for importer name then request art
