source_position,item_code,uom,official_product_page,official_image_url,verifier_verdict,finish_exact,model_exact,justification
301,SHO-SOR-SRTWT9615,PCS,,,pass,yes,yes,SRTWT9615 2-Ways 230mm rain head Chrome; jpg 3334x3334 389297B chrome exposed set pictured
314,BAS-SOR-SRTWB3415-BW,PCS,,,fail,no,yes,SRTWB3415-BW page live BUT SRTWB3415-01.jpg is labelled technical dimension drawing not product photo; blk+whi finish not pictured
321,BAS-SOR-SRTWB1086-BL,PCS,,,pass,yes,yes,SRTWB1086-BL title Colour Black dims 500x400x145; jpg 800x800 57041B black art basin pictured
325,BAS-SOR-SRTWT6806-MIX,PCS,,,pass,yes,yes,SRTWT6806 High Basin Mixer Tap Chrome; jpg 800x800 47339B chrome tall mixer pictured
326,TOI-TRP-WC-2123A-P,SET,,,pass,yes,yes,WC-2123A SKU quoted P-trap 180mm desc; jpg 1200x1200 74166B
334,TAP-SAN-SWP-B-2932,PCS,,,pass,yes,yes,SWP-B-2932 SKU field quoted; png 1587x2245 271604B gun metal pillar mixer clearly pictured (page itself names no colour)
338,BAS-SOR-SRTWT7203-GM,PCS,,,pass,yes,yes,SRTWT7203-GM Colour Gunmetal; jpg 1668x1668 110528B brushed gun metal tall cold tap pictured
339,BAS-SOR-SRTWT8303-RG,PCS,,,pass,yes,yes,SRTWT8303-RG Colour Black & Rose Gold; jpg 1668x1668 100806B matt black tap rose gold ring accents pictured
343,BAS-SOR-SRTWT-7203-BL,PCS,https://www.sorento.com.my/sorento-bathroom/faucet-bathroom/basin-cold-tap/srtwt7203-bl-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTWT7203-BL%20(2).jpg,pass,yes,yes,SRTWT7203-BL High Basin Cold Tap Colour Black; jpg 1667x1668 107157B matt black tall cold tap pictured
345,TAP-SAN-SWP-B-2922,PCS,,,pass,yes,yes,SWP-B-2922 titled Matt Grey description Brass Mixer Tap Matt Grey Pillar Tap; png 1000x1000 106649B matt grey mixer pictured
346,BAS-SOR-SRTWB1411,PCS,https://www.sorento.com.my/sorento-bathroom/wash-basin/counter-top-basin/srtwb1411-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTWB1411.jpg,pass,yes,yes,SRTWB1411 title/H1/SKU Length 500MM Width 400MM Height 135MM; jpg ~2000x2000 >20KB white ultra-thin countertop basin
347,BID-SOR-SRT103-GM,PCS,https://www.sorento.com.my/sorento-bathroom/faucet-bathroom/bidet/srt103-gm-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRT103-GM.jpg,pass,yes,yes,HAND BIDET SRT103-GM Two Way Tap c/w Hand Bidet 1.2m PVC Hose Gunmetal; jpg ~800x800 >20KB gunmetal set pictured
350,BAS-SAN-WB-502,PCS,https://saniware.com/product/art-basin-series-wb-502/,https://saniware.com/wp-content/uploads/2025/04/WB-502.jpg,pass,yes,yes,WB-502 SKU desc Size 480 x 380 x 140mm Above Counter Basin; jpg ~1200x1200 >20KB black marble art basin
355,BAS-SOR-SRTWT6851-GY,PCS,https://www.sorento.com.my/sorento-bathroom/faucet-bathroom/basin-cold-tap/srtwt6851-gy-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTWT6851-GY8.jpg,pass,yes,yes,SRTWT6851-GY title Colour Golden Yellow; jpg ~800x800 >20KB golden-yellow basin cold tap matches
358,TAP-SAN-SWP-B-2527,PCS,https://saniware.com/product/swp-b-2527/,https://saniware.com/wp-content/uploads/2021/10/SWP-B-2527.png,pass,yes,yes,Concealed 2 Way Bath Shower Mixer SWP-B-2527 title/H1/SKU; png ~2000x2000 >20KB chrome concealed mixer matches (no finish claim to contradict)
361,BAS-SOR-SRTWB7249,PCS,https://www.sorento.com.my/sorento-bathroom/wash-basin/wall-hung-basin/srtwb7249-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTWB7249.jpg,pass,yes,yes,SRTWB7249 title/H1 Counter Top & Wall Hung Basin; jpg ~2000x2000 >20KB white square wall-hung basin
363,BAS-SAN-WB-400,PCS,https://saniware.com/product/art-basin-wb-400a/,https://saniware.com/wp-content/uploads/2025/03/WB-440A.jpg,pass,yes,yes,WB-400A SKU Size 490 x 395 x 150mm Above Counter Mounting; og:image WB-440A.jpg 1200x1200 featured white gold-rim art basin; note item WB-400 vs page WB-400A trailing A only
364,MIR-SRTMCB-4060BL,PCS,https://www.sorento.com.my/sorento-bathroom/bathroom-furniture/srtmcb4060-bl-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTMCB4060-BL.png,pass,yes,yes,SRTMCB4060-BL title/H1 Mirror Cabinet Aluminium Colour Black; png ~800x800 >20KB black aluminium mirror cabinet matches BL code
371,BAS-SOR-SRTWT6802,PCS,https://www.sorento.com.my/sorento-bathroom/faucet-bathroom/basin-mixer-tap/srtwt6802-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTWT6802-01.jpg,pass,yes,yes,SRTWT6802 H1 breadcrumb Colour Chrome; jpg 276995B 2083x2083 chrome basin mixer
378,BAS-SOR-SRTWT8301-RG,PCS,https://www.sorento.com.my/sorento-bathroom/faucet-bathroom/basin-cold-tap/srtwt8301-rg-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTWT8301-RG%20(2).jpg,pass,yes,yes,SRTWT8301-RG H1 Colour Black & Rose Gold = rs+mb; jpg 102442B 1668x1668 black+rose gold cold tap
405,BAS-SAN-WB-880,PCS,https://saniware.com/product/wb-880/,https://saniware.com/wp-content/uploads/2021/03/WB-880.jpg,pass,yes,yes,WB-880 H1 SKU Size 395x295x120mm matching; image via webfetch white rectangular wall-hung art basin ~1000px
439,TOW-SOR-SRT9540-FRG,PCS,https://sorento.com.my/sorento-bathroom/bathroom-accessories/towel-bar/srt9540-frg-detail,https://sorento.com.my/images/stories/virtuemart/product/SRT9540-FRG.jpg,pass,yes,yes,SRT9540-FRG H1 Single Towel Bar Stainless Steel Rose Gold 787mm; jpg 139169B 1667x1668 rose gold bar
