ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
7186,2587,WEL-ELE-J38.12-2.5MM,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2151 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (WEL-ELE-J38.12-2.5MM|PCK), parent position 2151 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7436,1914,BOS-2608-595-059,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1302 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-595-059|PCS), parent position 1302 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7437,1381,BOS-2608-585-875,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1301 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-585-875|PCS), parent position 1301 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7438,1425,BOS-2608-595-053,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1412 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-595-053|PCS), parent position 1412 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7485,625,ELE-FAJAR-FLX-2.5MM-GREY,MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 255 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (ELE-FAJAR-FLX-2.5MM-GREY|MTR), parent position 255 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7486,926,IND-SCO-SMR-S512TY,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 681 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (IND-SCO-SMR-S512TY|PCS), parent position 681 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7487,3628,"FAS-SCR-TAP-PAN-8#3/4""",PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 3563 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (FAS-SCR-TAP-PAN-8#3/4""|PCK), parent position 3563 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7488,2570,ACE-HAM-ANC-1/4X1 1/4,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1792 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (ACE-HAM-ANC-1/4X1 1/4|PCK), parent position 1792 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7489,4734,CHA-PVC-BEL-R6MM,MTR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4190 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (CHA-PVC-BEL-R6MM|MTR), parent position 4190 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7490,2900,TOO-FIL-BCC-4.5200MM,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2657 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (TOO-FIL-BCC-4.5200MM|PCS), parent position 2657 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7491,1425,BOS-2608-595-053,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1412 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-595-053|PCS), parent position 1412 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7492,1381,BOS-2608-585-875,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 1301 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (BOS-2608-585-875|PCS), parent position 1301 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7493,2587,WEL-ELE-J38.12-2.5MM,PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2151 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (WEL-ELE-J38.12-2.5MM|PCK), parent position 2151 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7494,4006,PAI-SPR-PMT-013,CAN,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 3601 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-PMT-013|CAN), parent position 3601 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7495,7123,HOS-SPA-WAS-C555,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 5908 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (HOS-SPA-WAS-C555|PCS), parent position 5908 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7496,3918,GLO-HAN-PVC-DOTS,PAIR,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2409 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (GLO-HAN-PVC-DOTS|PAIR), parent position 2409 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7497,3799,TOO-FIL-BCC-4.8200MM,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 2291 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (TOO-FIL-BCC-4.8200MM|PCS), parent position 2291 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7498,1401,IND-SCO-SMR-S503TY,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 601 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (IND-SCO-SMR-S503TY|PCS), parent position 601 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
