source_position,item_code,uom,display_name,category,detected_brand,detected_model,tiers_already,prior_page,prior_image
1503,GAS-STO-BGC-848,SET,Butterfly S/s Double Gas Cooker,Home Appliances,,BGC-848,2,https://mybutterfly.com.my/?s=BGC-848&post_type=product,https://mybutterfly.com.my/wp-content/uploads/2025/06/BGC-848N.jpg
2065,TOO-BOX-NIE-H/D-175,PCS,Nietz 175 H/d Duty Tool Box 50523175,Hand Tools,Nietz,,2,https://nietz.com.my/product/nietz-heavy-duty-tool-box-175/,https://nietz.com.my/wp-content/uploads/2024/06/7_50523175.png
2220,BOS-2608-603-729,PCS,Diamond Blade For Tile,Abrasives & Cutting,Bosch,,2|3,https://www.bosch-pt.com.my/my/en/standard-for-universal-diamond-cutting-discs-for-small-angle-grinders-2892154-ocs-ac/#2608603729,https://www.bosch-pt.com.my/my/en/ocsmedia/402638-82/product-image/767x431/diamond-cutting-disc-fpe-standard-for-universal-2608603729.png
2213,NIE-JOI-UNI-12MM,PCS,Nietz Dr Universal Joint 1/2 50046840,Hand Tools,Nietz,,2,https://nietz.com.my/product/nietz-1-2-drive-universal-joint/,https://nietz.com.my/wp-content/uploads/2024/06/24_50046840.png
1103,BOS-2608-595-077,PCS,Hss-g Metal Bit 10.0MM,Power Tools,Bosch,,2,https://www.bosch-pt.com.my/my/en/hss-g-din-338-metal-drill-bits-2868320-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/168698-82/product-image/272x153/metal-drill-bits-hss-g-din-338-2608595042.png
2027,BOS-2608-900-570,PC,Hex 9 Multi Purpose D/bit 4 X 45 X 90MM,Power Tools,Bosch,,2|3,https://www.bosch-pt.com.au/au/en/expert-hex-9-multi-construction-drill-bit-2867206-ocs-ac,https://www.bosch-pt.com.au/au/en/ocsmedia/558804-82/product-image/272x153/expert-hex-9-multi-construction-drill-bit-4-x-45-x-90-mm-2608902250.png
1752,BOS-2608-667-446,PCS,Jigsaw Blade For PVC,Power Tool Accessories,Bosch,T102H,2,https://www.bosch-pt.com.my/my/en/pro-plastics-pvc-clean-t102h-jigsaw-blade-8155693-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/588378-82/product-image/272x153/pro-plastics-pvc-and-pmma-clean-t102h-jigsaw-blade-100-mm-5-pcs-2608667051.png
1951,FIT-BUT-ELB-32X32MM,PCS,Buteline PE Elbow 32X32MM,Plumbing,Buteline,32X32MM,2,https://www.buteline.com/my/buteline-pe/buteline-pe-fittings/equal-elbows,https://www.buteline.com/asset/10907.jpeg
1526,NIP-ZIN-GRE-GRE-5L,CAN,5L Nippon Zinc Phosphate Pr Fd Grey Green,Building Materials,Nippon Paint,,2,https://www.nipponpaint.com.my/product/zinc-phosphate-primer-fd/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/zinc-phosphate-primer-fd.webp
1520,"FAN-VEN-KDK-25TGQZ-10""",PCS,Kdk Ventilator FAN-10 25TGQ7,Fans & Ventilation,,FAN-10,2,https://www.kdk.com.my/product/25tgq7/,https://www.kdk.com.my/wp-content/uploads/2020/09/product-mobile_Ceiling-Mount-Propeller_25TGQ7.png
