ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7374,2339,"CHA-SAW-CHAIN-3652-25""",PCS,"25""M Stihl Chain (3652)","Rope, Chain & Netting",STIHL,,
7375,2340,"CHA-SAW-CHAIN-381-25""",PCS,"381 25""R Stihl Chain","Rope, Chain & Netting",STIHL,,
7376,2003,SWI-CON-33A-400W,PCS,Taicon Power Supply (low Noise) 33A 12V 400W,Electrical,Taicon,,
7377,2211,BOS-1600-A01-03S,PCS,Keyless Chuck For Gsr 120 (c),Power Tools,Bosch,,
7378,2470,ELE-LED-FLO-50W-6500K,PCS,LED Flood Light,Lighting,,IP66-50W,
7379,1587,BAS-SOR-SRTW5000,PCS,Sorento 80MM Pop Up Waste (W/0 Over Flow),Plumbing,Sorento,W/0,
7380,2474,SCA-CAM-3100076,PCS,Electronic Bathroom Scale B03A (GLASS/ROUND)180KG,Bathroom,,B03A,
7381,1923,NIP-ODOURLITE-1L-D,CAN,1L Nippon Odourlite Soft Matt Deep Base,Paint & Sundries,Nippon Paint,,
7382,1674,BAS-SOR-SRTW2600,PCS,Sorento Pop Up Waste,Plumbing,Sorento,SRTW2600,
7383,2219,WEL-ELE-KOB-LB52-4.0MM,PCK,Kobelco Welding Electrode LB52 X 4.0MM,Welding,,LB52,
7384,1987,NIP-EAS-6015-7L,CAN,7L Easycoat Emulsion 6015 Purple Angle,Paint & Sundries,Nippon Paint,,
7385,2202,NIP-EAS-5874-7L,CAN,7L Easycoat Emulsion 5874 Oyster Grey,Paint & Sundries,Nippon Paint,,
7386,1234,NIP-SAT-GLO-1L-D,CAN,1L Nippon Satin Glo Deep Base,Paint & Sundries,Nippon Paint,,
7387,1714,BOS-F016-F04-559,PCS,Plastic Cable (art 23SL),Electrical,Bosch,23SL,
7388,1223,PAD-STA-SS30-5140231-49,PCS,Pad Type Stanley SS30,Other,Stanley,SS30,
7389,2108,BOS-1600-A00-D6H,PCS,Dust Cup Attachment,Power Tools,Bosch,,
7390,2289,SWI-CON-TC-10506,PCS,Taicon Power Supply (low Noise) 16.6A 12V 200W,Electrical,Taicon,,
7391,1841,SAN-SWPW-SS-W80U,PCS,Spring Waste Without Overflow,Plumbing,Saniware,SWPW-SS-W80U,
7392,1771,SEN-VAC-BRA-DHS19,PCS,19MM X M10 Sensui Vacuum Brazed Diamo,Home Appliances,,M10,
7393,2180,BOS-2608-572-253,PCS,Drill Chuck 13MM,Power Tools,Bosch,,
7394,1818,VAL-SOR-SRTWT908SS-GM,PCS,Sorento S/steel Angle Valve-gm,Plumbing,Sorento,SRTWT908SS-GM,
7395,1287,BOS-2608-606-069,SET,Sanding Belt G40,Abrasives & Cutting,Bosch,G40,
7396,1288,BOS-2608-606-072,SET,Sanding Belt G100,Abrasives & Cutting,Bosch,G100,
7397,1289,BOS-2608-606-074,SET,Sanding Belt G220,Abrasives & Cutting,Bosch,G220,
7398,1817,VAL-ANG-SRTWT908SS-BL,PCS,Sorento S/s Angle Valve-blk,Plumbing,Sorento,SRTWT908SS-BL,
7399,1811,SEN-VAC-BRA-DHS16,PCS,16MM X M10 Sensui Vacuum Brazed Diamo,Home Appliances,,M10,
7400,1005,NIE-SOC-IMP-DEE-1/2-27MM,PCS,Nietz Deep Impact Socket (6PT) 50142027 27MM,Power Tools,Nietz,6PT,
7401,2002,SAN-SWPW-SS-W121A,PCS,Waste With Overflow SWPW-SS-W121A,Plumbing,Saniware,SWPW-SS-W121A,
7402,1882,FAN-ACC-BLA,PCS,Fan Blade 18 For Auto Fan (khind),Fans & Ventilation,Khind,,
7403,2012,SAN-SWPW-SS-W121B,PCS,Waste Without Overflow SWPW-SS-W121B,Plumbing,Saniware,SWPW-SS-W121B,
