ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
6773,1851,TOO-NIE-SOC-KEY-L06MM,PCS,candidate,https://nietz.com.my/product/nietz-1-2-drive-long-hex-bit-allen-socket/,https://nietz.com.my/wp-content/uploads/2024/06/65_50240104-until-50240114.png,medium,n/a,no,PCS matches - official page sells individual sockets per size variant,unknown,Optional: email info@nietz.com.my asking for a size-specific render of 50240106 (6mm) to upgrade model_exact,2,"q:""50240106""Nietz q:Nietz long allen box socket Malaysia p:https://nietz.com.my/product/nietz-1-2-drive-long-hex-bit-allen-socket/ Official NIETZ Malaysia series page opened. Title: NIETZ 1/2 Drive Long Hex Bit (Allen) Socket; model-quote: CODE: 502-40-1XX verbatim from page; gallery alt text 65 50240104 until 50240114 proves image was made for exactly this code range covering our 50240106; specs D24 L1=62 L2=100 torque exceeds DIN 7426 HRC 58+/-2 quoted on page. Not a generic category hero - it is the OEM asset named for this code family; exact 8-digit PN not printed so model_exact=no."
6774,1843,BOS-1617-014-138,SET,pending,,,n/a,n/a,n/a,n/a,unknown,Email Robert Bosch Sdn Bhd power tools service (powertools@my.bosch.com / 1800-880-188) quoting carbon brush set PN 1617014138 for GSH 388 / GSH 500 / GSH 5 and request an official packshot; fallback shoot-in-store,2,"q:carbon brush GSH 388 Bosch 1617014138 p:none-acceptable Bosch publishes no public product page for spare carbon brushes (only service-portal part diagrams); web results were US/PH third-party parts stores (helton mmtoolparts ereplacementparts yalehardwareph gigatools) which confirm PN 1617014138 = brush set for GSH 5 / GSH 5X / GSH 500 / GSH 388 family but none are official OEM pages or Malaysian authorised distributors; marketplaces forbidden. Nothing usable -> pending."
6775,1116,TOO-HAM-SLE-GT02LB,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,Request supplier packshot from Sonic Hardware (Sarawak) Sdn Bhd (sonichardware.com.my product 2680 lists 2LB-14LB selector) or SK Hardware; otherwise shoot-in-store,2,"q:Glotool hand tools Malaysia brand sledge hammer combination wrench q:Glotool tools Malaysia sledge hammer wrench brand Glotool has no official manufacturer site; only hits were Shopee/Lazada (forbidden) and MY stockists sonichardware.com.my (Sledge Hammer (Glotool) with 2LB option) and skhardware.com.my Glotool brand page (pliers/chisels only - no sledge). No identifiable official product -> pending per house-label rule."
6776,1434,NIE-SOC-HAN-DEE-06P-1/2-22MM,PCS,candidate,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/,https://nietz.com.my/wp-content/uploads/2024/06/6_50042008-until-50032032.png,medium,n/a,no,PCS matches - sold per piece by size variant,unknown,Optional: email info@nietz.com.my for per-size renders of the 50042xxx range,2,"q:""50043022""Nietz chrome socket q:site b2b.sunwaywinstar.com NPMT50042013 p:https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/ Official Nietz MY page for 1/2 Dr Chrome Deep Socket (6PT) opened; model-quote: CODE: 500-42-0XX verbatim; gallery filenames 6_50042008-until-50032032 prove the OEM shot covers exactly codes 50042008-50042032 including our 50042022; chrome vanadium heat treated chrome plated spec quoted. Series-level official asset (sizes share it) hence model_exact=no / confidence medium; Sunway Winstar B2B corroborates NPMT50042xxx mapping."
6777,1917,BOS-TER-FEMALE-CON-IW-TCF10/25,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,Identify actual terminal brand from physical packaging or supplier invoice (item is almost certainly a generic insulated female disconnect not Bosch-made despite BOS prefix); then search that brand official site or shoot-in-store,2,"q:(websearch attempt blocked - provider HTTP 429 rate limit) No branded official product identifiable for Terminal Female Connector TCF10/25; BOS prefix appears misassigned since Bosch makes no such accessory SKU. Per no-model generic rule -> pending; never invent an image."
6778,1103,BOS-2608-595-077,PCS,candidate,https://www.bosch-pt.com.my/my/en/hss-g-din-338-metal-drill-bits-2868320-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/168698-82/product-image/272x153/metal-drill-bits-hss-g-din-338-2608595042.png,medium,n/a,no,PCS matches - official MY page sells 10mm as single bit in Tight Pack,unknown,Confirm with Robert Bosch Sdn Bhd whether legacy PN 2608595077 (listed by RS/Klium as 10x87x133 DIN338) maps to the current single-bit SKU 2608595042 shown on bosch-pt.com.my,2,"q:""2608595077""Bosch HSS-G q:""2608595077""site:bosch-professional.com OR site:bosch-pt.com.my p:https://www.bosch-pt.com.my/my/en/hss-g-din-338-metal-drill-bits-2868320-ocs-ac/ Official Bosch Professional MY family page opened; model-quote: Part number 2608595042 - Diameter 10.00 - Total length 133 - Working length 87 verbatim in options table; per-PN packshot URL ...din-338-2608595042.png captured from page. Exact input PN 2608595077 is not printed on the MY page (it is the 5-pack article per RS int.rsdelivers 7683299) so model_exact=no / medium; same physical 10.0mm HSS-G DIN338 bit."
6779,1471,NIE-SOC-HAN-DEE-06P-1/2-20MM,PCS,candidate,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/,https://nietz.com.my/wp-content/uploads/2024/06/6_50042008-until-50032032.png,medium,n/a,no,PCS matches - per piece size variant,unknown,Optional: email info@nietz.com.my for per-size renders of 50042xxx,2,"Same evidence chain as ordinal 6776: p:https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/ model-quote: CODE: 500-42-0XX verbatim; gallery range 50042008-until-50032032 includes 50042020 (20MM); official OEM series shot; model_exact=no."
6780,2207,TOO-LEV-W0093B400,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,Unbranded aluminium level - shoot-in-store recommended; alternatively pull W0093B from the supplier paper catalogue/invoice and request artwork from that supplier,2,"q:""W0093B""aluminium level (websearch attempt returned HTTP 429 rate limit - retried once more and failed again) No brand detected and no identifiable official product for W0093B 400mm aluminium level; per generic-item rule -> pending; do NOT fabricate an image."
6781,1626,TOO-COM-GLO-25MM,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,Ask SK Hardware (03-456 7554) or Sonic Hardware Sarawak as Glotool stockists for a combination wrench packshot; else shoot-in-store,2,"q:Glotool hand tools Malaysia brand sledge hammer combination wrench p:https://www.skhardware.com.my/glotool-1 (brand listing opened via search of its pages) Glotool has no official OEM site; SK Hardware Glotool brand page lists only pliers and wood chisels - no combination wrenches; remaining hits were Shopee/Lazada (forbidden). Pending."
6782,1508,NIE-SOC-HAN-DEE-06P-1/2-17MM,PCS,candidate,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/,https://nietz.com.my/wp-content/uploads/2024/06/6_50042008-until-50032032.png,medium,n/a,no,PCS matches - per piece size variant,unknown,Optional: email info@nietz.com.my for per-size renders of 50042xxx,2,"p:https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/ model-quote: CODE: 500-42-0XX verbatim; gallery range 50042008-until-50032032 includes 50042017 (17MM); official OEM series shot; model_exact=no; see ordinal 6776 for full q:/p: chain."
