ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
1503,1503,GAS-STO-BGC-848,SET,candidate,https://mybutterfly.com.my/product/stainless-steel-double-gas-stove-bgc-848/,https://mybutterfly.com.my/wp-content/uploads/2025/06/BGC-848N.jpg,high,true,true,ok - boxed cooker set,official,,2|4,q: mybutterfly WP product-search BGC-848 returned the hit; q: WooCommerce slug guess stainless-steel-double-gas-stove-bgc-848; p: search results page showed title STAINLESS STEEL DOUBLE GAS STOVE [BGC-848]; p: PDP opened raw - H1 reads [BGC-848] x26 refs in HTML; og/gallery assets are OEM photos of this SKU named BGC-848N.jpg (N-revision naming by Butterfly1935); HEAD 200 image/jpeg
2065,2065,TOO-BOX-NIE-H/D-175,PCS,candidate,https://nietz.com.my/product/nietz-heavy-duty-tool-box-175/,https://nietz.com.my/wp-content/uploads/2024/06/7_50523175.png,high,true,true,ok - single box PCS,official,,2|4,q: direct URL verification no engine needed; p: nietz.com.my PDP opened raw - title NIETZ Heavy Duty Tool Box 175 - Nietz; SKU 50523175 present in HTML and og:image is the model-specific render 7_50523175.png; HEAD 200 image/png
2220,2220,BOS-2608-603-729,PCS,candidate,https://www.bosch-pt.com.my/my/en/standard-for-universal-diamond-cutting-discs-for-small-angle-grinders-2892154-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/402638-82/product-image/767x431/diamond-cutting-disc-fpe-standard-for-universal-2608603729.png,high,true,true,ok - single disc PCS,official,,2|3|4,q: family OCS page fetched with target sku 2608603729; p: standard-for-universal-diamond-cutting-discs page opened raw - code present in HTML incl priced SKU row; model-specific images under ocsmedia/402638 captured; HEAD 200 image/png
2213,2213,NIE-JOI-UNI-12MM,PCS,candidate,https://nietz.com.my/product/nietz-1-2-drive-universal-joint/,https://nietz.com.my/wp-content/uploads/2024/06/24_50046840.png,high,true,true,ok - single joint PCS,official,,2|4,q: direct URL verification no engine needed; p: nietz.com.my PDP opened raw - title NIETZ 1/2 Drive Universal Joint - Nietz; art.no 50046840 in HTML; og:image model-specific 24_50046840.png; HEAD 200 image/png
1103,1103,BOS-2608-595-077,PCS,candidate,https://www.bosch-pt.com.my/my/en/hss-g-din-338-metal-drill-bits-2868320-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/168698-82/product-image/767x431/metal-drill-bits-hss-g-din-338-2608595042.png,high,true,true,ok - bit card/PCS,official,,2|4,q: HSS-G family OCS page fetched checking sku 2608595042; p: hss-g-din-338-metal-drill-bits-2868320 opened raw - 2608595042 present in HTML with per-SKU images ocsmedia/168698; HEAD 200 image/png
2027,2027,BOS-2608-900-570,PC,candidate,https://www.bosch-pt.com.au/au/en/expert-hex-9-multi-construction-drill-bit-2867206-ocs-ac/?sku=2608902250,https://www.bosch-pt.com.au/au/en/ocsmedia/558804-82/product-image/767x431/expert-hex-9-multi-construction-drill-bit-4-x-45-x-90-mm-2608902250.png,medium,true,true,ok - single bit PC,official,ask Ekoway purchasing to correct item_code fragment to 2608902250 (2608900570 does not exist),2|3|4,q: bing/ddg/brave/mojeek engine queries for 2608900570 all bot-walled or empty - no such article anywhere; q: AU HEX-9 family fetched with sku=2608900570 - zero hits in HTML; p: bosch-pt.com.au expert-hex-9-multi-construction-drill-bit-2867206 opened raw - page text names EXPERT HEX-9 Multi Construction Drill Bit 4 x 45 x 90 mm = art.no 2608902250 which matches display dims exactly; internal code fragment 900-570 is a transcription typo; model-specific PNG on official regional .com.au domain; HEAD 200 image/png
1752,1752,BOS-2608-667-446,PCS,candidate,https://www.bosch-pt.com.my/my/en/pro-plastics-pvc-clean-t102h-jigsaw-blade-8155693-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/588378-82/product-image/767x431/pro-plastics-pvc-and-pmma-clean-t102h-jigsaw-blade-100-mm-5-pcs-2608667051.png,medium,true,true,ok - 5-pc blade pack sold as PCS,official,re-key item_code fragment to T102H / 2608667051 if this line is meant to be the PVC blade,2|3|4,q: engines for 2608667446 blocked or empty (ddg anomaly wall bing wall brave 429 mojeek timeout); q: bosch-pt resolver probe products/jigsaw-blade-2608667446 -> 404; p: MY jigsaw-blades family jigsaw-blades-2865229 lists only EXPERT SKUs - no 2608667446 anywhere; p: T102H PDP pro-plastics-pvc-and-pmma-clean-t102h-jigsaw-blade-8155693 opened raw - title PRO Plastics PVC and PMMA clean T102H Jigsaw Blade 100 mm 5 pcs with art.no 2608667051; display name Jigsaw Blade For PVC + detected_model T102H identify exactly this SKU; code fragment treated as internal typo; HEAD 200 image/png
1951,1951,FIT-BUT-ELB-32X32MM,PCS,pending,https://www.buteline.com/my/buteline-pe/buteline-pe-fittings/equal-elbows,,none,false,false,ok - fitting PCS but no approved image,official,email Buteline Malaysia via buteline.com/my contact/stockist form requesting an EE99-specific 32x32mm render (current asset /asset/10907 is one shared render for EE66 EE77 EE99) or shoot the EE99 elbow in-store at Kepong outlet,2|4,q: direct fetch of regional buteline.com/my equal-elbows page; p: page opened raw - row text EE99 32mm x 32mm found confirming size-to-model mapping EE99; entire page carries a single fitting render /asset/10907/h640-q10.jpeg and h640-q90 shared across sibling sizes EE66/EE77/EE99 -> series shot shared by sibling SKUs is not a match per family-hero rule
1526,1526,NIP-ZIN-GRE-GRE-5L,CAN,candidate,https://www.nipponpaint.com.my/product/zinc-phosphate-primer-fd/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/zinc-phosphate-primer-fd.webp,medium,true,true,ok - 5L CAN,official,if colour-accurate Grey Green packshot is required email Nippon Paint Malaysia customer care via nipponpaint.com.my contact form for the tinted-colour can art,2|4,q: direct PDP open plus HTML grep for any grey-specific raster; p: zinc-phosphate-primer-fd page opened raw - title Zinc Phosphate Primer FD for iron and steel x23 refs; og:image zinc-phosphate-primer-fd.webp is the product own named hero; no grey-green-specific art published officially - finish flagged partial; HEAD 200 image/webp
1520,1520,"FAN-VEN-KDK-25TGQZ-10""",PCS,candidate,https://www.kdk.com.my/product/25tgq7/,https://www.kdk.com.my/wp-content/uploads/2020/07/product-thumbnail_Ceiling-Mount-Propeller-25TGQ7.png,high,true,true,ok - fan unit PCS,official,correct item_code suffix 25TGQZ to 25TGQ7 in catalogue source data,2|4,q: direct PDP open from prior lead; p: kdk.com.my/product/25tgq7 opened raw - title 25TGQ7 - KDK Fans Malaysia; og:image product-thumbnail_Ceiling-Mount-Propeller-25TGQ7.png and mobile variant both model-named; display name says FAN-10 25TGQ7 so item-code Z is an internal transposition; HEAD 200 image/png
