ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
1067,1067,"FAN-CEI-KDK-K12UX-48""",PCS,candidate,https://www.kdk.com.my/product/k12ux/,https://www.kdk.com.my/wp-content/uploads/2020/07/Remote-Control-Type-K12UX.jpg,high,true,true,ok - fan unit PCS,official,,2|4,q: direct PDP open; p: kdk.com.my/product/k12ux opened raw - title K12UX - KDK Fans Malaysia; og:image Remote-Control-Type-K12UX.jpg model-specific; HEAD 200 image/jpeg
1080,1080,NIP-QGL-1L-T,CAN,candidate,https://www.nipponpaint.com.my/product/q-glo/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/q-glo-new.webp,medium,true,true,ok - 1L CAN,official,request tint-base-specific art from Nippon Paint Malaysia if needed,2|4,q: direct PDP open plus grep for tint raster (none); p: q-glo page opened raw - title Q-Glo Satin Finish Interior Wall Paint x18 refs; og:image q-glo-new.webp is the product own hero; 1L tint-base pack shares it; HEAD 200 image/webp
1089,1089,NIP-SPO-LES-5L-T,CAN,candidate,https://www.nipponpaint.com.my/product/spot-less-plus-matt/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/spot-less-plus-matt-best-in-class.webp,medium,true,true,ok - 5L CAN,official,request a dedicated tint-base can shot from Nippon Paint Malaysia trade marketing if colour-neutral base art matters,2|4,q: direct PDP open plus grep for any tint-base-specific raster (none found); p: spot-less-plus-matt page opened raw - title Spot-Less Plus Matt Anti-Bacterial Paint x25 refs; og:image spot-less-plus-matt-best-in-class.webp is this product own hero; tint-base is a pack variant sharing it; HEAD 200 image/webp
1099,1099,TOR-ENE-LED-2AA,PCK,candidate,https://eveready.com/apac/malaysia/product/eveready-brilliam-beam-2aa/,https://eveready.com/apac/malaysia/wp-content/uploads/sites/10/2025/12/EVEREADY-Brilliam-Beam-2AA.png,high,true,true,ok - blister 2-pack PCK,official,,2|4,q: direct PDP open; p: eveready apac malaysia brilliam-beam-2aa page opened raw - title EVEREADY Brilliam Beam 2AA - Eveready Malaysia x31 Brilliam refs; og:image EVEREADY-Brilliam-Beam-2AA.png model-specific; HEAD 200 image/png
1103,1103,BOS-2608-595-077,PCS,candidate,https://www.bosch-pt.com.my/my/en/hss-g-din-338-metal-drill-bits-2868320-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/168698-82/product-image/767x431/metal-drill-bits-hss-g-din-338-2608595042.png,high,true,true,ok - bit card/PCS,official,,2|4,q: HSS-G family OCS page fetched checking sku 2608595042; p: hss-g-din-338-metal-drill-bits-2868320 opened raw - 2608595042 present in HTML with per-SKU images ocsmedia/168698; HEAD 200 image/png
1148,1148,BOS-0601-1C1-0L0,UNIT,candidate,https://www.bosch-pt.com.my/my/en/products/gbm-400-professional-06011C10L0,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/750x422/o395050v54_gbm_400_packaging_1619PB9391.png,high,true,true,ok - drill UNIT,official,,2|4,q: direct PDP open checking 06011C10L0; p: gbm-400-professional PDP opened raw - title PRO GBM 400 Drill; code present in HTML; og:image is the model-specific packaging shot gbm_400_packaging_1619PB9391.png plus application shots all named drill-pro-gbm-400-06011c10l0; HEAD 200 image/png
1370,1370,BOS-2608-680-291,PCS,candidate,https://www.bosch-pt.com.my/my/en/sds-plus-1-hammer-drill-bits-2868938-ocs-ac/?sku=2608680291,https://www.bosch-pt.com.my/my/en/ocsmedia/196555-82/product-image/full/hammer-drill-bit-sds-plus-1-2608680291.png,high,true,true,ok - single bit PCS,official,,2|3|4,q: replaced prior .com.ae family-page lead with MY family fetch sku=2608680291; p: sds-plus-1 family opened raw - code present; full-size model PNG ocsmedia/196555 on MY domain captured; HEAD 200 image/png
1427,1427,BOS-2608-680-292,PCS,candidate,https://www.bosch-pt.com.my/my/en/sds-plus-1-hammer-drill-bits-2868938-ocs-ac/?sku=2608680292,https://www.bosch-pt.com.my/my/en/ocsmedia/196557-82/product-image/full/hammer-drill-bit-sds-plus-1-2608680292.png,high,true,true,ok - single bit PCS,official,,2|3|4,q: MY family fetch sku=2608680292 replacing prior AE lead; p: sds-plus-1 family opened raw - code present; full-size model PNG ocsmedia/196557 captured; HEAD 200 image/png
1444,1444,BOS-2608-680-290,PCS,candidate,https://www.bosch-pt.com.my/my/en/sds-plus-1-hammer-drill-bits-2868938-ocs-ac/?sku=2608680290,https://www.bosch-pt.com.my/my/en/ocsmedia/178450-82/product-image/full/hammer-drill-bit-sds-plus-1-2608680290.png,high,true,true,ok - single bit PCS,official,,2|3|4,q: MY family fetch sku=2608680290 replacing prior AE lead; p: sds-plus-1 family opened raw - code present; full-size model PNG ocsmedia/178450 captured; HEAD 200 image/png
1460,1460,NIP-ODO-SFT-MATT-5L-P,CAN,pending,https://www.nipponpaint.com.my/product/odourlite-soft-matt-finish/,,none,false,true,ok - 5L CAN but no approved image,official,email Nippon Paint Malaysia (nipponpaint.com.my contact/customer care) requesting an Odourlite Soft Matt packshot - current PDP hero is the sibling Gloss artwork odourlite-gloss.webp - or shoot the 5L can in-store at Kepong outlet,2|3|4,q: direct PDP open plus greps soft matt gloss tint; q: regional nipponpaint.com.sg odour-lite soft-matt slug probe -> 404 no SG equivalent page; p: odourlite-soft-matt-finish page opened raw - title Odourlite Soft Matt Finish for Wood & Metal x49 Odourlite refs; only images are odourlite-gloss.webp (sibling Gloss product artwork = banned family-hero) and a kitchen-cabinet lifestyle webp not usable as packshot
