ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
6714,1483,FAN-WALL-BWF-8051R,SET,candidate,https://mybutterfly.com.my/product/8-wall-fan-bwf-8051r/,https://mybutterfly.com.my/wp-content/uploads/2025/09/BWF-8051R-scaled.jpg,medium,no,yes,SET matches one complete fan with remote sold as one unit,unknown,,2,"q:""Butterfly BWF-8051R wall fan remote Malaysia"" websearch hit official brand site mybutterfly.com.my top result. p:https://mybutterfly.com.my/product/8-wall-fan-bwf-8051r/ full HTML fetched; title verbatim '8 WALL FAN [BWF-8051R]'; WooCommerce gallery data-large_image captured from HTML = wp-content/uploads/2025/09/BWF-8051R-scaled.jpg (2560x2560 SKU-specific shot, not family hero). model-quote:""BWF-8051R"" from page title/alt text. Display colour '(black)' appears nowhere on official page so finish unverifiable -> medium confidence."
6722,2109,BOS-F016-800-361,PCS,candidate,https://www.bosch-diy.com/my/en/p/extension-hose-6m-135-bar-f016800361,https://www.bosch-diy.com/imagestorage/en-my/extension-hose-6m-135-bar-34841-hires-png-rgb-oneux-126059_w_800_h_418.png,high,yes,yes,PCS matches single accessory sale,unknown,,2,"q:""Bosch F016800361 extension hose AQT"" websearch hit official Bosch DIY Malaysia PDP top result. p:https://www.bosch-diy.com/my/en/p/extension-hose-6m-135-bar-f016800361 full HTML fetched; JSON-LD Product block contains sku F016800361 GTIN 3165140761215 and compatibility naming AQT 35-12 and AQT 37-13 exactly matching display name; og:image meta captured. model-quote:""F016800361"" from JSON-LD sku field on page. No colour claim on either side; single official accessory image."
1503,1503,GAS-STO-BGC-848,SET,candidate,https://mybutterfly.com.my/product/stainless-steel-double-gas-stove-bgc-848/,https://mybutterfly.com.my/wp-content/uploads/2025/06/BGC-848N.jpg,high,true,true,ok - boxed cooker set,official,,2|4,q: mybutterfly WP product-search BGC-848 returned the hit; q: WooCommerce slug guess stainless-steel-double-gas-stove-bgc-848; p: search results page showed title STAINLESS STEEL DOUBLE GAS STOVE [BGC-848]; p: PDP opened raw - H1 reads [BGC-848] x26 refs in HTML; og/gallery assets are OEM photos of this SKU named BGC-848N.jpg (N-revision naming by Butterfly1935); HEAD 200 image/jpeg
6726,1618,FAN-TAB-BTF-8001,SET,candidate,https://mybutterfly.com.my/product/8-table-fan-btf-8001/,https://mybutterfly.com.my/wp-content/uploads/2025/09/BTF-8001-scaled.jpg,high,yes,yes,SET matches one complete table fan,unknown,,2,"On-site search q:?s=BTF-8001&post_type=product then canonical slug confirmed by fetch. p:https://mybutterfly.com.my/product/8-table-fan-btf-8001/ fetched twice; title verbatim '8 TABLE FAN [BTF-8001]'; spec row 'Colour : White & Grey' exactly matches display suffix (grey+white) so finish verified. model-quote:""BTF-8001"" from page title. Gallery data-large_image BTF-8001-scaled.jpg captured from HTML; SKU-specific shot."
6728,1642,BLE-MID-MBL-6010W,PCS,candidate,https://www.midea.com/my/kitchen-appliances/cooking-appliances/blender/midea-blender-plastic-jar-mbl-6010w.mbl-6010w,https://www.midea.com/content/dam/midea-aem/my/kitchen-appliances/food-preparation/blender-choppers/1-25l-blender---mbl-6010w/Midea-Table-Blender-MJ-BL6010W-Front-jpg.png,high,yes,yes,PCS matches single-unit retail,unknown,,2,"q:""Midea MBL-6010W table blender Malaysia"" websearch hit midea.com/my official PDP top result. p:https://www.midea.com/my/kitchen-appliances/cooking-appliances/blender/midea-blender-plastic-jar-mbl-6010w.mbl-6010w fetched; JSON-LD contains model MBL-6010W and name Midea Blender Plastic Jar - MBL-6010W; specs Capacity 1.25 L Power 600W match display Table Blender 1.25L 600W; og:image meta captured. model-quote:""MBL-6010W"" from JSON-LD model field on page. Page lists single Cream variant; display makes no colour claim so no conflict."
2065,2065,TOO-BOX-NIE-H/D-175,PCS,candidate,https://nietz.com.my/product/nietz-heavy-duty-tool-box-175/,https://nietz.com.my/wp-content/uploads/2024/06/7_50523175.png,high,true,true,ok - single box PCS,official,,2|4,q: direct URL verification no engine needed; p: nietz.com.my PDP opened raw - title NIETZ Heavy Duty Tool Box 175 - Nietz; SKU 50523175 present in HTML and og:image is the model-specific render 7_50523175.png; HEAD 200 image/png
6749,2068,BID-SAN-SBD-304-60075,PCS,candidate,https://saniware.com/product/stainless-steel-spray-bidet-sbd-304-60075/,https://saniware.com/wp-content/uploads/2025/05/SBD-304-60075.jpg,high,yes,yes,sold as 1 set/box per description so PCS acceptable single-set unit,unknown,,2,"q:saniware.com search S600 attempted four times over HTTP via curl - every attempt reset connection | p:https://saniware.com/?s=SBD&post_type=product fetched successfully - direct hit product Stainless Steel Spray Bidet SBD-304-60075 RM50 | p:https://saniware.com/product/stainless-steel-spray-bidet-sbd-304-60075/ opened - description quotes Stainless Steel Spray Bidet c/w Holder & 1.2mm Flexible Hose; Material Stainless Steel SUS304; Finishing Stainless Steel; Packing: 1 set/box 42 sets/ctn | gallery images SBD-304-60075.jpg and SDB-304-60075-Diamension.jpg | display-name alias S600 is dealer shorthand and does not appear on page but item-code suffix SBD-304-60075 equals official SKU verbatim | model-quote:""SKU: SBD-304-60075"""
2220,2220,BOS-2608-603-729,PCS,candidate,https://www.bosch-pt.com.my/my/en/standard-for-universal-diamond-cutting-discs-for-small-angle-grinders-2892154-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/402638-82/product-image/767x431/diamond-cutting-disc-fpe-standard-for-universal-2608603729.png,high,true,true,ok - single disc PCS,official,,2|3|4,q: family OCS page fetched with target sku 2608603729; p: standard-for-universal-diamond-cutting-discs page opened raw - code present in HTML incl priced SKU row; model-specific images under ocsmedia/402638 captured; HEAD 200 image/png
2213,2213,NIE-JOI-UNI-12MM,PCS,candidate,https://nietz.com.my/product/nietz-1-2-drive-universal-joint/,https://nietz.com.my/wp-content/uploads/2024/06/24_50046840.png,high,true,true,ok - single joint PCS,official,,2|4,q: direct URL verification no engine needed; p: nietz.com.my PDP opened raw - title NIETZ 1/2 Drive Universal Joint - Nietz; art.no 50046840 in HTML; og:image model-specific 24_50046840.png; HEAD 200 image/png
6769,1439,VAL-SAN-SW-SS-AV-77,PCS,candidate,https://saniware.com/product/sw-ss-av-77-2/,https://saniware.com/wp-content/uploads/2021/03/SW-SS-AV-77-1.jpg,high,yes,yes,PCS matches single angle valve sold individually,unknown,,2,"q:Saniware SW-SS-AV-77 angle valve (initial websearch rate-limited 429) | p:https://saniware.com home opened - official Saniware site of TC Bath Mart Sdn Bhd Puchong | p:https://saniware.com/?s=AV-77&post_type=product - direct hit Angle Valve SW-SS-AV-77 RM27 SKU: SW-SS-AV-77 category Angle Valve tags Bathroom Fitting Bidet Set Faucet | gallery image SW-SS-AV-77-1.jpg dedicated single-SKU photo | model-quote:""SKU: SW-SS-AV-77"" | high confidence exact-model official page"
