row_id,item_code,uom,display_name,category,official_product_page,official_image_url
1,"FAN-CEI-KDK-K14PH-WA-56""",PCS,56 Kdk DC Ceiling Fan (wood Acacia),Fans & Ventilation,https://www.kdk.com.my/product/k14ph-wa/,https://www.kdk.com.my/wp-content/uploads/2025/12/product-thumbnail_K14PH-WA.png
2,TOW-CAB-CB720-GM,PCS,Cabana S/s 24 Towel Shelf,Bathroom,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/towel-shelf-bar/cb720-gm-detail,https://www.cabana.com.my/images/virtuemart/product/CB720-GM.jpg
3,BID-CAB-CB55CR,UNIT,Cabana Bidet (chrome),Bathroom,https://cabana.com.my/index.php/products/bathroom/bidet/cb55cr-detail,https://cabana.com.my/images/virtuemart/product/CB55CR%20%20%20%20CB55CR-PJ.jpg
4,NIP-HYD-WOD-MET-1L,CAN,1L Nippon Hydro Wood & Metal Primer,Paint & Sundries,https://www.nipponpaint.com.my/product/hydro-wood-metal-primer/,https://www.nipponpaint.com.my/wp-content/uploads/2024/12/hydro-wood-metal-primer.webp
5,SHO-CAB-CSA300AA,UNIT,Cabana Shower Arm (20X1.0X300MM),Bathroom,https://cabana.com.my/index.php/products/bathroom/shower-series/shower-arm/csa300aa-detail,https://cabana.com.my/images/virtuemart/product/CSA300AA-01.jpg
6,SWI-SOC-ELE-TSB913,PCS,13A Universal Track Socket Blue-red LED (B913),Lighting,https://www.chinchunhardware.my/showproducts/productid/5157977/cid/589118/retouch-13a-universal-track-socket-blue-red-led-tsb913/,https://cdn1.npcdn.net/images/39a75ee6252bbd6a21e1f1843f5b6267_1723617372.webp?md5id=8a0ee38fc64016dbd30c621b3aa655e0&new_width=1000&new_height=1000&w=1725950964&from=jpeg&type=9
7,SWI-SOC-ELE-TSR13,PCS,13A Flat Pin Tracks Socket Red-blue LED (R13),Lighting,https://www.jllelectrical.com.my/showproducts/productid/3972421/cid/185651/retouch-flat-pin-track-socket-for-retouch-power-track/,https://cdn1.npcdn.net/npimg/16508685987e737ead02210488fa7c71d9059f77ae.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=1
8,TOO-BOX-NIE-H/D-178,PCS,Nietz 178 H/d Duty Tool Box W 2 Organizer,Hand Tools,https://nietz.com.my/product/nietz-heavy-duty-tool-box-178/,https://nietz.com.my/wp-content/uploads/2024/06/8_50523178.png
9,VAL-SOR-SRTWT806,PCS,Sorento S/s Chrome Plated Angle Valve,Plumbing,https://sorento.com.my/sorento-bathroom/faucet-bathroom/valve/srtwt806-detail,https://sorento.com.my/images/stories/virtuemart/product/SRTWT806-01.jpg
10,NIP-QGL-1L-T,CAN,1L Nippon Q-glo Tint Base,Paint & Sundries,https://www.nipponpaint.com.my/product/q-glo/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/q-glo-new.webp
