source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_gate
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Lighting,36,8.80,1,Megaman,A60,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:hash_collision
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Lighting,35,11.80,1,Megaman,YTP38B1,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:hash_collision
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Lighting,22,13.90,1,Megaman,A70,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:hash_collision
251,FAN-CEI-DEKA-CX156BK12,UNIT,Deka Ceiling Fan X-one 56 Blk,Fans & Ventilation,20,159.00,1,Deka,,skip_pass,candidate,https://deka.my/x-one-56/,https://deka.my/wp-content/uploads/2025/11/X-ONE-56-2560X2560-BK.png,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
201,ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Lighting,19,13.90,1,Megaman,A70,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:hash_collision
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Lighting,17,11.90,1,Megaman,E27,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:hash_collision
7,JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,16,288.00,1,Joven,SA8E,skip_pass,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/5/1/511801001-1.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 7. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:too_small
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Fans & Ventilation,8,189.00,1,Deka,,skip_pass,candidate,https://deka.my/f5-dc-pro/,https://deka.my/wp-content/uploads/2025/07/F5-DC-PRO-MB-Jpg.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
247,"HOS-FLE-GLO-60""",PCS,Glotool Flexible Tube F1/2 X F12 X 60,Outdoor & Garden,8,16.90,1,Glotool,F1/2,skip_pass,candidate,https://www.sonichardware.com.my/categories-listing/product/2116-glotool-flexible-tube-stainless-steel-f1-2-x-f1-2,https://www.sonichardware.com.my/images/com_hikashop/upload/01_1223683543.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
24,SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,6,89.00,1,Sorento,SRTSA830,skip_pass,candidate,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa830-detail,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=64,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 24. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:content_type
196,BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Power Tools,6,29.80,1,Bosch,PH2,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o466604v82_2608522407_bo_pro_u_f_1.png,,pass-queue-waiting,already OpenCode/dual pass,yes,
28,TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Bathroom,5,669.00,1,Saniware,WC2300-S250MM,skip_pass,candidate,https://saniware.com/product/one-piece-washdown-closet-wc-2300-s250mm/,https://saniware.com/wp-content/uploads/2025/05/WC-2300.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 28. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:content_type
94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Home Appliances,5,179.00,1,Joven,JP200,skip_pass,candidate,https://www.joven-electric.com/my/jp200-water-purifier.html,https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/5/1/5111304001-4.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:too_small
34,SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,4,899.00,1,Sorento,SRTKS2429-BL,skip_pass,pending,https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,,p300-pass1,"Carry-forward recheck failed: page_live=True, image_live=False. Queries ran: supplied hint URL re-open and exact model/image probe; no replacement exact asset was preserved.",yes,red:content_type
55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,4,519.00,1,Saniware,WC-2110A-S250MM,skip_pass,candidate,https://saniware.com/product/wc-2110a-s200/,https://saniware.com/wp-content/uploads/2021/03/WC-2110A-S200.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:content_type
46,CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,4,499.00,1,Saniware,SWBC-SS6411,skip_pass,pending,https://saniware.com/product/swbc-ss6411/,https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6411-1.jpeg,,p300-pass1,"Carry-forward recheck failed: page_live=False, image_live=True. Queries ran: supplied hint URL re-open and exact model/image probe; no replacement exact asset was preserved.",yes,red:content_type
56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,4,469.00,1,Saniware,WC-2122A-S250MM,skip_pass,candidate,https://saniware.com/product/wc-2122a-s300/,https://saniware.com/wp-content/uploads/2021/03/WC-2122A-S300.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:content_type
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,4,288.00,1,Deka,F66,skip_pass,candidate,https://deka.my/f66-dc/,https://deka.my/wp-content/uploads/2026/04/F66-2560X2560-BK.png,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
25,SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,4,139.00,1,Sorento,SRTSA860-GM,skip_pass,candidate,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa860-gm-detail,https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTSA860-GM-(product).jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 25. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:too_small
240,TAP-SAN-SWS-304-3964,PCS,Saniware Sliver Kitchen W Sink Tap,Kitchen & Sinks,4,62.00,1,Saniware,SWS-304-3964,skip_pass,candidate,https://saniware.com/product/sws-304-3964/,https://saniware.com/wp-content/uploads/2021/03/SWS-304-3964.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:content_type
266,STA-HIGH-PRE-WAS-K2,UNIT,Karcher K2 Power Vps High Pressure Washer,Power Tools,3,875.00,1,Stanley,,skip_pass,candidate,https://www.karcher.com/my/en/home-and-garden/products/k2-power-vps-kap-p11180010,https://d1y4tv7o00gnfq.cloudfront.net/mam/11180010/mainproduct/166106/d2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
131,STA-GRI-SCG400-SET,UNIT,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Power Tools,3,868.00,1,Stanley,SC200,skip_pass,candidate,https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SCG400_1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:hash_collision
42,CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Bathroom,3,749.00,1,Saniware,SWBC-SS6615,skip_pass,candidate,https://saniware.com/product/swbc-ss6615/,https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6615.jpeg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 42. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:content_type
64,FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,3,549.00,1,Rubine,RCF-MOZIA56-5BL-BT,skip_pass,candidate,https://www.rubine.com.my/product/RCF-MOZIA56-5BL,https://www.rubine.com.my/files/product_img/IM00032.png,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:schema
76,FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,3,499.00,1,Rubine,RCF-MOZIA56-5B-BT,skip_pass,candidate,https://www.rubine.com.my/product/RCF-MOZIA56-5B,https://www.rubine.com.my/files/product_img/IM00030.png,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:schema
17,TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Bathroom,3,238.00,1,Saniware,SWP-B-2521,skip_pass,candidate,https://saniware.com/product/swp-b-2521/,https://saniware.com/wp-content/uploads/2021/10/SWP-B-2521.png,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 17. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:content_type
31,TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Bathroom,3,145.00,1,Saniware,SWP-SS-304-3213,skip_pass,candidate,https://saniware.com/product/tall-basin-cold-tap-swp-ss-304-3213/,https://saniware.com/wp-content/uploads/2025/05/3213.png,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 31. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:content_type
22,OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,2,2590.00,1,Rubine,RBO-IA8X-70SS,skip_pass,candidate,https://www.rubine.com.my/product/RBO-IA8X-70SS,https://www.rubine.com.my/files/product_img/IM01811.jpg,,p300-pass1,Carry-forward verification: re-opened the Gemini-accepted official/authorised source page and image for source position 22. The worklist records exact model and finish agreement; the source URL remains live and the image URL is preserved without sibling substitution.,yes,red:schema
267,STA-PRE-WAS-K3-DEL,UNIT,Karcher Pressure Washer K3 Deluxe Premium,Power Tools,2,1329.00,1,Stanley,,skip_pass,candidate,https://www.karcher.com/my/en/home-and-garden/products/k-3-deluxe-premium-p16032200,https://d1y4tv7o00gnfq.cloudfront.net/mam/16032200/mainproduct/194232/d2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
268,X-STA-PRE-WAS-K4,UNIT,Karcher K4 Basic High Pressure Cleaner,Power Tools,2,1299.00,1,Karcher,,skip_pass,candidate,https://www.karcher.com/my/en/home-and-garden/products/k-4-basic-p11800800,https://d1y4tv7o00gnfq.cloudfront.net/mam/11800800/mainproduct/72592/d2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:model_absent
57,TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,2,1099.00,1,Sorento,SRTWC286-SH-S,skip_pass,candidate,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:content_type
52,SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,2,1098.00,1,Sorento,SRTWT2634-RG,skip_pass,candidate,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:content_type
250,CHA-SAW-STIHL-MS230,UNIT,Stihl Chainsaw 18 Stihl Chain & Guide BAR,"Rope, Chain & Netting",2,1089.00,1,STIHL,MS230,skip_pass,candidate,https://stihl-thk.com.my/products/ms-230/,https://stihl-thk.com.my/wp-content/uploads/2021/04/9ba6436ebe224792bd67edd7d604992a-1.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:too_small
73,SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,2,799.00,1,Sorento,S/S304,skip_pass,candidate,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:content_type
96,SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Bathroom,2,588.00,1,Sorento,2WAYS,skip_pass,candidate,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:content_type
213,STI-BRU-CUT-FR3001,UNIT,Stihl Brush Cutter,Outdoor & Garden,2,558.00,1,STIHL,FR3001,skip_pass,candidate,https://stihl-thk.com.my/products/fr-3001/,https://stihl-thk.com.my/wp-content/uploads/2023/03/FR-3001.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes,red:too_small
122,SHO-SOR-SRTWT9600HP,PCS,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Bathroom,2,469.00,1,Sorento,2WAYS,skip_pass,candidate,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/exposedshowerset-mobile/srtwt9600-detail,https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTWT9600-(product).jpg,,p300-pass1,Carry-forward verification: the supplied Gemini-accepted official/authorised page and exact image URL were re-opened successfully. Model and finish were already marked exact in the worklist; no sibling or colour substitution was made.,yes,red:too_small
