ordinal,source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_state,ledger_tiers_tried,ledger_researcher_decision,ledger_gate
2518,7251,"FAS-SCR-DRY-WHI-6#1.1/2""",PCK,Hunter/wh - Drywall Screw 6 (20PCS/PCK) X1-1/2,Fasteners & Fixings,1,1.80,3,,20PCS/PCK,search,,,,,,,yes,open,,,
2519,7390,FLO-MOC-20UB80,PCS,"8""X8 Floor Tiles",Flooring,1,1.40,3,,KH20UB80,search,,,,,,,yes,open,,,
2520,7474,SHH-PLA-NET-NEEDLE-NO.2,PCS,Plastic Net Needle No. 2 (white),Fishing & Tackle,1,1.40,3,,NO.2,search,,,,,,,yes,open,,,
2521,6582,HOS-SPA-WAS-RUB-C666-N,PKT,C666 Rubber Washer,Fasteners & Fixings,1,1.30,3,,C666,search,,,,,,,yes,open,,,
2522,6928,PAI-ROL-REF-L220*,PCS,Leon 2 Roller,Paint & Sundries,1,1.30,3,,REFILL-L220,search,,,,,,,yes,open,,,
2523,7709,"FAS-SCR-TAP-CSK-6#5/8""",PACK,"6 X5/8""CSK Self Tapping Screw-flat Head (20PCS/PCK)",Fasteners & Fixings,1,1.20,3,,X5/8,search,,,,,,,yes,open,,,
2524,4007,ROP-WIR-GAL-4.0MM,MTR,Galv Wire Rope-cnn 4.0MMX6X7,Lifting & Rigging,1,1.10,3,,4.0MMX6X7,search,,,,,,,yes,open,,,
2525,4803,ROP-WIR-GAL-2.0MM,MTR,Galv Wire Rope-cnn 2.0MMX6X7,Lifting & Rigging,1,0.50,3,,2.0MMX6X7,search,,,,,,,yes,open,,,
2526,5711,X-FLO-MOC-MP6308,PCS,MP6308 30X60CM,Power Tools,1,0.00,3,,MP6308,search,,,,,,,yes,open,,,
2527,5889,X-FLO-MOC-36102,PCS,36102 30X60CM,Power Tools,1,0.00,3,,30X60CM,search,,,,,,,yes,open,,,
2528,5891,X-FLO-MOC-GT3811,PCS,GT3811 30X60CM,Power Tools,1,0.00,3,,GT3811,search,,,,,,,yes,open,,,
2529,5898,X-FLO-MOC-T38502,PCS,T38502 30X60CM,Power Tools,1,0.00,3,,T38502,search,,,,,,,yes,open,,,
2530,6529,I-30CC-PELIKAN,BOT,Pelikan Stamp Pad Ink-blue,Other,1,0.00,3,,300CC,search,,,,,,,yes,open,,,
2531,7682,TAB-SHE-PVC-Y125A,MTR,Y-125A PVC Sheet,Housewares,0,6.90,3,,Y-125A,search,,,,,,,yes,open,,,
2532,5541,BNW-NUT-HTM-M06,PCS,H/t Nut- M 06,Fasteners & Fixings,1880,0.20,3,,,search,,,,,,,no,open,,,
2533,3840,"IND-BRA-ANGLE-4""X2""X2""X1.60MM",PCS,Bracket Angle 4 X 2 X 2 X 1.60MM,Building Materials,1158,1.20,3,,,search,,,,,,,no,open,,,
2534,4989,TAP-WIR-3MSCTBL,PCS,18MM X 5M Temflex Vinyl Elec Tape Blk,Plumbing,989,1.20,3,,,search,,,,,,,no,open,,,
2535,6344,FIT-PVC-ELB-15MM*,PCS,PVC Fitting Elbow 15MM 1/2,Plumbing,561,0.70,3,,,search,,,,,,,no,open,,,
2536,5090,BNW-BOL-HTM-M06-25MM,PCS,H/t Bolt - M 06 X 25MM,Fasteners & Fixings,442,0.30,3,,,search,,,,,,,no,open,,,
2537,5118,BNW-BOL-HTM-M06-20MM,PCS,H/t Bolt - M 06 X 20MM,Fasteners & Fixings,440,0.30,3,,,search,,,,,,,no,open,,,
2538,5772,BRA-FLA-80MMX30MM,PCS,80MM X 30MM Flat Bracket,Plumbing,406,1.90,3,,,search,,,,,,,no,open,,,
2539,2978,ROP-PE-12MM,MTR,12MM P. E Rope,"Rope, Chain & Netting",394,1.70,3,,,search,,,,,,,no,open,,,
2540,5257,FAS-SCR-COA-M6030,PCS,Sr Coach Screw M6 X 30MM,Fasteners & Fixings,390,0.30,3,,,search,,,,,,,no,open,,,
2541,5283,BNW-BOL-HTM-M06-30MM,PCS,H/t Bolt - M 06 X 30MM,Fasteners & Fixings,379,0.30,3,,,search,,,,,,,no,open,,,
2542,4817,ADH-TAP-SEA-MIK,PCS,Mikasa Seal Tape,Chemicals & Adhesives,360,0.60,3,,,search,,,,,,,no,open,,,
2543,6844,ELE-CAB-WIR-1.5red-MTR*,MTR,1.5MM Electric Cable Red,Electrical,356,1.00,3,,,search,,,,,,,no,open,,,
2544,5355,BNW-BOL-HTM-M08-35MM,PCS,H/t Bolt - M 08 X 35MM,Fasteners & Fixings,351,0.40,3,,,search,,,,,,,no,open,,,
2545,3542,ROP-PE-10MM,MTR,10MM P. E Rope,"Rope, Chain & Netting",347,1.20,3,,,search,,,,,,,no,open,,,
2546,7098,ELE-CAB-WIR-GRE-2.5MM*,MTR,2.5MM PVC Cable Green - MTR,Electrical,328,1.60,3,,,search,,,,,,,no,open,,,
2547,5044,NAI-COM-125MM-20KG,PCK,5 Wire Nail,Fasteners & Fixings,284,3.20,3,,,search,,,,,,,no,open,,,
2548,6847,FIT-PVC-SOC-15MM,PCS,PVC Fitting Socket P/t 15MM 1/2,Plumbing,279,1.10,3,,,search,,,,,,,no,open,,,
2549,3198,ADH-TAP-SEA-2915,PCS,Somax 19MM X 0.2MM X 15M Seal Tape,Chemicals & Adhesives,275,2.90,3,,,search,,,,,,,no,open,,,
2550,4999,FAS-SCR-COA-M8070,PCS,Sr Coach Screw M8 X 70MM,Fasteners & Fixings,270,0.80,3,,,search,,,,,,,no,open,,,
2551,4747,ROP-MANILA-9MM,MTR,Manila Rope -3/8 (9MM),"Rope, Chain & Netting",268,2.00,3,,,search,,,,,,,no,open,,,
2552,5658,FAS-SCR-COA-M6040,PCS,Sr Coach Screw M6 X 40MM,Fasteners & Fixings,268,0.30,3,,,search,,,,,,,no,open,,,
2553,3652,ROP-PP-10MM,MTR,10MM P. P Rope,"Rope, Chain & Netting",262,1.40,3,,,search,,,,,,,no,open,,,
2554,6658,ELE-PVC-NUT-B3X3*,PCS,Umc 3 X 3 PVC Nut Box,Fasteners & Fixings,261,0.90,3,,,search,,,,,,,no,open,,,
2555,7235,ELE-PVC-CAP,PCS,Box Lid - Screw Type,Fasteners & Fixings,258,0.40,3,,,search,,,,,,,no,open,,,
2556,3295,ROP-PP-12MM,MTR,12MM P. P Rope,"Rope, Chain & Netting",251,1.90,3,,,search,,,,,,,no,open,,,
2557,6022,FIT-PVC-CON-15MM,PCS,PVC Fitting Tank Connector 15MM 1/2,Plumbing,251,1.80,3,,,search,,,,,,,no,open,,,
2558,6802,FIT-PVC-SOC-20MM,PCS,PVC Fitting Socket P/t 20MM 3/4,Plumbing,240,2.00,3,,,search,,,,,,,no,open,,,
2559,4450,PAI-TRA,PCS,PVC Roller Tray,Housewares,239,3.90,3,,,search,,,,,,,no,open,,,
2560,6702,FIT-PVC-ELB-20MM,PCS,PVC Fitting Elbow 20MM 3/4,Plumbing,230,1.30,3,,,search,,,,,,,no,open,,,
2561,5846,BNW-BOL-HTM-M08-45MM,PCS,H/t Bolt - M 08 X 45MM,Fasteners & Fixings,226,0.50,3,,,search,,,,,,,no,open,,,
2562,5845,BNW-BOL-HTM-M08-20MM,PCS,H/t Bolt - M 08 X 20MM,Fasteners & Fixings,226,0.30,3,,,search,,,,,,,no,open,,,
2563,7301,"ELE-PVC-MALE-SOCKET-3/4""",PC(S),Ele PVC Male Socket 3/4,Electrical,225,0.28,3,,,search,,,,,,,no,open,,,
2564,5844,BNW-BOL-HTM-M06-35MM,PCS,H/t Bolt - M 06 X 35MM,Fasteners & Fixings,224,0.30,3,,,search,,,,,,,no,open,,,
2565,5808,NYLON-CORD-9042,MTR,Nylon Cord 9042 X 500G,Other,221,1.30,3,,,search,,,,,,,no,open,,,
2566,5693,FAS-SCR-COA-M6070,PCS,Sr Coach Screw M6 X 70MM,Fasteners & Fixings,221,0.50,3,,,search,,,,,,,no,open,,,
2567,3265,FIT-HDPE-TEE-25MM,PCS,HDPE Tee Equal 25MM,Plumbing,213,4.70,3,,,search,,,,,,,no,open,,,
2568,7234,ELE-CLI-PIP-GAL-18MM,PCS,3/4 G. I Saddle BAR,Electrical,213,0.60,3,,,search,,,,,,,no,open,,,
2569,3434,PAI-ROL-SET-1644#,SET,7 Paint Roller Set 1644,Paint & Sundries,207,4.10,3,,,search,,,,,,,no,open,,,
2570,7172,PIP-HOO-GAL-20MM,PCS,Hook Pipe GI 20MM,Plumbing,207,0.60,3,,,search,,,,,,,no,open,,,
2571,6864,FIT-PVC-ELB-PT15MM,PCS,PVC Fitting P/t Elbow 15MM 1/2,Plumbing,204,1.30,3,,,search,,,,,,,no,open,,,
2572,5989,BNW-BOL-HTM-M10-25MM,PCS,H/t Bolt - M 10 X 25MM,Fasteners & Fixings,203,0.60,3,,,search,,,,,,,no,open,,,
2573,7354,BNW-NUT-HTM-M08,PCS,H/t Nut - M 08,Fasteners & Fixings,203,0.20,3,,,search,,,,,,,no,open,,,
2574,5474,FAS-SCR-COA-M8060,PCS,Sr Coach Screw M8 X 60MM,Fasteners & Fixings,199,0.70,3,,,search,,,,,,,no,open,,,
2575,6010,BNW-BOL-HTM-M08-50MM,PCS,H/t Bolt - M 08 X 50MM,Fasteners & Fixings,198,0.50,3,,,search,,,,,,,no,open,,,
2576,4087,HOS-CLE-00830,MTR,8MM X 30M Clear Hose (COIL),Outdoor & Garden,16,1.30,3,,,duplicate_listing,,,,,,,no,open,,,
2577,6043,FAS-SCR-COA-M8025,PCS,Sr Coach Screw M8 X 25MM,Fasteners & Fixings,194,0.40,3,,,search,,,,,,,no,open,,,
2578,4337,CLI-HOS-PVC-13-23,PCS,7/8 S/steel Hose Clip With PVC Handle 13-23,Doors & Hardware,192,1.90,3,,,search,,,,,,,no,open,,,
2579,7229,FIT-PVC-SOC-DE20MM,PCS,PVC Fitting Socket D/e 20MM 3/4,Plumbing,189,1.00,3,,,search,,,,,,,no,open,,,
2580,3291,PAI-BRU-NIP-18MM,PCS,7 Roller Refill Polyester 18MM,Paint & Sundries,187,4.90,3,,,search,,,,,,,no,open,,,
2581,5847,BNW-BOL-HTM-M10-30MM,PCS,H/t Bolt - M 10 X 30MM,Fasteners & Fixings,186,0.70,3,,,search,,,,,,,no,open,,,
2582,4444,CLI-HOS-ORB-00,PCS,Orbit Hose Clip No : 00,Outdoor & Garden,185,1.60,3,,,search,,,,,,,no,open,,,
2583,6703,FIT-PVC-TEE-PT15MM,PCS,PVC Fitting P/t Tee 15MM 1/2,Plumbing,185,1.50,3,,,search,,,,,,,no,open,,,
2584,6110,SPR-RED,PCS,Spring Red,Fasteners & Fixings,184,0.50,3,,,search,,,,,,,no,open,,,
2585,6625,FIT-PVC-ELB-PT20MM,PCS,PVC Fitting P/t Elbow 20MM 3/4,Plumbing,183,1.50,3,,,search,,,,,,,no,open,,,
2586,6094,BNW-BOL-SS304-M6-20MM,PCS,SS 304 Bolt - M6 X 20MM,Fasteners & Fixings,181,0.50,3,,,search,,,,,,,no,open,,,
2587,7393,BNW-WAS-SSS-06MM,PCS,SS 304 Flat Washer 1/4,Fasteners & Fixings,180,0.20,3,,,search,,,,,,,no,open,,,
2588,7412,SEA-GAS-B,FTS,Black Gasket 1601 X 500 (k),Plumbing,177,0.30,3,,,search,,,,,,,no,open,,,
2589,5953,BNW-BOL-HTM-M10-35MM,PCS,H/t Bolt - M 10 X 35MM,Fasteners & Fixings,173,0.70,3,,,search,,,,,,,no,open,,,
2590,6164,BNW-BOL-HTM-M08-30MM,PCS,H/t Bolt - M 08 X 30MM,Fasteners & Fixings,170,0.40,3,,,search,,,,,,,no,open,,,
2591,3815,FIT-HDPE-BEN-ELB-25MM,PCS,HDPE Bend (elbow) 25MM,Plumbing,161,3.20,3,,,search,,,,,,,no,open,,,
2592,6609,NAI-COM-100MM-20KG,PCK,4 Wire Nail (BOX),Fasteners & Fixings,3,3.20,3,,,duplicate_listing,,,,,,,no,open,,,
2593,7462,FIT-PVC-CAP-15MM,PCS,PVC Fitting End Cap 15MM 1/2,Plumbing,156,0.50,3,,,search,,,,,,,no,open,,,
2594,4398,SPO-SCR-SCH,PCS,Sponge Scrub,Other,155,3.80,3,,,search,,,,,,,no,open,,,
2595,7327,BNW-WAS-SSS-12MM,PCS,SS 304 Flat Washer 1/2,Fasteners & Fixings,151,0.60,3,,,search,,,,,,,no,open,,,
2596,6274,BNW-BOL-HTM-M08-25MM,PCS,H/t Bolt - M 08 X 25MM,Fasteners & Fixings,151,0.30,3,,,search,,,,,,,no,open,,,
2597,5964,FAS-SCR-COA-M8050,PCS,Sr Coach Screw M8 X 50MM,Fasteners & Fixings,148,0.60,3,,,search,,,,,,,no,open,,,
2598,5579,BNW-BOL-HTM-M12-25MM,PCS,H/t Bolt - M 12 X 25MM,Fasteners & Fixings,146,0.90,3,,,search,,,,,,,no,open,,,
