ordinal,source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_state,ledger_tiers_tried,ledger_researcher_decision,ledger_gate
6713,1533,ELE-CEI-LIGY007/500/96-3CL,PCS,Ceiling Light 3CLR Y-007-500-96W,Lighting,4,158.00,3,,3CLR,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6714,1483,FAN-WALL-BWF-8051R,SET,Butterfly 8 Wall Fan W Remote Control (black),Fans & Ventilation,4,149.00,3,,BWF-8051R,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6715,1549,ELE-CEI-LIG-3004/96W 3CLR,PCS,Ceiling Light 3CLR 3004-96W,Lighting,4,149.00,3,,3CLR,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6716,1504,GAS-STO-HM-HGB-811,UNIT,Homa Plus Cast Iron Stove (5.5KG)-HGB811,Home Appliances,4,142.90,3,,HGB811,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6717,1505,GAS-STO-WGC-7532,SET,Warehouse Gas Cooker,Home Appliances,4,139.00,3,,WGC-7532,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6718,1592,ELE-CEI-LIG-616/120W-3CLR,PCS,Ceiling Light 616-120 3CLR,Lighting,4,136.00,3,,3CLR,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6719,1293,GAR-SHE-SB525-3M,PCS,Telescopic Tree Prunner Saw 3M,Outdoor & Garden,4,135.00,3,,SB525,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6720,1591,ELE-CEI-LIG-613/120W-3CLR,PCS,Ceiling Light 3CLR 613-120W,Lighting,4,135.00,3,,3CLR,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6721,1809,LOC-COL-RK503,SET,Colex Key-a-like Anti Cut Padlock RK-503,Locks & Security,4,133.00,3,,RK-503,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
6722,2109,BOS-F016-800-361,PCS,Extension Hose For Aqt 35-12/ Aqt 37-13,Electrical,4,122.00,3,Bosch,,reopen,pending,,,,g2500,Exact identity and exact image evidence not preserved; fail-closed.,yes,open,,,
