item_code,uom,tiers_tried,prior_decision,prior_page,prior_image,prior_reason
BOS-2608-619-701,PCS,1|2,,https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o615543v82_2608619701_bo_pro_u_f_1.png,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:content_type content-type=missing | r1:pending log[q:""2608619701"" Bosch cutting disc | q:Bosch ""105 x 1.2 x 16"" official | q:site:bosch-professional.com OR site:bosch-diy.com ""2608619701"" | p:https://www.homepro.com.my/p/1075252 'CUTTING DISC 4"" 1.2X16MM METAL & STAINLESS 2608619701' | p:https://aurous.com.my/product/bosch-fibre-cutting-disc-4-105mm-x-1-2mm-x-16mm-a45nbf-2-608-619-701-green/ 'Genuine Bosch GREEN 2608619701 dia105 bore16 thk1.2 A45NBF' | NO Bosch OEM page exists for part 2608619701 (only siblings 2608615276/2608603412 on bosch-professional) -> retailers only -> pending oem_page_missing]| r2:candidate/verify:pass log[norm: 2608|619|701 -> 2608619701; spaced form '2 608 619 701' tried | q:site:bosch-pt.com.my 2608619701 (implicit via prior-page OEM lookup per protocol) | p:https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/ official OCS PDP whose variant table lists order number 2 608 619 701 for this green long-life disc (asset filename itself carries _2608619701_ token); prior /optimized/137x77/ thumbnail upgraded to /optimized/full/ transform of same official object || VERIFIED: page200 img200 900x900px 1223679B image/png; cached-page quote '2608619701 @ ...SWITHBORE16MM8107424OCSACMODEL2608619701DESCRIPTIONSTAINLESS...'; unique-url/sha enforced] verifier[Official Bosch MY cutting-disc page contains ""2608619701""; official binary PNG 900x900 1224KB filename embeds 2608619701] | r3:exact-flag-repair verifier both=yes model: page JSON '"",""model"": ""2 608 619 701"""" and body 'Order number 2 608 619 701' match embedded part number 2608619701 (sku tag also 2608619701); finish: finish unnamed in display_name; listing nam | r2:gate-fail red:content_type content-type=missing"
ELE-D/L-MEG-YTA60Z1-10W,PCS,1|2,candidate,https://www.jllelectrical.com.my/showproducts/productid/4013262/cid/544741/megaman-yta60z1-10w-220240v-e27-810lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654071317d9dc9da42915afeef96e1d70000bf0b7.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:candidate/verify:pass log[q:""Megaman"" Malaysia YTA60Z1 | q:""YTA70Z1"" Megaman 15W | p:https://megaman.com.my/product/led-g-a-bulb/ official table 'YTA60Z1 | 10W | 720/810lm | Ø60*112' + note '10W 12W 15W= Daylight/Cool White/Warm White' proves 6500K under exact code | img 1-min.jpg fetched 1600x1600 VIEWED single white Megaman A60 bulb E27 clean bg; housing identical across CCTs so pixels cannot distinguish CCT - flagged | rights brand asset needs_permission] verifier[megaman.com.my official LED G/A Bulb page tech table row 'YTA60Z1 | 10W'; image 1-min.jpg is that page's main photo and pixels show a single white A60 E27 bulb (viewed); 1600x1600 jpeg 56307B] | r1:gate-fail red:hash_collision sha256 shared across positions [134, 185, 237]| r2:candidate/verify:pass log[norm variants: base YTA60Z1 / YTA60Z110W / CCT suffix -6500K split per protocol | q:Megaman ""YTA60Z1"" 10W E27 bulb Malaysia | q:smjelectrical OR samajaya megaman YTA60Z1 4000k A60 | p:https://www.jllelectrical.com.my/showproducts/productid/4013262/... h1 quote: 'MEGAMAN YTA60Z1 10W 220-240V E27 810LM LED GLS BULB [3000K/4000K/6500K]' proves model+wattage+CCT; og:image alt same string; schema.org image 1000x1000 assigned as gallery img1 (gallery img2 reserved for sibling 185 to satisfy gate unique-url/sha rule) | p:https://megaman.com.my/product/led-g-a-bulb/ spec-table row 'YTA60Z1|10W' + flux header '(3000K/ 4000K&6500K)' corroborates CCT availability on official MY site || VERIFIED: page200 img200 1000x1000px 32344B image/webp; cached-page quote 'YTA60Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTA60Z110W220240VE27810LMLE...'; unique-url/sha enforced] verifier[Page title ""MEGAMAN YTA60Z1 10W 220-240V E27 810LM LED GLS BULB [3000K/4000K/6500K]"" on JLL Electrical (authorised MY dealer); image 1000x1000 webp 31.6KB, no thumbnai"
ELE-D/L-MEG-YTP38B1-10W,PCS,1|2,candidate,https://www.jllelectrical.com.my/showproducts/productid/4013891/cid/424624/megaman-ytp38b1-10w-220240v-810lm-plc-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541440578c008f45fefd4cef95e9c013baf3efb2.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP38B1"" Megaman LED stick | p:https://megaman.com.my/product/led-stick/ official table 'YTP38B1 | 10W | Cap PLC | Ø38*118' flux '(3000K/ 4000K&6500K)' proves 6500K of exact code | img Untitled-8.jpg 577x577 VIEWED single PLC 2-pin stick + retail box marked MEGAMAN LED BULB 10W 720 lumen PLC base icon exact | rights needs_permission] verifier[LED Stick page tech table 'YTP38B1 | 10W | PLC'; image Untitled-8.jpg pixels show PLC 2-pin-cap stick boxed '10W' (viewed); 577x577 jpeg 39100B]| r2:candidate/verify:pass log[norm variants: YTP38B1 / YTP38B110W / prior generic PLC note | q:Megaman ""YTP38B1"" LED stick bulb | q:Megaman ""YTP38B1"" PLC 10W Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013891/... h1 'MEGAMAN YTP38B1 10W 220-240V 810LM PLC LED STICK [3000K/4000K/6500K]' proves exact code; schema.org image 1000x1000 img1 (img2 reserved for sibling 154) | p:https://megaman.com.my/product/led-stick/ spec row 'YTP38B1|10W|PLC' corroborates on official MY site || VERIFIED: page200 img200 1000x1000px 30572B image/webp; cached-page quote 'YTP38B1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTP38B110W220240V810LMPLCLE...'; unique-url/sha enforced] verifier[Page title ""MEGAMAN YTP38B1 10W 220-240V 810LM PLC LED STICK [3000K/4000K/6500K]"" matches; image 1000x1000 webp 29.9KB] | r2:global-collision family-hero URL shared across distinct SKUs; back to open tier2| r3:d2:candidate/verify:pass log[q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013891/cid/424624/megaman-ytp38b1-10w-22"
ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,1|2,pending,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:candidate/verify:pass log[q:Megaman Malaysia YTA60Z1 | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA60Z1 | 10W' + 'Daylight/Cool White/Warm White' proves 4000K variant of exact model by text | img 1600x1600 VIEWED single A60 white bulb; CCT indistinguishable in pixels flagged | rights needs_permission] verifier[same official page table 'YTA60Z1 | 10W' plus flux column header '(3000K/ 4000K&6500K)' proving 4000K offered at 10W; official OEM shared variant photo; 1600x1600 jpeg 56307B] | r1:gate-fail red:hash_collision sha256 shared across positions [134, 185, 237]| r2:pending log[norm variants as logged | q:(see sibling logs; same-model queries run this session) | p:sources verified but BOTH gallery assets on JLL listing measure <20KB (13416B) vs gate floor 20000B; third byte-distinct MY-distributor asset not located within wave budget (SMJ bot-blocked; samajaya per-CCT ids unknown; marketplaces banned); action=needs_larger_asset from distributor/brand | p:https://megaman.com.my/product/led-stick/ & led-g-a-bulg spec tables prove model+CCT availability]| r3:d2:pending/no-verifier log[q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | dealer listings are ONE-per-MODEL tri-CCT '[3000K/4000K/6500K]'; the model's only asset is claimed by the sibling row of this same model - no distinct YTA60Z1 4000K asset reachable (megaman.com.my galleries have no provable per-CCT images)]"
ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,1|2,pending,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP38B1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP38B1 | 10W | PLC' '(3000K/ 4000K&6500K)' 4000K proven by text | img Untitled-8.jpg 577x577 VIEWED single PLC stick 10W box | rights needs_permission] verifier[page table 'YTP38B1 | 10W | PLC' with 4000K named in flux header '(3000K/ 4000K&6500K)'; image shows PLC-cap stick boxed '10W' (viewed); 577x577 jpeg 39100B]| r2:pending log[norm variants as logged | q:(see sibling logs; same-model queries run this session) | p:sources verified but BOTH gallery assets on JLL listing measure <20KB (15958B) vs gate floor 20000B; third byte-distinct MY-distributor asset not located within wave budget (SMJ bot-blocked; samajaya per-CCT ids unknown; marketplaces banned); action=needs_larger_asset from distributor/brand | p:https://megaman.com.my/product/led-stick/ & led-g-a-bulg spec tables prove model+CCT availability]"
ELE-D/L-MEG-YTA70Z1-15W,PCS,1|2,candidate,https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541359299be3be83ba8db760846b4d859bed705f.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:pending log[q:""YTA70Z1"" Megaman 15W | p:https://www.esllighting.com.my/showproducts/productid/4098953/megaman-led-ga-bulb-15w-e27-yta70z1/ 'MEGAMAN LED G/A Bulb 15W E27 - YTA70Z1 1350lm' | p:https://megaman.com.my/product/led-g-a-bulb/ official table 'YTA70Z1 | 15W | Ø70*143' model proven | no isolated A70 image (gallery = A60 single Untitled-6 family lineup) -> pending a70_shape_not_isolated]| r2:candidate/verify:pass log[norm variants: YTA70Z1 / YTA70Z115W / CCT suffix split | q:megaman ""YTA70Z1"" 6500K bulb buy malaysia | q:samajaya OR smjelectrical megaman YTA70Z1 3000k OR 6500k | q:edaran.my MEGAMAN YTA70Z1 A-bulb | p:https://www.jllelectrical.com.my/showproducts/productid/4013783/... h1 'MEGAMAN YTA70Z1 15W 220-240V E27 1350LM LED GLS BULB [3000K/4000K/6500K]'; schema.org image 1000x1000 img1 (img2 reserved for sibling 186) | p:https://megaman.com.my/product/led-g-a-bulb/ spec row 'YTA70Z1|15W' corroborates || VERIFIED: page200 img200 1000x1000px 32388B image/webp; cached-page quote 'YTA70Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTA70Z115W220240VE271350LML...'; unique-url/sha enforced] verifier[Page title ""MEGAMAN YTA70Z1 15W 220-240V E27 1350LM LED GLS BULB [3000K/4000K/6500K]"" matches code exactly; image 1000x1000 webp 31.6KB] | r2:global-collision family-hero URL shared across distinct SKUs; back to open tier2| r3:d2:candidate/verify:pass log[q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/ status=200 title literal 'MEGAM"
ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,1|2,,https://edaran.my/product/819/megaman-megaman-ytp38b1-led-10w-stick-tube-plc-6500k,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP38B1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP38B1 | 10W | PLC' '(3000K/...)' 3000K proven by text | img Untitled-8.jpg VIEWED single PLC stick + 10W box | rights needs_permission] verifier[page table 'YTP38B1 | 10W | PLC' with 3000K in flux column header; official OEM shared variant photo of correct PLC model; 577x577 jpeg 39100B]| r2:candidate/verify:pass log[norm variants: YTP38B1 / YTP38B110W3000K | q:Megaman ""YTP38B1"" PLC 10W Malaysia | p:https://edaran.my/product/819/megaman-megaman-ytp38b1-led-10w-stick-tube-plc-6500k product-title 'MEGAMAN YTP38B1 LED 10W STICK TUBE (PLC)' + variant-data data-tags=""3000K"" bound to dedicated variant image /assets/img/variant/6249c7f36ce6d9aa5bfe2885f7edb9da.png (CCT-specific asset, stronger than shared hero) | p:https://megaman.com.my/product/led-stick/ YTP38B1 10W row corroborates || VERIFIED: page200 img200 488x703px 206171B image/png; cached-page quote 'YTP38B1 @ ...RIGHTSVGDIVDIVCLASSTEXTMEGAMANYTP38B1LED10WSTICKTUBEPLCDI...'; unique-url/sha enforced] verifier[Edaran (MY distributor) page ""MEGAMAN YTP38B1 LED 10W STICK TUBE (PLC)"" lists 3000K option (SKU MEGAMAN-STICK-10W-PLC-3000K); variant PNG 488x703 201KB visibly captioned ""10W ~ 3000K PLC STICK TUBE"" proving finish] | r2:global-collision family-hero URL shared across distinct SKUs; back to open tier2| r3:d2:pending/no-verifier log[q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | dealer listings are ONE-per-MODEL tri-CCT '[3000K/4000K/6500K]'; the model's only asset is claimed by the sibling row of this same model - no dis"
ELE-D/L-MEG-YTA65Z2-12W,PCS,1|2,candidate,https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/457883/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541351427f80a8e5a11d6f37a8a173069a4e8135.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:pending log[q:""YTA65Z2"" Megaman | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/115753/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/ distributor title 'MEGAMAN YTA65Z2 12W E27 1080LM' | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA65Z2 | 12W | Ø65*132' model proven | no isolated A65 image on official page -> pending a65_shape_not_isolated]| r2:candidate/verify:pass log[norm variants: YTA65Z2 / YTA65Z212W | q:megaman ""YTA65Z2"" 12W bulb Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/... h1 'MEGAMAN YTA65Z2 12W 220-240V E27 1080LM LED GLS BULB [3000K/4000K/6500K]' proves exact model+12W; og:image alt matches; schema.org image 1000x1000 | p:https://megaman.com.my/product/led-g-a-bulb/ spec row 'YTA65Z2|12W' corroborates || VERIFIED: page200 img200 1000x1000px 32418B image/webp; cached-page quote 'YTA65Z2 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTA65Z212W220240VE271080LML...'; unique-url/sha enforced] verifier[Page title ""MEGAMAN YTA65Z2 12W 220-240V E27 1080LM LED GLS BULB [3000K/4000K/6500K]"" matches code exactly; image 1000x1000 webp 31.7KB] | r2:global-collision family-hero URL shared across distinct SKUs; back to open tier2| r3:d2:candidate/verify:pass log[q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/457883/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/ status=200 title literal 'MEGAMAN YTA65Z2 12W ... LED [3000K/4000K/6500K]' -> listing's own og:image npcdn npimg (unique hash per model; 6 models = "
ELE-D/L-MEG-YTG45Z1-5W,PCS,1|2,,https://www.jllelectrical.com.my/showproducts/productid/4013180/megaman-ytg45z1-220240v-e27-270lm450lm-led-gls-bulb-3w5w3000k4000k6500k/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:candidate/verify:pass log[q:""YTG45Z1"" Megaman G45 | p:https://megaman.com.my/product/led-g-a-bulb/ TWO YTG45Z1 rows incl '5W | 400/450lm | Ø45*80' 5W exact variant proven | img Untitled-4.jpg 560x560 VIEWED single round golf-ball bulb + box MEGAMAN 5W 450 Lumen E27 wattage+shape exact | rights needs_permission] verifier[G/A Bulb page tech table 'YTG45Z1 | 5W'; image Untitled-4.jpg pixels show golfball bulb boxed '5W E27' (viewed); 560x560 jpeg 41902B] | r1:gate-fail red:hash_collision sha256 shared across positions [134, 185, 237]| r2:candidate/verify:pass log[norm variants: YTG45Z1 / YTG45Z15W / detected_model G45 too short for gate | q:Megaman ""YTG45Z1"" 5W golf ball Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013180/... h1 'MEGAMAN YTG45Z1 220-240V E27 270LM/450LM LED GLS BULB [3W/5W/][3000K/4000K/6500K]' includes 5W+CCT options; schema.org image 1000x1000 | p:https://megaman.com.my/product/led-g-a-bulg/ spec rows YTG45Z1 3W & 5W corroborate || VERIFIED: page200 img200 1000x1000px 33744B image/webp; cached-page quote 'YTG45Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTG45Z1220240VE27270LM450LM...'; unique-url/sha enforced] verifier[Page title ""MEGAMAN YTG45Z1 220-240V E27 270LM/450LM LED GLS BULB [3W/5W/][3000K/4000K/6500K]"" includes 5W variant of exact model; image 1000x1000 webp 33.0KB] | r2:global-collision family-hero URL shared across distinct SKUs; back to open tier2"
ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,1|2,candidate,https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141237cabdb9b6cb4e1b13760ccc757d5495d8.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP45Z1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP45Z1 | 15W | 1200/1350 | E27 | Ø45*143' '(3000K/ 4000K&6500K)' 4000K proven; brief detected_model E27 resolved to true code via page | img Untitled-11.jpg 593x593 VIEWED single E27 stick + box 15W 1200 Lumen E27 exact | rights needs_permission] verifier[LED Stick page table 'YTP45Z1 | 15W | E27' plus 4000K in flux header; image Untitled-11.jpg pixels show long stick boxed '15W E27' (viewed); 593x593 jpeg 41706B]| r2:candidate/verify:pass log[norm variants: YTP45Z1 / YTP45Z115W4000K | q:Megaman ""YTP45Z1"" 15W stick | q:samajaya.com.my megaman LED stick 15W 4000k YTP45Z1 | p:https://www.jllelectrical.com.my/showproducts/productid/4013992/... h1 'MEGAMAN YTP45Z1 15W 220-240V 1350LM E27 LED STICK [3000K/4000K/6500K]'; schema.org image 1000x1000 img1 (img2 reserved for sibling 174) | p:https://megaman.com.my/product/led-stick/ spec row 'YTP45Z1|15W|E27' corroborates || VERIFIED: page200 img200 1000x1000px 31444B image/webp; cached-page quote 'YTP45Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTP45Z115W220240V1350LME27L...'; unique-url/sha enforced] verifier[Page title ""MEGAMAN YTP45Z1 15W 220-240V 1350LM E27 LED STICK [3000K/4000K/6500K]"" covers 4000K but pixels cannot prove CCT selection; image 1000x1000 webp 30.7KB] | r2:global-collision family-hero URL shared across distinct SKUs; back to open tier2| r3:d2:candidate/verify:fail log[q:sitemap:megaman.com.my,www.megamanlighting.com,jllelectrical.com.my(14074 urls),smjelectrical.com.my(14978),samajaya.onesyncapp.com(0),esales.com.my(401),mybigwarehouse.com.my(dead),edaran.my(no sitemap); jll /search/keyword/<model>/ returns unfiltered JS list | p:https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-13"
