slice_id,home_chat,source_file,ord_lo,ord_hi,rows,actions,prior_tiers
S0001,01,chat-01.csv,1,50,50,search,50
S0002,01,chat-01.csv,51,100,50,search,50
S0003,01,chat-01.csv,101,150,50,search,50
S0004,01,chat-01.csv,151,200,50,search,50
S0005,01,chat-01.csv,201,250,50,search,50
S0006,01,chat-01.csv,251,300,50,duplicate_listing|search,49
S0007,01,chat-01.csv,301,350,50,search,45
S0008,01,chat-01.csv,351,400,50,search,0
S0009,01,chat-01.csv,401,450,50,search,5
S0010,01,chat-01.csv,451,500,50,search,50
S0011,01,chat-01.csv,501,550,50,search,38
S0012,01,chat-01.csv,551,600,50,search,0
S0013,01,chat-01.csv,601,650,50,search,0
S0014,01,chat-01.csv,651,700,50,search,0
S0015,01,chat-01.csv,701,750,50,duplicate_listing|search,0
S0016,01,chat-01.csv,751,800,50,search,0
S0017,01,chat-01.csv,801,839,39,search,0
S0018,02,chat-02.csv,840,889,50,search,0
S0019,02,chat-02.csv,890,939,50,search,0
S0020,02,chat-02.csv,940,989,50,search,0
S0021,02,chat-02.csv,990,1039,50,search,0
S0022,02,chat-02.csv,1040,1089,50,search,0
S0023,02,chat-02.csv,1090,1139,50,search,0
S0024,02,chat-02.csv,1140,1189,50,search,0
S0025,02,chat-02.csv,1190,1239,50,search,0
S0026,02,chat-02.csv,1240,1289,50,search,0
S0027,02,chat-02.csv,1290,1339,50,duplicate_listing|search,0
S0028,02,chat-02.csv,1340,1389,50,search,0
S0029,02,chat-02.csv,1390,1439,50,search,0
S0030,02,chat-02.csv,1440,1489,50,search,0
S0031,02,chat-02.csv,1490,1539,50,duplicate_listing|search,0
S0032,02,chat-02.csv,1540,1589,50,search,0
S0033,02,chat-02.csv,1590,1639,50,search,0
S0034,02,chat-02.csv,1640,1678,39,search,0
S0035,03,chat-03.csv,1679,1728,50,search,0
S0036,03,chat-03.csv,1729,1778,50,search,0
S0037,03,chat-03.csv,1779,1828,50,search,0
S0038,03,chat-03.csv,1829,1878,50,search,0
S0039,03,chat-03.csv,1879,1928,50,search,0
S0040,03,chat-03.csv,1929,1978,50,search,0
S0041,03,chat-03.csv,1979,2028,50,search,0
S0042,03,chat-03.csv,2029,2078,50,duplicate_listing|search,0
S0043,03,chat-03.csv,2079,2128,50,duplicate_listing|search,0
S0044,03,chat-03.csv,2129,2178,50,search,0
S0045,03,chat-03.csv,2179,2228,50,search,0
S0046,03,chat-03.csv,2229,2278,50,search,0
S0047,03,chat-03.csv,2279,2328,50,duplicate_listing|search,0
S0048,03,chat-03.csv,2329,2378,50,search,0
S0049,03,chat-03.csv,2379,2428,50,duplicate_listing|search,0
S0050,03,chat-03.csv,2429,2478,50,search,0
S0051,03,chat-03.csv,2479,2517,39,duplicate_listing|search,0
S0052,04,chat-04.csv,2518,2567,50,search,0
S0053,04,chat-04.csv,2568,2617,50,duplicate_listing|search,0
S0054,04,chat-04.csv,2618,2667,50,duplicate_listing|search,0
S0055,04,chat-04.csv,2668,2717,50,search,0
S0056,04,chat-04.csv,2718,2767,50,search,0
S0057,04,chat-04.csv,2768,2817,50,duplicate_listing|search,0
S0058,04,chat-04.csv,2818,2867,50,search,0
S0059,04,chat-04.csv,2868,2917,50,search,0
S0060,04,chat-04.csv,2918,2967,50,search,0
S0061,04,chat-04.csv,2968,3017,50,duplicate_listing|search,0
S0062,04,chat-04.csv,3018,3067,50,search,0
S0063,04,chat-04.csv,3068,3117,50,search,0
S0064,04,chat-04.csv,3118,3167,50,search,0
S0065,04,chat-04.csv,3168,3217,50,search,0
S0066,04,chat-04.csv,3218,3267,50,search,0
S0067,04,chat-04.csv,3268,3317,50,duplicate_listing|search,0
S0068,04,chat-04.csv,3318,3356,39,duplicate_listing|search,0
S0069,05,chat-05.csv,3357,3406,50,duplicate_listing|search,0
S0070,05,chat-05.csv,3407,3456,50,search,0
S0071,05,chat-05.csv,3457,3506,50,duplicate_listing|search,0
S0072,05,chat-05.csv,3507,3556,50,search,0
S0073,05,chat-05.csv,3557,3606,50,search,0
S0074,05,chat-05.csv,3607,3656,50,search,0
S0075,05,chat-05.csv,3657,3706,50,duplicate_listing|search,0
S0076,05,chat-05.csv,3707,3756,50,search,0
S0077,05,chat-05.csv,3757,3806,50,duplicate_listing|search,0
S0078,05,chat-05.csv,3807,3856,50,search,0
S0079,05,chat-05.csv,3857,3906,50,search,0
S0080,05,chat-05.csv,3907,3956,50,search,0
S0081,05,chat-05.csv,3957,4006,50,search,0
S0082,05,chat-05.csv,4007,4056,50,search,0
S0083,05,chat-05.csv,4057,4106,50,search,0
S0084,05,chat-05.csv,4107,4156,50,duplicate_listing|search,0
S0085,05,chat-05.csv,4157,4195,39,search,0
S0086,06,chat-06.csv,4196,4245,50,search,0
S0087,06,chat-06.csv,4246,4295,50,duplicate_listing|search,0
S0088,06,chat-06.csv,4296,4345,50,search,0
S0089,06,chat-06.csv,4346,4395,50,search,0
S0090,06,chat-06.csv,4396,4445,50,duplicate_listing|search,0
S0091,06,chat-06.csv,4446,4495,50,search,0
S0092,06,chat-06.csv,4496,4545,50,search,0
S0093,06,chat-06.csv,4546,4595,50,search,0
S0094,06,chat-06.csv,4596,4645,50,search,0
S0095,06,chat-06.csv,4646,4695,50,duplicate_listing|search,0
S0096,06,chat-06.csv,4696,4745,50,search,0
S0097,06,chat-06.csv,4746,4795,50,search,0
S0098,06,chat-06.csv,4796,4845,50,search,0
S0099,06,chat-06.csv,4846,4895,50,search,0
S0100,06,chat-06.csv,4896,4945,50,duplicate_listing|search,0
S0101,06,chat-06.csv,4946,4995,50,search,0
S0102,06,chat-06.csv,4996,5034,39,search,0
S0103,07,chat-07.csv,5035,5084,50,search,0
S0104,07,chat-07.csv,5085,5134,50,duplicate_listing|search,0
S0105,07,chat-07.csv,5135,5184,50,duplicate_listing|reopen|search,0
S0106,07,chat-07.csv,5185,5234,50,reopen,0
S0107,07,chat-07.csv,5235,5284,50,reopen,0
S0108,07,chat-07.csv,5285,5334,50,duplicate_listing|reopen,0
S0109,07,chat-07.csv,5335,5384,50,duplicate_listing|reopen,0
S0110,07,chat-07.csv,5385,5434,50,duplicate_listing|reopen,0
S0111,07,chat-07.csv,5435,5484,50,reopen,0
S0112,07,chat-07.csv,5485,5534,50,reopen,0
S0113,07,chat-07.csv,5535,5584,50,reopen,0
S0114,07,chat-07.csv,5585,5634,50,duplicate_listing|reopen,0
S0115,07,chat-07.csv,5635,5684,50,reopen,0
S0116,07,chat-07.csv,5685,5734,50,reopen,0
S0117,07,chat-07.csv,5735,5784,50,reopen,0
S0118,07,chat-07.csv,5785,5834,50,reopen,0
S0119,07,chat-07.csv,5835,5873,39,reopen,0
S0120,08,chat-08.csv,5874,5923,50,reopen,0
S0121,08,chat-08.csv,5924,5973,50,reopen,0
S0122,08,chat-08.csv,5974,6023,50,reopen,0
S0123,08,chat-08.csv,6024,6073,50,duplicate_listing|reopen,0
S0124,08,chat-08.csv,6074,6123,50,reopen,0
S0125,08,chat-08.csv,6124,6173,50,duplicate_listing|reopen,0
S0126,08,chat-08.csv,6174,6223,50,reopen,0
S0127,08,chat-08.csv,6224,6273,50,reopen,0
S0128,08,chat-08.csv,6274,6323,50,reopen,0
