source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
147,BOS-2608-619-701,PCS,Cutting Disc Metal,Abrasives & Cutting,Bosch,105MMX1.2MMX16MM,open,1,1,1,https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o615543v82_2608619701_bo_pro_u_f_1.png,,,,,C,no,no,PCS single disc matches retail unit,unknown,pending,,red:content_type,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:content_type content-type=missing | r1:pending log[q:""2608619701"" Bosch cutting disc | q:Bosch ""105 x 1.2 x 16"" official | q:site:bosch-professional.com OR site:bosch-diy.com ""2608619701"" | p:https://www.homepro.com.my/p/1075252 'CUTTING DISC 4"" 1.2X16MM METAL & STAINLESS 2608619701' | p:https://aurous.com.my/product/bosch-fibre-cutting-disc-4-105mm-x-1-2mm-x-16mm-a45nbf-2-608-619-701-green/ 'Genuine Bosch GREEN 2608619701 dia105 bore16 thk1.2 A45NBF' | NO Bosch OEM page exists for part 2608619701 (only siblings 2608615276/2608603412 on bosch-professional) -> retailers only -> pending oem_page_missing]",
269,BOS-2608-600-017,PCS,4 Grinding Disc,Abrasives & Cutting,Bosch,,verified_pass,1,1,,https://www.bosch-pt.com.my/my/en/pro-metal-bonded-grinding-disc-for-small-angle-grinders-bore-16-mm-osa-3090859-ocs-ac/,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/800x800/o470318v82_2608600017_bo_pro_u_f_1.png,800,799,1123239,9046ba006b692360713df2f72a73a8dab7af925c83e46ae1369c561d5f5333b8,A,yes,yes,"1 pc per pack (non-packaged, A 24 S BF)",needs_permission,,pass-inherited-dual-pass,green,seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting,
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,Lighting,Megaman,A60,open,1,1,1,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,,,,A,yes,yes,PCS single bulb OK,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:candidate/verify:pass log[q:""Megaman"" Malaysia YTA60Z1 | q:""YTA70Z1"" Megaman 15W | p:https://megaman.com.my/product/led-g-a-bulb/ official table 'YTA60Z1 | 10W | 720/810lm | Ø60*112' + note '10W 12W 15W= Daylight/Cool White/Warm White' proves 6500K under exact code | img 1-min.jpg fetched 1600x1600 VIEWED single white Megaman A60 bulb E27 clean bg; housing identical across CCTs so pixels cannot distinguish CCT - flagged | rights brand asset needs_permission] verifier[megaman.com.my official LED G/A Bulb page tech table row 'YTA60Z1 | 10W'; image 1-min.jpg is that page's main photo and pixels show a single white A60 E27 bulb (viewed); 1600x1600 jpeg 56307B] | r1:gate-fail red:hash_collision sha256 shared across positions [134, 185, 237]",
138,ELE-D/L-MEG-YTP38B1-10W,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,Lighting,Megaman,YTP38B1,open,1,1,1,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,,,,,A,yes,yes,PCS single stick PLC cap matches display_name Plc,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP38B1"" Megaman LED stick | p:https://megaman.com.my/product/led-stick/ official table 'YTP38B1 | 10W | Cap PLC | Ø38*118' flux '(3000K/ 4000K&6500K)' proves 6500K of exact code | img Untitled-8.jpg 577x577 VIEWED single PLC 2-pin stick + retail box marked MEGAMAN LED BULB 10W 720 lumen PLC base icon exact | rights needs_permission] verifier[LED Stick page tech table 'YTP38B1 | 10W | PLC'; image Untitled-8.jpg pixels show PLC 2-pin-cap stick boxed '10W' (viewed); 577x577 jpeg 39100B]",
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Lighting,Megaman,A60,open,1,1,1,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,,,,A,yes,yes,PCS single bulb OK,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:candidate/verify:pass log[q:Megaman Malaysia YTA60Z1 | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA60Z1 | 10W' + 'Daylight/Cool White/Warm White' proves 4000K variant of exact model by text | img 1600x1600 VIEWED single A60 white bulb; CCT indistinguishable in pixels flagged | rights needs_permission] verifier[same official page table 'YTA60Z1 | 10W' plus flux column header '(3000K/ 4000K&6500K)' proving 4000K offered at 10W; official OEM shared variant photo; 1600x1600 jpeg 56307B] | r1:gate-fail red:hash_collision sha256 shared across positions [134, 185, 237]",
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Lighting,Megaman,YTP38B1,open,1,1,1,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,,,,,A,yes,yes,PCS OK,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP38B1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP38B1 | 10W | PLC' '(3000K/ 4000K&6500K)' 4000K proven by text | img Untitled-8.jpg 577x577 VIEWED single PLC stick 10W box | rights needs_permission] verifier[page table 'YTP38B1 | 10W | PLC' with 4000K named in flux header '(3000K/ 4000K&6500K)'; image shows PLC-cap stick boxed '10W' (viewed); 577x577 jpeg 39100B]",
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,Lighting,Megaman,A70,open,1,1,1,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,,,,C,no,no,PCS OK,needs_permission,pending,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:pending log[q:""YTA70Z1"" Megaman 15W | p:https://www.esllighting.com.my/showproducts/productid/4098953/megaman-led-ga-bulb-15w-e27-yta70z1/ 'MEGAMAN LED G/A Bulb 15W E27 - YTA70Z1 1350lm' | p:https://megaman.com.my/product/led-g-a-bulb/ official table 'YTA70Z1 | 15W | Ø70*143' model proven | no isolated A70 image (gallery = A60 single Untitled-6 family lineup) -> pending a70_shape_not_isolated]",
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,Lighting,Megaman,YTP38B1,open,1,1,1,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,,,,,A,yes,yes,PCS OK,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP38B1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP38B1 | 10W | PLC' '(3000K/...)' 3000K proven by text | img Untitled-8.jpg VIEWED single PLC stick + 10W box | rights needs_permission] verifier[page table 'YTP38B1 | 10W | PLC' with 3000K in flux column header; official OEM shared variant photo of correct PLC model; 577x577 jpeg 39100B]",
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,Megaman A65 E27 LED Bulb,Lighting,Megaman,A65,open,1,1,1,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,,,,C,no,no,PCS OK,needs_permission,pending,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:pending log[q:""YTA65Z2"" Megaman | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/115753/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/ distributor title 'MEGAMAN YTA65Z2 12W E27 1080LM' | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA65Z2 | 12W | Ø65*132' model proven | no isolated A65 image on official page -> pending a65_shape_not_isolated]",
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K,Lighting,Megaman,G45,open,1,1,1,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-4.jpg,,,,,A,yes,yes,PCS mini globe OK,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:candidate/verify:pass log[q:""YTG45Z1"" Megaman G45 | p:https://megaman.com.my/product/led-g-a-bulb/ TWO YTG45Z1 rows incl '5W | 400/450lm | Ø45*80' 5W exact variant proven | img Untitled-4.jpg 560x560 VIEWED single round golf-ball bulb + box MEGAMAN 5W 450 Lumen E27 wattage+shape exact | rights needs_permission] verifier[G/A Bulb page tech table 'YTG45Z1 | 5W'; image Untitled-4.jpg pixels show golfball bulb boxed '5W E27' (viewed); 560x560 jpeg 41902B] | r1:gate-fail red:hash_collision sha256 shared across positions [134, 185, 237]",
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,Lighting,Megaman,E27,open,1,1,1,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg,,,,,A,yes,yes,PCS E27 cap matches display_name,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP45Z1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP45Z1 | 15W | 1200/1350 | E27 | Ø45*143' '(3000K/ 4000K&6500K)' 4000K proven; brief detected_model E27 resolved to true code via page | img Untitled-11.jpg 593x593 VIEWED single E27 stick + box 15W 1200 Lumen E27 exact | rights needs_permission] verifier[LED Stick page table 'YTP45Z1 | 15W | E27' plus 4000K in flux header; image Untitled-11.jpg pixels show long stick boxed '15W E27' (viewed); 593x593 jpeg 41706B]",
252,BOS-0600-8A7-FLO,UNIT,Easy Aqt 110 High P/cleaner,Chemicals & Adhesives,Bosch,,open,1,1,1,https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0,https://www.bosch-diy.com/imagestorage/en-my/easyaquatak-110-100044179-hires-png-rgb-oneux-263458_w_1600_h_800.png,,,,,A,yes,yes,UNIT complete washer per scope of delivery gun/lance/hose/nozzles,needs_permission,,,red:model_absent,seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:model_absent model variants ['06008A7FLO'] absent from cached page text | r1:candidate/verify:pass log[q:bosch-diy my/en EasyAquatak 110 Malaysia | p:https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0 official MY page 'Order number 06008A7FL0 EAN 3165140939683' matches item BOS-0600-8A7-FLO; specs 110bar 1300W match display_name | img 3200x1800 501KB PNG VIEWED single-unit product shot clean bg | rights Bosch asset needs_permission] verifier[bosch-diy.com/my official EasyAquatak 110 page states 'Order number 06008A7FL0' matching item code; image is that page's own hero PNG; 3200x1800 png 501315B],
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,Lighting,Megaman,E27,open,1,1,1,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg,,,,,A,yes,yes,PCS OK,needs_permission,,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [138, 154, 168, 174, 178, 227, 232] | r1:candidate/verify:pass log[q:""YTP45Z1"" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP45Z1 | 15W | E27' '(3000K/...)' 3000K proven by text | img Untitled-11.jpg VIEWED single E27 stick 15W box | rights needs_permission] verifier[page table 'YTP45Z1 | 15W | E27' with 3000K named in flux column header; official OEM shared variant photo; 593x593 jpeg 41706B]",
186,ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Lighting,Megaman,A70,open,1,1,1,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,,,,C,no,no,PCS OK,needs_permission,pending,,red:hash_collision,"seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting | r1:gate-fail red:hash_collision sha256 shared across positions [134, 153, 185, 186, 197, 201, 237] | r1:pending log[q:""YTA70Z1"" Megaman | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA70Z1 | 15W' + CCT list proves 4000K under code | no isolated A70 image -> pending a70_shape_not_isolated]",
221,PAI-SPR-SAM-2K01,PCS,Samurai Clearcoat Spray,Paint & Sundries,Samurai,2-COMPONENT,verified_pass,1,1,,https://samuraipaint.com/products/2k01-top-coat-clear,https://samuraipaint.com/cdn/shop/files/2K01_467e5ff6-2529-4889-b249-e99de298513f.jpg,2250,2250,180397,ba8d55213e04593f1150f24ece31e4fd4ae308123b9028fde074e593a8a6b5af,A,yes,yes,PCS clearcoat spray 2K,needs_permission,,pass-inherited-dual-pass,green,seed: action=skip_pass; prior_decision=candidate; prior_source=pass-queue-waiting,note: TLS cert invalid on host; fetched unverified
