source_position|item_code|uom|display_name|category|detected_brand|detected_model
147|BOS-2608-619-701|PCS|Cutting Disc Metal|Abrasives & Cutting|Bosch|105MMX1.2MMX16MM
134|ELE-D/L-MEG-YTA60Z1-10W|PCS|Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K|Lighting|Megaman|A60
138|ELE-D/L-MEG-YTP38B1-10W|PCS|Megaman LED Stick Bulb Plc YTP38B1 10W/6500K|Lighting|Megaman|YTP38B1
185|ELE-D/L-MEG-YTA60Z1-10W-4000K|PCS|Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K|Lighting|Megaman|A60
154|ELE-D/L-MEG-YTP38B1-10W-4000K|PCS|Megaman LED Stick Bulb Plc YTP38B1 10W/4000K|Lighting|Megaman|YTP38B1
153|ELE-D/L-MEG-YTA70Z1-15W|PCS|Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K|Lighting|Megaman|A70
178|ELE-D/L-MEG-YTP38B1-10W-3000K|PCS|Megaman LED Stick Bulb Plc YTP38B1 10W/3000K|Lighting|Megaman|YTP38B1
197|ELE-D/L-MEG-YTA65Z2-12W|PCS|Megaman A65 E27 LED Bulb|Lighting|Megaman|A65
237|ELE-D/L-MEG-YTG45Z1-5W|PCS|Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K|Lighting|Megaman|G45
168|ELE-D/L-MEG-YTP45Z1-15W-4000K|PCS|Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K|Lighting|Megaman|E27
252|BOS-0600-8A7-FLO|UNIT|Easy Aqt 110 High P/cleaner|Chemicals & Adhesives|Bosch|
174|ELE-D/L-MEG-YTP45Z1-15W-3000K|PCS|Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K|Lighting|Megaman|E27
186|ELE-D/L-MEG-YTA70Z1-15W-4000K|PCS|Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K|Lighting|Megaman|A70
251|FAN-CEI-DEKA-CX156BK12|UNIT|Deka Ceiling Fan X-one 56 Blk|Fans & Ventilation|Deka|
201|ELE-D/L-MEG-YTA70Z1-15W-3000K|PCS|Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K|Lighting|Megaman|A70
5|JOV-WAT-HEA-SA20E|PCS|Joven Instant Water Heater|Home Appliances|Joven|SA20E
227|ELE-D/L-MEG-YTP38Z1-10W|PCS|Megaman LED Stick Bulb E27 YTP38Z1 10W/6500K|Lighting|Megaman|E27
232|ELE-D/L-MEG-YTP38Z1-10W-4000K|PCS|Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K|Lighting|Megaman|E27
7|JOV-WAT-HEA-SA8E|PCS|Joven SA8E Instant Water Heater|Home Appliances|Joven|SA8E
165|BOS-2608-522-405|PCS|Impact Bit PH2 X 65MM|Power Tools|Bosch|PH2
195|BOS-2608-522-406|PCS|Impact Bit PH2 X 110MM|Power Tools|Bosch|PH2
11|JOV-WAT-HEA-SL30E-WHI-RS|PCS|Joven (white) Instant Water Heater SL30E-RS|Home Appliances|Joven|SL30E-RS
155|FAN-CEI-DEKA-CF5DC56MB|UNIT|Deka Ceiling Fan F5 Dc~pro Matt Blk 56|Fans & Ventilation|Deka|
247|HOS-FLE-GLO-60"|PCS|Glotool Flexible Tube F1/2 X F12 X 60|Outdoor & Garden|Glotool|F1/2
2|JOV-WAT-HEA-SL30IP-BLK|PCS|Joven (black) Instant Water Heater SL30IP|Home Appliances|Joven|SL30IP
276|DC-DCSM03-100EK|SET|Cordless Brushless Angle Grinder 20V|Power Tools||DCSM03-100EK
1|JOV-WAT-HEA-SL30IP-BLK-RS|PCS|Joven (black) Instant Water Heater SL30IP-RS|Home Appliances|Joven|SL30IP-RS
120|BOS-0601-227-1L2|UNIT|Gsb 13RE Impact Drill (blow Mode Set)|Power Tools|Bosch|13RE
24|SHO-SOR-SRTSA830|PCS|Sorento 450MM Shower Arm|Bathroom|Sorento|SRTSA830
196|BOS-2608-522-407|PCS|Impact Bit PH2 X 150MM|Power Tools|Bosch|PH2
18|JOV-WAT-HEA-SB11IP-BLK-RS|PCS|Joven (blk) Instant Water Heater|Home Appliances|Joven|SB11IP-RS
28|TOI-TRP-WC2300-S|SET|Saniware One Piece Washdown Closet|Bathroom|Saniware|WC2300-S250MM
26|JOV-WAT-HEA-SB11IP-WHI|PCS|Joven (white) Instant Water Heater SB11IP|Home Appliances|Joven|SB11IP
3|JOV-WAT-HEA-SL30IP-WHI|PCS|Joven (white) Instant Water Heater SL30IP|Home Appliances|Joven|SL30IP
94|JOV-WAT-FIL-JP200|PCS|Joven (red) Water Purifier|Home Appliances|Joven|JP200
34|SIN-SOR-SRTKS2429-BL|PCS|Sorento S/steel 304 Kitchen Sink-black|Kitchen & Sinks|Sorento|SRTKS2429-BL
55|TOI-TRP-WC-2110A-S|SET|Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet|Bathroom|Saniware|WC-2110A-S250MM
