source_position,item_code,uom,display_name,category,official_product_page,official_image_url
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,,,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg
138,ELE-D/L-MEG-YTP38B1-10W,PCS,,,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,,,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,,,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,,,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,,,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-4.jpg
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,,,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg
252,BOS-0600-8A7-FLO,UNIT,,,https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0,https://www.bosch-diy.com/imagestorage/en-my/easyaquatak-110-100044179-hires-png-rgb-oneux-263458_w_1600_h_800.png
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,,,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg
251,FAN-CEI-DEKA-CX156BK12,UNIT,,,https://deka.my/x-one-56/,https://deka.my/wp-content/uploads/2025/11/X-ONE-56-2560X2560-BK.png
5,JOV-WAT-HEA-SA20E,PCS,,,https://www.joven-electric.com/my/sa20e-instant-water-heater-511601002.html,https://www.joven-electric.com/media/catalog/product/s/a/sa20e_-_feature_image_2026.jpg
