source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
3468,BNW-BOL-SS304-M12-50MM,PCS,,,reject,R,,,,no_asset,"q:""SS304 bolt M12X50 hex bolt Malaysia supplier""; p:https://www.kvc.com.my/Products/Tools/Fastener/Bolts-and-Nuts/SS304-HEX-BOLT-M12-X-50-zid2668984 exact-spec dealer page exists but generic_unbranded commodity fastener, no OEM brand asset possible",
5710,WAL-PLU-S/S-70MM,PCS,,,reject,R,,,,no_asset,"q:""CC221 OR K103 stainless steel wall plug M8X70 Malaysia""; p:https://www.lianhoaircond.com.my/product/stainless-steel-wall-plug only generic 8x60/10x80 plugs; CC221/K103 model codes appear nowhere online; generic_unbranded",
4976,"FAS-RIV-PAT-1/8""X3/8""-PCK",PCK,https://sonichardware.com.my/product/product/1442-jaguar-blind-rivet,https://sonichardware.com.my/images/com_hikashop/upload/04_1330088842.jpg,candidate,B,n/a,yes,catalogue_20PCS_PCK_vs_page_T_PC_box_packing,needs_permission,"q:""Jaguar blind rivet pop rivet Malaysia hardware""; p:https://sonichardware.com.my/product/product/1442-jaguar-blind-rivet variant list literally ""Blind Rivet (Jaguar): T/PC 1/8 X 3/8""; Sonic Hardware Sarawak MY dealer; real JPG image verified (600x600 thumb / full upload); hardwarehouse.com.my/product/264 also lists size but its PNG returns HTML hotlink block",verify_rights_with_sonic_or_hardware_house
6227,FAS-RIV-PAT-3/16X1/2-PCK,PCK,https://sonichardware.com.my/product/product/1442-jaguar-blind-rivet,https://sonichardware.com.my/images/com_hikashop/upload/04_1330088842.jpg,candidate,B,n/a,yes,catalogue_20PCS_PCK_vs_page_T_PC_box_packing,needs_permission,"same Sonic Jaguar page; variant ""Blind Rivet (Jaguar): T/PC 3/16 X 1/2"" literally selectable",verify_rights_with_sonic_or_hardware_house
5638,FAS-RIV-PAT-5/32X3/8-PCK,PCK,https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/,,pending,C,n/a,yes,pack_size_not_stated_on_page,unknown,"q:""Jaguar blind rivet pop rivet Malaysia hardware""; p:https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/ Jaguar brand page literally lists size ""5/32\"" x 3/8\"""", Made in Malaysia; page shows Jaguar rivet box product photos; 20PCS/PCK pack count not stated on page; UPDATE: hardwarehouse page lists size literally but its product PNGs return HTML hotlink block (probe <!DOCTYPE), sonic page does not stock this size -> pending with blocker=image_asset_unavailable_for_this_size",source_jaguar_box_photo_for_5638
4086,"FAS-RIV-PAT-3/16""X3/4""-PCK",PCK,https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/,,pending,C,n/a,yes,pack_size_not_stated_on_page,unknown,"q:""Jaguar blind rivet pop rivet Malaysia hardware""; p:https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/ Jaguar brand page literally lists size ""3/16\"" x 3/4\"""", Made in Malaysia; page shows Jaguar rivet box product photos; 20PCS/PCK pack count not stated on page; UPDATE: hardwarehouse page lists size literally but its product PNGs return HTML hotlink block (probe <!DOCTYPE), sonic page does not stock this size -> pending with blocker=image_asset_unavailable_for_this_size",source_jaguar_box_photo_for_4086
4525,"FAS-RIV-PAT-3/16""X3/8""-PCK",PCK,https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/,,pending,C,n/a,yes,pack_size_not_stated_on_page,unknown,"q:""Jaguar blind rivet pop rivet Malaysia hardware""; p:https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/ Jaguar brand page literally lists size ""3/16\"" x 3/8\"""", Made in Malaysia; page shows Jaguar rivet box product photos; 20PCS/PCK pack count not stated on page; UPDATE: hardwarehouse page lists size literally but its product PNGs return HTML hotlink block (probe <!DOCTYPE), sonic page does not stock this size -> pending with blocker=image_asset_unavailable_for_this_size",source_jaguar_box_photo_for_4525
5692,FAS-RIV-PAT-5/32X1/2-PCK,PCK,https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/,,pending,C,n/a,yes,pack_size_not_stated_on_page,unknown,"q:""Jaguar blind rivet pop rivet Malaysia hardware""; p:https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/ Jaguar brand page literally lists size ""5/32\"" x 1/2\"""", Made in Malaysia; page shows Jaguar rivet box product photos; 20PCS/PCK pack count not stated on page; UPDATE: hardwarehouse page lists size literally but its product PNGs return HTML hotlink block (probe <!DOCTYPE), sonic page does not stock this size -> pending with blocker=image_asset_unavailable_for_this_size",source_jaguar_box_photo_for_5692
4447,FAS-RIV-PAT-5/32X5/8-PCK,PCK,https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/,,pending,C,n/a,yes,pack_size_not_stated_on_page,unknown,"q:""Jaguar blind rivet pop rivet Malaysia hardware""; p:https://www.hardwarehouse.com.my/product/264/Jaguar-Blind-Rivet/ Jaguar brand page literally lists size ""5/32\"" x 5/8\"""", Made in Malaysia; page shows Jaguar rivet box product photos; 20PCS/PCK pack count not stated on page; UPDATE: hardwarehouse page lists size literally but its product PNGs return HTML hotlink block (probe <!DOCTYPE), sonic page does not stock this size -> pending with blocker=image_asset_unavailable_for_this_size",source_jaguar_box_photo_for_4447
3472,BRO-PLA-SB LD-1803S,PCS,,,pending,C,no,no,,unknown,"q:""LD-1803S plastic broom Malaysia""; q:""200G CS plastic broom""; p:https://www.metrooffice.com.my/product/local-broom-1803st-with-handle/ + supersaveplastic.com.my LOCAL BROOM(1803) E-DAY show local broom model 1803 but LD prefix never appears; cannot prove same product; blocker=model_prefix_unproven",
