source_position|item_code|uom|display_name|category|detected_brand|detected_model|prior_page|prior_image|prior_problem
147|BOS-2608-619-701|PCS|Cutting Disc Metal|Abrasives & Cutting|Bosch|105MMX1.2MMX16MM|https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/|https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o615543v82_2608619701_bo_pro_u_f_1.png|gate-fail
134|ELE-D/L-MEG-YTA60Z1-10W|PCS|Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K|Lighting|Megaman|A60|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg|gate-fail
138|ELE-D/L-MEG-YTP38B1-10W|PCS|Megaman LED Stick Bulb Plc YTP38B1 10W/6500K|Lighting|Megaman|YTP38B1|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg|gate-fail
185|ELE-D/L-MEG-YTA60Z1-10W-4000K|PCS|Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K|Lighting|Megaman|A60|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg|gate-fail
154|ELE-D/L-MEG-YTP38B1-10W-4000K|PCS|Megaman LED Stick Bulb Plc YTP38B1 10W/4000K|Lighting|Megaman|YTP38B1|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg|gate-fail
153|ELE-D/L-MEG-YTA70Z1-15W|PCS|Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K|Lighting|Megaman|A70|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg|gate-fail
178|ELE-D/L-MEG-YTP38B1-10W-3000K|PCS|Megaman LED Stick Bulb Plc YTP38B1 10W/3000K|Lighting|Megaman|YTP38B1|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg|gate-fail
197|ELE-D/L-MEG-YTA65Z2-12W|PCS|Megaman A65 E27 LED Bulb|Lighting|Megaman|A65|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg|gate-fail
237|ELE-D/L-MEG-YTG45Z1-5W|PCS|Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K|Lighting|Megaman|G45|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-4.jpg|gate-fail
168|ELE-D/L-MEG-YTP45Z1-15W-4000K|PCS|Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K|Lighting|Megaman|E27|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg|gate-fail
252|BOS-0600-8A7-FLO|UNIT|Easy Aqt 110 High P/cleaner|Chemicals & Adhesives|Bosch||https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0|https://www.bosch-diy.com/imagestorage/en-my/easyaquatak-110-100044179-hires-png-rgb-oneux-263458_w_1600_h_800.png|gate-fail
174|ELE-D/L-MEG-YTP45Z1-15W-3000K|PCS|Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K|Lighting|Megaman|E27|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg|gate-fail
186|ELE-D/L-MEG-YTA70Z1-15W-4000K|PCS|Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K|Lighting|Megaman|A70|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg|gate-fail
251|FAN-CEI-DEKA-CX156BK12|UNIT|Deka Ceiling Fan X-one 56 Blk|Fans & Ventilation|Deka||https://deka.my/x-one-56/|https://deka.my/wp-content/uploads/2025/11/X-ONE-56-2560X2560-BK.png|gate-fail
201|ELE-D/L-MEG-YTA70Z1-15W-3000K|PCS|Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K|Lighting|Megaman|A70|https://megaman.com.my/product/led-g-a-bulb/|https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg|gate-fail
5|JOV-WAT-HEA-SA20E|PCS|Joven Instant Water Heater|Home Appliances|Joven|SA20E|https://www.joven-electric.com/my/sa20e-instant-water-heater-511601002.html|https://www.joven-electric.com/media/catalog/product/s/a/sa20e_-_feature_image_2026.jpg|gate-fail
227|ELE-D/L-MEG-YTP38Z1-10W|PCS|Megaman LED Stick Bulb E27 YTP38Z1 10W/6500K|Lighting|Megaman|E27|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-7.jpg|gate-fail
232|ELE-D/L-MEG-YTP38Z1-10W-4000K|PCS|Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K|Lighting|Megaman|E27|https://megaman.com.my/product/led-stick/|https://megaman.com.my/wp-content/uploads/2020/12/Untitled-7.jpg|gate-fail
165|BOS-2608-522-405|PCS|Impact Bit PH2 X 65MM|Power Tools|Bosch|PH2|https://www.bosch-pt.com.ph/ph/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/|https://www.bosch-pt.com.ph/binary/ocsmedia/optimized/767x431/o469856v82_2608522405_bo_pro_u_f_1.png|gate-fail
195|BOS-2608-522-406|PCS|Impact Bit PH2 X 110MM|Power Tools|Bosch|PH2|https://www.bosch-pt.com.ph/ph/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/|https://www.bosch-pt.com.ph/binary/ocsmedia/optimized/full/o469860v82_2608522406_bo_pro_u_f_1.png|gate-fail
11|JOV-WAT-HEA-SL30E-WHI-RS|PCS|Joven (white) Instant Water Heater SL30E-RS|Home Appliances|Joven|SL30E-RS|https://www.joven-electric.com/my/sl30e-rs-instant-water-heater-5100601.html|https://www.joven-electric.com/media/catalog/product/cache/81feca21a488f339124f3c58fa0f1a2e/5/1/5100601001-4_2.jpg|gate-fail
155|FAN-CEI-DEKA-CF5DC56MB|UNIT|Deka Ceiling Fan F5 Dc~pro Matt Blk 56|Fans & Ventilation|Deka||https://deka.my/f5-dc-pro/|https://deka.my/wp-content/uploads/2025/07/F5-DC-PRO-MB-Jpg.jpg|gate-fail
247|HOS-FLE-GLO-60"|PCS|Glotool Flexible Tube F1/2 X F12 X 60|Outdoor & Garden|Glotool|F1/2|https://www.sonichardware.com.my/categories-listing/product/2116-glotool-flexible-tube-stainless-steel-f1-2-x-f1-2|https://www.sonichardware.com.my/images/com_hikashop/upload/01_1223683543.jpg|gate-fail
2|JOV-WAT-HEA-SL30IP-BLK|PCS|Joven (black) Instant Water Heater SL30IP|Home Appliances|Joven|SL30IP|https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html|https://www.joven-electric.com/media/catalog/product/cache/81feca21a488f339124f3c58fa0f1a2e/s/l/sl30ip_black_2026_1.jpg|gate-fail
276|DC-DCSM03-100EK|SET|Cordless Brushless Angle Grinder 20V|Power Tools||DCSM03-100EK|https://www.dongchengtool.com/product/detail/1642205372810|https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2024/10/20/1732062890048/DCSM03-100.jpg|gate-fail
1|JOV-WAT-HEA-SL30IP-BLK-RS|PCS|Joven (black) Instant Water Heater SL30IP-RS|Home Appliances|Joven|SL30IP-RS|https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html|https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/5/1/5101501002-1.jpg|gate-fail
120|BOS-0601-227-1L2|UNIT|Gsb 13RE Impact Drill (blow Mode Set)|Power Tools|Bosch|13RE|https://www.bosch-pt.com.my/my/en/products/gsb-13-re-06012271L2|https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/750x422/o260232v54_lv-144432-12-GSB13RE_stat_01.png|gate-fail
24|SHO-SOR-SRTSA830|PCS|Sorento 450MM Shower Arm|Bathroom|Sorento|SRTSA830|https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa830-detail|https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=64|gate-fail
196|BOS-2608-522-407|PCS|Impact Bit PH2 X 150MM|Power Tools|Bosch|PH2|https://www.bosch-pt.com.ph/ph/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/|https://www.bosch-pt.com.ph/binary/ocsmedia/optimized/full/o466604v82_2608522407_bo_pro_u_f_1.png|gate-fail
18|JOV-WAT-HEA-SB11IP-BLK-RS|PCS|Joven (blk) Instant Water Heater|Home Appliances|Joven|SB11IP-RS|https://www.joven-electric.com/my/sb11ip-rs-4-2kw-instant-water-heater-5111102.html|https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/s/b/sb11ip-rs_4.2kw_black__1.jpg|gate-fail
28|TOI-TRP-WC2300-S|SET|Saniware One Piece Washdown Closet|Bathroom|Saniware|WC2300-S250MM|https://saniware.com/product/one-piece-washdown-closet-wc-2300-s250mm/|https://saniware.com/wp-content/uploads/2025/05/WC-2300.jpg|gate-fail
26|JOV-WAT-HEA-SB11IP-WHI|PCS|Joven (white) Instant Water Heater SB11IP|Home Appliances|Joven|SB11IP|https://www.joven-electric.com/my/sb11ip-instant-water-heater-5110201.html|https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/s/b/sb11ip_white__1.jpg|gate-fail
3|JOV-WAT-HEA-SL30IP-WHI|PCS|Joven (white) Instant Water Heater SL30IP|Home Appliances|Joven|SL30IP|https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html|https://www.joven-electric.com/media/catalog/product/s/l/sl30ip_white_2026_1.jpg|gate-fail
34|SIN-SOR-SRTKS2429-BL|PCS|Sorento S/steel 304 Kitchen Sink-black|Kitchen & Sinks|Sorento|SRTKS2429-BL|https://sorento.com.my/|https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94|gate-fail
55|TOI-TRP-WC-2110A-S|SET|Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet|Bathroom|Saniware|WC-2110A-S250MM|https://saniware.com/product/wc-2110a-s200/|https://saniware.com/wp-content/uploads/2021/03/WC-2110A-S200.jpg|gate-fail
46|CAB-SAN-SWBC-SS6411|SET|Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411|Bathroom|Saniware|SWBC-SS6411|https://saniware.com/product/swbc-ss6411/|https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6411-1.jpeg|gate-fail
56|TOI-TRP-WC-2122A-S|SET|Saniware Washdown Closet WC-2122A-S250MM|Bathroom|Saniware|WC-2122A-S250MM|https://saniware.com/product/wc-2122a-s300/|https://saniware.com/wp-content/uploads/2021/03/WC-2122A-S300.jpg|gate-fail
25|SHO-SOR-SRTSA860-GM|PCS|Sorento 400MM Shower Arm|Bathroom|Sorento|SRTSA860-GM|https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa860-gm-detail|https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTSA860-GM-(product).jpg|gate-fail
240|TAP-SAN-SWS-304-3964|PCS|Saniware Sliver Kitchen W Sink Tap|Kitchen & Sinks|Saniware|SWS-304-3964|https://saniware.com/product/sws-304-3964/|https://saniware.com/wp-content/uploads/2021/03/SWS-304-3964.jpg|gate-fail
254|STA-HAM-BRU-SBH900M2K|UNIT|Stanley Fatmax V20 Brushless Sds Plus Hammer Drill|Power Tool Accessories|Stanley|V20|https://my.stanleytools.global/product/sbh900m2k-b1/20v-brushless-sds-hammer|https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SBH900M2K_1.jpg|gate-fail
277|PUM-WTR-JHP4-40|UNIT|Water Pump Complete Set JHP4-40|Pumps & Water||JHP4-40|https://www.joven-electric.com/my/jhp-4-40-water-pump.html|https://www.joven-electric.com/media/catalog/product/5/1/5130309001-2.jpg|gate-fail
266|STA-HIGH-PRE-WAS-K2|UNIT|Karcher K2 Power Vps High Pressure Washer|Power Tools|Stanley||https://www.karcher.com/my/en/home-and-garden/products/k2-power-vps-kap-p11180010|https://d1y4tv7o00gnfq.cloudfront.net/mam/11180010/mainproduct/166106/d2.jpg|gate-fail
131|STA-GRI-SCG400-SET|UNIT|Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202)|Power Tools|Stanley|SC200|https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only|https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SCG400_1.jpg|gate-fail
42|CAB-SAN-SWBC-SS6615|SET|Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615|Bathroom|Saniware|SWBC-SS6615|https://saniware.com/product/swbc-ss6615/|https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6615.jpeg|gate-fail
59|STA-GRI-SCG400-SOLO|UNIT|Stanley 20V Grinder|Power Tools|Stanley|SCG400|https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only|https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SCG400_1.jpg|gate-fail
17|TAP-SAN-SWP-B-2521|PCS|Saniware Premier Basin Pillar Tap-mixer SWP-B-2521|Bathroom|Saniware|SWP-B-2521|https://saniware.com/product/swp-b-2521/|https://saniware.com/wp-content/uploads/2021/10/SWP-B-2521.png|gate-fail
29|FAN-STA-KHI-SF1682|SET|Khind 16 Stand Fan|Fans & Ventilation|Khind|SF1682SE|https://khind.com.my/products/khind-stand-fan-sf1682se|http://khind.com.my/cdn/shop/files/SF1682SE_BG_white_7fc568d3-0556-4785-a1de-68302f995233.jpg?v=1751809076|verify-fail/disagree
31|TAP-SAN-SWP-B-3213|PCS|Saniware Premier Tall Basin Cold Tap|Bathroom|Saniware|SWP-SS-304-3213|https://saniware.com/product/tall-basin-cold-tap-swp-ss-304-3213/|https://saniware.com/wp-content/uploads/2025/05/3213.png|gate-fail
