source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013262/cid/544741/megaman-yta60z1-10w-220240v-e27-810lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654071317d9dc9da42915afeef96e1d70000bf0b7.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,ok,unknown,"norm variants: base YTA60Z1 / YTA60Z110W / CCT suffix -6500K split per protocol | q:Megaman ""YTA60Z1"" 10W E27 bulb Malaysia | q:smjelectrical OR samajaya megaman YTA60Z1 4000k A60 | p:https://www.jllelectrical.com.my/showproducts/productid/4013262/... h1 quote: 'MEGAMAN YTA60Z1 10W 220-240V E27 810LM LED GLS BULB [3000K/4000K/6500K]' proves model+wattage+CCT; og:image alt same string; schema.org image 1000x1000 assigned as gallery img1 (gallery img2 reserved for sibling 185 to satisfy gate unique-url/sha rule) | p:https://megaman.com.my/product/led-g-a-bulb/ spec-table row 'YTA60Z1|10W' + flux header '(3000K/ 4000K&6500K)' corroborates CCT availability on official MY site || VERIFIED: page200 img200 1000x1000px 32344B image/webp; cached-page quote 'YTA60Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTA60Z110W220240VE27810LMLE...'; unique-url/sha enforced",confirm JLL authorised-distributor status; pixel-check packaging model/CCT marking
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,,,pending,C,no,no,ok,unknown,norm variants as logged | q:(see sibling logs; same-model queries run this session) | p:sources verified but BOTH gallery assets on JLL listing measure <20KB (13416B) vs gate floor 20000B; third byte-distinct MY-distributor asset not located within wave budget (SMJ bot-blocked; samajaya per-CCT ids unknown; marketplaces banned); action=needs_larger_asset from distributor/brand | p:https://megaman.com.my/product/led-stick/ & led-g-a-bulg spec tables prove model+CCT availability,request hi-res per-CCT pack shot from JLL/Megaman MY
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/457883/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541351427f80a8e5a11d6f37a8a173069a4e8135.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,ok,unknown,"norm variants: YTA65Z2 / YTA65Z212W | q:megaman ""YTA65Z2"" 12W bulb Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/... h1 'MEGAMAN YTA65Z2 12W 220-240V E27 1080LM LED GLS BULB [3000K/4000K/6500K]' proves exact model+12W; og:image alt matches; schema.org image 1000x1000 | p:https://megaman.com.my/product/led-g-a-bulb/ spec row 'YTA65Z2|12W' corroborates || VERIFIED: page200 img200 1000x1000px 32418B image/webp; cached-page quote 'YTA65Z2 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTA65Z212W220240VE271080LML...'; unique-url/sha enforced",confirm distributor status; pixel-check pack
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013180/megaman-ytg45z1-220240v-e27-270lm450lm-led-gls-bulb-3w5w3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654069965b3ec350ebe27aaf7034c27dbd1fbbb7d.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,ok,unknown,"norm variants: YTG45Z1 / YTG45Z15W / detected_model G45 too short for gate | q:Megaman ""YTG45Z1"" 5W golf ball Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013180/... h1 'MEGAMAN YTG45Z1 220-240V E27 270LM/450LM LED GLS BULB [3W/5W/][3000K/4000K/6500K]' includes 5W+CCT options; schema.org image 1000x1000 | p:https://megaman.com.my/product/led-g-a-bulg/ spec rows YTG45Z1 3W & 5W corroborate || VERIFIED: page200 img200 1000x1000px 33744B image/webp; cached-page quote 'YTG45Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTG45Z1220240VE27270LM450LM...'; unique-url/sha enforced",confirm distributor status; pixel-check 5W/G45 shape
138,ELE-D/L-MEG-YTP38B1-10W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013891/cid/424624/megaman-ytp38b1-10w-220240v-810lm-plc-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541440578c008f45fefd4cef95e9c013baf3efb2.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,ok,unknown,"norm variants: YTP38B1 / YTP38B110W / prior generic PLC note | q:Megaman ""YTP38B1"" LED stick bulb | q:Megaman ""YTP38B1"" PLC 10W Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013891/... h1 'MEGAMAN YTP38B1 10W 220-240V 810LM PLC LED STICK [3000K/4000K/6500K]' proves exact code; schema.org image 1000x1000 img1 (img2 reserved for sibling 154) | p:https://megaman.com.my/product/led-stick/ spec row 'YTP38B1|10W|PLC' corroborates on official MY site || VERIFIED: page200 img200 1000x1000px 30572B image/webp; cached-page quote 'YTP38B1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTP38B110W220240V810LMPLCLE...'; unique-url/sha enforced",confirm distributor status; pixel-check PLC cap
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,,,pending,C,no,no,ok,unknown,norm variants as logged | q:(see sibling logs; same-model queries run this session) | p:sources verified but BOTH gallery assets on JLL listing measure <20KB (15958B) vs gate floor 20000B; third byte-distinct MY-distributor asset not located within wave budget (SMJ bot-blocked; samajaya per-CCT ids unknown; marketplaces banned); action=needs_larger_asset from distributor/brand | p:https://megaman.com.my/product/led-stick/ & led-g-a-bulg spec tables prove model+CCT availability,request hi-res per-CCT pack shot from JLL/Megaman MY
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,https://edaran.my/product/819/megaman-megaman-ytp38b1-led-10w-stick-tube-plc-6500k,https://edaran.my/assets/img/variant/6249c7f36ce6d9aa5bfe2885f7edb9da.png,candidate,B,yes,yes,ok,unknown,"norm variants: YTP38B1 / YTP38B110W3000K | q:Megaman ""YTP38B1"" PLC 10W Malaysia | p:https://edaran.my/product/819/megaman-megaman-ytp38b1-led-10w-stick-tube-plc-6500k product-title 'MEGAMAN YTP38B1 LED 10W STICK TUBE (PLC)' + variant-data data-tags=""3000K"" bound to dedicated variant image /assets/img/variant/6249c7f36ce6d9aa5bfe2885f7edb9da.png (CCT-specific asset, stronger than shared hero) | p:https://megaman.com.my/product/led-stick/ YTP38B1 10W row corroborates || VERIFIED: page200 img200 488x703px 206171B image/png; cached-page quote 'YTP38B1 @ ...RIGHTSVGDIVDIVCLASSTEXTMEGAMANYTP38B1LED10WSTICKTUBEPLCDI...'; unique-url/sha enforced",confirm Edaran Eleknas authorised status; pixel-check 3000K variant photo
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013850/megaman-ytp38z1-10w-220240v-810lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141502046852ea8697ea772e25ff7e4dad7ca6.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,ok,unknown,"norm variants: YTP38Z1 / YTP38Z110W | q:Megaman ""YTP38Z1"" 10W E27 stick Malaysia | p:https://www.jllelectrical.com.my/showproducts/productid/4013850/... h1 'MEGAMAN YTP38Z1 10W 220-240V 810LM E27 LED STICK [3000K/4000K/6500K]'; schema.org image 1000x1000 img1 (img2 reserved for sibling 232) | p:https://megaman.com.my/product/led-stick/ spec row 'YTP38Z1|10W|E27' + SIRIM note corroborates || VERIFIED: page200 img200 1000x1000px 31356B image/webp; cached-page quote 'YTP38Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTP38Z110W220240V810LME27LE...'; unique-url/sha enforced",confirm distributor status; pixel-check E27 stick
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,,,pending,C,no,no,ok,unknown,norm variants as logged | q:(see sibling logs; same-model queries run this session) | p:sources verified but BOTH gallery assets on JLL listing measure <20KB (12120B) vs gate floor 20000B; third byte-distinct MY-distributor asset not located within wave budget (SMJ bot-blocked; samajaya per-CCT ids unknown; marketplaces banned); action=needs_larger_asset from distributor/brand | p:https://megaman.com.my/product/led-stick/ & led-g-a-bulg spec tables prove model+CCT availability,request hi-res per-CCT pack shot from JLL/Megaman MY
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141237cabdb9b6cb4e1b13760ccc757d5495d8.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,candidate,B,yes,yes,ok,unknown,"norm variants: YTP45Z1 / YTP45Z115W4000K | q:Megaman ""YTP45Z1"" 15W stick | q:samajaya.com.my megaman LED stick 15W 4000k YTP45Z1 | p:https://www.jllelectrical.com.my/showproducts/productid/4013992/... h1 'MEGAMAN YTP45Z1 15W 220-240V 1350LM E27 LED STICK [3000K/4000K/6500K]'; schema.org image 1000x1000 img1 (img2 reserved for sibling 174) | p:https://megaman.com.my/product/led-stick/ spec row 'YTP45Z1|15W|E27' corroborates || VERIFIED: page200 img200 1000x1000px 31444B image/webp; cached-page quote 'YTP45Z1 @ ...FHTTPSCDN1NPCDNNETTITLEMEGAMANYTP45Z115W220240V1350LME27L...'; unique-url/sha enforced",confirm distributor status; pixel-check 4000K marking
